timestamps,open,high,low,close,volume,amount
2022-03-02,9.75,11.3679,8.84,9.43,373793.0,3524867.99
2022-03-03,10.0,10.0,8.245,8.27,571830.0,4729034.1
2022-03-04,8.44,8.75,7.43,7.45,573675.0,4273878.75
2022-03-07,7.5,7.5,6.69,6.87,496019.0,3407650.5300000003
2022-03-08,6.94,7.64,6.71,6.82,487804.0,3326823.2800000003
2022-03-09,7.6,7.8776,7.3,7.62,582569.0,4439175.78
2022-03-10,7.8,8.24,7.25,7.39,456122.0,3370741.58
2022-03-11,7.56,7.75,6.53,6.94,541082.0,3755109.08
2022-03-14,7.0,7.15,6.25,6.35,231182.0,1468005.7
2022-03-15,6.46,6.6899,5.91,5.92,569636.0,3372245.12
2022-03-16,6.0,6.3138,6.0,6.28,398691.0,2503779.48
2022-03-17,6.24,6.72,6.13,6.63,296436.0,1965370.68
2022-03-18,6.74,6.86,6.5,6.83,436058.0,2978276.14
2022-03-21,7.07,7.1,6.12,6.37,430858.0,2744565.46
2022-03-22,6.52,6.9,6.51,6.75,343763.0,2320400.25
2022-03-23,6.68,7.8558,6.62,7.14,676101.0,4827361.14
2022-03-24,7.23,8.005,7.19,7.63,502560.0,3834532.8
2022-03-25,7.77,7.8499,7.03,7.31,358200.0,2618442.0
2022-03-28,7.29,7.36,6.85,6.93,362351.0,2511092.4299999997
2022-03-29,7.06,7.06,6.57,6.79,287358.0,1951160.82
2022-03-30,6.8,6.98,6.61,6.67,196023.0,1307473.41
2022-03-31,6.83,6.86,6.25,6.3,234448.0,1477022.4
2022-04-01,6.42,6.4427,6.15,6.22,285920.0,1778422.4
2022-04-04,6.3,6.53,6.22,6.52,187271.0,1221006.92
2022-04-05,6.43,6.43,5.94,5.96,392435.0,2338912.6
2022-04-06,5.9,5.99,5.61,5.83,415217.0,2420715.11
2022-04-07,6.0,6.51,5.97,6.22,381150.0,2370753.0
2022-04-08,6.16,6.23,5.92,6.15,221028.0,1359322.2000000002
2022-04-11,6.05,6.1,5.73,5.85,229489.0,1342510.65
2022-04-12,6.02,6.16,5.9,6.15,198703.0,1222023.4500000002
2022-04-13,6.17,6.45,6.08,6.42,158701.0,1018860.42
2022-04-14,6.42,6.42,6.1226,6.34,200294.0,1269863.96
2022-04-18,6.25,6.28,6.0036,6.17,153860.0,949316.2
2022-04-19,6.11,6.18,5.78,5.83,225715.0,1315918.45
2022-04-20,5.83,6.01,5.7606,5.9,277733.0,1638624.7000000002
2022-04-21,5.97,6.18,5.7,5.78,286768.0,1657519.04
2022-04-22,5.94,5.94,5.5461,5.63,120601.0,678983.63
2022-04-25,5.58,5.93,5.4214,5.9,200712.0,1184200.8
2022-04-26,5.81,6.32,5.76,6.0,332292.0,1993752.0
2022-04-27,6.0,6.7331,5.83,6.47,385774.0,2495957.78
2022-04-28,6.46,6.85,6.42,6.74,303609.0,2046324.66
2022-04-29,6.65,7.1,6.32,6.95,326660.0,2270287.0
2022-05-02,6.91,7.08,6.7201,7.04,226265.0,1592905.6
2022-05-03,7.04,7.19,6.78,7.15,263959.0,1887306.85
2022-05-04,7.09,7.1,6.44,6.78,438159.0,2970718.02
2022-05-05,6.8,7.15,6.55,6.99,305335.0,2134291.65
2022-05-06,7.02,7.5,6.72,7.42,368901.0,2737245.42
2022-05-09,7.37,7.61,6.375,6.42,597194.0,3833985.48
2022-05-10,6.44,6.5,5.41,5.68,512388.0,2910363.84
2022-05-11,5.82,6.8606,5.7,6.07,448903.0,2724841.21
2022-05-12,6.08,7.27,5.76,6.85,684232.0,4686989.2
2022-05-13,6.86,8.53,6.86,7.76,790722.0,6136002.72
2022-05-16,8.07,8.34,7.39,7.46,419661.0,3130671.06
2022-05-17,7.24,7.7,7.02,7.68,439901.0,3378439.6799999997
2022-05-18,7.56,7.85,7.17,7.3,406048.0,2964150.4
2022-05-19,7.18,8.12,7.15,7.98,375729.0,2998317.4200000004
2022-05-20,8.24,8.74,8.085,8.65,472887.0,4090472.55
2022-05-23,8.74,9.52,8.73,8.87,560837.0,4974624.1899999995
2022-05-24,8.65,8.66,7.95,8.16,322534.0,2631877.44
2022-05-25,8.04,8.52,8.04,8.51,291067.0,2476980.17
2022-05-26,8.63,8.675,8.2,8.34,297525.0,2481358.5
2022-05-27,8.49,9.2,8.47,8.81,512015.0,4510852.15
2022-05-31,8.9,9.22,8.715,8.98,538874.0,4839088.5200000005
2022-06-01,8.97,9.25,8.97,9.16,653947.0,5990154.5200000005
2022-06-02,8.05,8.49,7.88,8.23,811139.0,6675673.970000001
2022-06-03,8.03,8.33,8.0,8.22,568672.0,4674483.840000001
