timestamps,open,high,low,close,volume,amount
2021-08-25,11.5805,11.6,9.98,10.43,5599989.0,58407885.27
2021-08-26,11.0,11.04,9.96,9.96,3293796.0,32806208.160000004
2021-08-27,10.3141,10.5,9.5,10.35,2825007.0,29238822.45
2021-08-30,10.5,10.51,9.8,10.03,2264954.0,22717488.619999997
2021-08-31,10.0213,10.2,9.66,10.03,2193768.0,22003493.04
2021-09-01,10.18,10.2997,9.98,10.14,1942575.0,19697710.5
2021-09-02,10.2,12.27,10.0,11.63,4163167.0,48417632.21
2021-09-03,11.75,14.34,11.01,13.52,10006086.0,135282282.72
2021-09-07,15.02,16.46,14.07,14.5,16032432.0,232470264.0
2021-09-08,14.745,15.7,14.5102,15.09,6717263.0,101363498.67
2021-09-09,16.27,21.34,16.27,20.72,43147806.0,894022540.3199999
2021-09-10,20.28,20.87,17.81,18.69,13557431.0,253388385.39
2021-09-13,18.38,18.41,15.03,15.4,8875239.0,136678680.6
2021-09-14,15.89,16.97,15.13,15.78,5374647.0,84811929.66
2021-09-15,16.0353,16.05,14.62,15.39,4059795.0,62480245.05
2021-09-16,15.58,16.59,14.91,15.89,3616555.0,57467058.95
2021-09-17,16.15,16.15,15.28,15.41,3880128.0,59792772.48
2021-09-20,14.78,15.1,14.03,14.81,3338878.0,49448783.18
2021-09-21,14.86,15.09,14.29,14.47,2417832.0,34986029.04
2021-09-22,15.0,15.4,14.5,14.54,2151474.0,31282431.959999997
2021-09-23,14.54,14.7666,14.05,14.15,2109370.0,29847585.5
2021-09-24,14.18,14.25,13.46,14.05,1952433.0,27431683.65
2021-09-27,14.3,15.33,14.16,14.32,3192176.0,45711960.32
2021-09-28,14.25,15.63,14.25,15.56,3804628.0,59200011.68
2021-09-29,15.9727,16.39,14.59,14.66,3193721.0,46819949.86
2021-09-30,15.36,16.19,15.02,16.13,3577539.0,57705704.06999999
2021-10-01,15.9,16.43,14.9398,15.98,4469971.0,71430136.58
2021-10-04,15.97,16.04,14.36,14.79,3920755.0,57987966.45
2021-10-05,14.83,14.98,14.05,14.59,2761433.0,40289307.47
2021-10-06,14.4,14.68,13.8,14.0,4949225.0,69289150.0
2021-10-07,15.25,15.908,14.65,15.46,9600181.0,148418798.26000002
