timestamps,open,high,low,close,volume,amount
2021-05-28,126.955,127.19,124.74,126.39,2044946.0,258460724.94
2021-06-01,126.03,127.13,122.47,122.97,1982635.0,243804625.95
2021-06-02,122.79,123.1,120.635,120.99,2091485.0,253048770.15
2021-06-03,119.99,120.87,117.83,119.48,2381602.0,284553806.96000004
2021-06-04,120.43,120.75,118.17,119.47,2069328.0,247222616.16
2021-06-07,119.06,119.72,118.085,119.22,2078613.0,247812241.86
2021-06-08,120.37,121.1,119.72,120.27,1798973.0,216362482.71
2021-06-09,120.88,120.92,119.26,120.09,1735564.0,208423880.76
2021-06-10,119.47,120.08,117.43,117.97,4707551.0,555349791.47
2021-06-11,119.15,120.09,118.2683,120.08,3456387.0,415042950.96
2021-06-14,120.17,121.05,118.34,119.22,1856201.0,221296283.22
2021-06-15,119.38,119.82,117.83,118.73,2117948.0,251463966.04
2021-06-16,119.12,119.58,117.69,118.98,2415064.0,287344314.72
2021-06-17,119.06,119.31,116.59,118.23,3734439.0,441522722.97
2021-06-18,116.72,117.11,114.56,115.26,4148484.0,478154265.84
2021-06-21,115.98,119.49,115.98,119.41,2264453.0,270398332.73
2021-06-22,119.29,120.89,118.54,120.4,1571492.0,189207636.8
2021-06-23,120.0,121.56,119.65,120.88,1291490.0,156115311.2
2021-06-24,122.01,123.43,121.51,123.17,1652611.0,203552096.87
2021-06-25,124.09,125.05,123.07,123.57,3143685.0,388465155.45
2021-06-28,123.46,123.46,121.09,121.78,1271051.0,154788590.78
2021-06-29,122.2,122.84,121.79,122.16,1249887.0,152686195.92
2021-06-30,122.45,124.43,122.06,124.0,1792485.0,222268140.0
2021-07-01,124.0,125.355,124.0,124.99,1499341.0,187402631.59
2021-07-02,125.13,126.52,124.82,126.25,1220379.0,154072848.75
2021-07-06,126.63,126.76,124.61,126.52,2446240.0,309498284.8
2021-07-07,127.05,127.58,123.54,124.09,1581564.0,196256276.76
2021-07-08,123.31,123.31,120.1625,121.67,1643303.0,199940676.01
2021-07-09,122.61,124.82,122.61,124.77,1412775.0,176271936.75
2021-07-12,123.93,124.63,123.24,124.1,1079158.0,133923507.8
2021-07-13,123.96,124.3,122.47,122.67,1177209.0,144408228.03
2021-07-14,123.42,125.51,123.245,124.89,1290481.0,161168172.09
2021-07-15,123.32,124.25,122.69,123.7,1486341.0,183860381.7
