timestamps,open,high,low,close,volume,amount
2021-05-28,151.35,151.4865,150.77,151.12,1559505.0,235672395.6
2021-06-01,152.19,152.33,151.23,151.62,2429063.0,368294532.06
2021-06-02,151.9,151.975,151.22,151.73,1756024.0,266441521.52
2021-06-03,151.07,151.79,150.41,151.51,2899400.0,439288094.0
2021-06-04,152.13,152.43,151.62,152.26,2090238.0,318259637.88
2021-06-07,152.53,152.53,151.75,151.99,2409118.0,366161844.82
2021-06-08,152.15,152.38,151.28,152.18,1657311.0,252209587.98
2021-06-09,152.38,152.38,151.49,151.49,1611043.0,244056904.07
2021-06-10,152.17,152.47,151.22,151.78,1767272.0,268236544.16
2021-06-11,152.02,152.29,151.6,152.18,1324058.0,201495146.44
2021-06-14,152.15,152.26,150.975,151.71,1452297.0,220327977.87
2021-06-15,151.85,152.07,151.17,151.73,2727137.0,413788497.01
2021-06-16,151.62,151.72,150.04,150.7,2788700.0,420257089.99999994
2021-06-17,150.51,150.91,148.19,149.22,3533053.0,527202168.66
2021-06-18,147.88,148.015,146.58,146.65,2369366.0,347467523.90000004
2021-06-21,147.18,149.12,147.08,149.05,4385471.0,653654452.5500001
2021-06-22,149.1,149.765,148.42,149.36,2102463.0,314023873.68
2021-06-23,149.49,149.76,149.07,149.11,2457228.0,366397267.08
2021-06-24,149.85,150.255,149.465,150.09,1861831.0,279442214.79
2021-06-25,150.49,151.315,150.325,151.14,2173507.0,328503847.97999996
2021-06-28,151.4,151.4218,149.9812,150.51,2232857.0,336067307.07
2021-06-29,150.8,151.27,150.3,150.4,1895196.0,285037478.40000004
2021-06-30,150.32,150.95,150.32,150.73,2635519.0,397251778.86999995
2021-07-01,151.23,151.98,151.14,151.78,2169344.0,329263032.32
2021-07-02,152.07,152.36,151.62,152.23,1241318.0,188965839.14
2021-07-06,152.11,152.11,149.87,150.9,2437124.0,367762011.6
2021-07-07,150.84,151.43,150.08,151.26,2492489.0,377013886.14
2021-07-08,149.34,150.45,148.62,149.87,3760366.0,563566052.4200001
2021-07-09,150.81,152.11,150.75,152.0,3016279.0,458474408.0
2021-07-12,151.63,152.54,151.22,152.49,1819299.0,277424904.51
2021-07-13,152.17,152.2542,151.01,151.05,2240674.0,338453807.70000005
2021-07-14,151.53,152.14,150.49,150.83,2349059.0,354308568.97
2021-07-15,150.12,150.79,149.658,150.43,5048014.0,759372746.02
2021-07-16,150.93,151.085,149.115,149.31,2114102.0,315656569.62
2021-07-19,147.19,147.42,145.61,146.61,6155623.0,902475888.03
2021-07-20,146.96,149.86,146.78,149.39,2400012.0,358537792.67999995
2021-07-21,150.15,151.09,150.13,150.89,1740522.0,262627364.58
2021-07-22,150.88,150.88,149.91,150.47,1673300.0,251781451.0
2021-07-23,151.21,151.87,150.68,151.72,2249221.0,341251810.12
2021-07-26,151.59,152.39,151.5,152.15,2119369.0,322461993.35
2021-07-27,151.66,152.01,151.0,151.88,4294388.0,652231649.4399999
2021-07-28,152.14,152.56,151.07,151.96,2646516.0,402164571.36
2021-07-29,152.66,153.59,152.54,153.1,2714325.0,415563157.5
2021-07-30,152.52,153.6298,152.48,152.68,2069986.0,316045462.48
