timestamps,open,high,low,close,volume,amount
2021-05-28,88.4,88.83,88.035,88.71,4926848.0,437060686.08
2021-06-01,89.81,89.93,88.84,88.99,4388088.0,390495951.12
2021-06-02,89.25,89.25,88.4465,88.63,4478613.0,396939470.19
2021-06-03,88.11,88.967,87.885,88.68,4123626.0,365683153.68
2021-06-04,88.65,89.24,88.5484,89.02,4147831.0,369239915.62
2021-06-07,88.97,89.15,88.48,88.97,5739334.0,510628545.98
2021-06-08,89.2,89.78,88.76,89.45,4839821.0,432921988.45
2021-06-09,89.36,89.57,88.82,88.85,4629394.0,411321656.9
2021-06-10,89.8,89.98,88.16,88.25,4872637.0,430010215.25
2021-06-11,88.7,88.97,88.165,88.81,4126490.0,366473576.9
2021-06-14,88.72,89.19,88.245,88.72,5973360.0,529956499.2
2021-06-15,88.95,89.795,88.8,89.4,5394568.0,482274379.2000001
2021-06-16,89.23,89.43,87.95,88.43,8090635.0,715454853.0500001
2021-06-17,88.48,88.73,86.32,87.13,7560917.0,658782698.2099999
2021-06-18,85.9,86.73,85.62,85.92,11162629.0,959093083.68
2021-06-21,86.75,88.14,86.52,88.0,5152998.0,453463824.0
2021-06-22,87.68,88.06,86.86,87.38,4218357.0,368600034.66
2021-06-23,87.42,87.61,86.57,86.6,3561602.0,308434733.2
2021-06-24,87.18,87.18,86.255,86.85,5381635.0,467394999.74999994
2021-06-25,87.03,87.4,86.68,86.72,6671895.0,578586734.4
2021-06-28,86.39,86.4,84.76,85.11,5788572.0,492665362.92
2021-06-29,85.38,85.87,84.34,84.44,6539835.0,552223667.4
2021-06-30,84.34,85.67,84.14,85.31,4793170.0,408905332.7
2021-07-01,85.42,86.25,85.27,86.22,3943535.0,340011587.7
2021-07-02,86.5,87.0,85.83,86.7,4237375.0,367380412.5
2021-07-06,86.15,86.49,84.93,85.75,4220923.0,361944147.25
2021-07-07,85.17,86.04,84.82,85.83,4185896.0,359275453.68
2021-07-08,84.6,85.775,84.02,85.44,4729794.0,404113599.36
2021-07-09,86.5,86.75,86.02,86.38,4601040.0,397437835.2
2021-07-12,85.56,86.4,85.02,86.22,5516522.0,475634526.84
2021-07-13,86.17,86.24,85.26,85.33,4661733.0,397785676.89
2021-07-14,85.18,85.885,84.46,84.91,3724373.0,316236511.43
2021-07-15,84.09,85.525,83.94,84.98,3516390.0,298822822.2
2021-07-16,85.62,85.75,83.3,83.53,4153913.0,346976352.89
2021-07-19,81.8,81.96,79.72,81.05,9313787.0,754882436.35
2021-07-20,81.3,85.13,81.02,84.8,7987146.0,677309980.8
2021-07-21,85.265,86.955,85.05,86.58,5468220.0,473438487.6
2021-07-22,86.27,86.5,85.19,85.82,4175771.0,358364667.21999997
2021-07-23,86.73,86.73,85.61,85.81,2667179.0,228870629.99
2021-07-26,85.73,86.2,85.42,85.95,3807917.0,327290466.15000004
2021-07-27,87.6,89.46,87.411,88.22,8519530.0,751592936.6
2021-07-28,89.12,89.12,86.9508,87.2,5595316.0,487911555.2
2021-07-29,88.63,88.65,87.49,87.65,4135438.0,362471140.7000001
2021-07-30,87.37,87.76,86.66,86.95,4443874.0,386394844.3
2021-08-02,87.14,88.74,86.51,86.61,4049194.0,350700692.34
2021-08-03,86.69,88.0,85.33,87.97,4629224.0,407232835.28
2021-08-04,86.87,87.39,85.65,85.82,5286297.0,453670008.54
2021-08-05,86.41,87.43,86.19,86.88,3604642.0,313171296.96
2021-08-06,87.45,87.98,87.17,87.58,3020236.0,264512268.88
2021-08-09,87.06,87.425,86.53,87.08,3265643.0,284372192.44
2021-08-10,87.19,88.06,87.0,87.65,2909254.0,254996113.1
2021-08-11,87.81,88.66,87.43,88.62,3724801.0,330091864.62
2021-08-12,88.4,88.655,87.375,87.98,2816687.0,247812122.26
2021-08-13,88.1,88.1355,87.1401,87.25,3051326.0,266228193.5
2021-08-16,86.72,87.26,85.5698,87.14,3896351.0,339528026.14
2021-08-17,86.4,87.165,85.65,86.61,3999539.0,346400072.79
2021-08-18,86.05,86.92,85.41,85.48,4256508.0,363846303.84
2021-08-19,84.33,84.84,82.965,83.35,5706976.0,475676449.6
2021-08-20,83.29,84.48,83.0,84.05,4502402.0,378426888.1
2021-08-23,84.58,85.575,84.51,84.96,3367674.0,286117583.03999996
2021-08-24,85.11,86.08,85.0,85.43,4726822.0,403812403.46
2021-08-25,85.62,86.44,85.0,85.73,3195152.0,273920380.96000004
2021-08-26,85.66,85.8,84.515,84.76,2595991.0,220036197.16000003
2021-08-27,85.18,86.14,85.15,85.4,3590389.0,306619220.6
2021-08-30,85.49,85.52,84.7,84.8,2936803.0,249040894.4
2021-08-31,84.65,85.42,84.34,84.76,3969570.0,336460753.20000005
2021-09-01,85.14,85.14,83.92,84.1,4109283.0,345590700.29999995
2021-09-02,84.2,84.95,84.1301,84.54,3471621.0,293490839.34000003
2021-09-03,84.38,84.63,83.5,83.65,3300713.0,276104642.45000005
2021-09-07,83.36,83.65,82.36,83.0,5779381.0,479688623.0
2021-09-08,82.83,83.48,82.2,82.87,3911458.0,324142524.46000004
2021-09-09,82.93,84.35,82.73,83.66,4521208.0,378244261.28
2021-09-10,84.18,84.46,82.8,83.0,3893652.0,323173116.0
2021-09-13,83.78,84.23,82.76,83.64,4814963.0,402723505.32
2021-09-14,83.8,83.84,82.26,82.74,5307200.0,439117728.0
2021-09-15,83.18,85.06,82.83,84.87,5714314.0,484973829.18
2021-09-16,84.94,85.13,83.88,84.02,5907479.0,496346385.58
2021-09-17,83.59,84.01,82.37,83.39,23129960.0,1928807364.4
2021-09-20,81.9,83.6,81.52,83.45,8217120.0,685718664.0
2021-09-21,83.68,84.15,82.67,83.11,5900282.0,490372437.02
2021-09-22,83.97,85.96,83.61,85.27,6233674.0,531545381.98
2021-09-23,85.58,87.0,85.51,86.75,5906798.0,512414726.5
2021-09-24,86.57,87.67,86.355,87.16,4665947.0,406683940.52
2021-09-27,87.73,88.47,87.23,87.34,4162144.0,363521656.96
2021-09-28,87.1,87.73,86.47,86.84,5781422.0,502058686.48
2021-09-29,87.17,87.82,86.69,86.99,3612613.0,314261204.87
2021-09-30,87.49,87.5,85.86,85.96,5685934.0,488762886.64
2021-10-01,86.8,87.9308,86.14,87.48,5469816.0,478499503.68
2021-10-04,87.0,88.0,86.43,87.69,5490667.0,481476589.23
