timestamps,open,high,low,close,volume,amount
2021-05-28,140.0,140.92,139.82,139.93,490103.0,68580112.79
2021-06-01,141.2,141.279,139.52,140.03,455067.0,63723032.01
2021-06-02,138.96,140.06,138.91,139.14,620270.0,86304367.8
2021-06-03,137.89,138.4,137.48,137.84,692460.0,95448686.4
2021-06-04,139.06,139.88,138.78,139.88,238780.0,33400546.4
2021-06-07,140.79,141.27,140.58,140.91,283428.0,39937839.48
2021-06-08,142.73,142.85,141.255,141.67,555686.0,78724035.61999999
2021-06-09,140.64,141.31,139.84,139.97,492682.0,68960699.54
2021-06-10,140.21,142.0,139.95,141.95,508052.0,72117981.39999999
2021-06-11,142.29,143.56,142.24,143.51,413467.0,59336649.169999994
2021-06-14,145.0,145.96,144.55,145.84,619434.0,90338254.56
2021-06-15,146.2,146.29,143.76,144.22,884907.0,127621287.54
2021-06-16,144.725,145.15,141.97,142.52,624220.0,88963834.4
2021-06-17,140.64,142.35,140.6,141.81,430721.0,61080545.01
2021-06-18,140.71,140.97,139.63,140.18,854964.0,119848853.52
2021-06-21,140.82,141.05,139.7,140.78,733436.0,103253120.08
2021-06-22,140.05,141.36,139.74,141.24,588209.0,83078639.16000001
2021-06-23,140.86,141.16,138.61,138.71,476450.0,66088379.50000001
2021-06-24,141.66,142.35,140.99,141.23,720613.0,101772173.99
2021-06-25,140.94,141.12,140.0325,140.36,331053.0,46466599.080000006
2021-06-28,141.42,141.81,140.85,141.47,410125.0,58020383.75
2021-06-29,142.88,143.09,142.26,142.83,338538.0,48353382.54000001
2021-06-30,141.52,141.95,140.1238,140.46,425813.0,59809693.98
2021-07-01,140.08,140.96,139.77,140.51,417320.0,58637633.2
2021-07-02,140.84,141.77,140.6283,141.72,260931.0,36979141.32
2021-07-06,142.55,143.0,141.06,141.71,431790.0,61188960.900000006
2021-07-07,147.69,147.81,145.72,147.69,937601.0,138474291.69
2021-07-08,144.44,146.68,144.34,146.11,990780.0,144762865.8
2021-07-09,146.53,148.28,146.26,148.11,507268.0,75131463.48
