timestamps,open,high,low,close,volume,amount
2021-05-28,26.515,27.1865,26.41,26.49,251586.0,6664513.14
2021-06-01,26.53,27.35,26.31,27.21,567316.0,15436668.36
2021-06-02,28.0,28.0,27.2,27.56,503061.0,13864361.16
2021-06-03,27.67,27.94,27.14,27.88,464914.0,12961802.32
2021-06-04,27.91,28.06,27.43,27.51,261993.0,7207427.430000001
2021-06-07,27.69,27.8,27.06,27.06,283980.0,7684498.8
2021-06-08,26.98,27.13,26.36,26.79,336656.0,9019014.24
2021-06-09,26.8,27.01,26.3,26.79,342819.0,9184121.01
2021-06-10,26.9,27.36,26.8,27.14,523477.0,14207165.78
2021-06-11,27.23,27.35,26.96,27.01,301230.0,8136222.300000001
2021-06-14,26.95,26.95,26.2,26.34,442733.0,11661587.22
2021-06-15,26.32,26.64,26.12,26.56,375354.0,9969402.24
2021-06-16,26.4,26.74,26.05,26.66,549717.0,14655455.22
2021-06-17,26.5,27.38,26.37,26.62,1343507.0,35764156.34
2021-06-18,26.27,27.06,26.15,26.9,1266721.0,34074794.9
2021-06-21,26.98,27.53,26.79,26.92,564579.0,15198466.680000002
2021-06-22,26.96,27.035,26.585,26.94,453467.0,12216400.98
2021-06-23,27.0,27.16,26.44,26.65,404646.0,10783815.9
2021-06-24,26.71,27.16,26.57,27.1,400696.0,10858861.6
2021-06-25,27.08,27.36,26.33,26.56,5560449.0,147685525.44
2021-06-28,26.45,26.46,24.57,24.98,1235700.0,30867786.0
2021-06-29,25.11,25.27,24.31,24.57,711598.0,17483962.86
2021-06-30,24.43,24.7513,23.78,24.29,1028871.0,24991276.59
2021-07-01,24.53,24.67,24.14,24.49,421865.0,10331473.85
2021-07-02,24.32,24.41,23.735,24.27,471106.0,11433742.62
2021-07-06,24.1,24.1994,23.32,23.74,406706.0,9655200.44
2021-07-07,23.72,23.88,23.12,23.55,553469.0,13034194.95
2021-07-08,23.18,23.35,22.75,22.97,552653.0,12694439.41
2021-07-09,23.13,23.82,23.1,23.74,426064.0,10114759.36
2021-07-12,23.53,23.665,23.205,23.58,469759.0,11076917.22
2021-07-13,23.53,23.595,23.01,23.4,448186.0,10487552.4
2021-07-14,23.44,23.7,22.93,22.96,313785.0,7204503.600000001
2021-07-15,22.81,23.02,22.36,22.54,950443.0,21422985.22
2021-07-16,22.61,22.95,22.13,22.33,700103.0,15633299.989999998
2021-07-19,21.99,22.15,21.3199,21.55,696374.0,15006859.7
2021-07-20,21.52,22.525,21.44,22.35,539276.0,12052818.6
2021-07-21,22.5,23.06,22.46,22.9,735170.0,16835393.0
2021-07-22,22.84,22.9,22.25,22.36,312452.0,6986426.72
2021-07-23,22.41,22.58,22.17,22.37,286651.0,6412382.87
2021-07-26,22.43,22.85,22.43,22.73,234372.0,5327275.5600000005
2021-07-27,22.5,22.67,22.05,22.36,311674.0,6969030.64
2021-07-28,22.4,22.6,21.93,22.24,298876.0,6647002.239999999
2021-07-29,22.4,22.62,22.14,22.24,299742.0,6666262.079999999
2021-07-30,22.09,22.48,22.09,22.3,335674.0,7485530.2
2021-08-02,22.38,23.06,22.37,22.75,618131.0,14062480.25
2021-08-03,23.4,24.25,22.95,24.14,892823.0,21552747.22
2021-08-04,24.07,24.24,23.53,23.92,615291.0,14717760.72
2021-08-05,24.01,24.84,23.905,24.79,551902.0,13681650.58
2021-08-06,24.8,25.245,24.44,24.92,768604.0,19153611.68
2021-08-09,25.245,25.245,24.25,25.12,736761.0,18507436.32
2021-08-10,25.16,26.68,24.94,26.63,723427.0,19264861.01
2021-08-11,26.63,26.75,26.01,26.66,574687.0,15321155.42
2021-08-12,26.78,26.8,25.89,25.92,463422.0,12011898.24
2021-08-13,26.0,26.0,25.42,25.43,259862.0,6608290.66
2021-08-16,25.33,25.41,24.76,25.17,375320.0,9446804.4
2021-08-17,24.84,24.93,24.52,24.7,530155.0,13094828.5
2021-08-18,24.58,25.31,24.58,24.71,369839.0,9138721.69
2021-08-19,24.51,24.59,23.63,23.74,434493.0,10314863.819999998
2021-08-20,23.65,24.39,23.64,24.16,426808.0,10311681.28
2021-08-23,24.38,25.015,24.32,24.99,365515.0,9134219.85
2021-08-24,25.08,25.37,24.95,25.29,361910.0,9152703.9
2021-08-25,25.24,25.9,25.24,25.66,398695.0,10230513.7
2021-08-26,25.61,25.98,25.505,25.84,446303.0,11532469.52
2021-08-27,25.94,27.0364,25.5202,26.94,744217.0,20049205.98
2021-08-30,27.06,27.41,26.17,26.42,403772.0,10667656.24
2021-08-31,26.5,27.24,26.14,27.0,759499.0,20506473.0
2021-09-01,27.12,27.14,26.6,26.94,392242.0,10566999.48
2021-09-02,27.06,27.39,26.92,27.15,232227.0,6304963.05
2021-09-03,27.12,27.1999,26.26,26.28,219429.0,5766594.12
2021-09-07,26.25,26.37,25.93,26.29,269739.0,7091438.31
2021-09-08,26.3,26.38,25.94,26.0,236803.0,6156878.0
2021-09-09,25.9,26.24,25.6284,26.02,349690.0,9098933.8
2021-09-10,25.99,26.32,25.42,25.47,278267.0,7087460.489999999
2021-09-13,25.68,26.05,25.37,25.89,291020.0,7534507.8
2021-09-14,26.03,26.03,24.64,24.8,258813.0,6418562.4
2021-09-15,25.03,25.15,24.65,24.81,437609.0,10857079.29
2021-09-16,24.94,25.16,24.22,24.68,347076.0,8565835.68
2021-09-17,24.59,26.26,24.43,26.12,1906713.0,49803343.56
2021-09-20,25.36,26.08,25.3001,25.97,500363.0,12994427.11
2021-09-21,26.07,26.26,25.52,25.83,383540.0,9906838.2
2021-09-22,25.95,26.3,25.925,26.03,294458.0,7664741.74
2021-09-23,26.15,26.4,26.025,26.07,252077.0,6571647.39
2021-09-24,26.0,26.31,25.91,25.97,236236.0,6135048.92
2021-09-27,26.535,26.535,25.78,25.83,405227.0,10467013.41
2021-09-28,25.92,26.12,25.469,25.68,313029.0,8038584.72
2021-09-29,25.69,25.98,25.35,25.64,344430.0,8831185.200000001
2021-09-30,25.68,25.945,25.39,25.51,490469.0,12511864.19
2021-10-01,25.79,25.9,25.04,25.33,334602.0,8475468.66
2021-10-04,25.27,26.04,25.27,25.75,493478.0,12707058.5
2021-10-05,25.88,26.14,25.4,25.92,498521.0,12921664.32
2021-10-06,25.6,26.03,25.12,25.92,298806.0,7745051.52
2021-10-07,26.08,26.16,25.75,25.99,324185.0,8425568.15
2021-10-08,25.94,26.02,25.46,25.55,193680.0,4948524.0
2021-10-11,25.66,25.83,25.31,25.62,207830.0,5324604.600000001
2021-10-12,25.6,26.005,25.39,25.62,277954.0,7121181.48
2021-10-13,25.61,25.73,24.97,25.54,406888.0,10391919.52
2021-10-14,25.87,26.25,25.61,25.81,351692.0,9077170.52
2021-10-15,25.86,26.29,25.28,25.43,336004.0,8544581.72
2021-10-18,25.27,25.27,24.65,24.74,290119.0,7177544.06
2021-10-19,24.97,24.99,24.45,24.97,350535.0,8752858.95
2021-10-20,25.03,25.68,24.99,25.21,478671.0,12067295.91
2021-10-21,25.2,25.38,24.43,24.54,260550.0,6393897.0
2021-10-22,24.4,24.51,23.9,24.15,359578.0,8683808.7
2021-10-25,24.23,24.35,23.764,23.94,451391.0,10806300.54
2021-10-26,23.92,24.336,23.63,23.73,413137.0,9803741.01
2021-10-27,23.9,24.1,23.05,23.08,334629.0,7723237.319999999
2021-10-28,23.15,23.49,23.06,23.35,377029.0,8803627.15
2021-10-29,23.58,23.905,23.21,23.46,478320.0,11221387.2
