timestamps,open,high,low,close,volume,amount
2021-05-28,25.6833,25.6917,25.5867,25.6433,5294802.0,135776196.1266
2021-06-01,25.8233,25.8785,25.5967,25.66,5508087.0,141337512.42
2021-06-02,25.6833,25.7766,25.6167,25.7367,5046927.0,129891246.1209
2021-06-03,25.6333,25.7733,25.5586,25.72,5027160.0,129298555.2
2021-06-04,25.8167,25.893,25.7707,25.8833,4473390.0,115786095.387
2021-06-07,25.8967,25.9233,25.7036,25.77,4878690.0,125723841.3
2021-06-08,25.7933,25.7933,25.6267,25.7433,4746243.0,122183957.4219
2021-06-09,25.77,25.7895,25.64,25.6633,5052711.0,129669238.2063
2021-06-10,25.7733,25.8733,25.6567,25.7367,4346397.0,111861915.6699
2021-06-11,25.7967,25.81,25.6833,25.7767,3359724.0,86602597.63080001
2021-06-14,25.76,25.76,25.4944,25.65,5280603.0,135447466.95
2021-06-15,25.6567,25.6683,25.535,25.6367,4142475.0,106199388.8325
2021-06-16,25.6367,25.6367,25.3434,25.4433,4742352.0,120661084.6416
2021-06-17,25.4233,25.4694,24.985,25.1067,6951813.0,174537083.4471
2021-06-18,24.9233,24.9233,24.64,24.6567,10332981.0,254777212.6227
2021-06-21,24.8367,25.1167,24.8251,25.1033,6515229.0,163553748.1557
2021-06-22,25.11,25.1967,24.97,25.1367,5159262.0,129686821.1154
2021-06-23,24.9733,24.9883,24.8333,24.8433,4988355.0,123927199.7715
2021-06-24,24.9733,25.0333,24.8883,25.01,3900807.0,97559183.07
2021-06-25,25.0512,25.2033,25.0167,25.1733,4760847.0,119846229.7851
2021-06-28,25.2,25.2,25.04,25.1,8203185.0,205899943.5
2021-06-29,25.1533,25.2083,25.0372,25.0733,6046617.0,151608642.0261
2021-06-30,25.0633,25.24,25.06,25.2067,3487923.0,87919028.6841
2021-07-01,25.27,25.3367,25.2333,25.3233,3667965.0,92884978.0845
2021-07-02,25.39,25.39,25.2933,25.3567,3528855.0,89480117.5785
2021-07-06,25.32,25.3333,24.9266,25.0867,5835147.0,146384582.2449
2021-07-07,25.07,25.2086,25.0333,25.2,4564965.0,115037118.0
2021-07-08,24.94,25.0633,24.84,24.9733,5283852.0,131955221.1516
2021-07-09,25.13,25.36,25.1233,25.3433,4201344.0,106475921.3952
2021-07-12,25.2767,25.4417,25.1967,25.4033,4820019.0,122444388.6627
2021-07-13,25.3867,25.4233,25.2367,25.2667,3898812.0,98510113.1604
2021-07-14,25.31,25.35,25.1767,25.2967,3876993.0,98075128.8231
2021-07-15,25.1967,25.3467,25.1867,25.3467,4227624.0,107156317.2408
2021-07-16,25.41,25.4167,25.1121,25.15,3935199.0,98970254.85
2021-07-19,24.88,24.9239,24.5633,24.7433,11124495.0,275256717.13350004
2021-07-20,24.8267,25.2029,24.7887,25.0733,6334512.0,158827119.7296
2021-07-21,25.19,25.34,25.1867,25.2667,4035909.0,101974101.9303
2021-07-22,25.24,25.24,25.0334,25.0733,4507422.0,113015944.0326
2021-07-23,25.1667,25.2967,25.1167,25.27,4761945.0,120334350.15
2021-07-26,25.2333,25.3633,25.2218,25.3333,3304614.0,83716777.8462
2021-07-27,25.2533,25.3367,25.1133,25.3133,3391551.0,85851347.92830001
2021-07-28,25.3433,25.363,25.1743,25.28,3425958.0,86608218.24000001
2021-07-29,25.4,25.4833,25.36,25.4367,3549315.0,90282860.8605
2021-07-30,25.4,25.4933,25.3217,25.37,3696891.0,93790124.67
2021-08-02,25.48,25.625,25.313,25.3267,4252095.0,107691534.4365
2021-08-03,25.3867,25.6233,25.2467,25.6233,4041630.0,103559897.979
2021-08-04,25.49,25.5033,25.2933,25.3,5029944.0,127257583.2
2021-08-05,25.3833,25.45,25.37,25.44,3865599.0,98340838.56
2021-08-06,25.48,25.553,25.4483,25.52,4250049.0,108461250.48
2021-08-09,25.52,25.5567,25.4333,25.5,3432447.0,87527398.5
2021-08-10,25.53,25.7327,25.4783,25.73,3235926.0,83260375.98
2021-08-11,25.7833,25.8733,25.737,25.8667,3741873.0,96789906.3291
2021-08-12,25.8667,25.8967,25.7667,25.89,4275024.0,110680371.36
2021-08-13,25.9133,25.9633,25.8718,25.9433,3358155.0,87121622.6115
2021-08-16,25.8833,26.0433,25.7617,26.0433,4153905.0,108181394.0865
2021-08-17,25.91,25.9167,25.66,25.8667,5718813.0,147926820.2271
2021-08-18,25.7867,25.855,25.4767,25.4967,4628412.0,118009232.2404
2021-08-19,25.3067,25.575,25.2833,25.5,6062628.0,154597014.0
2021-08-20,25.5033,25.6967,25.45,25.64,3157272.0,80952454.08
2021-08-23,25.76,25.9033,25.75,25.8,3688089.0,95152696.2
2021-08-24,25.8333,25.8572,25.7667,25.78,3104991.0,80046667.98
2021-08-25,25.7833,25.9333,25.7167,25.83,4671174.0,120656424.42
2021-08-26,25.8333,25.8433,25.68,25.7,5481039.0,140862702.29999998
2021-08-27,25.76,25.9367,25.7367,25.9133,3064578.0,79413329.0874
2021-08-30,25.9567,25.9967,25.8733,25.88,3612735.0,93497581.8
2021-08-31,25.8867,25.9128,25.8167,25.9,3487134.0,90316770.6
2021-09-01,25.9167,25.9167,25.705,25.78,5624445.0,144998192.1
2021-09-02,25.8567,25.95,25.8217,25.9433,4254771.0,110382800.4843
2021-09-03,25.9267,25.9733,25.8683,25.93,3070092.0,79607485.56
2021-09-07,25.8867,25.8867,25.5667,25.5867,5576013.0,142671771.8271
2021-09-08,25.5533,25.6283,25.4678,25.6,4637841.0,118728729.6
2021-09-09,25.57,25.6533,25.4217,25.4633,3582951.0,91233756.1983
2021-09-10,25.5633,25.6,25.336,25.3433,4104825.0,104029811.4225
2021-09-13,25.5033,25.5833,25.335,25.4667,4180542.0,106464608.9514
2021-09-14,25.5467,25.556,25.2167,25.29,6376476.0,161261078.04
2021-09-15,25.3,25.5767,25.2533,25.5167,4462494.0,113868120.6498
2021-09-16,25.5267,25.5567,25.2176,25.3467,4325415.0,109634996.3805
2021-09-17,25.29,25.31,25.1183,25.1833,6664530.0,167834858.349
2021-09-20,24.84,24.94,24.5633,24.8333,12579933.0,312401250.1689
2021-09-21,24.9567,25.0133,24.6967,24.7433,7194744.0,178021709.2152
2021-09-22,24.7467,24.9283,24.68,24.7633,5871336.0,145393654.76880002
2021-09-23,24.8867,25.2156,24.8667,25.0967,6086592.0,152753373.4464
2021-09-24,25.0533,25.2367,25.0467,25.1467,5299176.0,133256789.1192
2021-09-27,25.16,25.3683,25.16,25.31,7364904.0,186405720.24
2021-09-28,25.2367,25.29,24.9633,25.01,8213895.0,205429513.95
2021-09-29,25.0667,25.2367,24.98,25.13,3686322.0,92637271.86
2021-09-30,25.2367,25.26,24.74,24.7467,18619563.0,460772739.6921
2021-10-01,24.9,25.2033,24.6853,25.0767,6019923.0,150959803.0941
2021-10-04,25.06,25.2267,24.8467,24.9767,13274874.0,331562545.4358
2021-10-05,25.0267,25.2517,24.91,25.1267,4445190.0,111692955.573
2021-10-06,24.9667,25.1667,24.802,25.1667,5120433.0,128864401.1811
2021-10-07,25.3233,25.5364,25.3233,25.3567,3742911.0,94907871.3537
2021-10-08,25.3533,25.4267,25.285,25.35,3518562.0,89195546.7
2021-10-11,25.3633,25.5233,25.2233,25.2267,3823713.0,96459660.7371
2021-10-12,25.26,25.2928,25.0367,25.1033,4632546.0,116292192.0018
2021-10-13,25.1333,25.2317,24.8967,25.1667,4860759.0,122329263.5253
2021-10-14,25.3233,25.5533,25.27,25.5533,3778800.0,96560810.04
2021-10-15,25.6667,25.75,25.6133,25.6667,4193754.0,107639825.7918
2021-10-18,25.5533,25.6967,25.455,25.5833,4461780.0,114147056.274
2021-10-19,25.6733,25.81,25.5767,25.81,4916262.0,126888722.22
2021-10-20,25.8233,26.0767,25.7933,26.06,4138662.0,107853531.72
2021-10-21,26.0033,26.01,25.8167,25.93,5559087.0,144147125.91
2021-10-22,25.96,26.07,25.8968,26.0,4054350.0,105413100.0
2021-10-25,26.0367,26.1033,25.92,26.0633,4317258.0,112521990.4314
2021-10-26,26.0633,26.0933,25.985,25.9933,4871889.0,126636472.3437
2021-10-27,25.97,25.97,25.6243,25.6367,4029306.0,103298109.1302
2021-10-28,25.6833,25.8533,25.6767,25.8467,3290607.0,85051331.9469
2021-10-29,25.81,25.9167,25.7787,25.8367,3973974.0,102674374.0458
2021-11-01,25.9,25.9367,25.8167,25.8933,3961287.0,102570792.6771
2021-11-02,25.94,26.1133,25.895,26.07,4211856.0,109803085.92
2021-11-03,25.96,26.2483,25.9433,26.2233,4461612.0,116998189.9596
2021-11-04,26.2667,26.2667,25.9917,26.1367,4650939.0,121560197.3613
2021-11-05,26.2667,26.4253,26.1633,26.2967,5215506.0,137150596.6302
