timestamps,open,high,low,close,volume,amount
2021-05-28,73.94,74.31,73.19,73.85,6301665.0,465377960.24999994
2021-06-01,74.94,75.485,74.16,74.64,6253741.0,466779228.24
2021-06-02,74.84,75.285,74.29,74.93,6935564.0,519681810.52
2021-06-03,74.55,76.34,74.45,76.01,7656265.0,581952702.6500001
2021-06-04,75.91,76.37,74.51,75.72,5636905.0,426826446.6
2021-06-07,75.94,75.95,74.35,74.73,5704422.0,426291456.06
2021-06-08,74.15,75.17,73.57,75.12,7365120.0,553267814.4
2021-06-09,74.84,74.895,72.25,72.85,9674865.0,704813915.25
2021-06-10,73.7,74.22,72.45,72.62,8826143.0,640954504.6600001
2021-06-11,72.89,73.98,72.85,73.92,6954484.0,514075457.28
2021-06-14,73.48,73.7299,71.16,72.01,7859918.0,565992695.1800001
2021-06-15,72.5,73.31,72.03,72.54,7987495.0,579412887.3000001
2021-06-16,72.07,74.535,71.13,73.75,8856284.0,653150945.0
2021-06-17,74.14,74.33,70.86,72.14,8756702.0,631708482.28
2021-06-18,71.08,71.8,69.28,69.83,18539472.0,1294611329.76
2021-06-21,70.64,72.96,70.19,72.74,9597103.0,698093272.2199999
2021-06-22,72.65,72.75,71.52,72.5,6898932.0,500172570.0
2021-06-23,72.75,73.265,72.47,72.89,7171335.0,522718608.15
2021-06-24,73.07,73.64,72.16,73.39,5962912.0,437618111.68
2021-06-25,73.54,74.27,73.16,73.78,12871382.0,949650563.96
2021-06-28,73.6,73.8,72.58,73.28,5054668.0,370406071.04
2021-06-29,74.06,74.6,73.16,73.22,5381536.0,394036065.92
2021-06-30,72.86,73.1,72.29,72.81,6476162.0,471529355.22
2021-07-01,73.46,73.64,72.94,73.57,4458092.0,327981828.44
2021-07-02,73.13,73.33,71.6121,72.8,6157475.0,448264180.0
2021-07-06,72.61,72.61,70.67,70.77,7738806.0,547675300.62
2021-07-07,70.46,70.64,68.865,70.07,9908869.0,694314450.8299999
2021-07-08,67.33,68.88,67.33,67.94,11008348.0,747907163.12
2021-07-09,69.41,70.59,68.52,70.55,10415097.0,734785093.35
2021-07-12,69.93,72.01,69.74,71.71,6299558.0,451741304.17999995
2021-07-13,71.58,72.1,70.96,71.82,7541501.0,541630601.8199999
2021-07-14,71.35,72.11,69.96,70.2,7639808.0,536314521.6
2021-07-15,69.74,71.56,69.3604,70.55,5774209.0,407370444.95
2021-07-16,70.53,70.65,68.3,68.89,10633360.0,732532170.4
2021-07-19,67.36,68.115,66.2,66.68,9021681.0,601565689.08
2021-07-20,66.6,68.26,65.73,67.94,5892263.0,400320348.22
2021-07-21,68.66,70.01,68.42,69.56,5814888.0,404483609.28
2021-07-22,69.31,69.67,67.14,67.25,8248984.0,554744174.0
2021-07-23,67.52,68.41,67.245,67.91,6129937.0,416284021.67
2021-07-26,67.94,68.63,67.65,68.04,5882968.0,400277142.72
2021-07-27,67.55,67.821,66.6,67.37,3921301.0,264178048.37
2021-07-28,67.65,68.335,67.1295,67.85,5235733.0,355244484.04999995
2021-07-29,68.4,69.28,67.75,68.57,4475934.0,306914794.38
2021-07-30,68.24,69.12,67.76,67.95,4084177.0,277519827.15000004
2021-08-02,68.2,69.71,67.62,67.74,4941443.0,334733348.82
2021-08-03,68.17,68.24,66.16,67.41,4858226.0,327493014.65999997
2021-08-04,66.84,68.31,66.5,67.67,4619264.0,312585594.88
2021-08-05,68.06,69.7,68.01,69.3,4814406.0,333638335.8
2021-08-06,70.14,72.45,70.06,71.93,9361695.0,673386721.35
2021-08-09,71.64,74.1,71.4,73.42,6079900.0,446386258.0
2021-08-10,73.35,74.99,72.92,74.53,5784830.0,431143379.9
2021-08-11,74.84,75.39,74.08,74.81,6280657.0,469855950.17
2021-08-12,74.56,75.5,74.36,75.42,3425863.0,258378587.46
2021-08-13,75.3,75.42,73.45,74.01,3552122.0,262892549.22000003
2021-08-16,73.33,73.78,72.12,73.26,3796547.0,278135033.22
2021-08-17,72.68,72.99,71.6,72.5,5487165.0,397819462.5
2021-08-18,72.25,73.46,71.92,72.0,5828587.0,419658264.0
2021-08-19,70.97,71.835,70.1414,71.06,3303583.0,234752607.98
2021-08-20,71.07,72.105,70.71,71.97,3259275.0,234570021.75
2021-08-23,72.3,72.74,72.05,72.3,3989737.0,288457985.09999996
2021-08-24,72.52,74.34,72.3,74.15,5296280.0,392719162.00000006
2021-08-25,74.42,75.4,74.01,74.58,4754861.0,354617533.38
2021-08-26,74.97,75.2,73.63,73.65,3237416.0,238435688.4
2021-08-27,73.75,75.9,73.735,75.84,4691090.0,355772265.6
2021-08-30,75.85,76.0,73.33,73.44,9734790.0,714922977.6
2021-08-31,73.23,73.6,71.96,72.85,7450416.0,542762805.5999999
2021-09-01,72.84,73.565,71.765,73.2,4534247.0,331906880.40000004
2021-09-02,73.52,73.72,72.58,72.91,3213800.0,234318158.0
2021-09-03,72.95,73.55,72.05,72.09,3349226.0,241445702.34
2021-09-07,71.5,72.425,71.021,72.08,4211170.0,303541133.59999996
2021-09-08,72.08,72.35,71.3087,71.56,2955000.0,211459800.0
2021-09-09,71.59,73.77,71.3,72.33,4549185.0,329042551.05
2021-09-10,72.98,72.98,71.38,71.44,4099882.0,292895570.08
2021-09-13,72.0,72.25,70.84,71.89,3208991.0,230694362.99
2021-09-14,71.78,72.19,69.13,69.73,5598656.0,390394282.88
2021-09-15,69.92,71.39,69.43,71.15,4296670.0,305708070.5
2021-09-16,71.37,71.96,70.37,70.78,3054727.0,216213577.06
2021-09-17,70.28,70.9299,69.82,70.43,10256759.0,722383536.3700001
2021-09-20,68.64,68.97,67.3101,68.8,5848645.0,402386776.0
2021-09-21,69.23,69.42,68.125,68.44,4243054.0,290394615.76
2021-09-22,69.46,71.11,69.08,70.4,4956987.0,348971884.8
2021-09-23,71.21,74.415,71.04,74.3,5861023.0,435474008.9
2021-09-24,74.03,75.94,73.94,75.59,6437441.0,486606165.19
2021-09-27,76.0,77.68,75.94,77.38,6584069.0,509475259.22
2021-09-28,77.5,77.965,75.44,76.18,8754748.0,666936702.6400001
2021-09-29,76.49,76.5,74.73,75.38,6075725.0,457988150.5
2021-09-30,75.97,75.97,72.77,72.84,7108622.0,517792026.48
2021-10-01,72.97,74.94,72.05,74.42,4814828.0,358319499.76
2021-10-04,74.17,75.12,72.92,73.23,5938698.0,434890854.54
2021-10-05,73.66,76.56,73.66,75.9,7570195.0,574577800.5
2021-10-06,75.02,76.11,73.97,75.71,5731648.0,433943070.08
2021-10-07,76.5,77.75,76.235,76.39,4560903.0,348407380.17
2021-10-08,76.33,77.86,76.19,77.34,3524049.0,272549949.66
2021-10-11,77.79,78.945,76.55,76.61,4229306.0,324007132.66
2021-10-12,77.09,77.92,76.35,77.27,6138170.0,474296395.9
2021-10-13,77.53,77.72,74.92,76.27,6066244.0,462672429.88
2021-10-14,77.22,78.38,76.64,78.11,4802594.0,375130617.34
2021-10-15,79.42,81.0,78.3601,80.9,9004395.0,728455555.5
2021-10-18,80.75,81.24,79.71,80.55,6323314.0,509342942.7
2021-10-19,80.59,81.63,80.23,81.54,5346739.0,435973098.06000006
2021-10-20,81.14,81.81,80.58,81.59,6157223.0,502367824.57
2021-10-21,81.5,82.57,80.74,82.24,5937967.0,488338406.08
2021-10-22,82.37,83.74,82.26,83.55,5740150.0,479589532.5
2021-10-25,83.69,84.01,82.85,82.89,4213551.0,349261242.39
