timestamps,open,high,low,close,volume,amount
2021-05-28,100.02,100.03,100.02,100.03,9496.0,949884.88
2021-06-01,100.02,100.03,100.02,100.025,16571.0,1657514.275
2021-06-02,100.03,100.03,100.02,100.025,17388.0,1739234.7000000002
2021-06-03,100.02,100.03,100.02,100.02,18726.0,1872974.52
2021-06-04,100.025,100.03,100.02,100.02,17728.0,1773154.5599999998
2021-06-07,100.03,100.03,100.02,100.0215,24423.0,2442825.0945
2021-06-08,100.03,100.03,100.02,100.0295,23167.0,2317383.4265
2021-06-09,100.025,100.03,100.02,100.025,23569.0,2357489.225
2021-06-10,100.025,100.03,100.02,100.025,33758.0,3376643.95
2021-06-11,100.0299,100.03,100.02,100.025,9419.0,942135.475
2021-06-14,100.03,100.03,100.02,100.025,42204.0,4221455.100000001
2021-06-15,100.03,100.03,100.0217,100.025,10895.0,1089772.375
2021-06-16,100.03,100.03,100.02,100.025,26652.0,2665866.3000000003
2021-06-17,100.03,100.03,100.02,100.0215,32087.0,3209389.8705
2021-06-18,100.0215,100.03,100.01,100.015,17007.0,1700955.105
2021-06-21,100.0199,100.02,100.015,100.015,21207.0,2121018.105
2021-06-22,100.02,100.03,100.02,100.0295,21088.0,2109422.096
2021-06-23,100.03,100.03,100.0162,100.02,55709.0,5572014.18
2021-06-24,100.03,100.03,100.02,100.02,17325.0,1732846.5
2021-06-25,100.0222,100.03,100.02,100.03,21110.0,2111633.3
2021-06-28,100.03,100.03,100.02,100.02,21082.0,2108621.64
2021-06-29,100.021,100.03,100.02,100.025,37759.0,3776843.975
2021-06-30,100.0248,100.03,100.02,100.025,33181.0,3318929.5250000004
2021-07-01,100.02,100.0299,100.02,100.0205,20141.0,2014512.8905
2021-07-02,100.029,100.03,100.02,100.0205,4767.0,476797.7235
2021-07-06,100.03,100.03,100.02,100.025,23196.0,2320179.9
2021-07-07,100.03,100.03,100.01,100.02,11871.0,1187337.42
2021-07-08,100.02,100.03,100.02,100.02,34029.0,3403580.58
2021-07-09,100.02,100.03,100.02,100.02,10678.0,1068013.56
2021-07-12,100.03,100.03,100.01,100.02,8011.0,801260.22
2021-07-13,100.02,100.03,100.02,100.025,15256.0,1525981.4
2021-07-14,100.029,100.03,100.01,100.02,12493.0,1249549.86
2021-07-15,100.01,100.03,100.01,100.02,8620.0,862172.4
2021-07-16,100.02,100.0251,100.02,100.025,15139.0,1514278.475
2021-07-19,100.025,100.03,100.02,100.025,33320.0,3332833.0
2021-07-20,100.02,100.03,100.02,100.02,214177.0,21421983.54
2021-07-21,100.029,100.03,100.01,100.03,27213.0,2722116.39
2021-07-22,100.02,100.03,100.02,100.025,55652.0,5566591.300000001
2021-07-23,100.0201,100.03,100.02,100.0295,16706.0,1671092.827
2021-07-26,100.03,100.03,100.02,100.021,33201.0,3320797.221
2021-07-27,100.03,100.03,100.02,100.025,21750.0,2175543.75
2021-07-28,100.03,100.03,100.011,100.03,10547.0,1055016.41
2021-07-29,100.02,100.03,100.01,100.029,36758.0,3676865.982
2021-07-30,100.025,100.03,100.025,100.025,8065.0,806701.625
2021-08-02,100.01,100.025,100.01,100.015,9508.0,950942.62
2021-08-03,100.025,100.03,100.02,100.0249,7676.0,767791.1324
2021-08-04,100.03,100.03,100.01,100.03,25790.0,2579773.7
2021-08-05,100.03,100.03,100.0104,100.025,9101.0,910327.525
2021-08-06,100.01,100.025,100.01,100.025,23055.0,2306076.375
2021-08-09,100.02,100.0277,100.01,100.02,10153.0,1015503.06
2021-08-10,100.03,100.03,100.0101,100.02,7594.0,759551.88
2021-08-11,100.03,100.03,100.01,100.02,36371.0,3637827.42
2021-08-12,100.01,100.02,100.01,100.015,9783.0,978446.745
2021-08-13,100.0199,100.03,100.01,100.025,18337.0,1834158.425
2021-08-16,100.029,100.03,100.01,100.03,42321.0,4233369.63
2021-08-17,100.0211,100.0279,100.01,100.01,42321.0,4232523.21
2021-08-18,100.0202,100.03,100.02,100.025,9950.0,995248.75
2021-08-19,100.025,100.0299,100.02,100.02,12514.0,1251650.28
2021-08-20,100.02,100.03,100.02,100.03,18596.0,1860157.88
2021-08-23,100.0208,100.03,100.02,100.02,46487.0,4649629.74
2021-08-24,100.02,100.0264,100.02,100.025,7663.0,766491.5750000001
2021-08-25,100.025,100.029,100.02,100.02,16777.0,1678035.54
