timestamps,open,high,low,close,volume,amount
2021-05-28,124.841,127.179,124.166,124.287,8878460.0,1103477158.02
2021-06-01,125.417,127.893,124.459,125.156,11842250.0,1482128641.0
2021-06-02,125.8,126.5828,121.8,122.959,9998060.0,1229351459.54
2021-06-03,122.301,122.8215,119.55,119.9,8189620.0,981935438.0
2021-06-04,120.997,122.437,120.224,120.574,6319290.0,761942072.46
2021-06-07,120.912,123.12,118.25,123.055,6948870.0,855093197.85
2021-06-08,124.4,125.224,121.0,123.074,7196540.0,885706963.96
2021-06-09,122.75,124.279,121.4988,121.556,5231950.0,635974914.1999999
2021-06-10,121.5,123.706,119.81,123.11,9956400.0,1225732404.0
2021-06-11,123.824,125.0,122.8,124.702,8963900.0,1117816257.8
2021-06-14,124.7,131.092,124.5346,130.664,14530930.0,1898669437.5199995
2021-06-15,130.9,135.0,128.6,132.108,17361120.0,2293542840.96
2021-06-16,132.428,137.7,131.8265,136.63,23315520.0,3185599497.6
2021-06-17,135.231,146.1,135.1,144.927,31603500.0,4580200444.5
2021-06-18,143.502,148.5495,143.452,146.687,25633330.0,3760076277.710001
2021-06-21,147.326,155.223,145.25,148.023,32737520.0,4845905922.96
2021-06-22,148.0,151.636,146.697,150.844,21796110.0,3287812416.8399997
2021-06-23,151.093,153.4958,149.43,150.053,13808230.0,2071966336.19
2021-06-24,151.339,152.98,147.366,147.899,13495500.0,1995970954.5
2021-06-25,148.995,148.995,142.903,147.354,18114230.0,2669204247.42
2021-06-28,148.378,152.3145,147.8,149.499,12995360.0,1942793324.64
2021-06-29,149.714,151.297,147.325,148.299,10661600.0,1581104618.4
2021-06-30,147.858,149.1799,145.404,146.098,10533060.0,1538858999.88
2021-07-01,146.098,146.9485,144.2,145.8,7701570.0,1122888906.0
2021-07-02,146.998,149.8,144.902,146.475,10549670.0,1545262913.25
2021-07-06,146.806,154.1,146.761,153.803,19438620.0,2989718071.86
2021-07-07,155.101,158.774,150.837,152.022,16881350.0,2566336589.7
2021-07-08,147.5,149.95,145.232,146.334,16754880.0,2451808609.92
2021-07-09,147.25,149.692,145.788,149.499,12699170.0,1898513215.83
2021-07-12,150.293,153.018,147.6,149.474,11939020.0,1784573075.4799998
2021-07-13,149.259,153.227,149.074,151.647,11981940.0,1817025255.18
2021-07-14,153.5,155.0,145.9,146.3,14746810.0,2157458303.0
2021-07-15,147.6,148.1107,142.002,144.15,11818200.0,1703593530.0
2021-07-16,145.427,146.3814,142.6,144.263,9712970.0,1401222191.11
2021-07-19,141.516,147.537,139.301,147.201,14414750.0,2121865614.75
2021-07-20,147.735,153.352,145.8161,152.478,12954880.0,1975334192.64
2021-07-21,151.751,156.936,151.564,156.936,13517250.0,2121343146.0
2021-07-22,156.426,160.257,156.426,159.409,18670790.0,2976291963.1099997
2021-07-23,160.8,165.0,159.593,164.332,14099690.0,2317030257.08
2021-07-26,164.923,165.0,157.671,158.228,14507880.0,2295552836.6400003
2021-07-27,158.203,160.242,151.3035,155.51,17457390.0,2714798718.8999996
2021-07-28,157.7,158.315,149.7025,153.8,21730250.0,3342112450.0000005
2021-07-29,152.806,156.0215,151.0,152.5,17606470.0,2684986675.0
2021-07-30,149.995,152.987,149.02,149.993,10309820.0,1546400831.26
2021-08-02,150.383,155.5,149.3051,153.867,14318830.0,2203195415.6099997
2021-08-03,154.214,155.975,149.9,152.256,16119380.0,2454272321.28
2021-08-04,152.408,155.825,151.701,155.552,6690630.0,1040740877.76
2021-08-05,155.321,157.6,153.385,154.555,8228060.0,1271687813.3
2021-08-06,153.291,155.099,150.1272,152.506,6928670.0,1056663747.02
2021-08-09,152.58,155.199,151.008,154.999,10938120.0,1695397661.88
2021-08-10,155.7,158.337,151.4435,152.594,12074970.0,1842567972.18
2021-08-11,153.625,153.7435,148.08,148.523,9219130.0,1369252844.99
2021-08-12,148.253,151.4,145.594,150.32,10822290.0,1626806632.8
2021-08-13,150.0,150.498,147.5,149.8,6229360.0,933158128.0
2021-08-16,149.146,153.46,146.871,148.9,12814590.0,1908092451.0
2021-08-17,148.568,149.3265,145.808,148.187,11451730.0,1696997513.5100002
2021-08-18,147.458,151.4,147.12,148.918,8203650.0,1221671150.7
2021-08-19,147.201,149.955,146.311,146.611,6249510.0,916246910.61
2021-08-20,147.76,148.58,143.75,145.07,7834890.0,1136607492.3
2021-08-23,145.621,148.815,145.3079,148.141,8693730.0,1287897855.9299998
2021-08-24,151.001,156.2,151.0,153.851,13567580.0,2087385750.58
2021-08-25,154.145,155.597,151.16,155.224,8031240.0,1246641197.76
2021-08-26,154.899,155.69,151.419,151.558,6221380.0,942899910.04
2021-08-27,151.7,153.899,151.114,153.142,5190150.0,794829951.3
2021-08-30,154.094,156.0,152.801,154.9,6600400.0,1022401960.0
2021-08-31,155.423,155.423,152.129,152.478,5201210.0,793070098.38
2021-09-01,152.765,155.224,152.328,153.903,5753430.0,885470137.29
2021-09-02,154.24,158.8,153.8402,154.26,9421620.0,1453379101.1999998
2021-09-03,154.5,156.803,154.1,155.425,6022310.0,936017531.75
2021-09-07,155.474,156.3766,152.6895,153.67,6195220.0,952019457.4
2021-09-08,153.7,153.794,147.575,147.781,10681040.0,1578454772.24
2021-09-09,149.1,151.931,148.593,150.408,6622900.0,996137143.2
2021-09-10,151.5,151.771,147.95,148.41,5024100.0,745626681.0
2021-09-13,149.2,149.539,143.236,147.687,9864400.0,1456843642.8000002
2021-09-14,147.541,149.144,144.3,145.128,7865940.0,1141568140.32
2021-09-15,145.5,147.764,143.311,147.494,6558940.0,967404296.36
2021-09-16,146.9,147.93,145.1,147.597,7566140.0,1116739565.5800002
2021-09-17,146.666,148.746,145.2211,148.629,5479390.0,814396256.31
2021-09-20,144.003,146.4803,140.112,143.453,12677250.0,1818589544.25
2021-09-21,144.5,144.867,142.344,143.715,7709360.0,1107950672.4
2021-09-22,144.5,147.473,142.904,146.59,5931780.0,869539630.2
2021-09-23,147.4,148.496,145.6,147.66,6196440.0,914966330.4
2021-09-24,147.344,147.595,142.8,144.4,8683650.0,1253919060.0
2021-09-27,143.6,145.17,141.426,144.381,7654640.0,1105184577.84
2021-09-28,142.0,142.555,135.9,136.931,13279860.0,1818424509.66
2021-09-29,138.1,139.299,134.114,134.655,9999280.0,1346453048.4
2021-09-30,134.695,137.699,134.695,135.578,7792240.0,1056456314.72
2021-10-01,136.246,136.983,133.925,135.076,7294190.0,985270008.44
2021-10-04,132.632,133.9,128.59,131.49,11742480.0,1544018695.2
2021-10-05,131.246,135.6,131.246,131.808,7878470.0,1038445373.76
2021-10-06,131.172,135.9,130.537,134.988,8596160.0,1160378446.08
2021-10-07,137.299,140.646,136.517,139.85,11033140.0,1542984629.0
2021-10-08,141.778,142.9,137.2357,137.803,9062560.0,1248847955.68
2021-10-11,136.9,138.549,135.3,135.701,6229470.0,845345308.4699999
2021-10-12,136.994,137.899,135.1,135.722,5997970.0,814056484.34
2021-10-13,137.7,139.951,136.868,139.897,6430030.0,899541906.91
2021-10-14,141.315,142.7,140.1708,140.675,6231380.0,876599381.5000001
2021-10-15,141.481,142.987,139.705,142.458,7320040.0,1042798258.32
2021-10-18,142.503,146.602,141.8,146.511,8406310.0,1231616884.4099998
2021-10-19,147.985,150.198,147.0,148.574,7261100.0,1078810671.4
2021-10-20,149.795,150.2316,146.202,148.747,7125370.0,1059877411.39
2021-10-21,147.22,150.672,147.22,149.671,6266550.0,937920805.05
2021-10-22,147.0,147.295,140.448,142.585,15291040.0,2180272938.4
2021-10-25,142.888,143.9,139.501,142.516,8001190.0,1140297594.04
2021-10-26,142.8,143.015,135.771,136.37,12909940.0,1760528517.8
2021-10-27,136.4,137.9167,133.611,136.112,14510310.0,1975027314.72
2021-10-28,135.004,150.471,132.854,145.7,37594900.0,5477576930.0
2021-10-29,143.5,148.817,141.982,146.673,12631830.0,1852748401.59
2021-11-01,146.51,153.176,146.0,152.762,15488390.0,2366037433.18
2021-11-02,152.3,153.402,147.102,147.664,9063760.0,1338391056.64
2021-11-03,149.533,149.718,145.205,149.534,7088620.0,1059989703.08
2021-11-04,151.529,154.921,149.55,154.056,9932450.0,1530153517.2
2021-11-05,153.5,154.9999,151.018,152.806,6535040.0,998593322.24
2021-11-08,154.0,156.433,152.2001,153.377,7644360.0,1172469003.72
2021-11-09,154.6,156.3051,151.981,155.485,5944920.0,924345886.2
2021-11-10,153.74,154.487,147.0,147.4,6920370.0,1020062538.0
2021-11-11,150.05,151.2,149.0,149.034,5457710.0,813384352.14
2021-11-12,152.097,167.4785,151.001,166.952,28354500.0,4733840484.0
2021-11-15,165.34,170.439,163.251,165.65,14730360.0,2440084134.0
2021-11-16,163.0,171.451,162.851,167.532,9159540.0,1534516055.2800002
2021-11-17,165.81,167.6788,163.5652,163.781,6077710.0,995413421.51
2021-11-18,164.6,169.755,163.721,168.13,9707170.0,1632066492.1
2021-11-19,171.8,176.2918,168.5095,169.06,15070210.0,2547769702.6
2021-11-22,170.101,170.35,158.052,159.501,13575760.0,2165347295.76
2021-11-23,158.801,161.364,153.212,157.306,10600860.0,1667578883.16
2021-11-24,155.541,164.202,154.124,162.87,9713730.0,1582075205.1
2021-11-26,165.0,166.127,157.623,157.67,7557510.0,1191592601.6999998
2021-11-29,157.732,158.347,152.471,156.702,11188120.0,1753200780.24
2021-11-30,160.05,162.9938,151.664,152.179,16144250.0,2456815820.75
2021-12-01,154.66,155.8,145.798,145.971,14531090.0,2121117738.39
2021-12-02,145.749,148.483,143.1,144.715,11222810.0,1624108949.15
2021-12-03,146.598,146.7545,135.703,141.0,14151750.0,1995396750.0
2021-12-06,137.312,143.086,134.0,142.812,12082540.0,1725531702.4800005
2021-12-07,147.141,153.599,146.6621,152.051,14648730.0,2227354045.23
2021-12-08,150.86,153.494,149.2,152.029,7769230.0,1181148267.67
2021-12-09,151.5,153.398,148.212,149.495,7960960.0,1190123715.2
2021-12-10,150.849,153.15,144.2053,146.158,7942860.0,1160912531.88
2021-12-13,144.76,147.039,137.101,139.715,12730210.0,1778601290.15
2021-12-14,136.8,140.255,132.9,135.428,12079380.0,1635886274.64
2021-12-15,135.2,137.642,128.894,136.808,15768260.0,2157224114.08
2021-12-16,142.8,142.8,129.7915,132.688,14065470.0,1866319083.36
2021-12-17,130.537,135.207,128.001,132.34,12093340.0,1600432615.6
2021-12-20,130.74,132.0,127.1889,128.217,10737910.0,1376782606.47
2021-12-21,131.252,137.129,130.4705,137.011,12591610.0,1725189077.71
2021-12-22,135.949,139.235,135.136,138.563,8331250.0,1154402993.75
2021-12-23,139.0,144.361,138.083,143.933,10960170.0,1577530148.61
2021-12-27,144.361,145.7,139.615,140.059,7213840.0,1010363216.56
2021-12-28,140.818,141.499,136.417,137.562,5844980.0,804047138.7600001
2021-12-29,136.899,140.0789,135.137,139.208,6410150.0,892344161.2
2021-12-30,138.809,143.288,138.809,139.824,5687810.0,795292345.44
2021-12-31,139.991,140.3652,137.704,137.739,4712610.0,649110188.79
2022-01-03,139.19,139.367,133.4185,136.314,7161200.0,976171816.8
2022-01-04,135.65,137.0,121.1245,122.186,29442880.0,3597507735.6800003
2022-01-05,121.35,122.879,117.375,119.001,21135630.0,2515161105.63
2022-01-06,117.244,119.776,113.858,116.893,18043480.0,2109156507.64
2022-01-07,116.9,118.237,112.14,114.448,12635130.0,1446065358.24
2022-01-10,111.701,113.323,106.402,113.117,21090910.0,2385740466.4700003
2022-01-11,109.7,116.598,108.601,115.731,12626400.0,1461265898.4
2022-01-12,118.516,119.12,115.7,116.876,11328940.0,1324081191.44
2022-01-13,117.0,117.805,106.15,106.436,22801040.0,2426851493.44
2022-01-14,105.3,111.198,104.8601,110.291,22203430.0,2448838498.13
2022-01-18,108.721,108.834,102.906,105.466,21897390.0,2309430133.74
2022-01-19,106.821,112.249,103.0245,103.095,19601390.0,2020805302.05
2022-01-20,104.997,108.444,102.267,102.395,14176350.0,1451587358.25
2022-01-21,100.469,101.364,86.875,88.212,53351240.0,4706219582.88
2022-01-24,83.4,96.399,78.0,93.849,77623920.0,7284927268.08
2022-01-25,91.0,93.899,84.1,89.239,46720910.0,4169327287.49
2022-01-26,93.701,95.0,85.23,86.892,33160270.0,2881362180.8399997
2022-01-27,90.469,90.665,81.312,81.576,21613510.0,1763143691.7599998
2022-01-28,82.503,87.434,79.2515,87.223,26558070.0,2316474539.61
2022-01-31,88.19,96.821,87.5,96.424,25004010.0,2410986660.24
2022-02-01,98.43,98.85,93.7851,98.42,17520790.0,1724396151.8
2022-02-02,98.35,98.511,86.493,88.588,31831000.0,2819844628.0
2022-02-03,83.0,85.7422,80.6,80.944,30259900.0,2449357345.6
