timestamps,open,high,low,close,volume,amount
2021-05-28,286.61,286.88,283.38,283.53,1460378.0,414060974.34
2021-06-01,285.9,288.64,282.66,282.84,1221175.0,345397136.99999994
2021-06-02,285.0,285.57,281.49,282.41,1318109.0,372247162.69000006
2021-06-03,280.77,283.0,278.13,282.57,1004649.0,283883667.93
2021-06-04,283.64,284.33,281.43,283.2,1060312.0,300280358.4
2021-06-07,283.02,284.2,280.44,280.81,857360.0,240755261.6
2021-06-08,281.94,282.19,278.74,281.0,935627.0,262911187.0
2021-06-09,279.51,280.455,276.11,276.96,1905246.0,527676932.16
2021-06-10,281.95,282.46,276.42,277.86,1237974.0,343983455.64000005
2021-06-11,277.86,278.795,275.05,276.74,1164791.0,322344261.34000003
2021-06-14,276.05,277.195,271.5,273.76,1163337.0,318475137.12
2021-06-15,274.92,274.92,271.12,271.62,1340973.0,364235086.26
2021-06-16,272.25,272.77,267.51,268.48,1263230.0,339151990.40000004
2021-06-17,269.64,270.01,265.72,269.23,1315831.0,354261180.13
2021-06-18,266.86,270.03,266.11,268.16,2270041.0,608734194.5600001
2021-06-21,270.0,274.5,269.16,273.1,1054474.0,287976849.40000004
2021-06-22,273.43,275.17,271.99,273.46,681784.0,186440652.64
2021-06-23,273.5,274.56,271.22,271.37,606668.0,164631495.16
2021-06-24,273.19,273.19,269.17,270.08,902093.0,243637277.44
2021-06-25,269.8,274.06,269.79,273.99,1850485.0,507014385.15
2021-06-28,273.74,273.74,270.24,272.49,947423.0,258163293.27
2021-06-29,273.25,275.58,272.16,272.78,655737.0,178871938.85999998
2021-06-30,272.68,273.34,271.13,272.45,980352.0,267096902.4
2021-07-01,273.68,275.5293,270.8,275.34,799451.0,220120838.33999997
2021-07-02,275.63,275.96,273.96,275.22,556844.0,153254605.68
2021-07-06,275.0,275.22,269.6101,273.5,695241.0,190148413.5
2021-07-07,272.99,277.66,272.65,277.41,687985.0,190853918.85
2021-07-08,274.7,275.1413,271.155,273.09,1180250.0,322314472.5
2021-07-09,275.73,276.72,273.45,276.22,706636.0,195186995.92
2021-07-12,276.6,279.15,275.13,277.97,749313.0,208286534.61
2021-07-13,276.75,278.6,276.48,278.05,1236354.0,343768229.7
2021-07-14,278.79,279.615,275.15,276.93,694356.0,192288007.08
2021-07-15,276.46,279.98,276.46,279.12,840041.0,234472243.92
2021-07-16,280.2,283.87,279.95,282.41,1066013.0,301052731.33000004
2021-07-19,280.94,284.18,278.36,282.93,2083733.0,589550577.69
2021-07-20,276.48,282.84,275.88,281.24,1689800.0,475239352.0
2021-07-21,282.23,282.815,279.0,281.83,1215021.0,342429368.43
2021-07-22,281.83,283.85,281.13,281.55,725788.0,204345611.4
2021-07-23,282.36,286.44,282.02,285.97,1101352.0,314953631.44000006
2021-07-26,285.76,286.74,283.37,285.48,1354098.0,386567897.04
2021-07-27,282.99,288.67,279.4305,287.72,1747011.0,502650004.9200001
2021-07-28,287.77,289.34,286.13,287.54,1117674.0,321375981.96000004
2021-07-29,289.11,289.75,287.12,289.39,964547.0,279130256.33
2021-07-30,289.53,291.68,288.86,291.03,1219386.0,354877907.58
2021-08-02,292.39,293.19,290.62,291.57,879592.0,256462639.44
2021-08-03,291.43,296.09,291.01,295.98,863048.0,255444947.04
2021-08-04,295.28,297.71,294.56,296.23,920874.0,272790505.02000004
2021-08-05,297.29,298.99,294.56,295.66,956659.0,282845799.94
2021-08-06,295.55,298.27,295.55,296.95,709481.0,210680382.95
2021-08-09,297.14,297.85,295.7,297.41,862017.0,256372475.97000003
2021-08-10,297.71,298.095,295.79,296.07,622872.0,184413713.04
2021-08-11,297.33,303.03,297.08,302.33,1151517.0,348138134.60999995
2021-08-12,301.56,304.34,299.55,303.71,1325399.0,402536930.29
2021-08-13,303.71,307.33,303.705,305.66,911070.0,278477656.20000005
2021-08-16,305.34,308.82,303.61,307.76,853708.0,262737174.08
2021-08-17,306.03,306.46,302.5,304.92,869896.0,265248688.32
2021-08-18,304.92,305.61,300.88,301.11,850436.0,256074783.96
2021-08-19,298.72,303.57,297.9366,302.64,707621.0,214154419.44
2021-08-20,303.56,308.56,303.18,307.06,860279.0,264157269.74
2021-08-23,307.46,309.98,304.58,304.72,686851.0,209297236.72000003
2021-08-24,305.03,305.0413,302.595,303.11,555904.0,168500061.44
2021-08-25,300.96,303.6,299.5725,302.73,920909.0,278786781.57
2021-08-26,303.39,303.39,299.4,302.27,673000.0,203427710.0
