timestamps,open,high,low,close,volume,amount
2021-05-28,31.64,31.65,31.09,31.33,8417359.0,263715857.47
2021-06-01,31.96,33.09,31.95,32.93,15893275.0,523365545.75
2021-06-02,33.39,35.595,32.71,35.46,28625893.0,1015074165.78
2021-06-03,35.25,36.575,35.195,36.52,20184734.0,737146485.6800001
2021-06-04,36.61,36.87,35.565,36.42,13967561.0,508698571.62
2021-06-07,36.52,36.781,35.66,35.83,10321832.0,369831240.56
2021-06-08,35.59,36.205,35.22,35.9,12941305.0,464592849.5
2021-06-09,35.91,36.14,35.495,35.76,9309991.0,332925278.15999997
2021-06-10,36.16,36.23,34.74,34.94,11526906.0,402750095.64
2021-06-11,35.38,35.66,34.76,34.89,7430403.0,259246760.67
2021-06-14,34.87,35.17,33.755,34.05,10189716.0,346959829.79999995
2021-06-15,34.06,34.72,34.0,34.19,9980632.0,341237808.08
2021-06-16,33.85,34.66,33.5336,34.04,11046120.0,376009924.8
2021-06-17,33.97,34.26,31.89,32.47,14616285.0,474590773.95
2021-06-18,31.79,32.09,31.28,31.29,26844858.0,839975606.8199999
2021-06-21,31.75,33.24,31.67,33.12,11337616.0,375501841.92
2021-06-22,32.84,33.36,32.63,33.02,7829615.0,258533887.3
2021-06-23,33.55,34.08,32.87,32.88,8291031.0,272609099.28000003
2021-06-24,33.05,33.35,32.535,33.26,6424308.0,213672484.08
2021-06-25,33.31,33.485,33.055,33.35,7977644.0,266054427.4
2021-06-28,33.15,33.24,31.77,32.02,11376956.0,364290131.12000006
2021-06-29,32.28,32.655,31.835,31.88,7421184.0,236587345.92
2021-06-30,32.1,32.38,31.87,32.01,11010695.0,352452346.95
2021-07-01,33.0,33.56,32.78,33.07,10023168.0,331466165.76
2021-07-02,32.8,32.93,32.53,32.79,7738279.0,253738168.41
2021-07-06,32.97,32.97,31.0414,31.17,14087969.0,439121993.73
2021-07-07,31.12,31.36,30.07,30.68,10784211.0,330859593.48
2021-07-08,29.96,30.85,29.87,30.53,9108582.0,278085008.46000004
2021-07-09,31.0,31.535,30.64,31.19,8679988.0,270728825.72
2021-07-12,30.77,31.51,30.5,31.22,6036977.0,188474421.94
2021-07-13,30.92,31.13,30.46,30.61,8249112.0,252505318.32
2021-07-14,30.98,31.45,29.33,29.55,12074718.0,356807916.90000004
2021-07-15,29.23,29.61,28.53,28.73,12534587.0,360118684.51
2021-07-16,29.13,29.2,27.6,27.87,12652700.0,352630749.0
2021-07-19,26.53,26.92,25.91,26.65,18989857.0,506079689.0499999
2021-07-20,26.7,27.665,26.44,27.24,12073591.0,328884618.84
2021-07-21,28.03,28.68,28.02,28.43,12647627.0,359572035.61
2021-07-22,28.34,28.46,27.715,27.98,11925545.0,333676749.1
2021-07-23,28.28,28.78,27.62,28.41,12951387.0,367948904.67
2021-07-26,29.07,29.63,28.67,29.46,13148805.0,387363795.3
2021-07-27,29.03,29.44,28.54,29.18,9500166.0,277214843.88
2021-07-28,29.29,29.675,28.81,29.32,7189902.0,210807926.64
2021-07-29,29.86,29.98,29.33,29.64,7420788.0,219952156.32
2021-07-30,29.34,29.55,28.65,28.83,9241567.0,266434376.61
2021-08-02,28.85,29.7101,28.4,28.5,12466270.0,355288695.0
2021-08-03,28.31,28.92,27.69,28.9,8724870.0,252148743.0
2021-08-04,28.51,28.75,27.61,27.63,14324212.0,395777977.56
2021-08-05,27.86,28.305,27.58,27.92,10146948.0,283302788.16
2021-08-06,28.35,28.75,28.16,28.42,6061000.0,172253620.0
2021-08-09,27.78,28.13,27.44,27.99,7758722.0,217166628.78
2021-08-10,28.19,28.62,28.07,28.42,9415988.0,267602378.96
2021-08-11,28.38,29.14,28.155,28.98,7649643.0,221686654.14
2021-08-12,28.74,29.03,28.1,28.55,7434187.0,212246038.85
2021-08-13,28.53,28.63,28.18,28.35,7430986.0,210668453.1
2021-08-16,27.93,27.98,27.37,27.78,9864623.0,274039226.94
2021-08-17,27.48,27.84,26.795,27.19,10539767.0,286576264.73
2021-08-18,27.26,27.54,26.79,26.81,9697081.0,259978741.61
2021-08-19,26.15,26.495,25.895,26.44,18962569.0,501370324.36
2021-08-20,26.1,26.58,25.915,26.46,12082287.0,319697314.02
2021-08-23,26.99,27.6899,26.9,27.49,8298028.0,228112789.72
2021-08-24,27.69,28.47,27.68,28.22,8183241.0,230931061.02
2021-08-25,28.22,28.77,27.915,28.45,6545216.0,186211395.2
2021-08-26,28.25,28.595,28.02,28.13,6150418.0,173011258.34
2021-08-27,28.48,29.295,28.48,29.08,7534292.0,219097211.36
2021-08-30,29.27,29.34,28.24,28.28,6887188.0,194769676.64
2021-08-31,27.96,28.49,27.89,28.04,9872664.0,276829498.56
2021-09-01,28.07,28.395,27.805,27.98,9724392.0,272088488.16
2021-09-02,28.31,28.76,28.21,28.61,9516795.0,272275504.95
2021-09-03,28.54,28.75,27.925,28.09,6175611.0,173472912.99
2021-09-07,27.62,28.2,27.38,27.83,8398264.0,233723687.11999995
2021-09-08,27.96,28.13,26.6,26.66,13279728.0,354037548.48
2021-09-09,26.59,27.24,26.44,26.62,10975179.0,292159264.98
2021-09-10,27.04,27.13,26.48,26.78,7712270.0,206534590.6
2021-09-13,27.27,28.25,27.25,28.11,9971300.0,280293243.0
2021-09-14,28.47,28.49,27.55,27.67,7244937.0,200467406.79
2021-09-15,28.2,29.3,28.03,29.24,12017886.0,351402986.64
2021-09-16,28.99,29.29,28.5588,28.86,8079179.0,233165105.94
2021-09-17,28.7,29.26,28.0,28.31,17377479.0,491956430.4899999
2021-09-20,27.37,27.7077,26.705,27.25,10708249.0,291799785.25
2021-09-21,27.61,27.78,26.64,26.93,10499122.0,282741355.46
2021-09-22,27.51,27.81,27.12,27.15,10547554.0,286366091.09999996
2021-09-23,27.32,29.125,27.2265,28.88,13562314.0,391679628.32
2021-09-24,28.71,29.365,28.57,29.01,7414095.0,215082895.95
2021-09-27,29.8,30.64,29.76,30.19,13468960.0,406627902.4
2021-09-28,30.81,31.575,30.66,30.91,19922786.0,615813315.26
2021-09-29,30.955,30.955,30.14,30.33,13176539.0,399644427.87
2021-09-30,30.27,30.35,29.41,29.64,13498608.0,400098741.12
2021-10-01,29.84,31.63,29.6,30.36,12079600.0,366736656.0
2021-10-04,30.93,31.47,30.645,30.88,16285568.0,502898339.84
2021-10-05,31.26,31.69,30.552,30.59,12264592.0,375173869.28
2021-10-06,30.09,30.54,29.48,29.94,12070707.0,361396967.58
2021-10-07,30.63,31.2,30.55,31.02,15928005.0,494086715.1
2021-10-08,31.39,31.96,31.115,31.66,12039876.0,381182474.16
2021-10-11,32.29,33.24,32.05,32.46,16941817.0,549931379.82
2021-10-12,32.45,33.46,32.22,32.88,18377939.0,604266634.32
2021-10-13,32.46,32.93,31.895,32.76,12505280.0,409672972.7999999
2021-10-14,33.26,33.58,32.94,33.52,8678736.0,290911230.72
2021-10-15,33.98,34.21,33.76,34.0,9352100.0,317971400.0
2021-10-18,34.14,34.64,33.81,34.16,11548259.0,394488527.43999994
2021-10-19,34.4,34.77,33.7,34.54,10417075.0,359805770.5
2021-10-20,34.03,34.76,33.8,34.74,10818746.0,375843236.04
2021-10-21,34.35,34.61,33.85,34.3,12151389.0,416792642.7
2021-10-22,33.85,34.55,33.39,33.91,12076994.0,409530866.54
2021-10-25,34.43,34.7699,34.035,34.36,9768365.0,335641021.4
2021-10-26,34.7,34.99,34.24,34.26,11666544.0,399695797.44
2021-10-27,33.87,34.181,32.49,32.54,13929602.0,453269249.08
2021-10-28,32.52,33.31,32.5,33.3,11364443.0,378435951.9
2021-10-29,33.185,33.185,32.17,32.26,13940597.0,449723659.22
2021-11-01,32.75,33.57,32.58,33.3,8514202.0,283522926.59999996
2021-11-02,33.0,33.59,32.9101,33.2,7293886.0,242157015.2
2021-11-03,32.56,33.37,32.19,32.98,10448753.0,344599873.93999994
2021-11-04,33.62,33.74,32.745,33.15,12516151.0,414910405.65
2021-11-05,33.7,34.06,33.43,33.51,11279242.0,377967399.42
2021-11-08,33.69,34.64,33.56,34.3,14225901.0,487948404.2999999
2021-11-09,34.21,34.29,33.32,34.14,10925519.0,372997218.66
2021-11-10,33.94,34.08,32.49,32.73,10311701.0,337501973.72999996
2021-11-11,32.88,33.125,32.605,32.78,6363857.0,208607232.46
2021-11-12,32.48,32.8705,32.34,32.76,7346227.0,240662396.52
2021-11-15,32.69,32.9467,32.22,32.72,8358899.0,273503175.28
2021-11-16,32.82,33.355,32.47,32.89,7683831.0,252721201.59
2021-11-17,32.51,33.06,31.83,32.06,9716824.0,311521377.44
2021-11-18,31.98,32.33,31.3001,31.86,8862370.0,282355108.2
2021-11-19,31.2,31.21,29.88,30.05,19075054.0,573205372.7
2021-11-22,30.01,30.895,29.95,30.34,12772600.0,387520684.0
2021-11-23,30.92,31.555,30.815,31.18,10916441.0,340374630.38
2021-11-24,30.82,31.93,30.82,31.41,9490665.0,298101787.65
2021-11-26,29.25,29.81,28.41,29.7,12412256.0,368644003.2
