timestamps,open,high,low,close,volume,amount
2021-05-28,25.63,25.95,25.6181,25.9,22598108.0,585290997.1999999
2021-06-01,26.38,26.43,25.83,25.84,26393650.0,682011916.0
2021-06-02,25.96,26.15,25.89,26.15,14630467.0,382586712.0499999
2021-06-03,25.4421,25.49,25.07,25.46,31907440.0,812363422.4
2021-06-04,25.7179,25.83,25.7,25.78,19190078.0,494720210.84
2021-06-07,25.8,25.925,25.715,25.9,17319470.0,448574273.0
2021-06-08,25.7199,25.8,25.51,25.61,23583754.0,603979939.9399999
2021-06-09,25.83,25.97,25.715,25.78,19984094.0,515189943.32000005
2021-06-10,25.74,26.01,25.66,25.97,23525183.0,610949002.51
2021-06-11,26.14,26.21,25.87,25.87,24195906.0,625948088.22
2021-06-14,25.59,25.9889,25.56,25.84,22128418.0,571798321.12
2021-06-15,25.68,25.705,25.405,25.65,18612907.0,477421064.5499999
2021-06-16,25.72,25.81,25.25,25.26,41468972.0,1047506232.72
2021-06-17,24.36,24.47,23.89,24.05,74551091.0,1792953738.55
2021-06-18,24.09,24.22,23.87,23.88,34218802.0,817144991.76
2021-06-21,24.08,24.1399,23.95,24.08,20862845.0,502377307.6
2021-06-22,23.96,24.0,23.843,23.85,16730909.0,399032179.65
2021-06-23,24.05,24.38,23.905,23.93,17928896.0,429038481.28
2021-06-24,24.2001,24.27,23.98,24.04,20361686.0,489494931.44
2021-06-25,24.3283,24.33,24.08,24.18,12567223.0,303875452.14
2021-06-28,24.23,24.3098,24.16,24.21,13779243.0,333595473.03000003
2021-06-29,23.85,23.9699,23.75,23.89,19535680.0,466707395.2
2021-06-30,23.9875,24.25,23.95,24.22,19355248.0,468784106.56
2021-07-01,24.34,24.3581,24.055,24.11,14330798.0,345515539.78
2021-07-02,24.4765,24.63,24.3,24.55,21329418.0,523637211.9
2021-07-06,24.65,24.69,24.11,24.23,24057117.0,582903944.91
2021-07-07,24.39,24.44,24.08,24.24,24988972.0,605732681.28
2021-07-08,24.2435,24.26,23.92,24.01,22491173.0,540013063.73
2021-07-09,24.07,24.29,24.05,24.19,11517302.0,278603535.38
2021-07-12,24.2,24.34,24.05,24.28,13892179.0,337302106.12
2021-07-13,24.15,24.305,24.05,24.08,15858878.0,381881782.2399999
2021-07-14,24.51,24.53,24.15,24.33,26714438.0,649962276.54
2021-07-15,24.38,24.44,24.275,24.38,14002158.0,341372612.03999996
2021-07-16,24.16,24.23,23.72,23.77,32580409.0,774436321.93
2021-07-19,23.4741,23.51,23.18,23.29,36573912.0,851806410.48
2021-07-20,23.24,23.35,23.0,23.14,25619628.0,592838191.92
2021-07-21,23.1901,23.46,23.18,23.42,17170235.0,402126903.7000001
2021-07-22,23.32,23.5985,23.1801,23.56,14353129.0,338159719.24
2021-07-23,23.35,23.41,23.17,23.35,13546157.0,316302765.95000005
2021-07-26,23.35,23.4499,23.32,23.36,10222796.0,238804514.56
2021-07-27,23.3,23.3099,22.69,22.96,27538840.0,632291766.4
2021-07-28,22.9,23.18,22.81,23.17,19388222.0,449225103.74
2021-07-29,23.64,23.91,23.64,23.72,28614115.0,678726807.8
2021-07-30,23.67,23.735,23.49,23.63,13886798.0,328145036.74
2021-08-02,23.47,23.67,23.47,23.53,14364349.0,337993131.97
2021-08-03,23.66,23.72,23.56,23.68,11872483.0,281140397.44
2021-08-04,24.02,24.0699,23.46,23.54,23450798.0,552031784.92
2021-08-05,23.55,23.5701,23.24,23.3,14401730.0,335560309.0
2021-08-06,22.67,22.69,22.42,22.52,35763893.0,805402870.36
2021-08-09,22.09,22.16,21.53,21.75,44597705.0,970000083.75
2021-08-10,21.6,21.7582,21.55,21.62,17390778.0,375988620.36
2021-08-11,21.77,21.86,21.63,21.84,15281491.0,333747763.44
2021-08-12,21.63,21.63,21.32,21.5,17865180.0,384101370.0
2021-08-13,21.76,22.09,21.7,21.97,20165287.0,443031355.39
2021-08-16,22.0,22.15,21.8901,22.1,13552379.0,299507575.90000004
2021-08-17,22.03,22.15,21.84,21.9,17660427.0,386763351.2999999
2021-08-18,21.88,21.88,21.58,21.76,19311723.0,420223092.48
2021-08-19,21.67,21.69,21.43,21.51,16659678.0,358349673.78000003
2021-08-20,21.45,21.54,21.195,21.35,16170046.0,345230482.1
2021-08-23,21.85,21.95,21.72,21.88,17623917.0,385611303.96
2021-08-24,22.1,22.2,21.975,22.08,17851337.0,394157520.96
2021-08-25,22.08,22.13,21.84,22.09,15318934.0,338395252.06
2021-08-26,21.9,21.98,21.71,21.85,15730722.0,343716275.70000005
2021-08-27,21.71,22.3467,21.62,22.33,38221983.0,853496880.39
2021-08-30,22.35,22.3791,22.15,22.26,12848420.0,286005829.20000005
