timestamps,open,high,low,close,volume,amount
2021-05-28,3.56,3.562,3.47,3.474,1745010.0,6062164.74
2021-06-01,3.508,3.546,3.472,3.521,1951600.0,6871583.6
2021-06-02,3.535,3.639,3.484,3.628,4564290.0,16559244.12
2021-06-03,3.622,3.645,3.577,3.641,1080300.0,3933372.3
2021-06-04,3.644,3.677,3.615,3.669,973180.0,3570597.42
2021-06-07,3.679,3.715,3.647,3.7,1671350.0,6183995.0
2021-06-08,3.72,3.739,3.682,3.685,1298710.0,4785746.35
2021-06-09,3.685,3.6975,3.628,3.631,1571470.0,5706007.569999999
2021-06-10,3.641,3.698,3.622,3.641,905270.0,3296088.07
2021-06-11,3.66,3.6735,3.634,3.665,830690.0,3044478.85
2021-06-14,3.665,3.6875,3.61,3.624,1262420.0,4575010.08
2021-06-15,3.617,3.647,3.601,3.618,1961710.0,7097466.779999999
2021-06-16,3.623,3.623,3.552,3.576,1260760.0,4508477.76
2021-06-17,3.552,3.589,3.506,3.539,1746330.0,6180261.87
2021-06-18,3.5,3.519,3.394,3.426,3222090.0,11038880.34
2021-06-21,3.448,3.559,3.443,3.493,2227680.0,7781286.239999999
2021-06-22,3.478,3.506,3.383,3.402,1969870.0,6701497.74
2021-06-23,3.402,3.466,3.394,3.434,1786100.0,6133467.4
2021-06-24,3.474,3.541,3.449,3.537,1268030.0,4485022.11
2021-06-25,3.54,3.611,3.52,3.601,7819660.0,28158595.66
2021-06-28,3.593,3.614,3.503,3.553,1187870.0,4220502.11
2021-06-29,3.559,3.573,3.506,3.539,937050.0,3316219.95
2021-06-30,3.522,3.549,3.483,3.518,2181440.0,7674305.92
2021-07-01,3.535,3.585,3.497,3.546,1229200.0,4358743.2
2021-07-02,3.559,3.592,3.499,3.541,1438940.0,5095286.54
2021-07-06,3.537,3.537,3.459,3.46,1421690.0,4919047.4
2021-07-07,3.462,3.511,3.402,3.428,1466350.0,5026647.8
2021-07-08,3.4,3.447,3.333,3.38,1406180.0,4752888.399999999
2021-07-09,3.429,3.491,3.406,3.456,3849220.0,13302904.32
2021-07-12,3.479,3.48,3.35,3.359,1658020.0,5569289.18
2021-07-13,3.346,3.353,3.288,3.295,2295100.0,7562354.5
2021-07-14,3.323,3.455,3.303,3.445,2559680.0,8818097.6
2021-07-15,3.437,3.467,3.398,3.455,2656750.0,9179071.25
2021-07-16,3.48,3.489,3.4,3.414,2675660.0,9134703.24
2021-07-19,3.354,3.495,3.348,3.493,2979070.0,10405891.51
2021-07-20,3.511,3.592,3.479,3.483,2482830.0,8647696.89
2021-07-21,3.487,3.535,3.459,3.513,1310630.0,4604243.1899999995
2021-07-22,3.488,3.511,3.429,3.442,945380.0,3253997.96
2021-07-23,3.451,3.512,3.4297,3.51,695070.0,2439695.6999999997
2021-07-26,3.518,3.574,3.513,3.528,992490.0,3501504.72
2021-07-27,3.508,3.508,3.44,3.497,1160960.0,4059877.12
2021-07-28,3.492,3.6,3.492,3.571,1181880.0,4220493.48
2021-07-29,3.6,3.75,3.579,3.735,1887890.0,7051269.149999999
2021-07-30,3.727,3.816,3.693,3.804,1869290.0,7110779.159999999
2021-08-02,3.81,3.864,3.73,3.746,1774930.0,6648887.78
2021-08-03,3.743,3.8465,3.723,3.788,1363450.0,5164748.6
2021-08-04,3.76,3.835,3.76,3.78,1933940.0,7310293.199999999
2021-08-05,3.804,3.873,3.804,3.86,1951430.0,7532519.8
2021-08-06,3.88,3.939,3.851,3.895,1962710.0,7644755.45
2021-08-09,3.919,3.9405,3.835,3.89,2980930.0,11595817.7
2021-08-10,3.897,3.941,3.83,3.857,2375300.0,9161532.1
2021-08-11,3.95,3.963,3.813,3.882,3617740.0,14044066.68
2021-08-12,3.867,3.925,3.801,3.833,3219480.0,12340266.84
2021-08-13,3.801,3.817,3.621,3.63,3035520.0,11018937.6
2021-08-16,3.63,3.712,3.57,3.706,2510490.0,9303875.94
2021-08-17,3.691,3.702,3.611,3.657,2037420.0,7450844.94
2021-08-18,3.642,3.66,3.554,3.562,1186270.0,4225493.74
2021-08-19,3.514,3.52,3.43,3.476,1613590.0,5608838.84
2021-08-20,3.464,3.57,3.464,3.564,1556050.0,5545762.2
2021-08-23,3.577,3.601,3.552,3.593,1225780.0,4404227.54
2021-08-24,3.585,3.615,3.542,3.549,1442360.0,5118935.64
2021-08-25,3.549,3.59,3.54,3.559,1473750.0,5245076.25
2021-08-26,3.563,3.6015,3.493,3.497,2488090.0,8700850.73
2021-08-27,3.489,3.591,3.466,3.573,3027190.0,10816149.87
2021-08-30,3.581,3.581,3.5273,3.55,2545540.0,9036667.0
2021-08-31,3.558,3.7,3.5337,3.654,5254270.0,19199102.58
2021-09-01,3.671,3.793,3.638,3.754,1768140.0,6637597.56
2021-09-02,3.754,3.8205,3.731,3.784,1498100.0,5668810.399999999
2021-09-03,3.8,3.865,3.793,3.8,1511880.0,5745144.0
2021-09-07,3.8,3.8,3.658,3.672,1131920.0,4156410.24
2021-09-08,3.643,3.678,3.623,3.633,1187170.0,4312988.61
2021-09-09,3.643,3.68,3.628,3.648,1109320.0,4046799.36
2021-09-10,3.659,3.695,3.656,3.659,1410920.0,5162556.279999999
2021-09-13,3.686,3.733,3.632,3.713,1113970.0,4136170.61
2021-09-14,3.735,3.735,3.578,3.607,1280790.0,4619809.53
2021-09-15,3.621,3.645,3.582,3.644,1220370.0,4447028.28
2021-09-16,3.623,3.668,3.601,3.643,976710.0,3558154.53
2021-09-17,3.621,3.749,3.608,3.725,4647230.0,17310931.75
2021-09-20,3.654,3.669,3.565,3.632,2114790.0,7680917.28
2021-09-21,3.669,3.69,3.633,3.667,2584640.0,9477874.88
2021-09-22,3.688,3.804,3.688,3.774,1637480.0,6179849.5200000005
2021-09-23,3.799,3.875,3.738,3.75,1540120.0,5775450.0
2021-09-24,3.725,3.78,3.681,3.73,1068230.0,3984497.9
2021-09-27,3.721,3.813,3.719,3.788,1399320.0,5300624.16
2021-09-28,3.757,3.774,3.711,3.73,1269430.0,4734973.9
2021-09-29,3.735,3.754,3.658,3.67,900460.0,3304688.1999999997
2021-09-30,3.685,3.7755,3.633,3.657,1273520.0,4657262.64
2021-10-01,3.672,3.754,3.63,3.735,890500.0,3326017.5
2021-10-04,3.78,3.78,3.67,3.688,787670.0,2904926.96
2021-10-05,3.686,3.744,3.658,3.728,758950.0,2829365.6
2021-10-06,3.691,3.721,3.6265,3.652,1431220.0,5226815.44
2021-10-07,3.685,3.779,3.658,3.73,1412940.0,5270266.2
2021-10-08,3.736,3.772,3.676,3.688,513270.0,1892939.76
2021-10-11,3.693,3.7223,3.68,3.699,595360.0,2202236.64
2021-10-12,3.715,3.7285,3.579,3.588,1016530.0,3647309.64
2021-10-13,3.616,3.617,3.542,3.58,1110580.0,3975876.4
2021-10-14,3.618,3.634,3.57,3.596,1636050.0,5883235.8
2021-10-15,3.65,3.671,3.539,3.544,3293740.0,11673014.56
2021-10-18,3.525,3.5652,3.48,3.497,1287430.0,4502142.71
2021-10-19,3.503,3.533,3.478,3.524,1291190.0,4550153.56
2021-10-20,3.539,3.551,3.497,3.535,1296350.0,4582597.25
2021-10-21,3.536,3.557,3.486,3.537,1202820.0,4254374.34
2021-10-22,3.532,3.623,3.511,3.53,1024410.0,3616167.3
2021-10-25,3.525,3.549,3.51,3.533,1135350.0,4011191.55
2021-10-26,3.527,3.585,3.482,3.545,3700240.0,13117350.8
2021-10-27,3.534,3.589,3.504,3.531,1073260.0,3789681.06
2021-10-28,3.534,3.609,3.531,3.544,1831510.0,6490871.44
2021-10-29,3.55,3.6175,3.534,3.539,3371190.0,11930641.41
2021-11-01,3.545,3.672,3.545,3.665,1540830.0,5647141.95
2021-11-02,3.668,3.706,3.655,3.706,1734900.0,6429539.4
2021-11-03,4.141,4.4,4.026,4.187,8586550.0,35951884.85
2021-11-04,4.191,4.714,4.191,4.697,11790020.0,55377723.94
2021-11-05,4.6,4.706,4.474,4.658,7256640.0,33801429.120000005
2021-11-08,4.656,4.7,4.492,4.504,2578100.0,11611762.4
2021-11-09,4.481,4.55,4.465,4.484,1801560.0,8078195.04
2021-11-10,4.453,4.475,4.334,4.382,2333130.0,10223775.66
2021-11-11,4.372,4.461,4.3715,4.431,1178380.0,5221401.78
2021-11-12,4.461,4.483,4.331,4.369,938210.0,4099039.49
2021-11-15,4.363,4.363,4.23,4.309,1584010.0,6825499.09
2021-11-16,4.281,4.402,4.258,4.401,2559990.0,11266515.99
2021-11-17,4.379,4.415,4.219,4.25,1447280.0,6150940.0
2021-11-18,4.256,4.293,4.19,4.286,1600210.0,6858500.06
2021-11-19,4.239,4.308,4.194,4.218,1849770.0,7802329.86
2021-11-22,4.229,4.349,4.2125,4.217,1683770.0,7100458.09
2021-11-23,4.201,4.266,4.164,4.178,1326740.0,5543119.72
2021-11-24,4.166,4.2307,4.136,4.196,1079230.0,4528449.08
2021-11-26,4.123,4.146,3.936,4.043,1883600.0,7615394.800000001
2021-11-29,4.062,4.108,3.995,4.063,2071860.0,8417967.18
2021-11-30,4.024,4.167,3.976,4.14,3548010.0,14688761.4
2021-12-01,4.2,4.316,4.171,4.243,3350760.0,14217274.680000002
2021-12-02,4.25,4.329,4.204,4.284,1762220.0,7549350.48
2021-12-03,4.289,4.35,4.188,4.323,1888560.0,8164244.880000001
2021-12-06,4.368,4.3945,4.27,4.27,2011860.0,8590642.2
2021-12-07,4.321,4.411,4.305,4.388,1664340.0,7303123.92
2021-12-08,4.422,4.484,4.318,4.373,1528660.0,6684830.180000001
2021-12-09,4.343,4.377,4.241,4.244,1489970.0,6323432.68
2021-12-10,4.338,4.351,4.215,4.287,2192210.0,9398004.27
2021-12-13,4.28,4.318,4.186,4.191,1458800.0,6113830.8
2021-12-14,4.179,4.213,4.113,4.163,1409210.0,5866541.23
2021-12-15,4.161,4.25,4.132,4.238,2239420.0,9490661.96
2021-12-16,4.26,4.288,4.141,4.16,2795860.0,11630777.6
2021-12-17,4.141,4.18,4.064,4.094,4052060.0,16589133.64
2021-12-20,4.034,4.148,3.993,4.128,3541100.0,14617660.8
2021-12-21,4.179,4.317,4.179,4.263,1730750.0,7378187.25
2021-12-22,4.294,4.2982,4.223,4.259,1888180.0,8041758.620000001
2021-12-23,4.266,4.3145,4.263,4.272,1260090.0,5383104.48
2021-12-27,4.309,4.48,4.2802,4.476,3246650.0,14532005.4
2021-12-28,4.488,4.497,4.3706,4.417,1408320.0,6220549.4399999995
2021-12-29,4.421,4.558,4.403,4.555,2500360.0,11389139.8
2021-12-30,4.555,4.641,4.468,4.468,1363340.0,6091403.12
2021-12-31,4.457,4.491,4.381,4.395,924830.0,4064627.85
2022-01-03,4.461,4.562,4.42,4.562,2522150.0,11506048.3
2022-01-04,4.669,4.753,4.65,4.714,3054620.0,14399478.680000002
2022-01-05,4.738,4.799,4.52,4.536,2963130.0,13440757.68
2022-01-06,4.541,4.6085,4.493,4.51,1548200.0,6982382.0
2022-01-07,4.51,4.5415,4.405,4.408,1359900.0,5994439.2
2022-01-10,4.388,4.4195,4.268,4.418,1694550.0,7486521.9
2022-01-11,4.4,4.51,4.384,4.491,2052600.0,9218226.6
2022-01-12,4.534,4.537,4.437,4.484,1860610.0,8342975.24
2022-01-13,4.519,4.565,4.485,4.529,1677210.0,7596084.09
2022-01-14,4.55,4.591,4.5462,4.557,3038010.0,13844211.57
2022-01-18,4.55,4.668,4.53,4.617,2580730.0,11915230.41
2022-01-19,4.617,4.617,4.208,4.215,4047150.0,17058737.25
2022-01-20,4.215,4.382,4.163,4.23,2330650.0,9858649.500000002
2022-01-21,4.155,4.323,4.1,4.101,2123760.0,8709539.76
2022-01-24,4.035,4.105,3.894,4.094,2353910.0,9636907.54
2022-01-25,4.034,4.068,3.87,3.945,1777470.0,7012119.149999999
2022-01-26,4.014,4.078,3.84,3.901,1660700.0,6478390.699999999
2022-01-27,3.971,4.007,3.85,3.882,1562820.0,6066867.24
2022-01-28,3.875,4.017,3.816,4.015,1900330.0,7629824.949999999
2022-01-31,3.991,4.052,3.93,4.052,2438080.0,9879100.159999998
2022-02-01,4.08,4.175,3.9715,4.17,6249120.0,26058830.4
2022-02-02,4.352,4.401,4.094,4.381,8629360.0,37805226.16
2022-02-03,4.341,4.341,3.869,3.931,6118700.0,24052609.7
2022-02-04,3.918,3.982,3.808,3.82,3541610.0,13528950.2
2022-02-07,3.84,3.871,3.721,3.801,2829270.0,10754055.27
2022-02-08,3.8,3.861,3.769,3.85,2083560.0,8021706.0
2022-02-09,3.9,3.9,3.806,3.865,2202950.0,8514401.75
2022-02-10,3.826,3.915,3.806,3.857,2870910.0,11073099.87
2022-02-11,3.842,3.879,3.761,3.806,1849460.0,7039044.76
2022-02-14,3.775,3.835,3.767,3.807,1582260.0,6023663.82
2022-02-15,3.841,3.979,3.841,3.973,1994920.0,7925817.16
2022-02-16,3.938,3.996,3.901,3.976,1383320.0,5500080.32
2022-02-17,3.923,3.946,3.8835,3.885,1297250.0,5039816.25
2022-02-18,3.882,3.937,3.8545,3.916,2712630.0,10622659.08
2022-02-22,3.893,4.019,3.833,3.918,3737210.0,14642388.78
