timestamps,open,high,low,close,volume,amount
2025-02-24,52.0,53.0,46.21,48.6,33848474.0,1645035836.4
2025-02-25,48.3,55.01,47.81,48.16,8198903.0,394859168.48
2025-02-26,46.15,49.91,45.3,46.58,8389104.0,390764464.32
2025-02-27,46.04,47.87,41.58,45.16,9676119.0,436973534.04
2025-02-28,45.23,48.7,43.75,46.85,7713908.0,361396589.8
2025-03-03,48.49,50.88,47.605,50.31,4812952.0,242139615.12
2025-03-04,46.69,50.1,45.0965,48.69,6074695.0,295776899.55
2025-03-05,47.6,49.3975,46.5,48.47,5071821.0,245831163.87
2025-03-06,47.41,49.06,45.24,46.5,4157319.0,193315333.5
2025-03-07,49.2,51.13,47.16,51.0,7825880.0,399119880.0
2025-03-10,50.49,53.67,49.55,53.0,5223837.0,276863361.0
2025-03-11,51.84,53.19,49.82,52.16,3153379.0,164480248.64
2025-03-12,53.0,53.1,50.38,50.44,2177508.0,109833503.52
2025-03-13,50.0,50.87,47.86,48.44,3547478.0,171839834.32
2025-03-14,49.43,54.94,49.43,54.82,4847708.0,265751352.56
2025-03-17,54.8,58.36,54.745,55.65,2930729.0,163095068.85
2025-03-18,55.14,57.89,54.57,56.42,2587306.0,145975804.52
2025-03-19,56.3,57.605,55.67,56.33,2520663.0,141988946.79
2025-03-20,56.51,57.17,54.92,56.21,2701980.0,151878295.8
2025-03-21,55.1,55.45,51.915,53.96,6372291.0,343848822.36
2025-03-24,54.61,55.685,51.84,52.99,3563069.0,188807026.31
2025-03-25,52.13,53.18,51.76,52.2,3079132.0,160730690.4
2025-03-26,53.53,53.7,51.98,52.62,1242406.0,65375403.72
2025-03-27,51.95,54.24,51.71,52.88,1618076.0,85563858.88000001
2025-03-28,52.21,52.89,48.455,48.97,3987293.0,195257738.21
2025-03-31,47.41,48.395,47.02,47.61,2113393.0,100618640.73
2025-04-01,47.55,49.36,46.58,48.11,2115570.0,101780072.7
2025-04-02,46.92,48.71,46.51,47.67,1725257.0,82243001.19
2025-04-03,44.8,44.8,37.55,38.26,7372389.0,282067603.14
2025-04-04,35.72,35.87,28.36,30.11,11428573.0,344114333.03
2025-04-07,29.22,32.98,27.885,31.48,6238614.0,196391568.72
2025-04-08,33.0,35.84,31.655,32.35,5979813.0,193446950.55
2025-04-09,31.92,39.65,31.26,36.58,5601561.0,204905101.38
2025-04-10,34.6,35.03,30.51,31.075,4153445.0,129068303.375
2025-04-11,30.56,32.05,28.27,31.97,4856278.0,155255207.66
2025-04-14,33.75,36.17,32.48,33.55,4102268.0,137631091.39999998
2025-04-15,33.3,34.56,32.89,33.23,1936788.0,64359465.239999995
2025-04-16,32.3,33.12,30.75,32.03,2321109.0,74345121.27
2025-04-17,31.75,32.66,30.39,31.29,2057341.0,64374199.89
2025-04-21,31.07,31.07,28.94,29.81,2579363.0,76890811.03
2025-04-22,30.26,31.12,29.315,29.62,2883663.0,85414098.06
2025-04-23,31.985,32.7777,30.2,30.36,2750177.0,83495373.72
2025-04-24,30.81,32.98,30.31,32.29,2590565.0,83649343.85
2025-04-25,32.26,33.37,31.6,32.85,1322079.0,43430295.15
2025-04-28,32.63,33.0,31.66,32.27,1421051.0,45857315.77
2025-04-29,31.39,33.04,31.39,32.94,1385943.0,45652962.419999994
2025-04-30,31.84,32.47,31.01,32.11,2322137.0,74563819.07
2025-05-01,32.48,34.19,32.48,32.59,1910345.0,62258143.55
2025-05-02,33.11,35.41,33.05,34.4,2193700.0,75463280.0
2025-05-05,33.83,35.23,33.525,34.61,1993778.0,69004656.58
2025-05-06,34.02,34.43,33.46,33.83,1707584.0,57767566.72
