timestamps,open,high,low,close,volume,amount
2021-05-28,238.2,244.22,237.0,238.03,5963666.0,1419531417.98
2021-06-01,239.5,243.56,235.51,240.81,3820255.0,919955606.55
2021-06-02,240.74,248.2,239.6,243.18,4043688.0,983344047.84
2021-06-03,240.0,243.23,233.36,238.43,3637504.0,867290078.72
2021-06-04,240.73,244.86,237.5,242.56,2665021.0,646427493.76
2021-06-07,244.65,252.55,240.005,250.57,7456094.0,1868273473.58
2021-06-08,252.99,255.99,246.645,250.32,3673164.0,919466412.48
2021-06-09,250.35,255.0,245.72,247.01,4251618.0,1050192162.18
2021-06-10,247.3,250.7,243.5417,248.8,3093529.0,769670015.2
2021-06-11,239.0,242.53,233.75,240.6,7182929.0,1728212717.4
2021-06-14,242.7,248.1,241.27,244.2,3890130.0,949969746.0
2021-06-15,244.72,247.358,239.5154,241.41,2682262.0,647524869.42
2021-06-16,239.81,243.7954,235.5822,238.84,5151595.0,1230406949.8
2021-06-17,234.5,248.68,231.52,245.53,6657195.0,1634541088.35
2021-06-18,246.57,250.0,243.05,249.4,6474355.0,1614704137.0
2021-06-21,247.22,250.0,241.65,248.29,4832224.0,1199792896.96
2021-06-22,247.0,252.82,245.36,249.29,5926264.0,1477358352.56
2021-06-23,248.1,250.1,244.47,249.0,2720094.0,677303406.0
2021-06-24,250.0,253.32,247.37,251.25,3428522.0,861416152.5
2021-06-25,252.0,253.27,247.02,247.09,9238970.0,2282857097.3
2021-06-28,248.43,249.48,243.62,247.67,3113464.0,771111628.88
2021-06-29,248.0,251.0,245.08,245.8,2314640.0,568938512.0
2021-06-30,244.29,245.17,238.64,241.8,3049085.0,737268753.0
2021-07-01,240.42,241.64,235.7161,236.75,2369519.0,560983623.25
2021-07-02,239.5,241.21,236.9,237.24,1351657.0,320667106.68
2021-07-06,235.05,241.09,234.78,239.05,2017767.0,482347201.35
2021-07-07,242.0,249.24,241.03,248.75,3718554.0,924990307.5
2021-07-08,243.14,254.0,241.23,250.3,3868392.0,968258517.6
2021-07-09,250.0,272.0,249.82,269.49,9891734.0,2665723395.6600003
2021-07-12,267.5,269.35,258.88,267.06,4630328.0,1236575395.68
2021-07-13,266.44,275.0,263.72,264.62,6268817.0,1658854354.54
2021-07-14,268.91,269.6765,252.06,252.54,3311503.0,836286967.62
2021-07-15,254.59,257.63,247.1993,251.0,3373315.0,846702065.0
2021-07-16,251.56,253.42,245.5,250.82,2272151.0,569900913.8199999
2021-07-19,245.94,254.35,242.01,252.28,2324042.0,586309315.76
2021-07-20,253.0,259.1899,248.63,256.27,1683389.0,431402099.03
2021-07-21,255.67,260.5699,251.14,259.3,1954253.0,506737802.9
2021-07-22,261.9,269.17,261.36,267.3,3001041.0,802178259.3000001
2021-07-23,267.34,271.61,264.27,264.92,2661392.0,705055968.64
2021-07-26,262.69,269.75,262.21,268.8,2507635.0,674052288.0
2021-07-27,268.5,269.36,255.0,262.68,2971362.0,780517370.16
2021-07-28,262.51,270.98,261.1155,269.36,1722150.0,463878324.0
2021-07-29,270.0,274.99,267.35,268.26,2208292.0,592396411.92
2021-07-30,265.0,272.88,264.1,265.72,1765506.0,469130254.32000005
2021-08-02,266.04,271.09,261.5401,268.29,1912241.0,513035137.8900001
2021-08-03,272.0,285.84,271.24,284.58,7741413.0,2203051311.54
2021-08-04,278.06,278.93,269.9,273.37,4787011.0,1308625197.07
2021-08-05,270.65,278.47,268.41,276.99,2539675.0,703464578.25
2021-08-06,275.71,278.4028,269.69,277.48,3019606.0,837880272.8800001
2021-08-09,277.76,281.98,276.5001,280.0,2736825.0,766311000.0
2021-08-10,278.0,280.48,272.66,274.49,2450950.0,672761265.5
2021-08-11,276.1,277.99,270.73,275.87,1746996.0,481943786.52
2021-08-12,278.69,287.98,275.3,286.28,4200252.0,1202448142.56
2021-08-13,285.6,291.77,282.75,291.52,3231121.0,941936393.92
2021-08-16,288.41,292.2,276.44,282.17,3109899.0,877520200.83
2021-08-17,274.5,281.53,271.38,278.0,2168140.0,602742920.0
2021-08-18,279.96,286.21,274.55,280.0,2345558.0,656756240.0
