timestamps,open,high,low,close,volume,amount
2021-05-28,256.86,257.53,253.56,254.34,807220.0,205308334.8
2021-06-01,253.92,255.81,250.81,253.82,866920.0,220041634.4
2021-06-02,255.36,256.85,252.24,253.05,672627.0,170208262.35
2021-06-03,249.51,252.6,247.87,250.59,662729.0,166073260.11
2021-06-04,251.95,256.25,251.86,255.88,454867.0,116391367.96
2021-06-07,255.11,255.25,250.76,252.59,470006.0,118718815.54
2021-06-08,256.3,256.91,254.45,254.99,595651.0,151885048.49
2021-06-09,256.53,258.57,255.12,256.06,467655.0,119747739.3
2021-06-10,256.37,262.42,255.3,262.07,790634.0,207201452.38
2021-06-11,261.62,264.0,260.86,263.07,492944.0,129678778.08
2021-06-14,263.14,266.5,261.95,266.49,528133.0,140742163.17000002
2021-06-15,266.49,267.22,263.73,264.09,660262.0,174368591.57999998
2021-06-16,264.4,266.42,258.175,261.41,861613.0,225234254.33
2021-06-17,261.3,266.62,257.68,265.14,861684.0,228466895.76
2021-06-18,266.32,268.51,263.36,265.86,1376767.0,366027274.62
2021-06-21,265.29,267.39,262.58,264.8,861991.0,228255216.8
2021-06-22,265.13,268.91,264.32,268.46,499297.0,134041272.62
2021-06-23,268.61,270.58,267.505,268.86,543161.0,146034266.46
2021-06-24,272.2,274.31,271.52,273.8,796925.0,218198065.0
2021-06-25,273.45,275.29,267.54,268.97,2959143.0,795920692.71
2021-06-28,270.95,274.79,270.19,274.03,960763.0,263277884.89
2021-06-29,271.58,276.28,270.68,276.18,474188.0,130961241.84
2021-06-30,276.24,277.53,274.02,275.79,859463.0,237031300.77
2021-07-01,276.61,278.1,274.89,277.11,1011544.0,280308957.84000003
2021-07-02,279.0,280.96,278.89,279.16,535874.0,149594585.84
2021-07-06,279.95,281.19,275.95,279.29,686206.0,191650473.74
2021-07-07,281.29,282.465,276.82,279.86,544053.0,152258672.58
2021-07-08,276.66,280.03,275.36,278.86,867276.0,241848585.36
2021-07-09,278.93,281.34,276.3274,280.75,478541.0,134350385.75
2021-07-12,282.03,283.09,277.74,278.56,458233.0,127645384.48
2021-07-13,278.5,279.54,276.97,278.09,595021.0,165469389.89
2021-07-14,279.72,281.12,277.64,279.08,753368.0,210249941.44
2021-07-15,280.06,280.06,276.19,277.68,716485.0,198953554.8
2021-07-16,277.5,279.77,276.2,276.56,458014.0,126668351.84
2021-07-19,273.88,275.06,272.18,274.48,819385.0,224904794.8
2021-07-20,275.25,279.62,273.28,277.89,893455.0,248282209.95
2021-07-21,277.73,278.26,274.88,278.22,889520.0,247482254.40000004
2021-07-22,278.9,282.22,278.055,281.6,558579.0,157295846.4
2021-07-23,282.94,286.11,281.49,285.07,401397.0,114426242.79
2021-07-26,284.35,286.03,282.91,283.89,498673.0,141568277.97
2021-07-27,283.95,284.11,277.22,281.16,531824.0,149527635.84
2021-07-28,282.37,284.49,281.84,283.69,526076.0,149242500.44
2021-07-29,283.52,287.34,283.5,285.53,359297.0,102590072.41
2021-07-30,284.08,288.35,283.56,287.99,523033.0,150628273.67000002
2021-08-02,289.82,290.9,286.445,287.61,476969.0,137181054.09
2021-08-03,288.2,290.237,286.01,289.2,406212.0,117476510.4
2021-08-04,289.78,292.54,287.93,291.49,418105.0,121873426.45
2021-08-05,292.09,293.37,290.25,293.2,358237.0,105035088.4
2021-08-06,292.33,293.47,289.6,292.43,401410.0,117384326.3
2021-08-09,293.79,293.93,290.71,291.4,384833.0,112140336.2
2021-08-10,292.82,293.385,286.635,288.25,432765.0,124744511.25
2021-08-11,290.04,290.78,287.85,288.95,372768.0,107711313.6
2021-08-12,288.89,292.7,287.63,292.19,506489.0,147991020.91
2021-08-13,292.56,295.75,291.62,293.12,806462.0,236390141.44
2021-08-16,292.49,294.59,290.77,294.42,715002.0,210510888.84
2021-08-17,292.05,293.75,288.12,291.62,746002.0,217549103.24
2021-08-18,288.95,294.5,288.95,290.63,877112.0,254915060.56
2021-08-19,302.6,317.96,302.11,315.99,2489920.0,786789820.8000001
2021-08-20,315.34,317.67,310.535,316.88,1322316.0,419015494.08
2021-08-23,316.43,321.62,315.06,320.92,726460.0,233135543.2
2021-08-24,322.21,325.08,321.17,324.95,627693.0,203968840.35
2021-08-25,324.35,327.58,323.865,325.01,521573.0,169516440.73
2021-08-26,324.77,327.615,322.88,326.51,823021.0,268724586.71
2021-08-27,327.0,333.46,327.0,331.81,512401.0,170019775.81
2021-08-30,331.94,334.7724,331.94,334.28,452376.0,151220249.28
2021-08-31,335.01,335.01,330.805,332.24,830443.0,275906382.32
2021-09-01,331.69,335.0,331.46,333.63,693426.0,231347716.38
2021-09-02,334.92,338.12,334.53,337.74,706937.0,238760902.38
2021-09-03,337.04,340.66,335.9246,336.64,732494.0,246586780.16
2021-09-07,336.5,338.0,331.77,336.32,657629.0,221173785.28
2021-09-08,335.8,338.68,333.86,336.59,448558.0,150980137.22
2021-09-09,336.39,336.81,332.6,333.55,523168.0,174502686.4
2021-09-10,335.58,336.78,332.08,332.49,491620.0,163458733.8
2021-09-13,334.49,336.525,327.52,331.59,538555.0,178579452.45
2021-09-14,332.75,334.07,330.4,332.59,621352.0,206655461.68
2021-09-15,333.0,336.6375,331.74,336.09,592594.0,199164917.46
2021-09-16,335.5,336.85,333.2,335.38,738583.0,247705966.54
2021-09-17,329.06,331.325,319.8313,325.54,2041713.0,664659250.0200001
2021-09-20,321.67,324.0,317.44,321.3,909790.0,292315527.0
2021-09-21,323.36,323.61,317.7,317.9,933942.0,296900161.79999995
2021-09-22,319.0,321.92,314.03,320.52,840624.0,269436804.47999996
2021-09-23,322.46,324.79,320.47,322.88,441624.0,142591557.12
2021-09-24,320.59,322.59,318.19,321.94,370137.0,119161905.78
2021-09-27,318.07,318.945,312.38,313.4,610656.0,191379590.4
2021-09-28,307.36,308.96,299.64,301.93,1005914.0,303715614.02
2021-09-29,303.22,305.59,301.15,302.62,681973.0,206378669.26
2021-09-30,305.0,306.73,298.31,299.41,729392.0,218387258.72000003
2021-10-01,299.41,303.95,295.85,302.49,623386.0,188568031.14
2021-10-04,299.45,300.35,287.02,289.25,893872.0,258552476.0
2021-10-05,291.31,295.34,289.36,293.35,714486.0,209594468.1
2021-10-06,290.0,294.83,288.8201,294.57,707667.0,208457468.19
2021-10-07,298.24,302.1,297.3,298.37,760493.0,226908296.41
2021-10-08,299.15,299.29,291.01,291.66,643921.0,187805998.86
2021-10-11,290.63,293.7578,288.53,288.74,356442.0,102919063.08
2021-10-12,291.35,295.0,290.46,292.04,576350.0,168317254.0
2021-10-13,295.8,299.48,295.39,296.3,616162.0,182568800.6
2021-10-14,301.13,306.23,300.54,304.83,598929.0,182571527.07
2021-10-15,305.63,306.66,304.1422,306.26,418548.0,128184510.48
2021-10-18,305.2,307.46,303.9,307.22,420207.0,129095994.54
2021-10-19,308.31,312.02,307.25,311.0,513407.0,159669577.0
2021-10-20,314.0,316.44,312.68,315.5,562846.0,177577913.0
2021-10-21,315.7,322.215,314.21,321.01,625493.0,200789507.93
2021-10-22,322.59,326.94,320.5,321.12,520153.0,167031531.36
2021-10-25,321.5,325.42,321.13,324.0,427946.0,138654504.0
2021-10-26,326.0,332.4,325.55,328.03,665539.0,218316758.17
2021-10-27,327.47,328.56,318.86,319.13,822514.0,262488892.82
2021-10-28,320.55,327.08,320.55,326.78,554132.0,181079254.96
2021-10-29,325.63,333.64,325.39,333.18,578579.0,192770951.22
2021-11-01,333.45,335.73,329.3,329.84,547728.0,180662603.52
2021-11-02,330.91,334.6,329.83,333.19,532277.0,177349373.63
2021-11-03,333.3,334.04,328.27,333.41,460591.0,153565645.31
2021-11-04,333.84,341.85,331.3794,341.72,634177.0,216710964.44000003
2021-11-05,343.37,345.12,340.5125,340.75,515772.0,175749309.0
2021-11-08,341.74,344.12,338.61,342.91,370523.0,127056041.93
