timestamps,open,high,low,close,volume,amount
2026-01-27,26.26,28.71,25.11,26.06,549426.0,14318041.56
2026-01-28,29.55,31.625,28.1,31.3,3173304.0,99324415.2
2026-01-29,32.41,33.5,28.72,32.99,7958132.0,262538774.68
2026-01-30,46.03,49.01,31.79,36.96,11480492.0,424318984.32
2026-02-02,38.92,49.43,38.0,48.39,10609183.0,513378365.37
2026-02-03,53.0,56.88,45.6,52.8,10191274.0,538099267.1999999
2026-02-04,46.45,47.745,35.54,36.03,12287823.0,442730262.69
2026-02-05,33.2,40.97,33.15,34.82,13878888.0,483262880.16
2026-02-06,39.57,39.63,34.73,37.59,10621174.0,399249930.66
2026-02-09,36.7,38.2,31.9,35.7,6017546.0,214826392.2
2026-02-10,34.4,35.3,30.38,30.59,5999278.0,183517914.02
2026-02-11,34.75,38.4996,34.23,36.89,10125278.0,373521505.42
2026-02-12,42.1,45.38,38.985,40.85,11839294.0,483635159.9
2026-02-13,38.27,44.75,35.11,40.39,10816050.0,436860259.5
2026-02-17,38.14,40.4951,35.42,35.73,7612231.0,271985013.63
2026-02-18,34.62,38.7,33.7,36.83,10254621.0,377677691.43
2026-02-19,36.48,40.86,35.49,39.15,6939105.0,271665960.75
2026-02-20,38.61,42.88,38.5326,42.76,6441580.0,275441960.8
2026-02-23,44.21,48.359,42.18,44.93,8652091.490693,388738470.6768364
2026-02-24,47.3,47.36,37.76,41.27,17577558.679301,725425846.6947523
2026-02-25,41.8,44.09,39.353,40.41,9811200.837311,396470625.83573747
2026-02-26,42.0,43.8,37.1237,42.67,16330433.997007,696819618.6522887
2026-02-27,39.75,44.0,38.8,40.53,7286585.865386,295325325.1240946
2026-03-02,38.22,42.3,35.8201,38.58,8696122.007509,335496387.0496972
2026-03-03,33.9,35.25,30.79,31.75,9641939.575751,306131581.5300942
2026-03-04,34.26,36.52,33.02,35.27,8078905.4586,284942995.524822
2026-03-05,35.0,36.0899,30.91,31.69,7241816.413602,229493162.1470474
2026-03-06,29.665,32.13,27.25,27.25,7585163.055513,206695693.2627293
2026-03-09,26.28,33.7225,26.2,33.645,13247982.756187,445728379.8319116
2026-03-10,34.95,39.02,34.5,37.01,11092311.007107,410526430.37303007
2026-03-11,37.9,41.46,37.05,41.44,8318064.698741,344700601.115827
2026-03-12,40.26,40.9354,36.0,36.82,7476574.602212,275287476.8534458
2026-03-13,38.35,42.98,37.33,42.0,10226922.94288,429530763.60096
2026-03-16,45.08,49.02,45.0,47.25,8895482.351094,420311541.0891915
2026-03-17,49.0,49.4,45.91,49.32,7718152.814071,380659296.7899817
2026-03-18,50.62,54.9,48.6302,53.65,10236798.476304,549204238.2537096
2026-03-19,47.04,57.0,45.1,56.23,9642940.637226,542222552.0312179
2026-03-20,56.3,57.2,45.7,47.22,10598487.864871,500460596.97920865
2026-03-23,48.13,52.4477,43.18,46.37,14521584.436951,673365870.3414178
2026-03-24,44.59,47.39,43.3232,46.22,7571531.72575,349956196.364165
2026-03-25,40.0,44.21,37.87,42.92,17437733.594944,748427525.8949965
2026-03-26,39.75,40.62,33.43,33.43,10400548.750525,347690344.73005074
2026-03-27,33.19,37.42,33.01,34.78,11290625.419614,392687952.0941749
2026-03-30,37.85,38.8179,28.4,29.92,11670771.128631,349189472.16863954
2026-03-31,31.635,36.6,30.58,36.42,13054326.506936,475438571.3826092
2026-04-01,38.49,45.1699,37.68,43.16,16110342.205921,695322369.6075503
2026-04-02,36.8,44.88,36.66,44.11,12036985.054693,530951410.7625082
2026-04-06,46.63,48.44,45.36,46.89,9231845.425068,432881231.9814385
2026-04-07,45.98,48.6,42.13,45.13,10097851.752125,455716049.5734013
2026-04-08,54.49,57.48,51.17,53.9,11662798.043993,628624814.5712227
2026-04-09,59.07,64.3083,57.45,63.88,9906896.661838,632852558.7582115
2026-04-10,67.29,67.29,61.36,63.78,8464266.27713,539850903.1553514
2026-04-13,66.125,79.0,66.0669,78.91,10619185.346458,837959915.6890007
2026-04-14,80.69,81.07,70.51,77.39,10749075.898977,831870983.82183
2026-04-15,74.84,76.2175,66.0,68.8,8425983.149635,579707640.694888
2026-04-16,69.71,74.6699,69.0,73.0,7077759.923654,516676474.426742
2026-04-17,73.54,74.74,67.7785,73.12,7472651.505018,546400278.0469161
2026-04-20,75.0,78.0,69.895,71.99,5093459.76602,366678168.55577976
2026-04-21,74.0,75.9,69.78,70.47,4895826.539974,345008896.27196777
2026-04-22,73.23,82.39,69.2,82.12,8955489.288889,735424780.4035647
2026-04-23,77.06,82.0049,73.22,74.36,6891078.135242,512420570.13659513
2026-04-24,77.98,85.3,76.66,83.49,7096331.877747,592472748.473097
2026-04-27,88.7,96.9,86.53,96.84,8049175.333407,779482139.2871339
2026-04-28,89.45,93.861,80.51,84.5,8430496.649073,712376966.8466685
2026-04-29,96.0,101.3,94.25,95.0,8126377.896695,772005900.186025
2026-04-30,103.51,104.0,97.0,101.33,11722149.089667,1187805367.2559571
2026-05-01,93.67,117.5,91.69,117.02,17633615.54263,2063485690.7985623
2026-05-04,124.2,134.545,120.69,130.56,10931569.305917,1427225688.5805235
2026-05-05,138.0,164.38,137.0,161.61,12830490.525983,2073535573.9041128
2026-05-06,168.855,170.37,146.0201,162.6,14730157.68972,2395123640.3484716
2026-05-07,154.76,160.54,135.4,146.16,10710303.875967,1565418014.5113366
