timestamps,open,high,low,close,volume,amount
2021-06-01,21.9735,22.9,20.43,22.65,9159412.0,207460681.8
2021-06-02,23.66,24.95,22.65,23.21,14678906.0,340697408.26
2021-06-03,22.84,23.5,22.35,22.68,5878965.0,133334926.2
2021-06-04,22.8707,22.8707,20.0,20.82,13434192.0,279699877.44
2021-06-07,20.7032,21.466,20.31,21.21,4755359.0,100861164.39
2021-06-08,21.02,24.2,20.65,23.89,11306944.0,270122892.16
2021-06-09,24.25,24.46,22.23,22.71,9407273.0,213639169.83
2021-06-10,22.83,23.4,21.43,23.02,6496517.0,149549821.34
2021-06-11,23.1,23.3,22.1583,22.4,2769374.0,62033977.599999994
2021-06-14,22.25,22.58,21.39,21.82,4099761.0,89456785.02
2021-06-15,21.59,21.68,20.69,20.8,3531161.0,73448148.8
2021-06-16,21.21,22.64,21.1,21.83,9596000.0,209480679.99999997
2021-06-17,22.0,23.27,21.4,22.7,7359620.0,167063374.0
2021-06-18,22.72,23.68,22.22,23.04,5991468.0,138043422.72
2021-06-21,22.82,23.2,22.22,22.51,3590288.0,80817382.88000001
2021-06-22,22.66,22.82,21.09,21.2,6586293.0,139629411.6
2021-06-23,21.33,21.7,20.9,21.4,5328526.0,114030456.4
2021-06-24,21.52,21.65,20.81,20.87,6475128.0,135135921.36
2021-06-25,19.77,19.8999,18.5,18.5,36679200.0,678565200.0
2021-06-28,18.17,19.97,17.65,19.26,56820953.0,1094371554.78
2021-06-29,20.52,20.99,18.64,18.87,57158301.0,1078577139.87
2021-06-30,19.326,19.8,19.0,19.17,27479590.0,526783740.3000001
2021-07-01,19.23,19.24,18.16,18.25,19956831.0,364212165.75
2021-07-02,18.275,18.58,17.75,18.08,24439099.0,441858909.92
2021-07-06,18.085,18.085,17.22,17.35,20245518.0,351259737.3
2021-07-07,17.56,17.58,16.8,16.94,17529988.0,296957996.72
2021-07-08,16.3,16.8,16.1,16.62,18443672.0,306533828.64000005
2021-07-09,16.92,17.3,16.43,16.45,17662998.0,290556317.09999996
2021-07-12,16.5102,16.84,16.22,16.42,14070972.0,231045360.24
2021-07-13,16.38,16.62,15.8,16.0,16623011.0,265968176.0
2021-07-14,16.049,16.2148,15.37,15.52,19069006.0,295950973.12
2021-07-15,15.6203,16.42,15.45,15.99,16185950.0,258813340.5
2021-07-16,16.1,16.19,15.22,15.3,14214582.0,217483104.6
2021-07-19,15.0,15.53,14.87,15.17,14780944.0,224226920.48
2021-07-20,15.18,15.29,14.9392,15.06,11683025.0,175946356.5
2021-07-21,15.14,16.65,15.1041,16.56,27892403.0,461898193.67999995
2021-07-22,16.49,16.6,15.71,16.05,18833283.0,302274192.15000004
2021-07-23,15.89,16.049,15.4401,15.7,10369990.0,162808843.0
2021-07-26,15.76,16.09,15.48,15.51,8994913.0,139511100.63
2021-07-27,15.49,15.5,14.72,14.92,16735407.0,249692272.44
2021-07-28,15.12,15.479,15.08,15.37,10131615.0,155722922.54999998
2021-07-29,15.8748,16.24,15.51,15.6,12748306.0,198873573.6
2021-07-30,15.355,15.79,15.35,15.44,6653691.0,102732989.04
2021-08-02,15.58,16.32,15.41,15.73,15097636.0,237485814.28
2021-08-03,15.77,16.0494,15.01,15.11,16166804.0,244280408.44
2021-08-04,15.23,16.58,15.2,16.39,25718482.0,421525919.98
2021-08-05,16.605,16.73,15.88,16.06,14501528.0,232894539.68
2021-08-06,16.06,16.9399,16.06,16.71,13993713.0,233834944.23
2021-08-09,16.99,17.32,16.56,16.91,15571348.0,263311494.68
2021-08-10,17.02,17.27,16.56,16.99,12830221.0,217985454.79
2021-08-11,17.16,17.27,16.515,16.9,17104651.0,289068601.9
2021-08-12,16.97,17.52,16.74,17.46,36817117.0,642826862.82
2021-08-13,15.35,15.53,14.91,14.99,59983497.0,899152620.03
2021-08-16,15.005,15.14,14.18,14.29,26227173.0,374786302.17
2021-08-17,14.08,14.7,13.56,13.75,31924957.0,438968158.75
2021-08-18,13.98,14.58,13.85,14.22,20754545.0,295129629.90000004
2021-08-19,13.99,14.12,13.77,13.82,15576723.0,215270311.86
2021-08-20,13.98,14.27,13.9,14.04,17617968.0,247356270.72
2021-08-23,14.265,14.5,14.22,14.43,13277123.0,191588884.89
2021-08-24,14.48,14.93,14.47,14.76,13649869.0,201472066.44
2021-08-25,14.8,15.08,14.51,14.85,13785302.0,204711734.7
2021-08-26,14.7631,14.79,14.2,14.36,16743847.0,240441642.92
2021-08-27,14.31,14.41,14.04,14.04,19756406.0,277379940.24
2021-08-30,14.1789,14.3796,14.0105,14.19,15445674.0,219174114.06
2021-08-31,14.18,14.25,13.97,14.18,14530694.0,206045240.92
2021-09-01,14.1432,14.69,14.11,14.57,16856454.0,245598534.78
2021-09-02,14.6,15.2,14.4,15.06,19577967.0,294844183.02
2021-09-03,15.02,15.53,14.92,15.16,18898034.0,286494195.44
2021-09-07,15.5,16.13,15.46,15.84,22137180.0,350652931.2
2021-09-08,15.81,16.006,15.135,15.47,15621429.0,241663506.63
