timestamps,open,high,low,close,volume,amount
2021-05-28,38.0665,39.27,37.88,38.78,16046251.0,622273613.78
2021-06-01,39.52,40.54,37.745,38.34,18311748.0,702072418.32
2021-06-02,38.27,39.58,37.91,39.19,12446689.0,487785741.91
2021-06-03,37.8299,38.28,36.515,37.12,17092120.0,634459494.4
2021-06-04,38.08,39.99,38.05,39.74,16024622.0,636818478.2800001
2021-06-07,39.26,39.44,38.15,38.91,11571354.0,450241384.14
2021-06-08,39.8006,39.97,37.3,38.17,13546883.0,517084524.11
2021-06-09,38.56,38.89,37.62,37.7,11785378.0,444308750.6
2021-06-10,37.8,39.37,37.52,39.04,17711373.0,691452001.92
2021-06-11,39.05,39.49,38.57,39.49,8048952.0,317853114.48
2021-06-14,39.81,41.17,39.0599,41.17,18593095.0,765477721.15
2021-06-15,40.8,41.6,39.74,40.04,13425925.0,537574037.0
2021-06-16,40.49,40.89,38.07,39.18,18161078.0,711551036.04
2021-06-17,38.69,41.17,38.65,40.31,18526170.0,746789912.7
2021-06-18,39.29,39.58,36.75,37.32,21480839.0,801664911.48
2021-06-21,37.55,38.1617,36.59,38.12,12804681.0,488114439.72
2021-06-22,37.9,38.825,37.4,38.6,10590734.0,408802332.4
2021-06-23,38.5999,39.63,38.5999,39.05,8684397.0,339125702.84999996
2021-06-24,39.8831,41.23,39.88,41.08,12813758.0,526389178.64
2021-06-25,41.17,41.69,40.29,40.66,9340286.0,379776028.76
2021-06-28,41.5,44.08,41.45,43.65,18289624.0,798342087.6
2021-06-29,43.31,44.69,42.88,44.64,13226052.0,590410961.28
2021-06-30,44.37,44.7267,43.67,44.54,9941257.0,442783586.78
2021-07-01,44.15,44.37,42.13,42.57,11644169.0,495692274.33
2021-07-02,43.57,43.7,42.25,43.32,10984024.0,475827919.68
2021-07-06,43.64,44.14,41.36,43.04,10148359.0,436785371.36
2021-07-07,43.8,43.91,40.69,41.24,10696376.0,441118546.24
2021-07-08,38.55,40.3798,37.76,39.78,15135341.0,602083864.98
2021-07-09,40.18,41.94,39.25,41.77,9966767.0,416311857.59
2021-07-12,42.16,43.33,41.81,43.33,9168314.0,397263045.62
2021-07-13,42.75,43.315,42.1,42.62,9397103.0,400504529.8599999
2021-07-14,43.54,44.79,41.86,42.16,15773934.0,665029057.4399999
2021-07-15,41.79,41.8012,38.55,39.42,15018866.0,592043697.72
2021-07-16,40.03,40.45,36.59,36.76,14546021.0,534711731.96
2021-07-19,35.21,36.93,34.71,36.84,17766277.0,654509644.6800001
2021-07-20,37.24,39.08,35.8505,38.34,12587643.0,482610232.62000006
2021-07-21,38.67,41.85,38.6,41.85,12718515.0,532269852.75
2021-07-22,40.9,41.62,39.9,40.74,8296424.0,337996313.76
2021-07-23,41.29,41.61,39.95,41.55,8818391.0,366404146.0499999
2021-07-26,40.5835,41.79,40.5835,41.45,8089992.0,335330168.40000004
2021-07-27,40.8,40.852,36.71,39.15,17992265.0,704397174.75
2021-07-28,39.54,41.5,39.02,41.18,13040205.0,536995641.9
2021-07-29,41.23,43.6899,41.23,43.45,15318441.0,665586261.45
2021-07-30,42.19,44.5,42.072,44.39,13599233.0,603669952.87
2021-08-02,45.19,46.89,44.88,45.21,17018647.0,769413030.87
2021-08-03,45.29,45.9784,43.61,45.97,10801372.0,496539070.84
2021-08-04,46.16,48.1499,46.05,47.61,13768861.0,655535472.21
2021-08-05,48.17,48.1901,46.44,47.17,8580697.0,404751477.49
2021-08-06,46.33,47.27,46.2,46.63,6201980.0,289198327.40000004
2021-08-09,46.9,47.27,45.54,46.15,5943661.0,274299955.15
2021-08-10,46.3665,46.57,43.5,44.45,9994504.0,444255702.8
2021-08-11,45.06,45.12,42.4298,44.17,10016629.0,442434502.93
2021-08-12,43.44,43.5,41.56,42.62,9758813.0,415920610.06
