timestamps,open,high,low,close,volume,amount
2021-05-28,17100.0,17200.0,16580.0,16820.0,3077.6405,51765913.21
2021-06-01,16500.0,17240.0,16040.0,17020.0,4827.2755,82160229.00999999
2021-06-02,16940.0,17160.0,16440.0,16620.0,3656.583,60772409.46
2021-06-03,17200.0,17740.0,16980.0,17480.0,5895.737,103057482.76
2021-06-04,16980.0,17020.0,16120.0,16260.0,5764.8445,93736371.57
2021-06-07,16440.0,16887.0,16360.0,16580.0,4112.3665,68183036.57000001
2021-06-08,16180.0,17260.0,16120.0,16880.0,3751.9575,63333042.6
2021-06-09,16640.0,17140.0,16570.0,17100.0,2322.526,39715194.599999994
2021-06-10,17040.0,17170.0,16320.0,16500.0,4625.87,76326855.0
2021-06-11,16420.0,16680.0,16280.0,16320.0,2261.548,36908463.36
2021-06-14,16220.0,16476.8,15600.0,15620.0,4183.357,65344036.34
2021-06-15,15760.0,16140.0,15440.0,16040.0,3622.67,58107626.8
2021-06-16,15820.0,16800.0,15680.0,16360.0,4687.295,76684146.2
2021-06-17,16600.0,16600.0,15539.8,15920.0,4649.0745,74013266.03999999
2021-06-18,16280.0,17300.0,16180.0,17040.0,5026.444,85650605.76
2021-06-21,16920.0,17390.0,16680.0,16700.0,4744.7715,79237684.05
2021-06-22,16800.0,17019.8,16400.0,16480.0,3295.2485,54305695.28
2021-06-23,16500.0,16500.0,16040.0,16340.0,2058.982,33643765.88
2021-06-24,15900.0,15920.0,15380.0,15480.0,4077.506,63119792.879999995
2021-06-25,15440.0,15720.0,15220.0,15620.0,2631.021,41096548.02
2021-06-28,15300.0,15300.0,14280.0,14460.0,5226.263,75571762.98
2021-06-29,14540.0,14700.0,14100.0,14100.0,3978.554,56097611.4
2021-06-30,14180.0,14420.0,14082.4,14140.0,3310.8935,46816034.09
2021-07-01,14300.0,14900.0,14200.2,14780.0,3572.257,52797958.46
2021-07-02,14400.0,14860.0,14360.0,14500.0,2480.9185,35973318.25
2021-07-06,14360.0,15160.0,14220.0,14600.0,4192.516,61210733.599999994
2021-07-07,14320.0,15400.0,14280.0,15200.0,3556.4665,54058290.8
2021-07-08,16210.0,16480.0,15520.0,15740.0,4971.209,78246829.66
2021-07-09,15600.0,15940.0,14880.2,14940.0,3090.2175,46167849.45
2021-07-12,14800.0,14930.0,14380.0,14400.0,2524.2535,36349250.4
2021-07-13,14560.0,14790.0,14380.0,14640.0,3301.629,48335848.559999995
2021-07-14,14320.0,14880.0,13880.0,14800.0,5793.6175,85745539.0
2021-07-15,14900.0,16058.2,14880.0,15740.0,5324.4145,83806284.23
2021-07-16,15480.0,16860.0,15320.0,16820.0,5948.6615,100056486.43
2021-07-19,17540.0,17740.0,16702.0,16800.0,7935.1585,133310662.8
2021-07-20,16640.0,17200.0,15740.0,16080.0,5508.8535,88582364.28
2021-07-21,15920.0,15960.0,14600.0,14600.0,5259.555,76789503.0
2021-07-22,14920.0,15280.0,14680.0,15020.0,3348.206,50290054.120000005
2021-07-23,14720.0,15270.0,14640.0,14680.0,2806.091,41193415.879999995
2021-07-26,14920.0,15010.0,14583.4,14740.0,2472.205,36440301.7
2021-07-27,14900.0,16420.0,14900.0,15540.0,6085.887,94574683.98
2021-07-28,15380.0,15580.0,14580.0,14720.0,5072.1925,74662673.60000001
2021-07-29,14720.0,14720.0,13820.0,13940.0,6675.9475,93062708.15
2021-07-30,14320.0,14340.0,13560.0,13640.0,6219.958,84840227.11999999
2021-08-02,13380.0,13459.8,12840.0,13380.0,6763.585,90496767.3
2021-08-03,13340.0,13820.0,13120.0,13140.0,6172.976,81112904.64
2021-08-04,13140.0,13140.0,12503.2,12700.0,7766.361,98632784.7
2021-08-05,12540.0,12960.2,12500.0,12760.0,4457.9795,56883818.42
2021-08-06,12980.0,13037.0,12740.0,12900.0,3169.8725,40891355.25
2021-08-09,12800.0,13220.0,12740.0,13060.0,2920.6265,38143382.09
2021-08-10,12960.0,13780.0,12920.0,13500.0,3754.8695,50690738.25
2021-08-11,13320.0,14140.0,13320.0,13620.0,4428.5345,60316639.88999999
2021-08-12,13800.0,14420.0,13800.0,14080.0,3582.5535,50442353.28
2021-08-13,14080.0,14200.0,13760.0,13800.0,2525.3315,34849574.699999996
2021-08-16,13980.0,14280.0,13820.0,13960.0,3110.107,43417093.72
2021-08-17,14280.0,15140.0,14280.0,14760.0,6486.1345,95735345.22
2021-08-18,14800.0,15460.0,14600.0,15440.0,4189.5015,64685903.16
2021-08-19,15600.0,16000.0,14780.0,15060.0,7592.7725,114347153.85
2021-08-20,14940.0,15280.0,14640.0,14720.0,3278.1025,48253668.8
2021-08-23,14300.0,14300.0,13460.2,13560.0,4010.823,54386759.879999995
2021-08-24,13420.0,13620.0,13300.0,13500.0,2269.748,30641598.0
2021-08-25,13380.0,13400.0,12900.0,13220.0,3511.2585,46418837.37
2021-08-26,13300.0,13500.0,13020.2,13200.0,3300.794,43570480.8
2021-08-27,13140.0,13200.0,12360.0,12440.0,4971.1,61840484.00000001
2021-08-30,12260.0,12480.0,11980.0,12320.0,4589.938,56548036.16
2021-08-31,12320.0,12920.0,12280.0,12600.0,5496.86,69260436.0
2021-09-01,12440.0,12820.0,12400.0,12800.0,3538.0475,45287008.0
2021-09-02,12680.0,12850.0,12560.0,12700.0,3069.7115,38985336.05
2021-09-03,12720.0,12780.0,12260.0,12420.0,3820.1125,47445797.25
2021-09-07,12420.0,12778.0,12400.0,12560.0,2638.008,33133380.479999997
2021-09-08,12750.0,13360.0,12660.0,13020.0,6021.4775,78399637.05
2021-09-09,13060.0,13060.0,12645.0,12880.0,3964.1615,51058400.120000005
2021-09-10,12600.0,12600.0,11980.0,12560.0,10852.3665,136305723.24
2021-09-13,12200.0,12740.0,12140.0,12240.0,7141.528,87412302.72
2021-09-14,12120.0,12400.0,11920.0,12180.0,8321.049,101350376.82
2021-09-15,12180.0,12500.0,12000.0,12040.0,5546.4945,66779793.779999994
2021-09-16,12240.0,12420.0,11800.0,11940.0,7210.599,86094552.06
2021-09-17,12020.0,12660.0,12000.2,12480.0,7488.9335,93461890.08
2021-09-20,13240.0,13960.0,13140.0,13420.0,9432.596,126585438.32
2021-09-21,13120.0,13680.0,13000.0,13280.0,6073.631,80657819.68
2021-09-22,13000.0,13140.0,12380.0,12460.0,6856.336,85429946.56
2021-09-23,12300.0,12430.0,11860.0,11960.0,5643.9845,67502054.61999999
2021-09-24,12280.0,12300.0,11940.0,12020.0,4313.084,51843269.68
2021-09-27,12380.0,12610.0,11950.0,12060.0,5400.9455,65135402.73
2021-09-28,12700.0,13520.0,12560.0,13480.0,10047.4875,135440131.5
2021-09-29,13440.0,14235.8,13300.0,14160.0,7301.4835,103389006.36
2021-09-30,13820.0,14179.8,13480.0,14160.0,6506.0565,92125760.04
2021-10-01,13960.0,14840.0,13900.0,14160.0,5254.5255,74404081.08
2021-10-04,14400.0,15362.8,14340.0,15240.0,7442.264,113420103.36
