timestamps,open,high,low,close,volume,amount
2021-05-28,143.44,144.92,143.1867,144.2267,2179590.0,314355073.053
2021-06-01,145.3167,146.4633,143.08,143.8233,3373482.0,485185313.73059994
2021-06-02,143.7133,145.2867,143.2567,144.7,2140611.0,309746411.7
2021-06-03,143.0767,143.7,141.5467,142.2133,3247419.0,461826172.4727
2021-06-04,143.4333,145.9567,143.4333,145.6667,2821950.0,411064144.065
2021-06-07,144.9767,145.2433,143.6933,144.5333,2376384.0,343466621.5872
2021-06-08,145.66,145.9137,142.6233,143.7067,2534889.0,364280533.0563
2021-06-09,144.1833,144.6,143.0,143.0,2607735.0,372906105.0
2021-06-10,143.0567,145.0333,142.7567,144.47,2165082.0,312789396.54
2021-06-11,144.9033,145.2,144.0867,145.2,1765233.0,256311831.6
2021-06-14,145.5667,147.2633,144.7133,147.2633,3674295.0,541088806.8735
2021-06-15,146.87,147.7667,145.5767,146.0567,2388207.0,348813633.3369
2021-06-16,146.51,146.9333,143.5333,144.6833,3614691.0,522985422.3603
2021-06-17,144.2867,147.3133,144.1767,146.2433,3872994.0,566399423.4402
2021-06-18,145.24,145.3467,141.9567,142.7433,2889804.0,412500159.3132
2021-06-21,142.9067,143.52,141.6933,143.27,2233443.0,319985378.61
2021-06-22,143.4833,144.3593,142.68,143.9467,1738353.0,250230177.7851
2021-06-23,144.3067,145.36,144.26,144.5467,1889466.0,273116075.06219995
2021-06-24,145.9533,147.3933,145.8004,147.0033,1428408.0,209980689.7464
2021-06-25,147.6267,147.863,146.19,146.6033,1343214.0,196919605.0062
2021-06-28,147.51,150.7267,147.51,150.1033,2651544.0,398005504.4952
2021-06-29,149.9267,151.499,149.4333,151.28,1748742.0,264549689.76
2021-06-30,151.14,151.6967,150.3983,151.4067,1317186.0,199430785.5462
2021-07-01,151.2533,151.2533,148.73,149.2367,2264115.0,337889051.0205
2021-07-02,150.1633,150.51,148.9733,150.1467,1827030.0,274322525.301
2021-07-06,150.5533,151.04,147.98,149.89,2002035.0,300085026.15
2021-07-07,150.8333,150.8467,146.9967,147.62,1888431.0,278770184.22
2021-07-08,144.51,146.42,143.4033,145.7233,2000007.0,291447620.0631
2021-07-09,146.2033,148.3767,145.15,148.1,1833033.0,271472187.3
2021-07-12,148.7333,150.0,148.1667,150.0,3950160.0,592524000.0
2021-07-13,149.3733,150.0467,148.6067,149.4,2122281.0,317068781.40000004
2021-07-14,150.42,151.6967,148.2833,148.71,2256549.0,335571401.79
2021-07-15,147.9933,148.3133,144.3067,145.41,2657016.0,386356696.56
2021-07-16,145.8633,146.6,141.91,142.25,2571513.0,365797724.25
2021-07-19,140.3067,142.34,139.5033,142.1067,4069209.0,578261862.6003
2021-07-20,142.79,145.1367,141.0,144.0433,3201039.0,461088220.9887
2021-07-21,144.5933,148.5367,144.5933,148.4667,2039652.0,302820401.5884
2021-07-22,147.7233,148.4,146.4967,147.59,1185282.0,174935770.38
2021-07-23,148.28,148.49,146.5133,148.3433,1312449.0,194693015.7417
2021-07-26,147.7733,148.72,147.4067,148.39,1123299.0,166686338.60999998
2021-07-27,147.9667,147.9667,142.59,145.6667,2508618.0,365422105.6206
2021-07-28,146.1967,148.67,145.4933,148.0467,2289705.0,338983269.22349995
2021-07-29,148.61,151.53,148.5533,151.0667,2303736.0,348017795.1912
2021-07-30,149.7,152.6133,149.7,152.3033,2320653.0,353443110.0549
2021-08-02,153.7633,155.1667,152.89,153.2667,2864328.0,439006100.27759993
2021-08-03,153.6067,154.4333,151.81,154.4333,1769175.0,273219533.52750003
2021-08-04,154.7333,156.7567,154.5033,156.0067,1626225.0,253701995.7075
2021-08-05,156.7567,157.1267,155.1467,156.0333,1420434.0,221635004.4522
2021-08-06,155.1167,156.0367,154.85,155.2567,1233093.0,191445949.9731
2021-08-09,155.8833,155.9733,154.0767,154.73,1065972.0,164937847.56
2021-08-10,154.96,155.2267,151.8167,152.9333,2695668.0,412257402.9444
2021-08-11,153.35,153.5633,150.62,152.41,1296873.0,197656413.93
2021-08-12,151.91,151.91,149.5233,150.7733,1531395.0,230893477.7535
2021-08-13,150.4267,151.7433,150.2967,151.72,1060113.0,160840344.35999998
2021-08-16,151.1467,151.5467,149.89,151.1567,1144044.0,172929915.6948
2021-08-17,149.9,149.9,146.8433,148.23,1850661.0,274323480.03
2021-08-18,148.0233,148.93,146.0767,146.27,1879485.0,274912270.95000005
2021-08-19,145.3533,148.2767,144.2267,147.47,2175648.0,320842810.56
2021-08-20,147.8633,148.84,146.8067,148.5767,1798443.0,267206726.07809997
2021-08-23,150.12,152.9633,150.12,152.76,2181162.0,333194307.12
2021-08-24,153.2,153.6667,152.4967,152.76,1663233.0,254075473.08
2021-08-25,153.3633,155.06,153.2767,153.9233,2274234.0,350057602.2522
2021-08-26,153.74,154.6667,152.8067,154.0667,2284575.0,351976931.1525
2021-08-27,154.1533,157.1933,153.9367,157.0067,2404572.0,377533914.6324
2021-08-30,157.6467,158.8433,156.7567,157.32,2519316.0,396338793.12
2021-08-31,157.49,157.7,154.8467,156.0633,2108382.0,329041052.5806
2021-09-01,156.8467,157.0033,155.2133,155.2133,1632993.0,253462232.4069
2021-09-02,155.95,156.2733,155.19,155.7933,1502469.0,234074603.65769997
2021-09-03,155.82,157.57,155.4733,156.96,1356402.0,212900857.92
2021-09-07,157.04,157.0467,155.4567,156.3833,1648734.0,257834463.7422
2021-09-08,155.6667,155.8267,153.0333,154.38,3087897.0,476709538.86
2021-09-09,154.2767,155.84,154.1833,154.9233,3920994.0,607453329.7602
2021-09-10,156.1967,158.5267,156.14,156.1533,2960055.0,462222356.4315
2021-09-13,157.7267,157.9767,155.5167,157.65,2873718.0,453041642.7
2021-09-14,158.0533,158.8533,156.9367,157.6567,2607963.0,411162840.3021
2021-09-15,157.78,158.5667,156.4433,158.5633,3807159.0,603675694.6647
2021-09-16,157.4167,159.3967,156.7633,158.8667,1655286.0,262969824.3762
2021-09-17,158.4467,158.4467,155.6267,156.3333,2426613.0,379360418.1129
2021-09-20,153.0,153.5933,150.2167,152.4633,3125058.0,476456655.3714
2021-09-21,153.6033,154.06,151.5233,152.9133,2214042.0,338556468.5586
2021-09-22,154.1167,156.4467,153.5533,156.0867,1309107.0,204334191.5769
2021-09-23,156.8267,158.6667,156.2646,158.1667,2407050.0,380715155.2349999
2021-09-24,156.5833,157.9367,156.3333,157.6,1191855.0,187836348.0
2021-09-27,155.9146,157.8337,154.9901,157.2167,1339878.0,210651197.5626
2021-09-28,154.2467,155.1433,151.0667,151.0667,5447952.0,823004130.3984
