timestamps,open,high,low,close,volume,amount
2021-05-28,383.44,383.61,378.77,379.47,1788488.0,678677541.36
2021-06-01,382.18,382.35,372.94,373.46,1451614.0,542119764.4399999
2021-06-02,373.3,380.8,373.3,379.83,1398603.0,531231377.4899999
2021-06-03,378.6,382.58,375.23,381.35,1489409.0,567986122.15
2021-06-04,381.92,385.13,381.06,384.58,955915.0,367625790.7
2021-06-07,384.8,385.67,380.64,381.23,814568.0,310537758.64
2021-06-08,381.24,384.61,379.09,384.39,1191802.0,458116770.78
2021-06-09,386.45,386.99,383.94,384.61,989954.0,380746207.94
2021-06-10,384.0,387.57,382.44,386.73,848028.0,327957868.44
2021-06-11,388.53,392.94,387.41,392.49,1097977.0,430944992.73
2021-06-14,388.86,396.52,388.18,396.37,1399998.0,554917207.26
2021-06-15,398.81,399.11,395.14,396.02,1835892.0,727049949.8399999
2021-06-16,397.05,399.12,390.72,392.76,1363334.0,535463061.84
2021-06-17,393.73,401.27,393.53,400.16,2136066.0,854768170.5600001
2021-06-18,398.58,399.33,389.75,390.71,2585644.0,1010236967.24
2021-06-21,392.83,400.19,389.77,399.52,1447654.0,578366726.0799999
2021-06-22,398.9,404.89,396.87,403.86,1353756.0,546727898.16
2021-06-23,403.65,404.81,400.64,400.83,1278643.0,512518473.69
2021-06-24,404.08,412.46,402.15,411.18,2154191.0,885760255.38
2021-06-25,410.84,412.93,407.58,412.36,2006717.0,827489822.12
2021-06-28,412.0,414.77,410.43,410.8,1086824.0,446467299.2
2021-06-29,405.75,411.86,402.6,410.58,1737658.0,713447621.64
2021-06-30,409.87,411.54,408.2,410.45,1485827.0,609857692.15
2021-07-01,411.94,414.01,410.53,412.2,960005.0,395714061.0
2021-07-02,413.15,415.21,411.74,414.63,887645.0,368044246.35
2021-07-06,415.0,416.65,410.17,415.67,1199380.0,498546284.6
2021-07-07,416.91,419.96,414.34,419.16,733693.0,307534757.88
2021-07-08,414.84,419.31,414.74,417.06,1441700.0,601275402.0
2021-07-09,417.35,419.48,410.77,414.68,1559111.0,646532149.48
2021-07-12,416.4,417.73,408.97,411.75,1608287.0,662212172.25
2021-07-13,410.79,412.845,408.03,408.95,1153518.0,471731186.1
2021-07-14,409.0,410.8,407.565,410.58,828962.0,340355217.96
2021-07-15,409.12,413.0,409.12,411.52,859513.0,353706789.76
2021-07-16,413.11,415.26,411.63,414.42,931984.0,386232809.28
2021-07-19,411.57,414.965,406.1,409.15,1242112.0,508210124.7999999
2021-07-20,410.5,419.38,408.76,416.38,943501.0,392854946.38
2021-07-21,418.15,420.62,416.66,417.06,1000049.0,417080435.94
2021-07-22,418.89,419.48,415.985,418.6,838309.0,350916147.40000004
2021-07-23,420.7,422.7,417.78,418.5,1004883.0,420543535.5
2021-07-26,416.64,418.88,408.51,413.4,1182599.0,488886426.6
2021-07-27,412.4,415.43,407.92,412.79,1846575.0,762247694.25
2021-07-28,415.2,416.44,409.29,411.59,1490311.0,613397104.49
2021-07-29,419.8,427.93,416.0,423.57,1808265.0,765926806.05
2021-07-30,424.05,429.93,422.52,428.72,1571963.0,673931977.36
2021-08-02,430.6,436.16,428.55,434.25,1968871.0,854982231.75
2021-08-03,434.15,436.08,428.49,436.05,1645301.0,717433501.0500001
