timestamps,open,high,low,close,volume,amount
2021-05-28,242.03,246.3,241.11,241.57,934581.0,225766732.17
2021-06-01,243.5,246.33,239.21,241.73,1054305.0,254857147.65
2021-06-02,243.55,243.55,238.39,239.73,1105346.0,264984596.58
2021-06-03,236.12,238.45,231.525,232.19,1261536.0,292916043.84
2021-06-04,234.54,238.11,232.59,236.17,963472.0,227543182.24
2021-06-07,235.87,244.0,235.87,242.66,1286231.0,312116814.46
2021-06-08,245.22,245.95,240.2292,242.51,1184666.0,287293351.65999997
2021-06-09,243.01,245.7342,237.549,237.7,1045110.0,248422647.0
2021-06-10,238.68,247.46,237.1201,247.19,1510581.0,373400517.39
2021-06-11,248.0,251.82,240.8,243.66,1592995.0,388149161.7
2021-06-14,245.0,253.4113,243.97,251.51,1262790.0,317604312.9
2021-06-15,252.48,252.7,241.95,242.76,1366522.0,331736880.71999997
2021-06-16,244.11,248.21,236.46,242.78,1379295.0,334865240.1
2021-06-17,238.83,249.1,238.5,247.11,1251898.0,309356514.78000003
2021-06-18,246.11,249.36,244.33,247.64,1365517.0,338156629.88
2021-06-21,247.5,248.0,242.04,245.6,839974.0,206297614.4
2021-06-22,246.92,254.35,244.6,253.64,1440612.0,365396827.68
2021-06-23,252.57,257.69,252.56,256.7,966134.0,248006597.8
2021-06-24,260.0,265.5861,259.6,264.16,2281875.0,602780100.0
2021-06-25,266.08,268.29,261.86,266.38,1574256.0,419350313.28
2021-06-28,268.0,273.6,265.78,271.56,1257390.0,341456828.4
2021-06-29,271.01,274.12,265.09,272.86,886145.0,241793524.7
2021-06-30,274.0,280.5399,269.5,275.59,1588403.0,437747982.77
2021-07-01,273.5,275.2499,266.41,268.63,848453.0,227919929.39
2021-07-02,269.76,272.06,267.2918,267.83,489954.0,131224379.82
2021-07-06,266.98,269.6499,262.28,263.52,1080035.0,284610823.2
2021-07-07,266.41,266.49,257.59,259.04,762406.0,197493650.24
2021-07-08,254.25,259.3443,250.31,256.15,951705.0,243779235.74999997
2021-07-09,254.86,262.98,253.0,262.83,585134.0,153790769.22
2021-07-12,263.55,265.2951,257.83,261.01,751299.0,196096551.99
2021-07-13,261.18,267.76,261.18,263.85,905201.0,238837283.85
2021-07-14,264.21,265.99,253.34,253.41,1129903.0,286328719.23
2021-07-15,252.84,256.1842,246.83,247.97,1518181.0,376463342.57
2021-07-16,250.0,250.0,242.27,243.24,1458145.0,354679189.8
2021-07-19,239.0,246.94,237.19,241.81,1245102.0,301078114.62
2021-07-20,243.0,248.44,238.6001,246.5,881948.0,217400182.0
2021-07-21,247.25,249.75,243.73,247.91,1263047.0,313121981.77
2021-07-22,247.71,248.95,243.82,244.18,791582.0,193288492.76
2021-07-23,243.28,247.905,240.0,243.64,1516190.0,369404531.6
2021-07-26,238.0,241.59,235.1251,240.59,1952762.0,469815009.58
2021-07-27,239.76,241.66,232.9403,236.93,1424815.0,337581417.95
2021-07-28,220.7,224.17,213.11,223.32,7255698.0,1620342477.36
2021-07-29,225.31,228.76,223.5,225.27,2544003.0,573087555.8100001
2021-07-30,226.53,233.22,225.34,228.67,2169952.0,496202923.84
2021-08-02,228.72,230.88,222.65,228.4,2227501.0,508761228.4
2021-08-03,226.62,227.63,214.995,217.95,3438794.0,749485152.3
2021-08-04,218.2,220.27,216.64,217.42,1670222.0,363139667.2399999
2021-08-05,219.5,222.0,216.7,221.13,1700785.0,376094587.05
2021-08-06,221.67,224.5,219.16,221.97,1014028.0,225083795.16
2021-08-09,223.48,227.43,220.755,224.78,1040824.0,233956418.72
2021-08-10,225.54,226.27,215.33,215.48,2855535.0,615310681.8
2021-08-11,216.07,217.53,210.15,214.0,3304618.0,707188252.0
2021-08-12,213.21,215.47,210.52,215.04,1541995.0,331590604.8
2021-08-13,215.5,216.0577,211.21,211.48,860201.0,181915307.48
2021-08-16,210.3,210.865,204.51,208.83,1452656.0,303358152.48
2021-08-17,205.48,208.89,205.12,206.16,1330096.0,274212591.36
2021-08-18,209.22,209.5,204.76,205.42,1515083.0,311228349.85999995
2021-08-19,203.44,207.99,201.6775,205.08,834019.0,171040616.52
2021-08-20,209.55,218.14,209.55,216.64,2314334.0,501377317.76
2021-08-23,217.4,222.465,217.4,221.5,1354411.0,300002036.5
2021-08-24,223.31,225.7,222.49,224.88,883343.0,198646173.84
2021-08-25,224.54,227.29,224.1,226.9,842006.0,191051161.4
2021-08-26,224.07,227.52,222.4817,224.62,1125931.0,252906621.22
2021-08-27,225.49,227.82,225.49,226.02,1339053.0,302652759.06
2021-08-30,226.28,234.3983,225.945,233.12,1059326.0,246950077.12
