timestamps,open,high,low,close,volume,amount
2024-09-03,24.11,24.11,23.9486,23.9486,100.0,2394.8599999999997
2024-09-04,23.95,24.07,23.8372,23.89,3412.0,81512.68000000001
2024-09-05,23.6729,23.8201,23.6558,23.6558,404.0,9556.9432
2024-09-06,23.74,23.8,22.8911,22.8911,2162.0,49490.55820000001
2024-09-09,23.37,23.46,23.37,23.4197,812.0,19016.7964
2024-09-10,23.52,23.6209,23.13,23.6209,2935.0,69327.3415
2024-09-11,23.15,24.1748,23.15,24.1748,359.0,8678.753200000001
2024-09-12,24.19,24.4813,24.18,24.4813,488.0,11946.8744
2024-09-13,26.6047,26.6047,24.7694,24.7694,4059.0,100538.9946
2024-09-16,24.81,24.8501,24.8,24.8501,2116.0,52582.8116
2024-09-17,24.9796,25.1399,24.7,24.8051,1202.0,29815.7302
2024-09-18,24.84,25.0799,24.6937,24.6937,378.0,9334.2186
2024-09-19,25.5295,25.58,25.5,25.5139,514.0,13114.1446
2024-09-20,25.33,25.44,25.33,25.4114,1155.0,29350.167
2024-09-23,25.5,25.58,25.49,25.58,5346.0,136750.68
2024-09-24,25.59,25.6425,25.5,25.6425,5366.0,137597.655
2024-09-25,25.65,25.65,25.58,25.58,1210.0,30951.8
2024-09-26,25.83,25.86,25.6508,25.7878,5389.0,138970.4542
2024-09-27,25.78,25.78,25.69,25.69,1009.0,25921.210000000003
2024-09-30,25.5973,25.89,25.5973,25.89,2390.0,61877.1
2024-10-01,28.66,28.66,25.33,25.41,1463.0,37174.83
2024-10-02,25.44,25.44,25.44,25.44,266.0,6767.04
2024-10-03,25.34,25.34,25.34,25.34,830.0,21032.2
2024-10-04,25.68,25.8,25.57,25.79,2468.0,63649.72
2024-10-07,25.38,25.52,25.28,25.33,7623.0,193090.59
2024-10-08,25.47,25.84,25.47,25.7892,1376.0,35485.9392
2024-10-09,25.8,26.14,25.8,26.14,1391.0,36360.74
2024-10-10,26.0,26.0,26.0,26.0,557.0,14482.0
2024-10-11,26.2574,26.35,26.2574,26.35,1696.0,44689.600000000006
2024-10-14,26.87,26.87,26.72,26.72,24802.0,662709.44
2024-10-15,26.78,26.78,26.27,26.39,1016.0,26812.24
2024-10-16,26.59,26.59,26.58,26.58,497.0,13210.259999999998
2024-10-17,26.96,26.96,26.61,26.61,1277.0,33980.97
2024-10-18,26.63,26.73,26.63,26.73,246.0,6575.58
2024-10-21,26.5508,26.69,26.55,26.69,1253.0,33442.57
2024-10-22,26.48,26.72,26.48,26.6323,1321.0,35181.2683
2024-10-23,26.09,26.15,26.09,26.15,447.0,11689.05
2024-10-24,26.26,26.26,26.26,26.26,509.0,13366.34
2024-10-25,26.45,26.45,26.1716,26.1716,950.0,24863.02
2024-10-28,26.347,26.347,26.347,26.347,664.0,17494.408
2024-10-29,26.37,26.53,26.37,26.39,1731.0,45681.09
2024-10-30,26.36,26.36,26.2217,26.2217,483.0,12665.0811
2024-10-31,25.499,25.51,25.23,25.23,5947.0,150042.81
2024-11-01,25.49,25.49,25.42,25.4249,924.0,23492.6076
2024-11-04,25.33,25.33,25.33,25.33,585.0,14818.05
2024-11-05,25.69,25.88,25.69,25.88,2223.0,57531.24
2024-11-06,26.919,27.1768,26.875,27.1768,6668.0,181214.9024
2024-11-07,27.4894,27.649,27.4758,27.563,1848.0,50936.424
2024-11-08,27.69,27.8,27.69,27.7807,1327.0,36864.9889
