timestamps,open,high,low,close,volume,amount
2021-05-28,1381.25,1387.5,1363.75,1383.75,359709.264,497747694.06000006
2021-06-01,1367.5,1415.0,1360.0,1397.5,473456.744,661655799.74
2021-06-02,1392.5,1411.25,1378.75,1390.0,399904.528,555867293.92
2021-06-03,1425.625,1455.0,1410.0,1433.75,508205.208,728639216.97
2021-06-04,1408.75,1409.375,1353.75,1358.75,629576.752,855437411.78
2021-06-07,1367.5,1375.0,1346.25,1347.5,412586.648,555960508.18
2021-06-08,1325.0,1366.25,1313.75,1346.25,523977.624,705404876.3100001
2021-06-09,1327.5,1346.25,1318.75,1343.75,334262.232,449164874.25
2021-06-10,1340.0,1346.25,1300.0,1301.25,777025.088,1011103895.76
2021-06-11,1301.25,1310.0,1291.25,1291.25,315215.104,407021503.04
2021-06-14,1287.5,1300.775,1255.0,1255.0,373570.592,468831092.96
2021-06-15,1257.5,1287.5,1255.0,1278.75,452393.512,578498203.47
2021-06-16,1273.75,1333.75,1261.25,1293.75,812466.4,1051128405.0
2021-06-17,1305.0,1306.25,1232.5,1243.75,822593.656,1023100859.65
2021-06-18,1261.25,1281.25,1248.75,1272.5,652547.52,830366719.2
2021-06-21,1271.25,1296.25,1245.0,1250.0,488807.32,611009150.0
2021-06-22,1251.25,1255.0,1208.75,1215.0,591275.752,718400038.68
2021-06-23,1213.75,1221.25,1200.0,1212.5,417637.552,506385531.8
2021-06-24,1191.25,1197.5,1173.75,1190.0,562974.992,669940240.48
2021-06-25,1183.75,1201.25,1181.25,1192.5,473511.304,564662230.02
2021-06-28,1181.25,1181.25,1148.75,1150.0,479221.6,551104840.0
2021-06-29,1152.5,1160.625,1137.5,1137.5,413761.184,470653346.8
2021-06-30,1140.0,1148.75,1136.25,1142.5,361911.312,413483673.96
2021-07-01,1147.5,1160.0,1137.5,1142.5,374674.32,428065410.6
2021-07-02,1123.125,1126.25,1100.0,1102.5,452680.408,499080149.82
2021-07-06,1096.25,1122.5,1085.0,1089.375,752240.344,819471824.745
2021-07-07,1067.5,1100.0,1065.0,1081.25,795750.968,860405734.15
2021-07-08,1127.5,1140.0,1092.5,1101.25,882073.32,971383243.65
2021-07-09,1107.5,1112.5,1076.25,1080.0,516156.864,557449413.12
2021-07-12,1066.25,1082.5,1063.75,1068.75,418965.04,447768886.5
2021-07-13,1071.25,1075.0,1040.0,1068.75,832274.76,889493649.75
