timestamps,open,high,low,close,volume,amount
2021-05-28,36.99,37.48,36.89,37.34,1056712.0,39457626.080000006
2021-06-01,37.69,37.83,37.27,37.44,2116495.0,79241572.8
2021-06-02,36.89,37.41,36.79,37.11,1638618.0,60809113.98
2021-06-03,36.84,36.86,36.34,36.34,1333725.0,48467566.50000001
2021-06-04,36.86,37.3,36.78,37.17,1058340.0,39338497.8
2021-06-07,37.23,37.23,36.7,36.81,1297136.0,47747576.16
2021-06-08,37.14,37.17,36.661,36.83,1409223.0,51901683.09
2021-06-09,37.15,37.26,36.99,37.09,1184164.0,43920642.760000005
2021-06-10,37.54,38.01,37.49,37.82,1505209.0,56927004.38
2021-06-11,38.06,38.21,37.95,38.2,1465437.0,55979693.400000006
2021-06-14,38.13,38.73,37.93,38.72,1473241.0,57043891.52
2021-06-15,38.335,38.535,37.93,38.02,1560253.0,59320819.06
2021-06-16,38.29,38.47,37.65,37.83,1211623.0,45835698.09
2021-06-17,37.41,38.08,37.365,37.85,2218208.0,83959172.8
2021-06-18,36.78,36.88,35.93,35.95,6437948.0,231444230.6
2021-06-21,36.12,36.19,35.7493,36.11,1457099.0,52615844.89
2021-06-22,36.3,36.49,36.13,36.42,1091214.0,39742013.88
2021-06-23,36.22,36.37,36.01,36.07,917393.0,33090365.51
2021-06-24,36.71,36.9486,36.56,36.74,944017.0,34683184.58
2021-06-25,36.83,36.91,36.52,36.52,855844.0,31255422.880000003
2021-06-28,36.56,37.28,36.56,37.12,1595870.0,59238694.4
2021-06-29,36.96,37.36,36.83,37.28,923165.0,34415591.2
2021-06-30,36.56,36.68,36.165,36.38,1309080.0,47624330.400000006
2021-07-01,36.67,36.74,36.32,36.43,1260651.0,45925515.93
2021-07-02,37.21,37.35,37.035,37.22,1143642.0,42566355.24
2021-07-06,37.71,37.86,37.02,37.36,1394460.0,52097025.6
2021-07-07,37.81,37.91,37.305,37.49,2615797.0,98066229.53
2021-07-08,36.34,36.84,36.21,36.68,2195370.0,80526171.6
2021-07-09,37.93,38.175,37.51,38.14,1687298.0,64353545.72
2021-07-12,38.64,38.68,38.23,38.61,1113419.0,42989107.59
2021-07-13,38.04,38.4,38.01,38.17,830396.0,31696215.32
2021-07-14,39.43,39.69,39.085,39.12,2588669.0,101268731.28
2021-07-15,38.61,38.685,37.93,38.12,2225410.0,84832629.19999999
