timestamps,open,high,low,close,volume,amount
2021-05-28,98.05,98.05,94.95,95.75,2333616.0,223443732.0
2021-06-01,98.15,98.87,96.51,98.25,2214848.0,217608816.0
2021-06-02,98.88,100.39,97.55,98.03,2157455.0,211495313.65
2021-06-03,96.4,97.99,96.06,97.57,1391980.0,135815488.6
2021-06-04,98.11,99.51,97.72,99.12,1250013.0,123901288.56
2021-06-07,99.7028,99.74,97.64,98.65,1734402.0,171098757.3
2021-06-08,99.09,101.19,96.88,100.83,3200671.0,322723656.93
2021-06-09,101.65,101.65,99.3,99.33,2284656.0,226934880.48
2021-06-10,99.7,100.1499,96.82,97.46,2105448.0,205196962.08
2021-06-11,97.89,99.35,96.02,96.77,2318443.0,224355729.11
2021-06-14,96.76,97.01,94.03,94.66,2018746.0,191094496.36
2021-06-15,95.12,95.7,93.77,93.94,1382754.0,129895910.76
2021-06-16,93.75,94.27,92.38,92.69,1840044.0,170553678.35999998
2021-06-17,92.0,92.57,87.62,88.82,3802861.0,337770114.02
2021-06-18,87.275,87.87,85.0,85.3,4831656.0,412140256.8
2021-06-21,86.3934,86.67,84.68,85.31,2641813.0,225373067.03
2021-06-22,85.33,85.36,83.69,84.5,2459802.0,207853269.0
2021-06-23,84.79,85.99,83.93,84.76,2263740.0,191874602.4
2021-06-24,86.87,86.87,85.5,86.39,1986240.0,171591273.6
2021-06-25,86.24,87.7,86.1,86.5,1727859.0,149459803.5
2021-06-28,86.5,87.1099,86.0,86.21,1428505.0,123151416.05
2021-06-29,86.5,87.8198,86.3,87.68,1739842.0,152549346.56
2021-06-30,88.54,88.8,87.06,87.93,1533779.0,134865187.47
2021-07-01,88.1,88.39,86.49,86.62,1648872.0,142825292.64000002
2021-07-02,86.9362,87.17,85.79,87.03,1289859.0,112256428.77
2021-07-06,86.71,87.61,85.12,85.63,1729056.0,148059065.28
2021-07-07,86.06,88.065,85.54,87.82,2161819.0,189850944.58
2021-07-08,85.005,87.98,84.58,86.5,1894375.0,163863437.5
2021-07-09,87.54,88.61,87.036,87.96,1437257.0,126421125.71999998
2021-07-12,88.45,89.43,87.765,88.98,1384253.0,123170831.94
2021-07-13,88.005,89.295,87.54,88.5,1584179.0,140199841.5
2021-07-14,89.5,90.33,88.84,89.62,1500139.0,134442457.18
2021-07-15,90.57,90.72,85.46,86.15,2136268.0,184039488.2
2021-07-16,86.39,86.985,84.07,84.46,1612020.0,136151209.2
2021-07-19,83.05,84.44,82.13,84.29,1938060.0,163359077.4
2021-07-20,84.25,86.01,84.06,85.49,2470515.0,211204327.35
2021-07-21,81.75,83.99,78.86,82.6,6407581.0,529266190.6
2021-07-22,82.48,83.83,81.96,83.14,2309882.0,192043589.48
2021-07-23,83.21,85.6,83.17,85.48,2723169.0,232776486.12
2021-07-26,85.73,87.3,85.73,86.27,2467321.0,212855782.67
2021-07-27,85.98,86.055,83.13,85.18,2111675.0,179872476.5
2021-07-28,85.22,87.0637,85.11,86.6,1436913.0,124436665.8
2021-07-29,87.7292,87.7292,85.75,87.2,1011183.0,88175157.60000001
2021-07-30,86.7521,88.95,86.5144,87.9,3085135.0,271183366.5
2021-08-02,88.65,89.27,87.82,88.5,2174076.0,192405726.0
