timestamps,open,high,low,close,volume,amount
2021-05-28,256.22,259.46,255.09,255.27,957896.0,244522111.92
2021-06-01,260.0,260.0,255.23,255.79,1484834.0,379805688.86
2021-06-02,255.47,256.17,250.08,250.72,1158397.0,290433295.84
2021-06-03,249.06,250.52,246.22,249.7,1122716.0,280342185.2
2021-06-04,251.01,253.14,250.33,251.83,697701.0,175702042.83
2021-06-07,252.78,253.42,248.75,249.54,1187192.0,296251891.68
2021-06-08,251.59,251.59,246.01,249.74,989854.0,247206137.96
2021-06-09,251.56,253.33,251.125,253.13,942757.0,238640079.41
2021-06-10,253.67,256.85,253.65,256.66,932224.0,239264611.84000003
2021-06-11,257.11,257.11,254.06,255.79,735037.0,188015114.23
2021-06-14,256.01,256.01,254.17,255.69,764919.0,195582139.11
2021-06-15,256.44,257.5,255.24,256.68,756355.0,194141201.4
2021-06-16,257.4,258.39,255.48,256.4,1257201.0,322346336.4
2021-06-17,256.25,260.235,256.25,259.55,1183311.0,307128370.05
2021-06-18,258.01,258.71,254.66,254.91,1548233.0,394660074.03
2021-06-21,255.91,260.29,254.695,259.73,792554.0,205850050.42
2021-06-22,260.0,263.75,259.185,262.74,1329362.0,349276571.88
2021-06-23,262.43,264.37,261.5,262.64,1125362.0,295565075.68
2021-06-24,263.93,264.33,261.28,261.39,579714.0,151531442.45999998
2021-06-25,261.57,264.44,261.57,263.0,2553108.0,671467404.0
2021-06-28,264.25,264.25,259.19,260.36,934527.0,243313449.72
2021-06-29,260.92,262.49,259.95,260.44,734883.0,191392928.52
2021-06-30,259.95,260.7656,258.495,259.73,757904.0,196850405.92
2021-07-01,260.51,262.73,259.02,262.7,1277502.0,335599775.4
2021-07-02,262.9,265.76,262.69,265.42,985430.0,261552830.6
2021-07-06,265.4,265.91,262.18,264.86,1241269.0,328762507.34000003
2021-07-07,265.43,265.95,263.64,265.34,777061.0,206185365.74
2021-07-08,262.29,264.11,260.28,263.94,741573.0,195730777.62
2021-07-09,265.01,265.27,263.61,264.43,1184813.0,313300101.59000003
2021-07-12,262.9,265.56,262.36,264.92,880824.0,233347894.08
2021-07-13,265.0,265.0999,261.18,261.6,957732.0,250542691.2
2021-07-14,262.89,262.94,259.84,261.36,871042.0,227655537.12
2021-07-15,259.84,260.78,255.75,257.05,1624156.0,417489299.8
2021-07-16,257.3,258.17,256.0,257.59,1235961.0,318371193.98999995
2021-07-19,254.32,254.58,247.61,248.9,1766184.0,439603197.6
2021-07-20,248.86,256.96,248.86,255.18,1675197.0,427476770.46
2021-07-21,258.16,258.98,256.4,258.68,1409102.0,364506505.36
2021-07-22,258.84,259.64,255.82,259.1,1049386.0,271895912.6
2021-07-23,260.02,262.88,259.02,262.67,991497.0,260436516.99
2021-07-26,261.58,263.9,259.835,263.53,1434429.0,378015074.36999995
2021-07-27,263.35,269.74,261.07,268.35,1419850.0,381016747.50000006
2021-07-28,273.66,275.15,265.255,268.68,1919115.0,515627818.2
2021-07-29,269.21,270.23,265.94,269.18,1217293.0,327670929.74
2021-07-30,268.7,272.04,268.3101,270.94,1050355.0,284583183.7
2021-08-02,271.65,273.54,269.44,270.07,1123941.0,303542745.87
2021-08-03,269.66,269.78,265.8,268.01,1030157.0,276092377.57
2021-08-04,266.84,267.29,262.0,262.58,1375871.0,361276207.18
2021-08-05,263.47,264.58,260.89,264.51,1268957.0,335651816.07
2021-08-06,264.92,265.45,261.66,262.56,1124286.0,295192532.16
2021-08-09,262.1,262.7445,256.79,257.55,1316720.0,339121236.0
2021-08-10,257.66,257.92,251.89,253.51,2318929.0,587871690.79
