timestamps,open,high,low,close,volume,amount
2021-05-28,29.71,29.71,29.37,29.43,41569028.0,1223376494.04
2021-06-01,29.46,29.525,29.22,29.32,40543421.0,1188733103.72
2021-06-02,29.3,29.64,29.15,29.61,40974189.0,1213245736.29
2021-06-03,29.46,29.565,29.19,29.23,46664195.0,1363994419.85
2021-06-04,29.24,29.34,29.19,29.27,34721402.0,1016295436.54
2021-06-07,29.3,29.33,29.01,29.08,33749593.0,981438164.44
2021-06-08,29.03,29.04,28.725,28.98,62699451.0,1817030089.98
2021-06-09,28.95,29.18,28.88,29.01,29875242.0,866680770.4200001
2021-06-10,29.01,29.29,29.0,29.18,35368339.0,1032048132.02
2021-06-11,29.22,29.35,29.13,29.32,31651738.0,928028958.16
2021-06-14,29.23,29.275,28.96,29.09,27883322.0,811125836.98
2021-06-15,29.06,29.3,29.04,29.28,26785758.0,784286994.24
2021-06-16,29.28,29.34,28.99,29.06,31006902.0,901060572.12
2021-06-17,29.04,29.1467,28.71,28.74,36271229.0,1042435121.46
2021-06-18,28.63,28.765,28.41,28.65,69418339.0,1988835412.35
2021-06-21,28.72,28.95,28.67,28.93,34187237.0,989036766.41
2021-06-22,28.94,29.0,28.77,28.78,31805474.0,915361541.72
2021-06-23,28.8,28.92,28.64,28.65,24367962.0,698142111.3
2021-06-24,28.71,28.84,28.61,28.79,36204651.0,1042331902.29
2021-06-25,28.7,28.95,28.66,28.89,28554438.0,824937713.82
2021-06-28,28.91,28.91,28.75,28.78,27660876.0,796080011.2800001
2021-06-29,28.8,29.04,28.65,28.66,32755047.0,938759647.02
2021-06-30,28.66,28.86,28.65,28.78,33429743.0,962108003.54
2021-07-01,28.89,29.22,28.86,29.11,26932132.0,783994362.52
2021-07-02,29.11,29.35,29.1,29.23,29212078.0,853869039.94
2021-07-06,29.28,29.33,28.95,29.02,40976986.0,1189152133.72
2021-07-07,29.03,29.07,28.86,28.93,34474975.0,997361026.75
2021-07-08,28.27,28.37,28.09,28.18,40953729.0,1154076083.22
2021-07-09,28.25,28.5375,28.24,28.45,34395113.0,978540964.85
2021-07-12,28.34,28.58,28.23,28.48,27527242.0,783975852.16
2021-07-13,28.48,28.62,28.22,28.27,29500606.0,833982131.62
2021-07-14,28.26,28.36,28.16,28.26,32515388.0,918884864.88
2021-07-15,28.24,28.5,28.205,28.43,27760028.0,789217596.04
2021-07-16,28.4998,28.63,28.3,28.34,26964230.0,764166278.2
2021-07-19,28.11,28.2,27.5,27.79,58309388.0,1620417892.52
2021-07-20,27.71,28.18,27.65,27.91,35510131.0,991087756.21
2021-07-21,28.08,28.3,27.85,27.9,31227996.0,871261088.4
2021-07-22,28.26,28.35,27.74,28.01,37576868.0,1052528072.68
2021-07-23,27.97,28.207,27.935,28.15,30755411.0,865764819.65
2021-07-26,28.08,28.24,28.01,28.18,37170424.0,1047462548.32
2021-07-27,28.01,28.395,27.88,28.2,34978201.0,986385268.2
2021-07-28,28.15,28.29,27.86,28.01,32276292.0,904058938.92
2021-07-29,28.19,28.45,28.11,28.29,31819474.0,900172919.4599999
2021-07-30,28.37,28.4,28.01,28.05,37502241.0,1051937860.05
2021-08-02,28.24,28.55,28.03,28.11,32542780.0,914777545.8
2021-08-03,28.08,28.25,27.91,28.19,28487712.0,803068601.2800001
2021-08-04,28.04,28.12,27.81,27.85,29441177.0,819936779.45
2021-08-05,27.87,28.01,27.86,27.94,21025516.0,587452917.0400001
2021-08-06,27.91,28.09,27.91,27.96,23083584.0,645417008.64
2021-08-09,27.97,28.0,27.81,27.85,25196008.0,701708822.8000001
2021-08-10,27.82,28.11,27.77,28.09,22260375.0,625293933.75
2021-08-11,28.08,28.22,28.02,28.16,20500677.0,577299064.32
2021-08-12,28.2,28.22,27.95,28.02,19014073.0,532774325.46
2021-08-13,28.04,28.26,28.0,28.19,21942742.0,618565896.98
2021-08-16,28.14,28.29,27.98,28.2,20506969.0,578296525.8
2021-08-17,28.08,28.27,28.0133,28.19,19910486.0,561276600.34
2021-08-18,28.06,28.1497,27.8,27.83,27643337.0,769314068.7099999
2021-08-19,27.8,27.85,27.5,27.53,37675030.0,1037193575.9
2021-08-20,27.52,27.84,27.43,27.57,27760041.0,765344330.37
2021-08-23,27.62,27.72,27.5,27.52,27958858.0,769427772.16
2021-08-24,27.53,27.56,27.37,27.45,28951781.0,794726388.4499999
2021-08-25,27.45,27.52,27.34,27.43,22438265.0,615481608.95
2021-08-26,27.4,27.42,27.01,27.02,37203441.0,1005236975.82
2021-08-27,27.04,27.195,26.88,27.13,32240303.0,874679420.39
2021-08-30,27.12,27.3,27.05,27.23,30414431.0,828184956.13
2021-08-31,27.19,27.495,27.12,27.42,39800862.0,1091339636.04
2021-09-01,27.44,27.46,27.14,27.19,28358226.0,771060164.94
2021-09-02,27.18,27.87,27.16,27.64,60977318.0,1685413069.52
2021-09-03,27.64,27.75,27.32,27.56,27047990.0,745442604.4
2021-09-07,27.47,27.55,27.365,27.42,27073243.0,742348323.0600001
2021-09-08,27.46,27.735,27.46,27.6,28682982.0,791650303.2
2021-09-09,27.57,27.67,27.41,27.42,30065360.0,824392171.2
2021-09-10,27.48,27.49,27.16,27.18,28886367.0,785131455.06
2021-09-13,27.34,27.75,27.33,27.52,39249484.0,1080145799.68
2021-09-14,27.55,27.61,27.25,27.33,29075745.0,794640110.8499999
2021-09-15,27.35,27.65,27.31,27.57,34132548.0,941034348.36
2021-09-16,27.56,27.74,27.4441,27.6,28732423.0,793014874.8000001
2021-09-17,27.42,27.94,27.42,27.53,67979007.0,1871462062.71
2021-09-20,27.32,27.37,26.94,27.21,48815322.0,1328264911.62
2021-09-21,27.305,27.43,26.94,26.96,35589226.0,959485532.96
2021-09-22,27.02,27.2058,26.99,27.01,31684779.0,855805880.7900001
2021-09-23,27.06,27.29,27.0218,27.19,34023964.0,925111581.16
2021-09-24,27.15,27.38,27.1,27.13,24476239.0,664040364.0699999
2021-09-27,27.17,27.65,27.16,27.4,32153916.0,881017298.4
2021-09-28,27.44,27.74,27.19,27.24,32928582.0,896974573.68
2021-09-29,27.28,27.57,27.17,27.4,31434652.0,861309464.8
2021-09-30,27.48,27.51,27.01,27.01,44732991.0,1208238086.91
2021-10-01,27.135,27.4,27.01,27.16,31540441.0,856638377.5600001
2021-10-04,27.24,27.455,27.09,27.25,43725387.0,1191516795.75
2021-10-05,27.3,27.48,27.165,27.35,32212451.0,881010534.85
2021-10-06,27.26,27.335,26.97,27.31,55833607.0,1524815807.1699998
2021-10-07,27.0,27.23,26.97,27.09,48642679.0,1317730174.11
2021-10-08,27.06,27.119,26.75,26.77,39447286.0,1056003846.22
2021-10-11,26.69,26.77,26.03,26.03,64547524.0,1680172049.72
