timestamps,open,high,low,close,volume,amount
2021-05-28,233.67,239.2638,233.205,233.28,1010558.0,235742970.24
2021-06-01,233.49,234.65,225.125,231.98,963320.0,223470973.6
2021-06-02,231.06,234.5875,230.36,231.45,780733.0,180700652.85
2021-06-03,228.33,230.67,221.09,221.37,1196379.0,264842419.23
2021-06-04,225.29,227.76,224.07,225.88,764795.0,172751894.6
2021-06-07,224.56,228.44,221.46,228.13,776496.0,177142032.48
2021-06-08,230.0,234.74,226.49,228.93,967981.0,221599890.33
2021-06-09,230.79,234.92,230.74,232.31,950767.0,220872681.77
2021-06-10,229.2,239.04,229.1,238.56,1137955.0,271470544.8
2021-06-11,238.81,244.66,236.411,244.09,1452774.0,354607605.66
2021-06-14,245.0,250.99,243.1101,250.89,1714725.0,430207355.25
2021-06-15,250.0,251.5,244.29,245.8,604564.0,148601831.20000002
2021-06-16,245.7,251.99,243.23,248.46,1257307.0,312390497.22
2021-06-17,247.34,263.0,246.32,262.51,1783468.0,468178184.68
2021-06-18,262.15,267.56,261.5427,266.56,2097424.0,559089341.44
2021-06-21,264.51,268.52,258.39,267.16,1229723.0,328532796.68
2021-06-22,267.44,270.01,264.5,267.96,1234190.0,330713552.4
2021-06-23,267.03,269.99,265.08,267.49,1060705.0,283727980.45
2021-06-24,269.64,272.13,266.62,266.96,848494.0,226513958.24
2021-06-25,268.41,268.77,262.08,264.69,1034817.0,273905711.73
2021-06-28,265.22,267.58,262.54,263.23,1523693.0,401081708.3900001
2021-06-29,264.54,266.305,260.58,264.15,1658644.0,438130812.6
2021-06-30,262.89,262.89,255.3,256.86,1023178.0,262813501.08
2021-07-01,256.23,259.85,255.35,258.43,638421.0,164987139.03
2021-07-02,259.71,263.81,259.145,262.72,665333.0,174796285.76000002
2021-07-06,262.99,271.98,262.99,268.43,850622.0,228332463.46
2021-07-07,270.5,273.34,267.35,269.06,788937.0,212271389.22
2021-07-08,264.02,268.58,262.71,266.66,666919.0,177840620.54000002
2021-07-09,265.21,269.145,260.23,268.64,882449.0,237061099.36
2021-07-12,271.07,275.67,260.71,261.36,1662968.0,434633316.48
2021-07-13,260.81,265.655,258.67,261.14,1441631.0,376467519.34
2021-07-14,263.89,267.64,257.33,259.22,1178571.0,305509174.62
2021-07-15,260.39,265.41,256.51,259.36,787076.0,204136031.36
2021-07-16,260.35,263.84,259.66,260.64,458718.0,119560259.52
2021-07-19,259.0,263.58,257.63,262.87,610757.0,160549692.59
2021-07-20,264.5,269.98,260.0,267.62,955927.0,255825183.74
2021-07-21,266.99,269.12,263.85,268.85,758756.0,203991550.6
2021-07-22,262.0,269.34,261.68,269.13,884651.0,238086123.63
2021-07-23,269.58,273.0,266.85,271.29,751249.0,203806341.21
2021-07-26,270.87,270.87,265.24,267.54,813743.0,217708802.22000003
2021-07-27,267.61,269.36,259.99,264.97,888645.0,235464265.65000004
2021-07-28,265.13,269.98,264.02,269.08,546316.0,147002709.28
2021-07-29,267.5,271.62,264.88,266.79,1147789.0,306218627.31
2021-07-30,310.0,349.5,310.0,325.12,6133589.0,1994152455.68
2021-08-02,324.2,326.97,313.4041,322.58,1948033.0,628396485.14
2021-08-03,325.62,336.65,324.335,329.42,1081132.0,356146503.44
2021-08-04,328.86,341.42,328.56,340.44,1326257.0,451510933.08
2021-08-05,340.21,343.15,335.38,342.43,1273383.0,436044540.69
2021-08-06,338.05,339.8,331.3,334.51,893196.0,298782993.96
2021-08-09,336.28,337.74,331.39,335.84,1247787.0,419056786.08
2021-08-10,337.61,340.5,325.75,327.52,1358528.0,444945090.56
2021-08-11,329.98,333.36,326.0,332.56,946527.0,314777019.12
2021-08-12,329.95,340.77,329.71,338.04,579860.0,196015874.4
2021-08-13,338.01,340.24,335.75,337.94,471602.0,159373179.88
2021-08-16,336.83,339.05,324.72,334.02,562690.0,187949713.8
2021-08-17,332.58,338.98,328.8,336.73,637600.0,214699048.0
2021-08-18,335.92,343.57,335.16,337.73,685367.0,231468996.91000003
2021-08-19,335.13,338.57,332.1905,334.56,961389.0,321642303.84
2021-08-20,334.47,346.64,334.47,346.0,914167.0,316301782.0
2021-08-23,342.23,353.6196,342.12,352.49,904222.0,318729212.78000003
2021-08-24,351.78,356.605,351.78,353.89,875417.0,309801322.13
2021-08-25,349.74,356.09,349.52,353.41,678357.0,239738147.37
2021-08-26,352.18,357.5,349.82,349.99,838834.0,293583511.66
2021-08-27,350.99,359.31,350.99,358.34,651513.0,233463168.42
2021-08-30,360.0,368.3294,360.0,366.03,799323.0,292576197.69
2021-08-31,364.33,368.12,362.59,367.06,853568.0,313310670.08
2021-09-01,369.05,373.44,368.0,371.7,694451.0,258127436.7
2021-09-02,371.88,376.36,370.4808,376.0,624037.0,234637912.0
2021-09-03,376.04,387.475,375.13,384.59,1197553.0,460566908.27
2021-09-07,383.39,384.98,379.24,381.69,918825.0,350706314.25
2021-09-08,380.41,385.94,378.9954,381.75,801044.0,305798547.0
2021-09-09,380.17,383.63,377.315,378.84,865830.0,328011037.2
2021-09-10,379.4,385.82,378.98,379.97,893869.0,339643403.93
2021-09-13,379.77,379.77,371.84,376.71,862666.0,324974908.85999995
2021-09-14,380.24,393.189,379.265,389.39,1132806.0,441103328.34
2021-09-15,387.47,394.99,386.8201,394.53,960190.0,378823760.7
2021-09-16,394.4,404.535,392.45,403.91,780500.0,315251755.0
2021-09-17,404.0,409.6,397.39,404.6,2222845.0,899363087.0
2021-09-20,395.22,402.69,392.1394,400.59,1273580.0,510183412.2
2021-09-21,408.46,420.23,404.695,405.98,1629550.0,661564709.0
2021-09-22,405.96,409.68,401.79,406.4,1236753.0,502616419.2
2021-09-23,407.94,412.0,401.245,409.6,1244610.0,509792256.0
2021-09-24,411.33,414.72,401.455,413.94,796393.0,329658918.42
2021-09-27,405.5,409.77,388.18,391.89,1444171.0,565956173.1899999
2021-09-28,383.71,391.11,375.5,381.58,1698501.0,648114011.5799999
2021-09-29,385.0,391.72,378.02,387.6,883400.0,342405840.0
2021-09-30,391.94,398.25,390.1394,391.42,854559.0,334491483.78000003
2021-10-01,393.0,395.68,383.9,392.22,1323541.0,519119251.02
2021-10-04,390.76,390.76,376.0,382.71,1277618.0,488957184.78
2021-10-05,385.7,392.57,384.78,389.94,1002271.0,390825553.74
2021-10-06,385.79,398.5,385.36,395.19,1050696.0,415224552.24
2021-10-07,397.6,402.06,392.29,392.98,880067.0,345848729.66
2021-10-08,400.17,402.0,387.16,390.74,796191.0,311103671.34000003
2021-10-11,387.15,396.47,385.35,389.5,493652.0,192277454.0
2021-10-12,393.27,402.44,391.45,397.47,567101.0,225405634.47000003
2021-10-13,401.32,407.91,399.33,407.04,697806.0,284034954.24
2021-10-14,412.61,415.88,406.165,406.73,583935.0,237503882.55
