timestamps,open,high,low,close,volume,amount
2021-05-28,136.23,136.89,135.27,135.68,1145441.0,155413434.88
2021-06-01,137.25,138.24,136.59,137.52,1410589.0,193984199.28
2021-06-02,137.66,138.365,136.745,137.17,1758309.0,241187245.52999997
2021-06-03,136.08,138.24,135.405,137.12,1372343.0,188175672.16
2021-06-04,137.98,139.41,137.68,139.36,1345337.0,187486164.32
2021-06-07,139.37,139.58,138.07,139.01,1774282.0,246642940.82
2021-06-08,139.26,139.5,137.25,137.95,1517904.0,209394856.8
2021-06-09,138.2,138.2,135.37,135.69,1686155.0,228794371.95
2021-06-10,136.58,137.09,135.25,136.94,970948.0,132961619.12
2021-06-11,138.74,138.94,136.34,137.0,976158.0,133733646.0
2021-06-14,136.5,137.12,135.9,137.1,1186766.0,162705618.6
2021-06-15,137.07,137.22,136.07,136.65,604597.0,82618180.05
2021-06-16,136.63,137.5258,135.36,135.96,989829.0,134577150.84
2021-06-17,135.87,136.11,132.69,133.81,1532977.0,205127652.37
2021-06-18,132.01,132.6,129.15,129.16,2735489.0,353315759.24
2021-06-21,130.21,131.8,130.135,131.64,1583103.0,208399678.92
2021-06-22,131.32,132.33,130.48,131.68,1059975.0,139577508.0
2021-06-23,132.34,133.1,131.24,132.17,1053136.0,139192985.11999995
2021-06-24,133.57,133.91,132.72,133.64,671834.0,89783895.75999999
2021-06-25,134.2,134.66,133.41,133.8,1089752.0,145808817.60000002
2021-06-28,134.33,134.51,131.5,133.03,1629879.0,216822803.37
2021-06-29,133.45,135.51,133.365,135.16,1130452.0,152791892.32
2021-06-30,134.37,135.73,134.045,135.21,1577497.0,213293369.37
2021-07-01,136.07,136.87,135.185,136.73,1727910.0,236257134.3
2021-07-02,137.19,138.33,136.67,138.27,1274569.0,176234655.63000005
2021-07-06,137.76,138.08,134.84,135.82,1739366.0,236240690.11999995
2021-07-07,136.35,137.535,135.53,137.05,1154570.0,158233818.5
2021-07-08,134.07,135.92,133.015,135.04,1178326.0,159121143.04
2021-07-09,136.96,138.2,135.85,138.0,1038498.0,143312724.0
2021-07-12,137.95,138.96,137.4339,138.64,601596.0,83405269.44
2021-07-13,137.93,138.32,137.44,137.61,1276658.0,175680907.38000005
2021-07-14,138.76,139.5,137.225,138.39,1099344.0,152138216.16
2021-07-15,137.08,137.99,135.86,136.88,1022103.0,139905458.64
2021-07-16,137.39,137.82,134.17,134.31,881072.0,118336780.32
2021-07-19,131.82,132.91,130.72,132.38,1269742.0,168088445.96
2021-07-20,132.53,135.99,132.14,135.52,1372010.0,185934795.2
2021-07-21,136.59,139.34,136.375,139.3,1163786.0,162115389.8
2021-07-22,139.43,139.43,136.635,137.97,1402069.0,193443459.93
2021-07-23,139.21,139.32,137.52,138.35,1545692.0,213846488.2
2021-07-26,138.32,138.94,137.405,138.66,1163160.0,161283765.6
2021-07-27,138.05,138.05,135.62,137.65,1750112.0,240902916.8
2021-07-28,141.0,144.67,140.28,141.93,3119560.0,442759150.8
2021-07-29,143.54,146.66,142.53,146.17,1745299.0,255110354.83
2021-07-30,145.45,147.69,145.415,147.47,1761977.0,259838748.19
2021-08-02,148.29,150.58,148.0,148.5,2823421.0,419278018.5
2021-08-03,148.95,149.6,147.455,149.4,1550412.0,231631552.8
2021-08-04,149.125,150.0,148.23,148.94,1255411.0,186980914.34
2021-08-05,149.5,149.5,147.79,148.52,1061359.0,157633038.68
2021-08-06,148.97,150.16,148.705,149.62,849298.0,127071966.76
2021-08-09,149.23,150.02,148.53,149.61,698130.0,104447229.3
