timestamps,open,high,low,close,volume,amount
2021-05-28,131.0,132.95,130.62,132.35,1211849.0,160388215.15
2021-06-01,133.47,135.35,130.24,130.78,1090916.0,142669994.48
2021-06-02,130.24,132.05,129.345,131.01,803847.0,105311995.47
2021-06-03,129.01,129.64,126.93,128.32,1140981.0,146410681.92
2021-06-04,127.57,131.98,127.14,131.68,1038973.0,136811964.64000002
2021-06-07,131.35,131.69,130.14,130.8,711264.0,93033331.2
2021-06-08,131.83,132.5,125.2,126.78,1930496.0,244748282.88
2021-06-09,126.8,128.44,124.67,124.71,1245851.0,155370078.20999998
2021-06-10,124.68,128.205,124.19,127.87,1857996.0,237581948.52
2021-06-11,128.67,128.68,126.46,127.98,1497601.0,191662975.98
2021-06-14,128.0,131.54,127.6825,131.48,1035241.0,136113486.67999998
2021-06-15,131.42,132.55,129.85,130.31,1098298.0,143119212.38
2021-06-16,131.26,132.21,127.16,128.28,1051940.0,134942863.2
2021-06-17,127.92,130.02,126.825,129.59,1379873.0,178817742.07
2021-06-18,127.63,129.32,123.53,124.86,2771003.0,345987434.58
2021-06-21,125.31,126.37,124.16,126.22,1589721.0,200654584.62
2021-06-22,126.05,126.71,124.57,125.96,1313783.0,165484106.67999998
2021-06-23,125.65,127.84,125.65,127.2,913381.0,116182063.2
2021-06-24,128.69,130.99,128.32,130.61,1339835.0,174995849.35000002
2021-06-25,131.45,132.7,128.35,129.55,2613202.0,338540319.1
2021-06-28,131.31,133.4643,130.49,132.75,1388926.0,184379926.5
2021-06-29,132.27,135.19,131.95,134.31,1314394.0,176536258.14000002
2021-06-30,134.7,134.95,132.46,133.96,838740.0,112357610.4
2021-07-01,133.45,133.87,129.24,129.38,1262816.0,163383134.07999998
2021-07-02,130.89,131.0,127.96,128.53,928233.0,119305787.49
2021-07-06,128.6732,128.99,124.57,126.47,1599840.0,202331764.8
2021-07-07,127.94,127.94,122.85,123.44,2780743.0,343254915.92
2021-07-08,120.38,123.68,119.15,122.82,1458303.0,179108774.45999998
2021-07-09,123.69,125.96,122.36,125.7,1251607.0,157326999.9
2021-07-12,126.08,127.27,125.14,127.08,1074643.0,136565632.44
2021-07-13,126.26,128.05,125.55,126.79,1038218.0,131635660.22
2021-07-14,128.14,130.88,125.92,126.27,1114500.0,140727915.0
2021-07-15,125.81,125.81,122.17,123.13,1528627.0,188219842.51
2021-07-16,123.63,124.8,119.64,119.89,1145752.0,137364207.28
2021-07-19,118.21,120.15,116.39,120.06,1422464.0,170781027.84
2021-07-20,121.3942,124.64,119.805,123.78,1324596.0,163958492.88
2021-07-21,124.35,128.52,124.17,128.46,1210047.0,155442637.62
2021-07-22,127.73,129.17,126.035,126.72,1013173.0,128389282.56
2021-07-23,128.23,129.47,126.83,128.8,850207.0,109506661.6
2021-07-26,128.0,129.91,126.985,127.43,1153101.0,146939660.43
2021-07-27,126.5,126.91,120.77,123.46,2501175.0,308795065.5
2021-07-28,119.18,124.02,117.7,122.08,2342816.0,286010977.28
2021-07-29,124.32,127.3,123.88,125.65,2027664.0,254775981.6
2021-07-30,123.94,128.87,123.94,127.0,1148405.0,145847435.0
2021-08-02,127.62,130.28,126.78,127.02,1004439.0,127583841.78
2021-08-03,127.54,128.25,124.84,126.74,915362.0,116012979.88
2021-08-04,126.67,129.02,126.4,127.9,1052826.0,134656445.4
2021-08-05,128.3,128.58,126.03,126.58,912325.0,115482098.5
2021-08-06,126.11,127.73,125.65,126.87,673716.0,85474348.92
2021-08-09,127.3,127.63,125.595,125.94,650905.0,81974975.7
2021-08-10,126.12,126.72,120.19,122.48,1341587.0,164317575.76
2021-08-11,122.93,123.05,118.83,121.38,1354296.0,164384448.48
2021-08-12,120.1,120.12,118.09,118.65,1292563.0,153362599.95000002
2021-08-13,118.13,119.16,117.75,118.75,977841.0,116118618.75
2021-08-16,118.32,119.59,117.3,118.47,946664.0,112151284.08
2021-08-17,117.12,117.43,114.62,116.09,1087264.0,126220477.76
2021-08-18,116.06,117.61,113.83,114.01,1499416.0,170948418.16
2021-08-19,113.5479,115.08,112.0,114.21,1433071.0,163671038.91
2021-08-20,114.38,115.43,112.16,113.56,1478357.0,167882220.92000002
2021-08-23,114.15,117.2,114.15,116.65,878332.0,102457427.8
2021-08-24,117.85,118.8,116.5,116.8,976583.0,114064894.4
