timestamps,open,high,low,close,volume,amount
2021-05-28,228.0,228.35,226.18,226.92,2679272.0,607980402.24
2021-06-01,227.56,228.79,226.05,227.27,3470501.0,788740762.27
2021-06-02,226.41,229.14,226.15,228.38,3370672.0,769794071.36
2021-06-03,228.34,230.23,227.01,229.18,3188954.0,730844477.72
2021-06-04,230.2,231.61,228.71,231.34,3020323.0,698721522.82
2021-06-07,231.5,232.66,230.39,230.89,2255496.0,520771471.44
2021-06-08,234.27,236.36,232.55,235.1,3521465.0,827896421.5
2021-06-09,234.6,236.7999,231.89,231.94,3429118.0,795349628.92
2021-06-10,231.66,233.6999,231.3975,231.66,2640574.0,611715372.84
2021-06-11,231.79,232.9799,231.79,232.94,2538258.0,591261818.52
2021-06-14,233.16,233.5,231.55,233.07,2947091.0,686878499.37
2021-06-15,233.01,233.01,230.75,232.57,2546291.0,592190897.87
2021-06-16,232.7,233.0,229.5556,231.26,2806197.0,648961118.22
2021-06-17,230.55,232.93,229.825,231.22,2861955.0,661741235.1
2021-06-18,229.86,231.37,228.01,230.53,4776447.0,1101114326.91
2021-06-21,231.41,234.04,231.25,233.77,3080552.0,720140641.0400001
2021-06-22,234.49,237.86,233.88,237.21,2944416.0,698444919.36
2021-06-23,236.87,237.97,235.84,237.31,2262049.0,536806848.19
2021-06-24,239.44,239.87,238.32,239.84,2177996.0,522370560.64
2021-06-25,240.01,241.74,239.79,240.55,6015325.0,1446986428.75
2021-06-28,240.9,242.24,239.7806,241.26,2088387.0,503844247.62
2021-06-29,241.26,243.46,241.01,241.85,2124714.0,513862080.9
2021-06-30,241.79,242.95,240.8,241.74,2800301.0,676944763.74
2021-07-01,241.96,243.53,241.13,243.47,2154194.0,524481613.18
2021-07-02,244.5,246.98,244.21,246.58,2207349.0,544288116.4200001
2021-07-06,246.5,247.34,242.95,245.45,2350539.0,576939797.55
2021-07-07,245.61,248.395,245.53,247.55,2069457.0,512294080.35
2021-07-08,245.32,248.96,245.05,248.58,2330402.0,579291329.1600001
2021-07-09,248.68,250.75,247.38,248.58,2738035.0,680620740.3000001
2021-07-12,249.5,252.47,249.12,252.24,3113001.0,785223372.24
2021-07-13,250.5,253.44,250.5,251.75,2462412.0,619912221.0
2021-07-14,252.6,254.05,251.61,253.63,2613731.0,662920593.53
2021-07-15,253.7,254.532,252.03,252.93,2669902.0,675298312.86
2021-07-16,253.9,254.05,250.8601,251.15,3482108.0,874531424.2
2021-07-19,249.78,251.82,248.54,251.12,3244417.0,814737997.04
2021-07-20,251.1,256.38,249.69,254.71,2848797.0,725617083.87
2021-07-21,255.25,256.43,254.3,256.05,2293769.0,587319552.45
2021-07-22,257.4,257.79,254.98,257.01,2509934.0,645078137.34
2021-07-23,257.78,261.11,257.53,261.03,2045108.0,533834541.2399999
2021-07-26,260.88,262.38,259.09,260.86,2387573.0,622822292.7800001
2021-07-27,260.0,260.255,255.69,258.36,3071225.0,793481691.0
2021-07-28,257.29,258.86,256.38,257.42,2836733.0,730231808.86
2021-07-29,258.19,261.84,257.3845,261.66,3054953.0,799359001.98
2021-07-30,260.74,263.46,258.73,261.05,2806602.0,732663452.1
2021-08-02,262.08,262.31,254.8,257.24,3174903.0,816712047.72
2021-08-03,258.11,263.3,257.96,262.2,2545022.0,667304768.4
2021-08-04,261.2,262.89,260.24,260.53,2397176.0,624536263.28
2021-08-05,261.77,262.71,259.98,261.4,2202866.0,575829172.4
2021-08-06,261.93,262.99,259.3356,260.09,2441853.0,635101546.77
2021-08-09,260.1,262.79,260.08,262.41,2508758.0,658323186.7800001
2021-08-10,262.97,265.75,262.01,264.07,3369801.0,889863350.0699999
2021-08-11,264.55,267.06,262.45,263.01,2938961.0,772976132.61
2021-08-12,263.95,264.6,261.05,261.88,2267266.0,593751620.08
2021-08-13,262.69,263.6999,260.62,261.54,3070448.0,803044969.9200001
2021-08-16,260.09,263.49,256.75,263.15,3401621.0,895136566.15
2021-08-17,260.45,260.45,252.05,254.65,6611217.0,1683546409.05
2021-08-18,248.99,255.7899,246.25,247.58,8907996.0,2205441649.6800003
2021-08-19,244.53,249.53,244.4,245.41,5067647.0,1243651250.27
2021-08-20,246.67,253.98,246.62,253.4,4146076.0,1050615658.4
2021-08-23,254.26,255.22,252.335,252.53,2952929.0,745703160.37
2021-08-24,253.5,253.5,250.28,250.65,2466617.0,618257551.0500001
2021-08-25,250.5,252.255,249.41,251.15,2438429.0,612411443.35
2021-08-26,250.43,250.51,247.3,248.96,2919934.0,726946768.64
2021-08-27,248.15,250.47,247.675,249.18,2661060.0,663082930.8000001
2021-08-30,249.21,251.38,249.15,249.36,2093031.0,521918210.16
2021-08-31,249.15,249.6,245.42,246.98,3966041.0,979532806.18
2021-09-01,247.0,247.55,244.26,246.37,2828651.0,696894746.87
2021-09-02,246.33,246.96,245.15,245.81,2525246.0,620730719.26
2021-09-03,245.09,245.18,243.0,244.31,3352126.0,818957903.0600001
2021-09-07,243.92,244.589,241.59,242.72,2780402.0,674859173.4399999
2021-09-08,242.73,246.19,242.39,246.11,2843325.0,699770715.75
2021-09-09,245.97,247.32,244.62,245.44,2474674.0,607383986.56
2021-09-10,247.21,247.7,244.19,244.54,1945593.0,475775312.22
2021-09-13,245.5,246.2459,241.6,243.1,2896594.0,704162001.4
2021-09-14,243.39,244.41,241.78,242.24,1938331.0,469541301.44
2021-09-15,242.33,244.86,241.8,244.14,1975202.0,482225816.28
2021-09-16,245.23,247.5,244.75,246.95,2171375.0,536221056.25
2021-09-17,245.45,248.53,245.45,246.67,3736553.0,921695528.51
2021-09-20,243.48,246.17,239.56,242.14,3329098.0,806107789.7199999
2021-09-21,242.84,245.0597,241.24,241.31,1950832.0,470755269.92
2021-09-22,242.365,243.38,239.72,241.77,2285917.0,552666153.09
2021-09-23,243.5,245.17,242.44,242.67,2038927.0,494786415.09
2021-09-24,241.33,242.81,240.38,241.44,1901416.0,459077879.04
2021-09-27,240.25,242.34,237.8749,238.58,2588425.0,617546436.5
2021-09-28,236.9,237.36,232.86,233.44,3173938.0,740924086.72
2021-09-29,234.57,237.62,233.81,235.85,2649023.0,624772074.55
2021-09-30,235.88,235.88,228.13,228.77,5839220.0,1335838359.4
2021-10-01,229.25,229.485,223.846,228.42,3476482.0,794098018.4399999
2021-10-04,227.93,228.9999,222.8753,225.89,3816371.0,862080045.1899999
2021-10-05,227.06,229.51,225.6623,227.56,2407335.0,547813152.6
2021-10-06,226.15,227.54,224.78,226.83,2789084.0,632647923.72
2021-10-07,228.55,231.5,228.4,229.82,2352256.0,540595473.92
2021-10-08,230.05,231.72,228.3164,228.9,2029188.0,464481133.2
2021-10-11,228.57,231.25,228.34,228.72,1998553.0,457109042.16
2021-10-12,230.0,231.4,228.5,230.24,2167414.0,499025399.36
2021-10-13,231.5,236.77,230.52,236.75,3990017.0,944636524.75
2021-10-14,238.8,243.8,236.23,242.09,4282736.0,1036807558.24
2021-10-15,243.3001,247.35,242.15,245.71,3626894.0,891164124.74
2021-10-18,244.95,253.74,244.54,253.65,4365797.0,1107384409.05
2021-10-19,254.53,256.95,251.8,252.19,3204845.0,808229860.55
2021-10-20,254.31,254.74,251.31,251.83,2209257.0,556357190.3100001
2021-10-21,251.62,254.24,251.4,254.21,1758359.0,446992441.39
2021-10-22,255.48,257.41,254.5901,255.93,2205671.0,564497379.03
2021-10-25,256.82,261.0,256.1,260.35,2488389.0,647852076.1500001
2021-10-26,261.4,261.505,257.51,258.73,2439708.0,631225650.84
2021-10-27,258.94,259.39,255.72,256.54,2269924.0,582326302.96
2021-10-28,258.26,260.155,257.53,258.22,1735194.0,448061794.68000007
2021-10-29,256.51,259.78,256.51,259.62,2417825.0,627715726.5
2021-11-01,261.55,261.8,257.49,257.92,1718106.0,443133899.52
2021-11-02,259.03,261.2,258.5401,260.26,2228014.0,579862923.64
2021-11-03,258.7,260.65,256.72,260.41,2397484.0,624328808.44
2021-11-04,260.66,262.51,259.4187,260.44,3031306.0,789473334.64
2021-11-05,261.0,261.24,252.81,254.27,4060279.0,1032407141.33
2021-11-08,253.25,256.1,252.03,253.33,2523285.0,639223789.0500001
2021-11-09,252.78,255.4243,252.57,255.16,2347070.0,598878381.2
2021-11-10,254.03,256.0,252.65,254.05,2093073.0,531745195.65
2021-11-11,254.27,256.575,253.695,256.01,2199424.0,563074538.24
2021-11-12,257.38,261.87,256.68,260.02,2497590.0,649423351.8
2021-11-15,262.79,268.98,261.4,264.33,4852433.0,1282643614.89
2021-11-16,263.0,267.53,262.74,266.39,4355750.0,1160328242.5
2021-11-17,253.99,257.17,251.47,253.8,11855862.0,3009017775.6
2021-11-18,256.09,256.6415,249.65,252.05,5788480.0,1458986384.0
2021-11-19,251.1,253.88,250.41,250.7,3965907.0,994252884.9
2021-11-22,251.43,251.68,241.21,244.57,5571815.0,1362698794.55
2021-11-23,245.65,249.72,243.43,249.18,4055036.0,1010433870.48
2021-11-24,247.9,249.62,246.12,248.76,3051972.0,759208554.72
2021-11-26,248.69,251.46,245.775,246.57,3180865.0,784305883.05
2021-11-29,248.54,251.58,247.01,249.16,3027601.0,754357065.16
2021-11-30,246.36,246.99,242.24,243.84,7907944.0,1928273064.96
2021-12-01,245.68,248.4,240.23,240.39,3852130.0,926013530.7
2021-12-02,241.89,246.62,241.385,245.5,3684005.0,904423227.5
2021-12-03,246.73,248.41,245.31,247.57,4838680.0,1197912007.6
2021-12-06,248.46,248.85,242.32,242.97,3772594.0,916627164.18
2021-12-07,244.63,246.23,243.67,245.63,3565873.0,875885384.99
2021-12-08,246.74,247.33,238.2,239.6,4929440.0,1181093824.0
2021-12-09,239.11,239.7,235.83,237.56,2762176.0,656182530.5600001
2021-12-10,237.16,239.75,236.69,238.18,2487235.0,592409632.3000001
2021-12-13,237.92,238.52,232.4,234.17,3783503.0,885982897.51
2021-12-14,230.91,236.16,230.91,235.28,3364766.0,791662144.48
2021-12-15,233.6,236.82,231.55,236.65,3433544.0,812548187.6
2021-12-16,235.96,236.65,224.49,224.78,7302051.0,1641355023.78
2021-12-17,224.83,226.29,221.47,223.31,5838274.0,1303744966.94
2021-12-20,221.03,221.5,214.6,219.19,5233240.0,1147073875.6
2021-12-21,219.88,220.78,216.48,220.07,3975734.0,874939781.38
2021-12-22,219.8,221.28,217.0,217.74,4182587.0,910716493.38
2021-12-23,218.55,222.135,218.29,221.01,3345272.0,739338564.72
2021-12-27,222.1,224.69,220.86,224.1,4337599.0,972055935.9
2021-12-28,224.45,227.5,223.64,224.91,3202878.0,720359290.98
2021-12-29,225.37,229.565,225.37,227.92,3065826.0,698763061.92
2021-12-30,228.8,233.87,228.8,231.91,4007377.0,929350800.07
2021-12-31,232.77,233.6205,229.22,231.44,2485246.0,575185334.24
2022-01-03,231.07,232.28,228.763,231.95,3018369.0,700110689.55
2022-01-04,232.01,235.64,231.57,234.17,3327584.0,779220345.28
2022-01-05,234.81,236.325,228.77,228.86,3885755.0,889293889.3000001
2022-01-06,222.74,232.66,222.74,231.35,4193202.0,970097282.7
2022-01-07,230.18,233.2,229.1,230.78,3052885.0,704544800.3
2022-01-10,228.53,228.64,223.02,227.42,4858182.0,1104847750.44
2022-01-11,228.09,228.705,224.0,227.55,3048865.0,693769230.75
2022-01-12,228.19,230.1382,224.1,224.47,4233302.0,950249299.94
2022-01-13,225.28,226.8,223.75,225.83,3458972.0,781139646.76
2022-01-14,222.42,224.3,218.39,221.4,5282627.0,1169573617.8
2022-01-18,218.78,220.9499,217.28,220.01,4652755.0,1023652627.55
2022-01-19,221.75,228.3,220.64,223.84,4091162.0,915765702.08
2022-01-20,225.02,229.31,221.14,221.72,4278534.0,948636558.48
2022-01-21,220.0,220.89,214.22,217.25,7859333.0,1707440094.25
2022-01-24,215.39,221.03,211.92,220.58,5613930.0,1238320679.4
2022-01-25,218.36,218.68,212.91,214.68,4929112.0,1058181764.16
2022-01-26,215.62,217.17,210.38,211.71,4207470.0,890763473.7
2022-01-27,215.33,217.32,211.385,212.18,4007061.0,850218202.98
2022-01-28,214.29,217.79,210.52,217.67,2906164.0,632584717.88
2022-01-31,216.91,220.73,216.3339,220.43,4151109.0,915028956.87
2022-02-01,221.99,222.52,216.33,219.23,4117401.0,902657821.23
2022-02-02,218.26,220.09,215.33,217.61,4588465.0,998495868.65
2022-02-03,214.25,218.3182,212.57,213.22,6357809.0,1355612034.98
2022-02-04,214.12,215.5,210.54,214.04,3754673.0,803650208.92
2022-02-07,214.73,215.16,210.295,211.29,4402778.0,930262963.62
2022-02-08,211.08,214.66,210.65,212.95,2926650.0,623230117.5
2022-02-09,214.99,217.18,214.05,216.64,2562841.0,555213874.24
2022-02-10,214.38,217.5,212.71,213.84,3038137.0,649675216.08
2022-02-11,214.16,214.75,210.79,211.56,2841181.0,601080252.36
2022-02-14,211.19,211.5,205.71,208.57,4066749.0,848201838.93
2022-02-15,209.32,209.32,205.8,207.18,4741026.0,982245766.68
2022-02-16,206.88,208.845,204.8,207.81,3340572.0,694204267.32
2022-02-17,206.59,206.951,203.871,204.0,3865911.0,788645844.0
2022-02-18,204.52,206.63,203.48,204.39,3321740.0,678930438.5999999
2022-02-22,202.63,203.18,194.5,196.35,5596347.0,1098842733.45
2022-02-23,196.9,197.87,189.605,189.9,4471300.0,849099870.0
2022-02-24,184.49,191.76,184.0,191.55,3898744.0,746804413.2
2022-02-25,191.51,199.5,191.315,199.22,4098506.0,816504365.32
2022-02-28,197.36,201.18,195.84,199.77,6167228.0,1232027137.5600002
2022-03-01,226.83,227.1,218.55,219.43,15776093.0,3461748086.99
