timestamps,open,high,low,close,volume,amount
2021-05-28,141.8099,142.605,141.41,141.45,4197731.0,593769049.9499999
2021-06-01,141.66,142.91,141.45,141.7,3752704.0,531758156.7999999
2021-06-02,141.8,142.11,139.94,140.98,3589665.0,506070971.7
2021-06-03,140.2166,142.86,140.02,142.32,4503705.0,640967295.6
2021-06-04,142.99,144.77,142.495,144.51,3484039.0,503478475.89
2021-06-07,143.91,144.82,142.955,143.51,2758231.0,395833730.81
2021-06-08,143.9,145.68,143.9,145.39,4960601.0,721221779.39
2021-06-09,145.59,147.95,145.59,147.27,4125035.0,607493904.45
2021-06-10,147.6,148.695,146.22,146.51,3592185.0,526291024.35
2021-06-11,146.58,146.65,144.37,145.35,4072850.0,591988747.5
2021-06-14,144.99,145.57,144.5601,145.26,3477876.0,505196267.76
2021-06-15,145.38,146.76,145.01,145.68,3169605.0,461748056.4
2021-06-16,145.8,146.28,143.26,144.91,4184063.0,606312569.33
2021-06-17,144.99,147.875,144.81,146.45,3494570.0,511779776.49999994
2021-06-18,146.23,146.485,144.29,144.7,5430892.0,785850072.4
2021-06-21,145.97,146.19,145.08,145.66,3801916.0,553787084.56
2021-06-22,145.71,146.0,145.01,145.82,2621930.0,382329832.6
2021-06-23,145.4,145.68,144.505,145.03,2416179.0,350418440.37
2021-06-24,145.38,146.07,144.87,145.6,2181600.0,317640960.0
2021-06-25,145.79,146.24,144.8,145.34,3376436.0,490731208.24
2021-06-28,145.27,145.58,144.41,145.04,2826159.0,409906101.3599999
2021-06-29,144.69,145.34,144.14,144.99,3197172.0,463557968.28
2021-06-30,145.21,145.32,144.23,144.83,3139044.0,454627742.52
2021-07-01,144.54,145.5,144.29,145.34,2655337.0,385926679.58
2021-07-02,145.94,146.71,145.32,146.29,2603485.0,380863820.65
2021-07-06,146.15,146.931,145.15,146.75,2357478.0,345959896.5
2021-07-07,146.715,148.14,145.57,148.04,1777474.0,263137250.96
2021-07-08,147.5172,148.02,146.01,146.86,2407480.0,353562512.8
2021-07-09,145.89,147.295,144.51,146.01,3245325.0,473849903.25
2021-07-12,146.19,147.19,145.33,146.9,2007989.0,294973584.1
2021-07-13,146.81,149.59,146.11,147.77,2583001.0,381690057.77
2021-07-14,148.49,149.8399,148.02,148.9,2316703.0,344957076.7
