timestamps,open,high,low,close,volume,amount
2021-05-28,209.5,211.8633,207.46,208.4067,68061054.0,14184379662.6618
2021-06-01,209.2667,211.2667,206.85,207.9667,53647170.0,11156824909.239
2021-06-02,206.71,207.7867,199.7133,201.7067,69608337.0,14040467948.7579
2021-06-03,200.6,201.5167,190.4067,190.9467,90303444.0,17243144630.4348
2021-06-04,193.2367,200.2033,192.4,199.6833,71810688.0,14339395155.1104
2021-06-07,197.275,203.3333,194.2933,201.71,67630437.0,13641735447.27
2021-06-08,207.67,207.6967,198.5,201.1967,78160167.0,15725567671.8489
2021-06-09,200.7233,203.93,199.21,199.5933,49753698.0,9930504771.0234
2021-06-10,201.2933,205.53,200.1667,203.3733,71758818.0,14593827620.7594
2021-06-11,203.41,204.1867,200.5067,203.2967,48563409.0,9872780790.4503
2021-06-14,204.0767,208.4967,203.06,205.8967,61149450.0,12590469961.815
2021-06-15,205.5633,205.5967,199.41,199.7867,53292435.0,10647119723.6145
2021-06-16,199.1783,202.8333,197.8333,201.6233,65562381.0,13218903613.0773
2021-06-17,200.6293,207.1567,200.4467,205.5333,67879050.0,13951405147.365
2021-06-18,204.4567,209.45,203.9333,207.77,73666815.0,15305754152.55
2021-06-21,208.16,210.4633,202.96,206.9433,74438223.0,15404491513.7559
2021-06-22,206.0833,209.5231,205.1667,207.9033,57468126.0,11947813040.2158
2021-06-23,210.6667,219.068,210.0133,218.8567,93297684.0,20418823237.882797
2021-06-24,224.9967,232.54,222.5367,226.6067,137947158.0,31259750248.7586
2021-06-25,229.86,231.27,222.9,223.9567,97490121.0,21833565781.7607
2021-06-28,223.88,231.5666,223.44,229.5733,64864227.0,14891094644.3391
2021-06-29,228.2167,229.17,225.2967,226.92,52143939.0,11832502637.88
2021-06-30,226.59,230.9367,226.0467,226.5667,56743986.0,12856297652.8662
2021-07-01,227.9733,229.33,224.2667,225.9733,55850466.0,12620714108.5578
2021-07-02,226.3267,233.3333,224.42,226.3,81292122.0,18396407208.6
2021-07-06,227.2372,228.0,217.1334,219.86,69651750.0,15313633755.0
2021-07-07,221.4233,221.9,212.7733,214.8833,56359380.0,12110689560.354
2021-07-08,209.4567,218.1433,206.82,217.6033,68222448.0,14845429818.8784
2021-07-09,217.7283,219.6367,214.8967,218.9833,53789244.0,11778946155.6252
2021-07-12,220.7333,229.08,220.7203,228.5667,77697126.0,17758975689.3042
2021-07-13,228.7733,231.0933,222.0986,222.8467,62784276.0,13991268718.4892
2021-07-14,223.5833,226.2033,217.6133,217.7933,64923570.0,14139918558.081
2021-07-15,219.4633,222.0467,212.6267,216.8667,60620313.0,13146527233.2771
2021-07-16,218.2267,218.9,214.0667,214.74,48752910.0,10469199893.4
2021-07-19,209.9633,215.7333,207.0967,215.4067,63516270.0,13681830117.009
2021-07-20,217.33,220.7972,213.5003,220.1667,46364781.0,10207980828.9927
2021-07-21,219.87,221.62,216.7634,218.43,41560014.0,9077953858.02
2021-07-22,218.8143,220.7233,214.8667,216.42,45317181.0,9807544312.02
2021-07-23,215.4533,216.2667,212.4334,214.46,43783932.0,9389902056.72
2021-07-26,216.99,222.7333,215.7033,219.2067,75977118.0,16654693312.290602
2021-07-27,221.1333,222.1667,209.08,214.9267,98437011.0,21156741932.0937
2021-07-28,215.665,218.3233,213.1334,215.66,47524788.0,10249195780.08
2021-07-29,216.5967,227.8967,216.2667,225.7833,90883911.0,20520069342.4863
2021-07-30,223.9193,232.51,223.0,229.0667,88903233.0,20364770202.641094
2021-08-02,233.3333,242.3133,232.8,236.5567,100772745.0,23838468007.141502
2021-08-03,239.6667,240.8833,233.67,236.58,64860759.0,15344758364.22
2021-08-04,237.0,241.6333,236.31,236.9733,51007941.0,12087520104.9753
2021-08-05,238.6667,240.3166,237.1367,238.21,38758911.0,9232760189.31
2021-08-06,237.3,238.7767,232.5433,233.0333,46869147.0,10922071993.5951
2021-08-09,236.7233,239.6767,235.0433,237.92,44146047.0,10503227502.24
2021-08-10,237.9967,238.8633,233.96,236.6633,40296915.0,9536800883.7195
2021-08-11,237.57,238.3933,234.7367,235.94,29401674.0,6937030963.559999
2021-08-12,235.4467,240.9333,233.1333,240.75,53045058.0,12770597713.5
2021-08-13,241.2367,243.3,238.1133,239.0567,50178801.0,11995578577.0167
2021-08-16,235.0233,236.5,225.4667,228.7233,69286359.0,15847404675.4647
2021-08-17,224.22,224.86,216.28,221.9033,71120637.0,15781904048.4021
2021-08-18,223.2493,231.9233,223.1167,229.6633,61035525.0,14017620088.7325
2021-08-19,226.07,228.85,222.53,224.49,42940458.0,9639703416.42
2021-08-20,227.6167,230.71,224.5667,226.7533,43925595.0,9960273620.7135
2021-08-23,228.4807,237.3766,226.9168,235.4333,60720777.0,14295692907.6741
2021-08-24,236.8933,238.4067,234.2133,236.1633,39220863.0,9262528434.9279
2021-08-25,235.6767,238.99,234.6667,237.0667,37936686.0,8993524958.9562
2021-08-26,236.1033,238.4667,232.54,233.72,39642876.0,9265332978.72
2021-08-27,235.0,238.3333,234.0334,237.3067,41501289.0,9848533938.3363
2021-08-30,238.2383,243.6667,237.5767,243.6367,55752660.0,13583394098.622
2021-08-31,244.3333,246.7967,242.1467,245.24,62533908.0,15335815597.92
2021-09-01,244.6933,247.33,243.7567,244.6967,39613005.0,9693171600.5835
2021-09-02,244.8333,246.99,243.5133,244.13,38390217.0,9372203676.21
2021-09-03,244.0831,244.6667,241.4,244.5233,45813135.0,11202378953.5455
2021-09-07,246.6667,253.4,246.42,250.9733,61112865.0,15337697401.5045
2021-09-08,253.86,254.8167,246.9244,251.29,56379108.0,14167506049.32
2021-09-09,251.1367,254.0333,250.5434,251.62,42224193.0,10624451442.66
2021-09-10,253.2,254.2033,244.84,245.4233,45547110.0,11178322041.663
2021-09-13,246.7381,248.26,236.2833,247.6667,69914181.0,17315414491.4727
2021-09-14,247.5233,251.49,245.4667,248.1633,56548992.0,14033384466.3936
2021-09-15,248.3333,252.2867,246.12,251.9433,46763832.0,11781834154.7256
2021-09-16,250.9433,252.97,249.2033,252.33,41770179.0,10539869267.07
2021-09-17,252.3833,253.68,250.0,253.1633,84552528.0,21405597011.8224
2021-09-20,244.8526,247.3333,239.5416,243.39,73503156.0,17889933138.84
2021-09-21,244.93,248.2466,243.48,246.46,48359769.0,11918748667.74
2021-09-22,247.8421,251.2233,246.3733,250.6467,45378816.0,11374050480.3072
2021-09-23,251.6667,252.7333,249.3067,251.2133,35692581.0,8966451058.5273
2021-09-24,248.63,258.2667,248.1867,258.13,63294066.0,16338097256.58
2021-09-27,257.7067,266.3333,256.4367,263.7867,84196821.0,22210001562.0807
2021-09-28,262.4,265.2133,255.3934,259.1867,76100166.0,19724150894.9922
2021-09-29,259.9333,264.5,256.8933,260.4367,62815731.0,16359521689.7277
2021-09-30,260.3333,263.0435,258.3333,258.4933,54639987.0,14124070551.5871
2021-10-01,259.4667,260.26,254.53,258.4067,51094242.0,13203094464.2214
2021-10-04,265.5,268.99,258.7067,260.51,91450023.0,23823645491.73
2021-10-05,261.5987,265.77,258.0667,260.1967,55297875.0,14388324592.0125
2021-10-06,258.7333,262.22,257.74,260.9167,43898304.0,11453800615.2768
2021-10-07,261.82,268.3333,261.1267,264.5367,57587346.0,15233966472.5982
2021-10-08,265.4033,265.46,260.3033,261.83,51232590.0,13414229039.7
2021-10-11,262.55,267.08,261.8333,263.98,42563466.0,11235903754.68
2021-10-12,266.9767,270.7733,265.5233,268.5733,66058860.0,17741646024.438
2021-10-13,270.1567,271.8033,268.5933,270.36,42360225.0,11452510431.0
2021-10-14,271.83,273.4167,271.1167,272.7733,35894160.0,9790968473.928
2021-10-15,274.5795,281.07,274.1167,281.01,56773701.0,15953977718.01
2021-10-18,283.93,291.7533,283.8233,290.0367,72621732.0,21062967497.5644
2021-10-19,292.51,292.65,287.5033,288.09,52130634.0,15018314349.06
2021-10-20,288.45,289.83,285.7933,288.6,42096156.0,12148950621.6
2021-10-21,285.3333,300.0,285.1682,298.0,94444362.0,28144419876.0
2021-10-22,298.5,303.3333,296.9867,303.2267,68642505.0,20814240270.8835
2021-10-25,316.8433,348.34,314.7333,341.62,188556294.0,64414601156.28
2021-10-26,341.5633,364.98,333.8133,339.4767,187211904.0,63554079370.6368
2021-10-27,346.5533,356.96,343.5933,345.9533,115418847.0,39929531001.8451
2021-10-28,356.1017,360.3333,351.4,359.0133,81639519.0,29309673126.602703
2021-10-29,360.62,371.7367,357.735,371.3333,89736651.0,33322206746.7783
2021-11-01,381.6667,403.25,372.8867,402.8633,168128235.0,67732695575.2755
2021-11-02,386.4517,402.8633,382.0,390.6667,128135646.0,50058329975.1882
2021-11-03,392.4433,405.13,384.2067,404.62,103877037.0,42030726710.94
2021-11-04,411.47,414.4967,405.6667,409.97,76027230.0,31168883483.1
2021-11-05,409.3333,413.29,402.6667,407.3633,64496736.0,26273603216.188797
2021-11-08,383.2617,399.0,377.6667,387.6467,100029345.0,38776045492.4115
2021-11-09,391.2,391.5,337.1733,341.1667,177308181.0,60491646994.7727
2021-11-10,336.8033,359.3667,329.1033,355.9833,128404407.0,45709824538.4031
2021-11-11,367.59,368.3233,351.56,354.5033,67189704.0,23818971794.0232
2021-11-12,349.1667,351.5,339.7333,344.4733,76478544.0,26344816430.8752
2021-11-15,339.21,343.9933,326.2,337.7967,104326947.0,35241298417.6749
2021-11-16,334.4367,352.4,334.06,351.5767,79595877.0,27984055769.2659
2021-11-17,354.5033,373.2133,351.8333,363.0033,94336095.0,34244313794.113503
2021-11-18,368.85,370.6667,358.34,365.46,62696790.0,22913168873.4
2021-11-19,366.29,379.5733,364.2333,379.02,64926774.0,24608545881.48
2021-11-22,387.4433,400.65,377.4767,385.6233,99215277.0,38259722527.1541
2021-11-23,389.17,393.5,354.2333,369.6767,108515100.0,40115504068.17
2021-11-24,360.13,377.59,354.0,372.0,67680714.0,25177225608.0
2021-11-26,366.49,369.5942,360.3333,360.64,34863570.0,12573197884.8
2021-11-29,366.9967,380.89,366.73,378.9967,58393401.0,22130906280.7767
2021-11-30,381.4567,389.3333,372.6667,381.5867,81276114.0,31013884130.0838
2021-12-01,386.8983,390.9466,363.5867,365.0,68804094.0,25113494310.0
2021-12-02,366.3533,371.0,352.2167,361.5333,73114869.0,26433459868.6377
2021-12-03,361.5967,363.5251,333.4033,338.3233,92321985.0,31234678627.7505
2021-12-06,333.8367,340.5467,316.8333,336.3367,81663111.0,27466301265.4737
2021-12-07,348.0667,352.558,342.27,350.5833,56084571.0,19662313980.2643
2021-12-08,350.9033,357.46,344.3334,356.32,41906370.0,14932077758.4
2021-12-09,353.5467,354.1633,334.12,334.6,59438496.0,19888120761.6
2021-12-10,336.25,340.3266,327.51,339.01,59664366.0,20226816717.66
2021-12-13,333.6967,335.0,317.14,322.1367,78595506.0,25318496937.6702
2021-12-14,315.0,322.1367,310.0,319.5033,70792767.0,22618522672.631104
2021-12-15,317.7367,326.25,309.4167,325.33,72469230.0,23576414595.9
2021-12-16,331.5,331.66,307.2833,308.9733,82771443.0,25574165889.4719
