timestamps,open,high,low,close,volume,amount
2022-08-09,25.23,25.23,23.67,24.13,143963.0,3473827.19
2022-08-10,25.87,25.9,24.15,25.45,472824.0,12033370.8
2022-08-11,25.75,25.96,24.36,24.52,576017.0,14123936.84
2022-08-12,24.81,26.17,24.26,26.13,490181.0,12808429.53
2022-08-15,26.45,27.88,26.35,27.35,1058057.0,28937858.950000003
2022-08-16,27.7,28.08,26.55,27.02,1631996.0,44096531.92
2022-08-17,26.53,27.389,26.12,26.68,1190365.0,31758938.2
2022-08-18,26.94,26.979,26.394,26.5,507740.0,13455110.0
2022-08-19,25.98,26.1099,25.15,25.7,899186.0,23109080.2
2022-08-22,25.01,25.1,24.33,24.8,586079.0,14534759.2
2022-08-23,24.99,25.94,24.55,25.65,673978.0,17287535.7
2022-08-24,25.79,26.56,25.64,25.7,751404.0,19311082.8
2022-08-25,26.38,26.45,25.0,25.58,688795.0,17619376.099999998
2022-08-26,25.75,26.31,24.44,24.54,983952.0,24146182.08
2022-08-29,23.83,24.46,23.58,24.13,803329.0,19384328.77
2022-08-30,24.5,24.54,22.57,23.22,828391.0,19235239.02
2022-08-31,23.57,23.59,22.49,22.92,725866.0,16636848.72
2022-09-01,22.53,23.15,21.77,23.15,846099.0,19587191.85
2022-09-02,23.61,23.73,22.091,22.27,671828.0,14961609.56
2022-09-06,22.49,22.93,21.7,22.77,561309.0,12781005.93
2022-09-07,22.59,23.92,22.51,23.92,609764.0,14585554.88
2022-09-08,23.58,24.62,23.42,24.62,641568.0,15795404.16
2022-09-09,24.9,25.94,24.85,25.93,1118775.0,29009835.75
2022-09-12,26.02,26.65,26.02,26.54,856876.0,22741489.04
2022-09-13,25.02,25.59,24.71,24.93,1387627.0,34593541.11
2022-09-14,24.95,26.67,24.86,26.25,1198296.0,31455270.0
2022-09-15,26.15,27.0918,26.04,26.4,753206.0,19884638.4
2022-09-16,25.82,26.36,25.33,26.32,700903.0,18447766.96
2022-09-19,25.89,27.16,25.64,27.07,735677.0,19914776.39
2022-09-20,26.77,27.6,26.6,27.0,853234.0,23037318.0
2022-09-21,26.95,27.64,25.96,25.97,931759.0,24197781.23
2022-09-22,25.82,26.0,24.03,24.38,1013578.0,24711031.64
2022-09-23,23.67,23.82,22.37,22.7,1208994.0,27444163.8
2022-09-26,22.25,23.75,22.1,22.78,878398.0,20009906.44
2022-09-27,23.75,24.3,22.99,23.64,1052433.0,24879516.12
2022-09-28,23.62,24.36,22.95,24.22,981057.0,23761200.54
2022-09-29,23.57,23.67,21.45,21.78,1250656.0,27239287.68
2022-09-30,21.46,22.61,21.09,21.39,789782.0,16893436.98
2022-10-03,20.04,20.13,18.45,18.62,2376552.0,44251398.24
2022-10-04,19.56,20.255,18.5545,19.47,2366029.0,46066584.629999995
2022-10-05,18.88,19.06,17.53,18.38,1544700.0,28391586.0
2022-10-06,18.27,18.81,17.78,18.11,1257050.0,22765175.5
2022-10-07,17.61,17.65,16.25,16.38,1546740.0,25335601.2
2022-10-10,16.46,16.77,15.8401,16.34,1206461.0,19713572.74
2022-10-11,16.12,16.64,15.46,15.63,1126663.0,17609742.69
2022-10-12,15.51,15.93,15.1,15.72,1375656.0,21625312.32
2022-10-13,14.74,16.32,14.52,16.2,2156816.0,34940419.199999996
2022-10-14,16.43,16.66,14.26,14.36,1524060.0,21885501.6
2022-10-17,14.9,16.1041,14.83,15.87,1015777.0,16120380.989999998
