timestamps,open,high,low,close,volume,amount
2021-05-28,116.3,117.84,115.95,117.36,5586583.0,655641380.88
2021-06-01,119.71,120.04,117.43,118.51,7878792.0,933715639.92
2021-06-02,118.9,119.45,117.92,118.95,5557496.0,661064149.2
2021-06-03,118.05,118.26,116.461,116.82,5049646.0,589899645.7199999
2021-06-04,118.23,119.85,118.05,119.51,5470633.0,653795349.83
2021-06-07,118.14,118.75,117.57,118.22,6432685.0,760472020.7
2021-06-08,117.55,117.678,115.06,115.92,11786261.0,1366263375.12
2021-06-09,116.0,117.65,115.97,117.13,6553694.0,767634178.22
2021-06-10,117.04,118.85,116.63,118.24,8723606.0,1031479173.44
2021-06-11,118.29,118.42,117.16,118.25,6165380.0,729056185.0
2021-06-14,118.55,121.0,118.46,120.99,7728781.0,935105213.19
2021-06-15,120.35,122.0,119.27,119.45,8433126.0,1007336900.7
2021-06-16,119.55,119.895,117.5,118.02,8208582.0,968776847.64
2021-06-17,117.68,120.24,117.59,119.12,7713787.0,918866307.44
2021-06-18,117.51,117.8898,115.21,115.79,12701946.0,1470758327.3400002
2021-06-21,115.38,115.4,113.02,114.14,11265873.0,1285886744.22
2021-06-22,113.5,114.49,112.01,114.33,11985348.0,1370284836.84
2021-06-23,116.2,117.42,115.8087,116.05,9166262.0,1063744705.1
2021-06-24,116.72,117.67,116.27,117.24,6910950.0,810239778.0
2021-06-25,117.45,117.925,116.53,116.53,6894438.0,803408860.14
2021-06-28,117.29,119.95,117.18,119.61,11222674.0,1342344037.14
2021-06-29,119.4,120.285,118.4183,120.23,8072135.0,970512791.05
2021-06-30,120.16,120.76,119.0116,120.16,8154193.0,979807830.88
2021-07-01,120.1,120.2055,118.03,118.42,8455131.0,1001256613.02
2021-07-02,118.75,119.18,118.41,118.91,5253298.0,624669665.18
2021-07-06,119.85,120.96,118.22,120.05,7352786.0,882701959.3
2021-07-07,120.64,121.05,118.205,118.25,7539523.0,891548594.75
2021-07-08,115.87,118.275,115.38,117.87,7859697.0,926422485.39
2021-07-09,118.0,120.785,117.62,120.56,8446055.0,1018256390.8
2021-07-12,121.19,122.7299,119.52,122.63,10878778.0,1334064546.14
2021-07-13,123.19,125.48,122.13,123.9,13680162.0,1694972071.8000002
2021-07-14,125.15,125.78,124.07,124.39,10894964.0,1355224571.96
2021-07-15,120.12,120.7,116.87,117.53,24096826.0,2832099959.78
2021-07-16,118.75,118.99,115.17,115.74,12353319.0,1429773141.06
2021-07-19,114.0,115.6177,113.23,115.35,9469622.0,1092320897.7
2021-07-20,115.88,116.87,114.43,116.4,7225570.0,841056348.0
2021-07-21,116.23,117.87,115.93,117.87,5705141.0,672464969.6700001
2021-07-22,118.09,118.09,116.21,116.56,5982885.0,697365075.6
2021-07-23,117.65,117.65,115.33,116.79,5913032.0,690583007.2800001
2021-07-26,115.79,116.1,114.87,115.65,6586417.0,761719126.0500001
2021-07-27,115.32,115.4,112.0455,113.54,11283922.0,1281176503.88
2021-07-28,113.94,115.51,113.88,115.07,6942807.0,798908801.49
2021-07-29,116.0,117.11,115.61,116.15,7162034.0,831870249.1
2021-07-30,115.5,117.42,115.19,116.64,6482617.0,756132446.88
2021-08-02,117.5,118.38,116.66,116.86,6028772.0,704522295.92
2021-08-03,117.31,118.64,116.84,118.41,5874719.0,695625476.79
2021-08-04,118.43,119.55,118.28,118.74,4253964.0,505115685.3599999
2021-08-05,119.07,119.24,118.24,119.22,4444835.0,529913228.7
2021-08-06,118.37,118.6,117.45,118.21,4338144.0,512812002.2399999
2021-08-09,118.42,118.79,117.32,118.22,4270037.0,504803774.14
2021-08-10,118.5,119.05,114.08,116.36,5132785.0,597250862.6
2021-08-11,116.5,117.29,115.2,115.99,4490350.0,520835696.5
2021-08-12,115.55,115.95,114.44,115.7,6345036.0,734120665.2
2021-08-13,115.07,115.52,114.49,115.5,4593208.0,530515524.0
2021-08-16,115.1,115.48,114.095,114.63,5414500.0,620664135.0
2021-08-17,113.73,113.85,110.75,111.11,13371202.0,1485674254.22
2021-08-18,111.74,113.0,110.38,110.45,9167291.0,1012527290.95
2021-08-19,109.0,110.97,107.68,110.52,12146912.0,1342476714.24
2021-08-20,109.14,109.71,107.73,108.12,13042016.0,1410102769.92
2021-08-23,110.08,111.33,109.27,110.96,9533453.0,1057831944.88
2021-08-24,111.82,113.065,111.8,112.11,6719811.0,753358011.21
2021-08-25,115.71,119.18,115.61,117.03,22106785.0,2587157048.55
