timestamps,open,high,low,close,volume,amount
2021-05-28,50.675,51.74,50.47,50.83,14388785.0,731381941.55
2021-06-01,51.62,51.66,49.84,50.98,16789304.0,855918717.92
2021-06-02,51.19,51.41,50.55,50.79,13599352.0,690711088.08
2021-06-03,50.43,50.5,48.53,48.7,14874753.0,724400471.1
2021-06-04,49.56,50.22,49.07,50.18,10612245.0,532522454.1
2021-06-07,50.49,51.22,49.75,50.76,16592604.0,842240579.04
2021-06-08,50.7,51.4,48.66,49.88,19868848.0,991058138.24
2021-06-09,50.0,50.17,49.11,49.14,12624030.0,620344834.2
2021-06-10,49.69,49.895,48.425,49.55,15040961.0,745279617.55
2021-06-11,50.03,50.36,49.535,50.01,12290407.0,614643254.0699999
2021-06-14,50.06,51.49,49.56,50.77,15522213.0,788062754.01
2021-06-15,49.55,49.955,49.09,49.3,20615256.0,1016332120.8
2021-06-16,49.35,49.66,48.29,48.89,19100531.0,933824960.59
2021-06-17,48.96,49.835,48.31,49.7,18927461.0,940694811.7
2021-06-18,49.31,50.39,48.775,49.7,20808400.0,1034177480.0
2021-06-21,49.72,49.86,47.9,48.12,30934271.0,1488557120.52
2021-06-22,48.3,49.34,47.75,49.05,19664570.0,964547158.5
2021-06-23,49.06,50.77,49.01,50.51,19918931.0,1006105204.81
2021-06-24,51.3,51.55,50.22,50.82,12603539.0,640511851.98
2021-06-25,51.18,51.83,50.53,51.73,25885376.0,1339050500.48
2021-06-28,51.75,52.36,50.365,51.11,22757976.0,1163160153.36
2021-06-29,51.0,51.3,50.24,50.76,14278496.0,724776456.9599999
2021-06-30,51.02,51.13,49.71,50.12,18262591.0,915321060.92
2021-07-01,50.88,51.6,50.02,50.59,17898528.0,905486531.52
2021-07-02,50.57,51.825,50.39,51.71,13832592.0,715283332.32
2021-07-06,50.6,52.03,50.4,50.8,21617240.0,1098155792.0
2021-07-07,50.8,51.03,48.54,48.68,24714696.0,1203111401.28
2021-07-08,47.16,48.21,46.57,47.55,25338038.0,1204823706.9
2021-07-09,47.84,49.25,47.71,49.07,15640656.0,767486989.92
2021-07-12,48.87,49.29,48.09,48.41,14238868.0,689303599.88
2021-07-13,48.49,48.59,47.75,48.08,11490428.0,552459778.24
2021-07-14,48.28,48.59,47.11,47.15,15977541.0,753341058.15
2021-07-15,46.86,47.46,46.15,46.42,17427511.0,808985060.62
2021-07-16,46.4,47.09,46.01,46.19,18388509.0,849365230.7099999
2021-07-19,45.0,45.7466,44.435,45.56,21227990.0,967147224.4
2021-07-20,45.46,46.66,45.07,46.32,14008631.0,648879787.92
