timestamps,open,high,low,close,volume,amount
2021-05-28,412.7,415.47,410.02,411.92,2402576.0,989669105.92
2021-06-01,413.73,413.73,406.155,406.72,2260002.0,919188013.44
2021-06-02,409.14,409.14,404.55,405.85,2265013.0,919255526.05
2021-06-03,403.5,409.755,402.84,407.96,2313862.0,943963141.52
2021-06-04,410.96,411.0,404.65,405.64,3016119.0,1223458511.1599998
2021-06-07,406.96,407.21,398.69,400.25,3388899.0,1356406824.75
2021-06-08,400.72,402.75,398.745,401.74,3087038.0,1240186646.12
2021-06-09,403.33,405.78,400.525,401.1,1961240.0,786653364.0
2021-06-10,401.91,402.85,398.47,401.49,4051999.0,1626837078.51
2021-06-11,403.35,403.36,394.78,397.89,3130675.0,1245664275.75
2021-06-14,397.3,399.47,395.13,399.16,2711292.0,1082239314.72
2021-06-15,399.96,401.5,396.47,400.28,2877225.0,1151695623.0
2021-06-16,401.1,403.1495,396.67,397.25,3377091.0,1341549399.75
2021-06-17,396.0,398.07,394.61,397.35,3563817.0,1416082684.95
2021-06-18,387.28,392.66,387.25,389.37,6364036.0,2477964697.32
2021-06-21,389.37,399.199,389.22,398.07,3922067.0,1561257210.69
2021-06-22,400.61,400.65,397.82,398.69,4012631.0,1599795853.39
2021-06-23,397.82,399.0,395.265,395.56,2988729.0,1182221643.24
2021-06-24,398.32,402.1602,396.84,398.87,3358007.0,1339408252.09
2021-06-25,400.1,409.98,399.02,404.95,16994057.0,6881743382.15
2021-06-28,404.95,404.99,397.931,401.46,3233977.0,1298312406.4199998
2021-06-29,401.97,403.2,397.48,398.1,2515242.0,1001317840.2
2021-06-30,397.54,401.4,396.8,400.44,2932068.0,1174117309.92
2021-07-01,402.03,405.205,401.81,404.89,2707345.0,1096176917.05
2021-07-02,405.09,409.87,403.88,409.36,2014273.0,824562795.28
2021-07-06,408.67,411.16,405.71,410.26,2672109.0,1096259438.34
2021-07-07,410.35,412.18,407.2,411.66,2303024.0,948062859.84
2021-07-08,408.61,410.83,405.075,409.95,2083516.0,854137384.1999999
2021-07-09,412.53,413.25,410.635,412.11,2115594.0,871857443.34
2021-07-12,411.02,416.4,410.31,416.04,2845121.0,1183684140.8400002
2021-07-13,416.38,419.69,415.71,418.54,3000233.0,1255717519.8200002
2021-07-14,420.77,422.53,413.35,414.74,3597687.0,1492104706.38
2021-07-15,411.91,421.73,407.2,420.05,3608230.0,1515637011.5
2021-07-16,421.36,422.29,417.6414,419.7,2729098.0,1145402430.6
2021-07-19,417.24,419.53,406.81,409.06,3651933.0,1493859712.98
2021-07-20,411.0,417.73,410.61,412.97,3239922.0,1337990588.3400002
2021-07-21,417.06,417.23,410.83,414.64,1901132.0,788285372.48
2021-07-22,416.02,416.825,413.73,415.77,1451519.0,603498054.63
2021-07-23,417.9,419.34,415.99,417.7,1651223.0,689715847.1
2021-07-26,416.83,417.67,410.9,413.54,2266915.0,937460029.1
2021-07-27,412.0,415.26,409.46,415.1,2665608.0,1106493880.8
2021-07-28,414.49,414.49,406.8,409.17,2480403.0,1014906495.51
2021-07-29,411.28,412.58,408.42,412.08,1597578.0,658329942.24
2021-07-30,410.76,413.77,410.2503,412.22,1864207.0,768463409.5400001
2021-08-02,413.57,416.44,412.81,415.57,1806710.0,750814474.6999999
2021-08-03,415.82,422.14,415.08,421.9,2496628.0,1053327353.2
2021-08-04,422.05,423.66,419.71,421.54,1955410.0,824283531.4000001
2021-08-05,422.06,422.25,407.89,411.19,3598649.0,1479728482.31
2021-08-06,412.01,416.77,412.01,415.12,1944057.0,807016941.84
2021-08-09,414.95,416.23,410.35,410.87,1509781.0,620323719.47
2021-08-10,410.51,413.65,408.57,411.78,1441848.0,593724169.4399999
2021-08-11,413.03,413.93,407.51,407.74,1542591.0,628976054.34
2021-08-12,407.0,408.73,404.3,405.96,1940158.0,787626541.68
2021-08-13,407.08,410.05,405.92,409.67,1537838.0,630006093.46
2021-08-16,409.84,417.42,407.33,417.21,2377942.0,992101181.82
2021-08-17,417.1,422.5,416.63,421.78,2257975.0,952368695.5
2021-08-18,421.35,421.59,417.09,417.32,3037085.0,1267436312.2
2021-08-19,415.38,428.3524,412.4,427.89,3204670.0,1371246246.3
2021-08-20,428.35,431.355,426.91,429.71,2401874.0,1032109276.54
2021-08-23,430.56,430.56,424.9,425.36,2350913.0,999984353.68
2021-08-24,425.52,425.94,421.72,423.41,1619511.0,685717152.51
2021-08-25,421.85,423.615,419.45,419.74,1939263.0,813986251.62
2021-08-26,419.77,421.39,416.63,416.85,1385426.0,577514828.1
2021-08-27,418.01,420.35,416.115,418.76,1621625.0,679071685.0
2021-08-30,418.76,420.57,417.89,418.3,1284534.0,537320572.2
2021-08-31,417.0,420.7387,414.215,416.27,4249141.0,1768789924.07
2021-09-01,416.54,419.87,411.24,417.35,2034426.0,849067691.1
2021-09-02,419.16,424.4,418.24,423.71,3137553.0,1329412581.63
2021-09-03,421.93,424.0,420.61,422.86,1604878.0,678638711.08
2021-09-07,420.3,422.26,417.58,421.24,1959106.0,825253811.44
2021-09-08,421.19,422.87,414.2,415.39,2262485.0,939813644.15
2021-09-09,415.34,420.22,413.93,414.55,3508654.0,1454512515.7
2021-09-10,415.56,416.0,402.59,403.91,4215812.0,1702808624.92
2021-09-13,407.98,416.81,406.45,414.52,3116432.0,1291823392.64
2021-09-14,417.59,417.59,411.365,412.54,2920119.0,1204665892.26
