timestamps,open,high,low,close,volume,amount
2021-05-28,225.28,225.81,224.35,224.73,1686985.0,379116139.05
2021-06-01,226.35,227.38,224.94,225.03,2166541.0,487536721.23
2021-06-02,224.24,226.345,223.69,224.45,2281666.0,512119933.7
2021-06-03,223.47,226.81,222.88,224.95,2288811.0,514868034.45
2021-06-04,226.51,227.1,224.5315,226.17,1867000.0,422259390.0
2021-06-07,226.71,226.71,222.82,222.95,1955141.0,435898685.95
2021-06-08,222.18,223.4692,219.64,221.83,2540549.0,563569984.6700001
2021-06-09,221.58,222.52,220.31,221.5,2138065.0,473581397.5
2021-06-10,222.33,223.17,219.4,219.59,3095427.0,679724814.9300001
2021-06-11,220.83,222.21,220.69,221.33,2056065.0,455068866.4500001
2021-06-14,220.58,222.75,220.2,222.62,1802335.0,401235817.7
2021-06-15,223.47,223.89,222.175,222.84,2050229.0,456873030.36
2021-06-16,223.58,223.58,220.38,222.06,2930843.0,650822996.58
2021-06-17,221.92,222.48,217.1601,219.07,2984007.0,653706413.49
2021-06-18,216.35,217.29,214.505,214.81,5177873.0,1112258899.13
2021-06-21,216.03,218.8548,215.57,217.51,2992739.0,650950659.89
2021-06-22,216.72,219.37,216.03,218.99,2350239.0,514678838.61
2021-06-23,219.84,221.4,218.74,219.11,2677784.0,586729252.24
2021-06-24,219.55,219.845,216.98,218.47,3528517.0,770875108.99
2021-06-25,219.0,221.5,218.29,221.27,4371727.0,967332033.29
2021-06-28,221.25,221.52,218.12,219.13,2159976.0,473315540.88
2021-06-29,219.89,220.38,217.95,218.65,2231536.0,487925346.4
2021-06-30,218.54,220.73,217.77,219.93,2890642.0,635738895.0600001
2021-07-01,221.52,223.67,221.31,223.55,2393371.0,535038087.05
2021-07-02,224.1,225.93,223.42,224.72,1731603.0,389125826.16
2021-07-06,225.23,225.495,221.31,223.81,2322977.0,519905482.37
2021-07-07,222.82,228.74,222.51,228.35,2639916.0,602824818.6
2021-07-08,222.1,223.22,217.41,218.34,5744272.0,1254204348.48
2021-07-09,220.0,222.65,219.73,221.69,4321181.0,957962615.89
2021-07-12,221.0,222.1264,219.66,221.22,3448031.0,762773417.82
2021-07-13,220.87,221.3974,219.0,219.18,3492117.0,765402204.0600001
2021-07-14,219.92,221.41,219.25,220.05,4634459.0,1019812702.95
2021-07-15,218.84,220.88,217.91,219.94,2108542.0,463752727.48
2021-07-16,219.89,220.82,217.81,218.42,3039513.0,663890429.4599999
2021-07-19,215.16,215.89,212.94,214.34,3717105.0,796724285.7
2021-07-20,213.99,217.64,213.99,215.48,3111526.0,670471622.48
2021-07-21,216.45,219.215,216.22,217.19,2345719.0,509466709.61
2021-07-22,223.18,224.5,219.05,219.54,4231552.0,928994926.08
2021-07-23,220.5,221.65,219.4652,220.15,3976910.0,875516736.5
2021-07-26,219.93,222.0,218.61,220.19,2875762.0,633214034.78
2021-07-27,219.25,220.4,217.19,218.03,3242257.0,706909293.71
2021-07-28,218.8,219.075,215.54,216.56,2402129.0,520205056.24
2021-07-29,218.2,219.63,217.24,217.32,1908318.0,414715667.76
2021-07-30,216.73,219.6,216.73,218.76,2324105.0,508421209.7999999
2021-08-02,220.49,220.945,217.38,217.52,1991190.0,433123648.8
2021-08-03,217.91,220.73,217.14,220.06,2278367.0,501377442.02
2021-08-04,219.44,219.62,217.185,217.62,2396876.0,521608155.12
2021-08-05,218.39,219.59,217.58,219.16,2051773.0,449666570.68
2021-08-06,219.89,221.7,219.62,220.5,2480742.0,547003611.0
2021-08-09,219.88,220.58,219.44,219.95,1989982.0,437696540.9
2021-08-10,220.62,222.93,219.46,221.71,2061439.0,457041640.69
2021-08-11,222.37,226.58,221.86,226.39,3076395.0,696465064.05
2021-08-12,225.29,227.865,225.09,227.66,2015900.0,458939794.0
2021-08-13,228.09,228.57,226.6,227.8,1794225.0,408724455.0
2021-08-16,227.45,228.07,225.03,227.49,1807431.0,411172478.19
2021-08-17,226.75,226.85,223.13,225.86,2265118.0,511599551.48
2021-08-18,224.44,228.28,224.19,224.82,2277456.0,512017657.92
2021-08-19,223.1,225.51,222.4,223.77,2110430.0,472250921.1
2021-08-20,223.95,224.77,223.13,223.71,1608949.0,359937980.79
2021-08-23,224.37,226.08,223.51,223.78,1873202.0,419185143.56
2021-08-24,223.85,224.335,221.11,221.25,2390708.0,528944145.0
2021-08-25,221.575,222.027,220.445,221.29,1744076.0,385946578.04
2021-08-26,221.32,222.18,219.54,220.98,3064685.0,677234091.3
2021-08-27,221.32,222.59,221.155,221.43,1944784.0,430633521.12
2021-08-30,220.24,220.615,218.74,219.08,3485314.0,763562591.12
2021-08-31,219.59,219.85,215.535,216.84,5434896.0,1178502848.64
2021-09-01,216.04,218.56,214.8,216.93,4309807.0,934926432.51
2021-09-02,217.33,219.1,216.855,217.53,2659609.0,578544745.77
2021-09-03,217.0,217.35,214.441,214.91,4355511.0,936042869.01
2021-09-07,214.7,216.75,212.7,213.0,3873096.0,824969448.0
2021-09-08,213.31,215.93,212.27,215.25,3319693.0,714563918.25
2021-09-09,214.75,215.19,209.05,210.05,3887625.0,816595631.25
2021-09-10,211.0,211.93,207.6,207.76,2981882.0,619515804.3199999
2021-09-13,209.05,209.55,205.22,206.75,3237760.0,669406880.0
2021-09-14,207.5,207.5,202.61,203.41,4405513.0,896125399.33
2021-09-15,203.43,204.65,202.61,204.25,5271069.0,1076615843.25
2021-09-16,205.0,205.91,203.11,203.44,3481911.0,708359973.84
2021-09-17,202.87,204.565,200.84,201.47,7702971.0,1551917567.37
2021-09-20,198.86,199.9225,195.675,197.87,4370833.0,864856725.71
2021-09-21,199.12,199.58,196.17,196.61,3730288.0,733411923.6800001
2021-09-22,198.4,200.17,197.69,198.07,2907247.0,575838413.29
2021-09-23,199.3,203.31,199.18,201.72,3553733.0,716859020.76
2021-09-24,201.16,204.87,201.1,203.8,2908531.0,592758617.8000001
2021-09-27,203.59,206.49,203.55,203.96,2449583.0,499616948.68
2021-09-28,201.55,202.76,199.71,201.12,3792794.0,762806729.28
2021-09-29,201.3,202.63,200.93,201.68,3448798.0,695553580.64
2021-09-30,202.25,202.305,195.93,196.01,4147991.0,813047715.91
2021-10-01,197.79,202.92,197.29,201.74,3468611.0,699757583.14
2021-10-04,203.95,206.62,203.6,205.51,5532227.0,1136927970.77
2021-10-05,205.13,211.97,205.13,209.97,4177345.0,877117129.65
2021-10-06,207.84,212.95,206.55,212.44,3074622.0,653172697.68
2021-10-07,214.55,215.45,211.295,211.88,2655311.0,562607294.68
2021-10-08,215.17,216.72,214.47,216.48,3394536.0,734849153.28
2021-10-11,216.86,218.07,214.87,214.91,2311981.0,496867836.71
2021-10-12,214.65,215.36,213.0,213.41,1975520.0,421595723.2
2021-10-13,213.76,216.575,213.25,215.85,2206161.0,476199851.85
2021-10-14,217.78,221.59,217.51,221.34,2560590.0,566760990.6
2021-10-15,222.94,225.7,221.94,225.16,2747678.0,618667178.48
2021-10-18,224.0,226.55,222.9,225.93,2287040.0,516710947.2
2021-10-19,227.3,227.49,224.87,225.76,1933337.0,436470161.12
2021-10-20,226.15,228.405,224.22,228.01,3430694.0,782232538.9399999
2021-10-21,229.5,232.09,226.94,231.28,3361515.0,777451189.2
2021-10-22,233.1,239.65,232.46,237.59,3809085.0,905000505.15
2021-10-25,238.3,241.18,237.18,240.28,3154395.0,757938030.6
2021-10-26,241.91,243.91,239.77,240.72,2409908.0,580113053.76
2021-10-27,240.56,243.27,239.32,239.38,2886259.0,690912679.42
2021-10-28,240.35,242.44,240.1,242.3,1998493.0,484234853.9
2021-10-29,240.42,242.8942,239.4,241.4,2386994.0,576220351.6
2021-11-01,242.16,242.27,237.645,239.46,2547368.0,609992741.28
2021-11-02,240.28,242.44,238.74,240.44,1933232.0,464826302.08
2021-11-03,239.82,240.8,237.04,239.46,2535579.0,607169747.34
2021-11-04,239.76,239.89,236.0,237.2,3007882.0,713469610.4
2021-11-05,239.0,240.283,237.95,238.83,2313913.0,552631841.7900001
2021-11-08,240.0,240.0,237.5905,239.45,1612924.0,386214651.7999999
2021-11-09,239.02,241.1,238.36,241.0,1778948.0,428726468.0
2021-11-10,241.63,242.5,240.47,241.54,1613775.0,389791213.5
2021-11-11,241.0,241.13,239.01,240.56,1443781.0,347315957.36
2021-11-12,241.01,244.04,239.86,242.44,1803834.0,437321514.96
2021-11-15,242.52,243.03,240.87,241.46,1633751.0,394485516.46
2021-11-16,242.01,244.34,240.98,241.48,1986132.0,479611155.3599999
2021-11-17,241.36,241.96,238.68,239.75,3023241.0,724822029.75
2021-11-18,239.54,241.53,238.03,240.24,2754248.0,661680539.52
2021-11-19,241.19,243.0,238.23,241.31,2589098.0,624775238.38
2021-11-22,241.7,247.12,240.82,243.91,2381485.0,580868006.35
2021-11-23,243.38,247.76,242.77,247.37,3004824.0,743303312.88
2021-11-24,246.63,247.15,245.22,246.6,2145673.0,529122961.8
2021-11-26,240.38,241.68,237.66,239.79,2566677.0,615463477.8299999
2021-11-29,241.5,243.01,239.34,239.46,3749048.0,897747034.08
2021-11-30,237.84,239.43,235.3,235.64,4488325.0,1057628903.0
2021-12-01,237.63,239.71,233.21,233.25,3935036.0,917847147.0
2021-12-02,235.32,241.44,234.09,240.08,3783169.0,908263213.52
2021-12-03,241.17,243.03,238.05,240.43,2961152.0,711949775.36
2021-12-06,243.31,247.6,241.77,246.06,2623753.0,645600663.18
2021-12-07,247.26,249.94,246.81,247.47,2270843.0,561965517.21
2021-12-08,247.3,248.68,245.2,247.6,1814501.0,449270447.6
2021-12-09,247.06,249.3912,246.06,247.25,1983082.0,490317024.5
2021-12-10,248.64,249.7,247.07,248.46,1937841.0,481475974.86
2021-12-13,247.57,248.47,244.39,245.74,2548387.0,626240621.38
2021-12-14,245.51,247.0,243.28,244.61,2682228.0,656099791.08
2021-12-15,246.08,247.36,244.01,247.12,2517671.0,622166857.52
2021-12-16,247.91,249.9,246.29,248.35,2297296.0,570533461.6
2021-12-17,246.59,247.32,242.23,242.69,4937192.0,1198207126.48
2021-12-20,239.98,240.9,238.07,240.64,2769931.0,666556195.8399999
2021-12-21,242.7,244.39,240.77,242.22,2746210.0,665186986.2
2021-12-22,242.0,243.61,241.09,242.89,1623041.0,394220428.4899999
2021-12-23,243.27,246.81,243.145,245.64,1655749.0,406718184.3599999
2021-12-27,246.21,248.25,245.42,247.95,1176607.0,291739705.65
2021-12-28,247.86,250.33,247.34,249.23,1119794.0,279086258.62
2021-12-29,250.01,251.77,249.44,251.03,1106453.0,277752896.59
2021-12-30,251.27,251.655,248.58,249.54,1163360.0,290304854.4
2021-12-31,249.54,253.33,249.14,251.93,1516780.0,382122385.4
2022-01-03,253.25,253.5,246.5,247.77,2450175.0,607079859.75
2022-01-04,250.0,254.4,249.36,252.03,2647674.0,667293278.22
2022-01-05,252.85,254.709,251.66,252.79,3651332.0,923020216.28
2022-01-06,254.0,254.7,251.88,253.49,2342342.0,593760273.58
2022-01-07,252.79,256.105,251.57,254.78,2346792.0,597915665.76
2022-01-10,254.53,254.53,248.4,250.28,3341428.0,836292599.84
2022-01-11,250.75,251.19,245.071,246.42,3087165.0,760739199.3
2022-01-12,247.61,248.96,246.035,247.0,2480967.0,612798849.0
2022-01-13,247.5,248.77,246.69,247.62,2615278.0,647595138.36
2022-01-14,245.27,248.23,244.53,246.27,2525518.0,621959317.86
2022-01-18,244.8,245.54,236.8,238.04,5752268.0,1369269874.72
2022-01-19,240.0,241.695,237.03,239.49,4911114.0,1176162691.86
2022-01-20,237.22,245.66,237.0,242.07,4256111.0,1030276789.77
2022-01-21,244.66,250.53,242.24,246.33,4932491.0,1215020508.03
2022-01-24,242.92,245.92,239.13,245.1,5095221.0,1248838667.1
2022-01-25,242.64,245.67,239.1932,244.12,3325365.0,811788103.8000001
2022-01-26,246.59,250.15,242.36,244.88,3529141.0,864216048.08
2022-01-27,247.33,248.67,242.72,244.59,3045849.0,744984206.91
2022-01-28,245.0,246.08,239.6,245.93,2660048.0,654185604.64
2022-01-31,245.0,245.39,242.81,244.55,3522010.0,861307545.5
2022-02-01,244.81,248.38,243.82,246.71,2438695.0,601650443.45
2022-02-02,246.03,251.7989,246.03,251.26,2640209.0,663378913.34
2022-02-03,250.3,251.69,243.54,244.35,3666671.0,895951058.85
2022-02-04,244.64,246.09,241.16,242.39,3603530.0,873459636.6999999
2022-02-07,244.16,244.975,240.15,241.15,3067483.0,739723525.45
