timestamps,open,high,low,close,volume,amount
2021-05-28,213.83,215.87,213.03,214.6,2173036.0,466333525.6
2021-06-01,215.59,216.55,213.21,213.29,1935039.0,412724468.31
2021-06-02,214.29,214.29,211.0,211.91,2521177.0,534262618.07
2021-06-03,211.05,213.1795,210.13,211.98,2201677.0,466711490.46
2021-06-04,212.41,213.4,208.63,210.63,2973527.0,626313992.01
2021-06-07,210.59,215.41,210.31,212.92,3488054.0,742676457.68
2021-06-08,212.85,213.3,209.555,209.76,3452570.0,724211083.1999999
2021-06-09,208.06,208.91,197.0,201.06,10645790.0,2140442537.4
2021-06-10,204.17,204.34,201.26,203.2,4958513.0,1007569841.6
2021-06-11,203.66,205.24,201.83,203.2,2739638.0,556694441.6
2021-06-14,202.95,203.77,200.11,201.09,2178335.0,438041385.15
2021-06-15,201.45,203.86,199.27,202.34,2445909.0,494905227.06
2021-06-16,201.67,202.48,199.31,200.42,2139943.0,428887376.06
2021-06-17,200.5,200.5,195.47,198.05,3104243.0,614795326.15
2021-06-18,196.27,199.6,195.51,197.77,8586261.0,1698104837.97
2021-06-21,199.36,204.585,198.975,203.32,3680400.0,748298928.0
2021-06-22,202.22,206.12,202.1352,205.4,3526870.0,724419098.0
2021-06-23,205.25,206.29,203.58,204.02,2567487.0,523818697.74
2021-06-24,206.54,206.64,205.25,206.1,2652644.0,546709928.4
2021-06-25,202.54,206.35,202.2,205.61,6706032.0,1378827239.52
2021-06-28,205.69,206.02,202.75,205.23,2341315.0,480508077.45
2021-06-29,205.28,207.97,204.25,207.61,2320205.0,481697760.05
2021-06-30,206.49,208.13,205.93,207.97,2787496.0,579715543.12
2021-07-01,209.39,210.38,208.0,210.22,2782950.0,585031749.0
2021-07-02,209.59,212.1,209.28,211.53,2208018.0,467062047.54
2021-07-06,210.46,211.61,208.19,211.29,2473878.0,522705682.62
2021-07-07,211.31,214.9315,210.32,214.26,2584099.0,553669051.74
2021-07-08,210.32,212.7,209.9,212.07,2421188.0,513461339.16
2021-07-09,213.89,214.5,212.67,213.92,2070027.0,442820175.84
2021-07-12,211.0,214.08,210.41,213.33,2299350.0,490520335.5
2021-07-13,213.33,214.19,210.75,211.27,1888637.0,399012338.99
2021-07-14,211.34,212.4,209.63,211.53,2913946.0,616386997.38
2021-07-15,211.1,213.76,210.6103,212.86,1695498.0,360903704.28
2021-07-16,213.12,213.53,210.11,210.57,3754675.0,790621914.75
2021-07-19,208.46,211.46,206.67,211.41,2944145.0,622421694.45
2021-07-20,212.06,214.29,210.71,212.46,2314017.0,491636051.82
2021-07-21,212.66,214.71,212.17,212.45,1797833.0,381949620.85
2021-07-22,212.36,213.73,211.86,213.23,1663990.0,354812587.7
2021-07-23,212.99,213.25,210.94,211.64,2222521.0,470374344.44
2021-07-26,211.2,212.25,209.35,209.86,2705755.0,567829744.3000001
2021-07-27,198.07,198.07,190.2609,195.19,13873657.0,2707999109.83
2021-07-28,195.09,195.868,190.51,192.04,6391815.0,1227484152.6
2021-07-29,193.03,194.49,191.59,191.81,3150322.0,604263262.82
2021-07-30,190.0,192.64,188.32,191.36,3741603.0,715993150.08
2021-08-02,192.35,193.73,191.04,191.94,2782523.0,534077464.62
2021-08-03,191.25,194.25,190.57,194.15,2726570.0,529363565.5
2021-08-04,192.92,193.8,190.575,190.79,2341664.0,446766074.56
2021-08-05,191.45,192.3,190.1,190.42,2045216.0,389450030.72
2021-08-06,191.77,193.95,191.28,192.6,2340251.0,450732342.6
2021-08-09,191.07,192.16,190.845,190.98,2150077.0,410621705.46
2021-08-10,191.18,192.12,190.4,190.61,1667984.0,317934430.24
2021-08-11,191.31,192.52,190.72,192.4,2131095.0,410022678.0
2021-08-12,192.68,194.56,192.27,193.64,2458568.0,476077107.52
2021-08-13,193.03,194.9,192.94,193.98,2432526.0,471861393.48
