timestamps,open,high,low,close,volume,amount
2021-05-28,45.82,45.93,45.175,45.42,4888996.0,222058198.32
2021-06-01,46.58,46.94,45.97,46.33,6489832.0,300673916.56
2021-06-02,46.56,47.025,46.36,46.9,3753803.0,176053360.7
2021-06-03,47.1,47.15,46.51,46.97,3450909.0,162089195.73
2021-06-04,47.45,47.49,47.01,47.26,3698307.0,174781988.82
2021-06-07,47.34,47.54,47.07,47.27,3883216.0,183559620.32
2021-06-08,47.08,47.9,46.8,47.88,5156558.0,246895997.04
2021-06-09,47.95,48.1,47.42,47.58,4687412.0,223027062.96
2021-06-10,47.99,48.16,46.9,47.83,8698997.0,416073026.51
2021-06-11,47.93,48.25,47.89,48.07,4384534.0,210764549.38
2021-06-14,48.4,48.605,48.08,48.32,4795440.0,231715660.8
2021-06-15,48.68,49.01,48.63,48.98,4378743.0,214470832.14
2021-06-16,48.86,49.46,48.75,48.75,6183988.0,301469415.0
2021-06-17,48.92,49.0,47.3301,48.04,11128137.0,534595701.48
2021-06-18,47.85,48.66,47.8419,48.36,6269453.0,303190747.08
2021-06-21,48.4,49.409,48.33,49.36,8835383.0,436114504.88
2021-06-22,49.3,49.6249,49.14,49.42,3767801.0,186204725.42
2021-06-23,50.09,50.25,49.58,49.72,4892415.0,243250873.8
2021-06-24,49.41,49.91,49.35,49.84,5453864.0,271820581.76
2021-06-25,50.03,50.33,49.485,50.25,5298489.0,266249072.25
2021-06-28,50.07,50.07,49.39,49.54,4260298.0,211055162.92
2021-06-29,49.94,50.14,49.48,49.89,3057448.0,152536080.72
2021-06-30,49.92,50.365,49.62,49.88,2866838.0,142997879.44
2021-07-01,51.21,51.4,50.42,50.62,4800469.0,242999740.78
2021-07-02,50.5,51.06,50.31,50.93,4466606.0,227484243.58
2021-07-06,50.62,50.7,49.315,49.9,10918085.0,544812441.5
2021-07-07,49.85,50.15,48.22,48.66,10596849.0,515642672.34
2021-07-08,48.71,49.54,48.32,49.52,6428409.0,318334813.68
2021-07-09,50.0,50.54,49.96,50.41,4375663.0,220577171.83
2021-07-12,49.94,50.38,49.62,50.31,2531991.0,127384467.21
2021-07-13,50.51,51.28,50.26,51.15,4403047.0,225215854.05
2021-07-14,51.13,51.18,49.28,49.7,6770843.0,336510897.1
2021-07-15,49.13,49.75,48.99,49.04,3943615.0,193394879.6
2021-07-16,49.4,49.56,48.38,49.14,4535410.0,222870047.4
2021-07-19,47.62,47.6425,45.35,45.84,8826277.0,404596537.68
2021-07-20,45.64,46.609,45.021,46.51,4812708.0,223839049.08
2021-07-21,47.36,48.46,47.36,48.27,6540873.0,315727939.71000004
2021-07-22,48.68,49.42,48.34,49.17,4487846.0,220667387.82
2021-07-23,49.25,49.53,49.03,49.47,2772279.0,137144642.13
2021-07-26,49.26,49.71,49.01,49.67,2874518.0,142777309.06
2021-07-27,49.58,49.71,49.04,49.47,2679948.0,132577027.56
2021-07-28,49.63,49.97,49.45,49.72,3117086.0,154981515.92
2021-07-29,50.18,50.69,50.07,50.64,2657914.0,134596764.96
2021-07-30,50.695,51.02,50.44,50.66,3605732.0,182666383.11999995
2021-08-02,50.35,50.43,48.63,49.18,5876514.0,289006958.52
2021-08-03,48.11,48.93,47.87,48.85,8234674.0,402263824.9
2021-08-04,47.54,48.14,47.175,47.2,6802995.0,321101364.0
2021-08-05,47.34,48.155,47.34,48.1,3124303.0,150278974.3
2021-08-06,48.42,48.51,47.35,47.57,5245040.0,249506552.8
2021-08-09,46.47,46.7,45.85,46.6,5248042.0,244558757.2
