timestamps,open,high,low,close,volume,amount
2021-05-28,227.59,229.43,227.148,227.3,5912076.0,1343814874.8
2021-06-01,229.44,230.08,226.28,226.63,5273927.0,1195230076.01
2021-06-02,229.22,233.11,228.78,229.66,9213716.0,2116022016.56
2021-06-03,229.0,230.39,227.77,228.11,6466054.0,1474971577.94
2021-06-04,229.35,230.7,228.73,230.14,5160523.0,1187642763.22
2021-06-07,232.85,234.68,230.08,231.32,5530881.0,1279403392.92
2021-06-08,232.15,232.85,230.16,232.05,4285308.0,994405721.4
2021-06-09,232.5,234.85,232.12,232.31,4749259.0,1103300358.29
2021-06-10,233.1,234.26,232.1306,233.95,4536201.0,1061244223.95
2021-06-11,234.39,235.44,233.7079,234.96,5460603.0,1283023280.88
2021-06-14,234.7,235.22,231.5709,234.08,5906022.0,1382481629.76
2021-06-15,234.44,234.8,232.62,232.98,7205268.0,1678683338.64
2021-06-16,233.62,234.18,228.0,229.6,8998348.0,2066020700.8
2021-06-17,229.21,233.34,229.21,232.15,7005483.0,1626322878.45
2021-06-18,230.45,232.18,229.2209,230.41,9857508.0,2271268418.2799997
2021-06-21,231.45,235.01,230.4,234.32,7399772.0,1733914575.04
2021-06-22,234.3,236.09,233.24,235.93,8970803.0,2116481551.79
2021-06-23,235.45,235.92,233.94,234.68,6955197.0,1632245631.96
2021-06-24,237.0,238.25,235.41,236.24,4744417.0,1120821072.0800002
2021-06-25,236.4,238.48,236.32,237.32,7925114.0,1880788054.48
2021-06-28,238.0,238.37,231.86,234.09,9415239.0,2204013297.51
2021-06-29,234.57,236.52,234.15,235.95,11992039.0,2829521602.0499997
2021-06-30,235.11,236.4,233.82,233.82,7916435.0,1851020831.7
2021-07-01,234.2,236.25,234.0499,235.15,5421235.0,1274803410.25
2021-07-02,235.83,238.78,235.82,238.63,4460657.0,1064446579.91
2021-07-06,239.5,240.61,237.21,239.6,8210779.0,1967302648.4
2021-07-07,240.26,241.04,238.3,240.0,4412698.0,1059047520.0
2021-07-08,236.97,237.065,234.55,236.61,6526379.0,1544206535.19
2021-07-09,238.76,239.45,237.421,238.47,5717229.0,1363387599.63
2021-07-12,237.58,238.505,237.27,237.87,7142898.0,1699081147.26
2021-07-13,238.25,242.48,238.25,242.35,8159148.0,1977369517.8
2021-07-14,243.22,246.81,242.82,245.99,8800962.0,2164948642.38
2021-07-15,245.31,248.8,245.31,248.55,10284388.0,2556184637.4
2021-07-16,249.99,250.46,247.52,248.12,8829196.0,2190700111.52
2021-07-19,243.99,244.45,238.9,240.41,11614421.0,2792222952.61
2021-07-20,240.64,244.21,239.51,242.7,7007223.0,1700653022.1
2021-07-21,243.29,246.9,242.3,243.66,11308637.0,2755462491.42
2021-07-22,243.78,245.3489,243.15,244.14,10392581.0,2537244725.3399997
2021-07-23,246.76,250.01,246.76,249.02,6886947.0,1714987541.94
2021-07-26,249.21,250.36,247.7,250.25,4977542.0,1245629885.5
2021-07-27,249.19,252.67,248.22,250.93,7141316.0,1791970423.88
2021-07-28,250.05,251.5,245.91,246.94,9155405.0,2260835710.7
2021-07-29,248.11,250.38,247.095,247.92,7495335.0,1858243453.2
2021-07-30,247.21,248.46,246.0,246.39,5804738.0,1430229395.82
2021-08-02,246.24,247.83,238.37,239.78,9989546.0,2395293339.88
2021-08-03,240.63,241.39,234.03,237.09,9838976.0,2332722819.84
2021-08-04,237.0,237.55,235.05,236.67,8171754.0,1934009019.18
2021-08-05,236.61,240.25,236.43,240.21,5337491.0,1282118713.11
2021-08-06,240.0,242.6,239.86,241.4,4509702.0,1088642062.8
2021-08-09,241.75,242.18,238.05,240.0,5226949.0,1254467760.0
2021-08-10,240.51,241.34,235.56,238.07,7186021.0,1710776019.47
2021-08-11,238.08,238.36,234.58,235.06,7375688.0,1733729221.28
2021-08-12,233.89,234.11,231.02,231.79,9868851.0,2287500973.29
2021-08-13,232.0,233.27,231.4,232.65,5445425.0,1266878126.25
2021-08-16,232.21,235.48,230.2,235.36,7576703.0,1783252818.0800002
2021-08-17,235.0,235.665,233.22,234.53,6849034.0,1606303944.02
2021-08-18,233.92,234.35,231.47,231.63,4992683.0,1156455163.29
2021-08-19,229.04,232.43,228.9,231.57,5658094.0,1310244827.58
2021-08-20,231.87,232.16,230.3,231.36,5522544.0,1277695779.8400002
2021-08-23,232.7,234.65,232.0,234.14,6342019.0,1484920328.6599998
2021-08-24,235.04,236.19,233.95,234.24,5074720.0,1188702412.8
2021-08-25,235.0,235.0,232.0805,232.59,5277076.0,1227395106.84
2021-08-26,232.13,232.63,230.15,230.52,5889143.0,1357565244.36
2021-08-27,231.02,233.0525,230.23,232.69,6368977.0,1481997258.13
2021-08-30,232.69,233.67,229.92,231.23,6448011.0,1490973583.53
2021-08-31,230.91,231.84,228.66,229.1,9405086.0,2154705202.6
2021-09-01,229.1,230.78,228.77,230.12,8177611.0,1881831843.32
2021-09-02,230.43,230.55,221.96,224.18,19717015.0,4420160422.7
2021-09-03,224.0,227.3,223.3501,225.11,11524122.0,2594195103.42
2021-09-07,226.74,228.0,225.86,226.27,9955062.0,2252531878.74
2021-09-08,227.38,230.2225,227.04,229.09,10652636.0,2440412381.24
2021-09-09,229.31,230.0,227.1,227.49,5853038.0,1331507614.62
2021-09-10,229.85,230.04,224.82,224.91,6715397.0,1510359939.27
2021-09-13,225.53,227.2,223.411,224.63,6919666.0,1554364573.58
2021-09-14,225.0,225.81,222.279,223.03,6685390.0,1491042531.7
2021-09-15,222.52,224.835,221.36,223.81,6640354.0,1486177628.74
2021-09-16,223.86,225.2,222.75,224.33,5927210.0,1329651019.3000002
2021-09-17,222.45,223.7,219.3,221.75,13833000.0,3067467750.0
2021-09-20,216.96,220.5,216.31,220.05,8822592.0,1941411369.6
2021-09-21,220.75,222.17,218.98,220.17,7033629.0,1548594096.9299998
2021-09-22,221.4,224.1,221.1,222.75,6005862.0,1337805760.5
2021-09-23,225.0,228.7,224.36,228.31,7952748.0,1815691895.88
2021-09-24,228.93,231.95,228.62,231.59,6396744.0,1481421942.96
2021-09-27,231.72,233.33,228.77,229.6,6817067.0,1565198583.2
2021-09-28,228.87,228.87,224.0,225.56,6951365.0,1567949889.4
2021-09-29,226.8,229.02,226.09,226.68,6432682.0,1458160355.76
2021-09-30,227.58,228.7855,222.63,222.75,7223011.0,1608925700.25
2021-10-01,224.17,231.56,223.47,230.46,7925368.0,1826480309.28
2021-10-04,230.0,230.33,220.81,224.73,10283388.0,2310985785.24
2021-10-05,225.48,227.38,223.92,224.28,5780199.0,1296383031.72
2021-10-06,222.04,226.62,221.25,226.51,5420940.0,1227897119.4
2021-10-07,228.91,231.16,228.49,230.55,6561920.0,1512850656.0
2021-10-08,231.0,232.7335,230.18,230.27,3815012.0,878482813.24
2021-10-11,230.01,230.315,224.87,225.11,5620197.0,1265162546.67
2021-10-12,225.56,226.22,222.92,224.05,5448215.0,1220672570.75
2021-10-13,223.13,225.86,218.63,222.46,9077425.0,2019363965.5
2021-10-14,224.12,225.65,223.06,225.18,5578744.0,1256221573.92
2021-10-15,227.22,231.09,226.73,230.99,6355055.0,1467954154.45
2021-10-18,230.18,232.76,228.143,230.65,5580210.0,1287075436.5
2021-10-19,231.95,233.64,230.68,233.52,4409660.0,1029743803.2
2021-10-20,233.455,233.8,231.31,231.42,5401813.0,1250087564.46
2021-10-21,230.7,230.83,226.3,230.24,5982197.0,1377341037.28
2021-10-22,230.29,232.82,228.71,231.23,3788001.0,875899471.23
2021-10-25,233.45,234.86,232.29,233.88,4938664.0,1155054736.32
2021-10-26,235.53,236.96,231.33,231.82,7811623.0,1810890443.86
2021-10-27,224.75,224.75,215.66,215.78,22958064.0,4953891049.92
2021-10-28,219.25,219.99,209.01,209.84,23192507.0,4866715668.88
2021-10-29,209.21,213.665,208.54,211.77,14329821.0,3034626193.17
2021-11-01,213.49,215.25,211.45,212.46,13210298.0,2806659913.08
2021-11-02,213.16,213.35,207.82,209.14,14688722.0,3071999319.08
2021-11-03,209.69,210.15,206.73,208.1,11479964.0,2388980508.4
2021-11-04,209.16,212.3593,207.87,208.78,11368187.0,2373450081.86
2021-11-05,211.95,217.625,211.36,216.67,14273638.0,3092669145.46
2021-11-08,218.37,221.61,218.15,220.49,13500101.0,2976637269.49
2021-11-09,219.69,220.41,212.915,213.39,11535021.0,2461458131.19
2021-11-10,213.55,216.95,213.33,215.56,9988587.0,2153139813.72
2021-11-11,216.47,216.78,210.16,210.42,13546919.0,2850542695.98
2021-11-12,211.5,213.58,211.434,212.09,7660450.0,1624704840.5
2021-11-15,213.62,216.4,211.81,212.3,9591233.0,2036218765.9
2021-11-16,212.16,215.65,211.66,215.18,8719577.0,1876278578.86
2021-11-17,205.95,207.31,199.46,205.06,38379567.0,7870114009.02
2021-11-18,206.5,207.87,201.27,203.33,18292164.0,3719345706.12
2021-11-19,202.04,203.5,199.85,200.86,18013726.0,3618237004.36
2021-11-22,200.0,201.7,194.6,195.58,21186071.0,4143571766.18
2021-11-23,196.97,198.92,194.38,198.49,14679103.0,2913655154.4700003
2021-11-24,198.17,203.95,197.64,203.25,12013915.0,2441828223.75
2021-11-26,193.32,199.19,192.55,197.65,10987553.0,2171689850.4500003
2021-11-29,201.0,201.25,195.36,196.29,14483524.0,2842970925.96
2021-11-30,195.27,197.66,192.56,193.77,16022982.0,3104773222.1400003
2021-12-01,196.03,196.81,190.1,190.16,13213371.0,2512654629.36
2021-12-02,192.0,199.435,191.85,198.29,13976279.0,2771356362.91
2021-12-03,198.27,198.47,194.04,196.32,10660536.0,2092876427.52
2021-12-06,198.77,204.22,197.74,202.68,10722095.0,2173154214.6
2021-12-07,206.0,207.94,205.89,207.37,11827237.0,2452614136.69
2021-12-08,207.66,209.48,205.71,208.99,11749206.0,2455466561.94
2021-12-09,208.52,212.2,207.17,211.39,10176774.0,2151268255.8599997
2021-12-10,211.9,214.25,210.86,213.4,8882718.0,1895572021.2
2021-12-13,212.45,213.32,209.98,211.02,8844298.0,1866323763.96
2021-12-14,210.73,213.37,208.45,209.98,8782274.0,1844101894.52
2021-12-15,209.4,212.49,207.86,212.31,10892534.0,2312593893.54
2021-12-16,215.29,216.27,211.61,214.37,8548404.0,1832521365.48
2021-12-17,212.8,213.21,207.79,211.88,11663037.0,2471164279.56
2021-12-20,209.09,209.77,206.86,208.74,9434414.0,1969339578.36
2021-12-21,210.61,216.16,210.363,215.38,6993699.0,1506302890.62
2021-12-22,213.85,218.94,213.85,217.96,6003398.0,1308500628.0800002
2021-12-23,218.44,218.5174,216.62,216.62,4798217.0,1039389766.54
2021-12-27,217.68,218.12,214.88,217.63,4819103.0,1048781385.89
2021-12-28,216.01,219.73,215.58,218.05,4283621.0,934043559.05
2021-12-29,217.76,218.94,217.33,218.17,3223215.0,703208816.55
2021-12-30,217.97,219.15,217.15,217.87,3812844.0,830704322.28
2021-12-31,216.81,217.98,215.49,216.71,4723347.0,1023596528.37
2022-01-03,217.52,222.06,217.0101,221.43,7696504.0,1704236880.72
2022-01-04,222.0,226.79,221.81,222.46,10629274.0,2364588294.04
2022-01-05,222.64,225.27,219.92,220.0,9594587.0,2110809140.0
2022-01-06,217.8,221.91,217.55,219.75,7877498.0,1731080185.5
2022-01-07,217.31,220.2,215.64,216.96,10702084.0,2321924144.64
2022-01-10,213.975,214.2,206.5,211.97,11978564.0,2539096211.08
2022-01-11,211.42,214.945,208.74,214.38,8803100.0,1887208578.0
2022-01-12,214.48,217.58,213.8101,215.71,6923316.0,1493428494.36
2022-01-13,216.85,220.48,214.655,215.0,8867716.0,1906558940.0
2022-01-14,214.17,218.245,213.71,214.67,8838058.0,1897265910.86
2022-01-18,215.88,216.905,214.33,215.71,9099883.0,1962935761.93
2022-01-19,213.0,218.23,212.105,214.68,9399847.0,2017959153.96
2022-01-20,214.72,219.603,213.94,214.35,8532719.0,1828988317.65
2022-01-21,215.46,215.5998,205.82,205.93,16080186.0,3311392702.98
2022-01-24,202.18,202.72,195.65,201.85,16071062.0,3243943864.7
2022-01-25,199.62,205.38,196.99,202.0,12125533.0,2449357666.0
2022-01-26,204.28,210.86,203.67,205.87,10817631.0,2227025693.9700003
2022-01-27,209.5,210.96,205.85,206.15,12009810.0,2475822331.5
2022-01-28,220.64,228.12,216.1,228.0,26425262.0,6024959736.0
2022-01-31,225.55,226.38,222.05,226.17,12380639.0,2800129122.6299996
2022-02-01,226.9,234.6101,226.42,232.36,12217202.0,2838789056.7200003
2022-02-02,231.3,235.85,230.01,235.42,10590512.0,2493218335.04
