timestamps,open,high,low,close,volume,amount
2021-05-28,94.18,94.365,94.18,94.19,1282311.0,120780873.09
2021-06-01,93.94,94.08,93.88,94.07,2200096.0,206963030.72
2021-06-02,94.18,94.23,94.14,94.22,2630137.0,247811508.14
2021-06-03,93.94,93.99,93.886,93.9,2011746.0,188902949.4
2021-06-04,94.08,94.34,94.07,94.32,2783300.0,262520855.99999997
2021-06-07,94.24,94.3,94.205,94.29,2022763.0,190726323.27
2021-06-08,94.5,94.54,94.42,94.51,2517123.0,237893294.73
2021-06-09,94.75,94.83,94.63,94.72,2002423.0,189669506.56
2021-06-10,94.64,95.04,94.59,95.04,1938400.0,184225536.0
2021-06-11,95.09,95.1,94.955,95.03,1507299.0,143238623.97
2021-06-14,94.96,94.96,94.75,94.82,1144312.0,108503663.84
2021-06-15,94.5889,94.92,94.5889,94.92,2042882.0,193910359.44
2021-06-16,94.97,95.04,94.24,94.44,2450434.0,231418986.96
2021-06-17,94.52,94.798,94.49,94.65,3881557.0,367389370.05
2021-06-18,94.69,94.955,94.4995,94.9,2794293.0,265178405.7
2021-06-21,94.78,94.86,94.695,94.73,2379733.0,225432107.09
2021-06-22,94.66,94.87,94.6,94.87,1515580.0,143783074.6
2021-06-23,94.77,94.88,94.5,94.7,9649903.0,913845814.1
2021-06-24,94.79,94.86,94.7,94.81,2956084.0,280266324.04
2021-06-25,94.86,94.88,94.54,94.685,2982845.0,282430678.825
2021-06-28,94.81,94.93,94.72,94.9,3475248.0,329801035.20000005
2021-06-29,94.91,95.02,94.8,95.02,2386540.0,226769030.8
2021-06-30,95.1,95.2,95.0497,95.07,3358882.0,319328911.73999995
2021-07-01,94.95,94.98,94.74,94.83,1685365.0,159823162.95
2021-07-02,94.91,95.07,94.83,95.06,2119911.0,201518739.66
2021-07-06,95.0933,95.455,95.0933,95.37,3446848.0,328725893.76
2021-07-07,95.46,95.635,95.39,95.57,2620126.0,250405441.82
2021-07-08,95.51,95.72,95.5,95.63,3226973.0,308595427.99
2021-07-09,95.44,95.44,95.34,95.36,1982057.0,189008955.52
2021-07-12,95.36,95.41,95.24,95.32,3874761.0,369342218.52
2021-07-13,95.31,95.36,95.035,95.08,6353457.0,604086691.56
2021-07-14,95.27,95.4,95.25,95.4,6512907.0,621331327.8000001
2021-07-15,95.51,95.59,95.34,95.55,3337277.0,318876817.34999996
2021-07-16,95.37,95.5487,95.35,95.49,3018121.0,288200374.28999996
2021-07-19,95.8103,96.055,95.68,95.97,3865225.0,370945643.25
2021-07-20,96.24,96.27,95.86,95.95,5330542.0,511465504.9
2021-07-21,95.73,95.765,95.53,95.64,2769149.0,264841410.36
2021-07-22,95.7,95.94,95.67,95.87,2101916.0,201510686.92
2021-07-23,95.64,95.85,95.615,95.83,2244455.0,215086122.65
2021-07-26,95.711,95.885,95.711,95.73,2946385.0,282057436.05
2021-07-27,95.95,95.985,95.84,95.98,3137887.0,301174394.26
2021-07-28,95.85,96.12,95.79,96.12,3227471.0,310224512.52000004
2021-07-29,95.93,96.01,95.88,95.97,2153518.0,206673122.46
2021-07-30,96.0038,96.11,95.99,96.09,2106849.0,202447120.41
2021-08-02,96.03,96.27,95.96,96.13,2755341.0,264870930.33
2021-08-03,96.15,96.26,96.09,96.13,2255344.0,216806218.72
2021-08-04,96.29,96.39,95.83,96.07,3351608.0,321988980.56
2021-08-05,95.93,95.965,95.77,95.83,2845088.0,272644783.04
2021-08-06,95.48,95.5494,95.38,95.43,2257312.0,215415284.16000003
2021-08-09,95.41,95.46,95.11,95.14,1624066.0,154513639.24
2021-08-10,95.06,95.35,94.95,94.99,1660363.0,157717881.37
2021-08-11,95.02,95.275,94.91,95.15,2589517.0,246392542.55
2021-08-12,95.09,95.179,95.03,95.17,1820400.0,173247468.0
2021-08-13,95.28,95.52,95.26,95.52,1210742.0,115650075.84
2021-08-16,95.675,95.81,95.6,95.64,1715979.0,164116231.56
2021-08-17,95.56,95.63,95.4901,95.54,1953365.0,186624492.1
2021-08-18,95.5,95.52,95.285,95.37,2267202.0,216223054.74
2021-08-19,95.49,95.6,95.39,95.54,1710175.0,163390119.5
2021-08-20,95.59,95.6,95.46,95.52,1187329.0,113413666.08
2021-08-23,95.54,95.62,95.4919,95.56,1313663.0,125533636.28
2021-08-24,95.52,95.555,95.38,95.41,1731580.0,165210047.79999998
2021-08-25,95.43,95.44,95.18,95.25,1730538.0,164833744.5
2021-08-26,95.36,95.36,95.11,95.2,4689433.0,446434021.6
2021-08-27,95.21,95.55,95.105,95.52,2610756.0,249379413.11999995
2021-08-30,95.2554,95.72,95.2554,95.71,2809601.0,268906911.71
2021-08-31,95.7,95.8,95.58,95.58,3775293.0,360842504.94
2021-09-01,95.45,95.58,95.35,95.49,2261584.0,215958656.16
2021-09-02,95.6,95.66,95.51,95.66,3277351.0,313511396.65999997
2021-09-03,95.44,95.4999,95.38,95.46,1106900.0,105664674.0
2021-09-07,94.919,95.18,94.919,95.12,3943588.0,375114090.56
