timestamps,open,high,low,close,volume,amount
2021-05-28,52.42,52.61,52.38,52.42,7731952.0,405308923.84
2021-06-01,52.92,52.925,52.64,52.7,8377031.0,441469533.7000001
2021-06-02,52.75,52.93,52.69,52.85,7442809.0,393352455.65
2021-06-03,52.58,52.64,52.41,52.57,6309836.0,331708078.52
2021-06-04,52.98,53.09,52.89,53.07,6105731.0,324031144.17
2021-06-07,53.15,53.21,53.045,53.19,10374706.0,551830612.14
2021-06-08,53.23,53.25,53.035,53.16,7007643.0,372526301.88
2021-06-09,53.12,53.135,52.93,52.95,5986479.0,316984063.05
2021-06-10,53.0268,53.21,52.97,53.12,7146702.0,379632810.24
2021-06-11,53.19,53.23,53.0313,53.21,4912087.0,261372149.27
2021-06-14,53.19,53.3,53.14,53.29,4744272.0,252822254.88
2021-06-15,53.3,53.34,53.19,53.3,7801215.0,415804759.5
2021-06-16,53.38,53.43,52.7825,52.95,7280711.0,385513647.4500001
2021-06-17,52.63,52.75,52.325,52.56,6117863.0,321554879.28000003
2021-06-18,51.69,51.83,51.49,51.56,8968696.0,462425965.7600001
2021-06-21,51.41,51.89,51.32,51.85,6873181.0,356374434.85
2021-06-22,51.69,51.99,51.57,51.9,5726988.0,297230677.2
2021-06-23,51.85,51.91,51.5461,51.62,6257147.0,322993928.14
2021-06-24,52.01,52.08,51.9325,52.05,8010467.0,416944807.35
2021-06-25,52.21,52.22,52.08,52.22,5999187.0,313277545.14
2021-06-28,52.05,52.05,51.784,51.88,6369385.0,330443693.8
2021-06-29,51.93,51.95,51.79,51.87,7246963.0,375899970.81
2021-06-30,51.47,51.6362,51.33,51.52,9506355.0,489767409.6
2021-07-01,51.5,51.68,51.41,51.67,8179735.0,422646907.45
2021-07-02,51.72,51.87,51.55,51.86,8068197.0,418416696.42
2021-07-06,51.88,51.88,51.32,51.55,7197735.0,371043239.25
2021-07-07,51.72,51.8264,51.47,51.73,8201850.0,424281700.5
2021-07-08,50.884,51.09,50.71,50.98,13870233.0,707104478.3399999
2021-07-09,51.52,51.88,51.455,51.86,7166198.0,371639028.28
2021-07-12,51.85,52.07,51.78,52.05,4866726.0,253313088.3
2021-07-13,51.89,51.978,51.72,51.76,5934567.0,307173187.92
2021-07-14,52.04,52.04,51.82,51.89,4470062.0,231951517.18
2021-07-15,51.47,51.595,51.2762,51.47,7599641.0,391153522.27
2021-07-16,51.47,51.47,50.985,51.07,6008848.0,306871867.36
2021-07-19,50.24,50.28,49.8138,50.07,13837917.0,692864504.19
2021-07-20,50.0,50.6,49.92,50.52,8040063.0,406183982.7600001
2021-07-21,50.79,51.27,50.77,51.25,13101018.0,671427172.5
2021-07-22,51.49,51.49,51.1619,51.32,6720263.0,344883897.16
2021-07-23,51.61,51.7,51.485,51.63,5949086.0,307151310.18
2021-07-26,51.49,51.705,51.49,51.69,5614763.0,290227099.46999997
2021-07-27,51.48,51.51,51.245,51.5,7680221.0,395531381.5
2021-07-28,51.53,51.82,51.41,51.73,6617236.0,342309618.28
2021-07-29,52.14,52.215,52.1,52.12,8559817.0,446137662.04
2021-07-30,51.87,52.0112,51.675,51.78,6454548.0,334216495.44
2021-08-02,52.2,52.29,51.96,52.03,8113712.0,422156435.36
2021-08-03,52.25,52.42,52.025,52.4,8327880.0,436380912.0
2021-08-04,52.45,52.536,52.25,52.25,3984793.0,208205434.25
2021-08-05,52.51,52.59,52.46,52.52,4226543.0,221978038.36
2021-08-06,52.4,52.44,52.24,52.31,4736361.0,247759043.91
2021-08-09,52.31,52.33,52.1975,52.25,4695861.0,245358737.25
2021-08-10,52.24,52.36,52.21,52.36,5559195.0,291079450.2
2021-08-11,52.65,52.72,52.54,52.69,5065156.0,266883069.64
2021-08-12,52.57,52.6,52.4182,52.57,5579610.0,293320097.7
2021-08-13,52.7,52.84,52.64,52.84,3832065.0,202486314.6
2021-08-16,52.43,52.55,52.255,52.54,8101317.0,425643195.18
2021-08-17,52.02,52.1,51.7393,51.96,7431883.0,386160640.68
2021-08-18,51.99,52.2,51.81,51.83,5289095.0,274133793.84999996
2021-08-19,51.14,51.3999,51.06,51.26,11441840.0,586508718.4
2021-08-20,51.05,51.46,51.0,51.43,5806109.0,298608185.87
2021-08-23,51.73,52.0353,51.73,51.97,5915688.0,307438305.36
2021-08-24,52.07,52.28,52.015,52.22,4676978.0,244231791.16
2021-08-25,52.18,52.29,52.075,52.26,7273451.0,380110549.26
2021-08-26,52.07,52.13,51.8542,51.93,4918926.0,255439827.18
2021-08-27,51.95,52.5,51.94,52.47,5045814.0,264753860.58
2021-08-30,52.45,52.52,52.375,52.46,5765039.0,302433945.94
2021-08-31,52.56,52.59,52.38,52.46,8926135.0,468265042.1
2021-09-01,52.85,53.06,52.81,52.92,6914535.0,365917192.2
2021-09-02,53.1,53.2355,53.07,53.17,9103469.0,484031446.73
2021-09-03,53.24,53.49,53.19,53.43,11073997.0,591683659.71
2021-09-07,53.41,53.4504,53.3,53.3,8863565.0,472428014.5
2021-09-08,53.1,53.18,52.8,52.91,6414130.0,339371618.29999995
2021-09-09,52.87,53.06,52.77,52.85,5085611.0,268774541.35
2021-09-10,53.2,53.24,52.693,52.7,6200579.0,326770513.3
2021-09-13,53.22,53.22,52.9201,53.1,5987188.0,317919682.8
2021-09-14,53.26,53.28,52.83,52.87,6492109.0,343237802.83
2021-09-15,52.86,53.09,52.77,53.08,7867194.0,417590657.52
2021-09-16,52.79,52.95,52.6527,52.93,7100217.0,375814485.81
2021-09-17,52.66,52.73,52.1117,52.27,7350341.0,384202324.07000005
2021-09-20,50.93,51.1985,50.64,51.08,16987526.0,867722828.0799999
2021-09-21,51.66,51.78,51.425,51.52,9486138.0,488725829.7600001
2021-09-22,51.77,52.205,51.75,51.8,8370294.0,433581229.2
2021-09-23,52.29,52.5362,52.25,52.43,6789292.0,355962579.56
2021-09-24,51.9,52.0462,51.845,51.95,4791001.0,248892501.95
2021-09-27,51.83,52.0194,51.77,51.95,5785595.0,300561660.25
2021-09-28,51.16,51.19,50.643,50.8,11391879.0,578707453.1999999
2021-09-29,50.87,50.9358,50.58,50.64,11145297.0,564397840.08
2021-09-30,50.73,50.84,50.365,50.49,10300694.0,520082040.06
2021-10-01,50.5,50.76,50.17,50.64,11817465.0,598436427.6
2021-10-04,50.5,50.56,49.94,50.17,12532826.0,628771880.4200001
2021-10-05,50.22,50.62,50.15,50.46,6756911.0,340953729.06
2021-10-06,49.62,50.1,49.45,50.09,12693617.0,635823275.5300001
2021-10-07,50.34,50.7,50.3399,50.51,7009430.0,354046309.3
2021-10-08,50.62,50.67,50.42,50.52,5844349.0,295256511.48
2021-10-11,50.6,50.79,50.36,50.37,5570697.0,280596007.89
2021-10-12,50.39,50.54,50.27,50.35,6540334.0,329305816.90000004
2021-10-13,50.67,50.95,50.53,50.91,6880891.0,350306160.81
2021-10-14,51.39,51.5,51.3,51.46,5690802.0,292848670.92
2021-10-15,51.75,51.89,51.69,51.87,4982139.0,258423549.93
2021-10-18,51.52,51.7199,51.435,51.68,7051236.0,364407876.48
2021-10-19,51.94,52.105,51.91,52.04,5152903.0,268157072.12
2021-10-20,52.08,52.27,52.02,52.22,5728683.0,299151826.26
2021-10-21,51.9,52.06,51.87,51.96,5191935.0,269772942.6
2021-10-22,52.16,52.345,51.99,52.2,6568114.0,342855550.8
2021-10-25,52.14,52.25,51.99,52.16,6111233.0,318761913.28
2021-10-26,52.47,52.49,52.18,52.26,5467118.0,285711586.68
2021-10-27,52.22,52.305,51.98,51.98,6153689.0,319868754.21999997
2021-10-28,52.23,52.5412,52.2,52.51,5770303.0,302998610.53
2021-10-29,52.06,52.17,51.95,52.12,9654948.0,503215889.76
2021-11-01,52.4,52.64,52.333,52.61,8588815.0,451857557.15
2021-11-02,52.48,52.57,52.42,52.49,8353353.0,438467498.97
2021-11-03,52.41,52.8899,52.31,52.85,7539297.0,398451846.45
2021-11-04,52.77,52.82,52.61,52.81,9112628.0,481237884.68
2021-11-05,52.82,52.93,52.715,52.92,7741113.0,409659699.96
2021-11-08,52.95,53.04,52.8937,52.95,5451292.0,288645911.40000004
