timestamps,open,high,low,close,volume,amount
2021-05-28,81.25,81.38,80.125,80.4,2369273.0,190489549.2
2021-06-01,81.53,82.94,81.52,82.18,3161031.0,259773527.58
2021-06-02,82.82,84.79,81.79,84.39,3482384.0,293878385.76
2021-06-03,83.92,84.95,83.15,83.32,3060008.0,254959866.55999997
2021-06-04,83.74,84.26,81.96,83.24,3009099.0,250477400.76
2021-06-07,83.15,84.02,82.42,82.69,2627469.0,217265411.61
2021-06-08,82.4,83.52,80.87,83.26,3253326.0,270871922.76
2021-06-09,83.61,84.1367,81.9,81.93,3404830.0,278957721.90000004
2021-06-10,83.42,84.2,81.28,81.94,2937679.0,240713417.26
2021-06-11,82.54,82.8599,81.24,81.29,2223697.0,180764329.13000005
2021-06-14,81.66,82.6525,81.235,81.95,3073065.0,251837676.75
2021-06-15,82.605,83.77,81.55,82.3,2851502.0,234678614.6
2021-06-16,81.7,82.44,79.76,81.46,3344256.0,272423093.76
2021-06-17,81.14,81.75,77.65,78.58,4006039.0,314794544.62
2021-06-18,77.47,78.28,75.9,76.02,7680023.0,583835348.4599999
2021-06-21,76.75,80.07,76.59,79.98,3710822.0,296791543.56
2021-06-22,79.48,81.54,78.67,80.98,4518312.0,365892905.76
2021-06-23,82.02,83.0,80.725,80.85,4840923.0,391388624.5499999
2021-06-24,81.56,82.05,80.7054,81.73,4255545.0,347805692.85
2021-06-25,81.89,82.59,80.73,82.09,9583824.0,786736112.1600001
2021-06-28,81.79,81.885,77.41,77.72,6485234.0,504032386.48
2021-06-29,78.22,78.52,76.85,76.92,5241707.0,403192102.44
2021-06-30,77.15,78.47,76.92,78.08,4294584.0,335321118.71999997
2021-07-01,79.5,79.78,77.56,77.81,4716483.0,366989542.23
2021-07-02,78.15,78.45,76.91,78.07,3050606.0,238160810.42
2021-07-06,77.77,77.92,74.62,74.7,5861603.0,437861744.1
2021-07-07,74.26,75.09,71.82,72.31,8269730.0,597984176.3000001
2021-07-08,70.9,71.76,69.57,70.26,5958579.0,418649760.54
2021-07-09,71.3,72.435,70.3,72.3,3585540.0,259234542.0
2021-07-12,71.09,72.77,70.62,71.68,2783570.0,199526297.6
2021-07-13,71.0,71.519,70.07,70.47,3430877.0,241773902.19
2021-07-14,70.41,71.24,67.36,67.67,5266352.0,356374039.84000003
2021-07-15,66.91,68.35,66.3,66.8,4862144.0,324791219.2
2021-07-16,66.94,67.19,64.37,64.88,4797089.0,311235134.32
2021-07-19,61.85,62.78,60.76,61.92,7444617.0,460970684.64
2021-07-20,62.03,63.54,60.99,62.57,5574119.0,348772625.83
2021-07-21,63.54,65.6699,63.49,64.91,5200053.0,337535440.22999996
2021-07-22,64.51,64.62,62.925,63.48,3366298.0,213692597.04
2021-07-23,63.52,64.11,63.15,63.71,4018961.0,256048005.31
2021-07-26,63.9,65.99,63.88,65.54,3832835.0,251204005.90000004
2021-07-27,64.71,65.64,63.93,65.58,4826731.0,316537018.98
2021-07-28,66.11,67.99,65.53,67.3,4642290.0,312426117.0
2021-07-29,68.8,69.5,67.33,67.64,4526813.0,306193631.32
2021-07-30,66.87,68.24,66.331,66.97,3587891.0,240281060.27
2021-08-02,67.3,69.2,66.3,66.4,4398363.0,292051303.20000005
2021-08-03,66.39,69.05,66.08,69.01,4367166.0,301378125.66
2021-08-04,66.54,66.91,64.14,64.18,6121236.0,392860926.48
2021-08-05,64.82,66.63,64.78,65.71,3311982.0,217630337.21999997
2021-08-06,66.59,67.06,65.6491,66.5,2850978.0,189590037.0
2021-08-09,65.31,66.34,65.05,66.0,2736320.0,180597120.0
2021-08-10,66.35,67.19,65.835,66.9,3721137.0,248944065.3
2021-08-11,66.49,66.86,65.245,66.84,4869417.0,325471832.28000003
2021-08-12,67.02,67.31,66.05,67.25,1905057.0,128115083.25
2021-08-13,67.0,67.4624,66.13,66.25,1944195.0,128802918.75
2021-08-16,65.1,65.49,63.88,64.54,2993513.0,193201329.02
2021-08-17,63.8,64.62,62.9101,63.51,3256770.0,206837462.7
2021-08-18,63.21,64.66,62.18,62.24,3082602.0,191861148.48
2021-08-19,61.0,61.3988,59.33,60.24,5267936.0,317340464.64
2021-08-20,59.93,60.43,58.85,60.2,4871041.0,293236668.2
2021-08-23,61.83,63.175,61.81,63.11,4826286.0,304586909.46
2021-08-24,63.81,65.515,63.6,65.23,3833670.0,250070294.1
2021-08-25,65.18,66.85,64.92,66.34,3064648.0,203308748.32
2021-08-26,65.77,66.58,65.32,65.46,2726012.0,178444745.51999998
2021-08-27,66.0,68.01,66.0,67.11,3200349.0,214775421.39
2021-08-30,67.89,67.99,65.98,66.02,2653287.0,175170007.73999998
2021-08-31,65.82,67.06,65.23,66.31,6113151.0,405363042.81
2021-09-01,66.1,66.655,63.23,63.95,5186884.0,331701231.8
2021-09-02,64.7,65.99,63.91,65.2,3503394.0,228421288.8
2021-09-03,65.13,65.91,64.08,64.7,2091932.0,135348000.4
2021-09-07,64.81,66.42,64.75,65.52,3062348.0,200645040.96
2021-09-08,65.99,66.32,63.67,63.7,3396751.0,216373038.7
2021-09-09,63.15,65.14,62.8,63.54,2827854.0,179681843.16
2021-09-10,64.23,64.37,62.7,63.41,3212121.0,203680592.61
2021-09-13,64.3,66.72,64.1,66.18,4457945.0,295026800.1
2021-09-14,66.99,67.17,64.47,64.7,3021450.0,195487815.0
2021-09-15,65.53,66.7,65.12,66.51,4073405.0,270922166.55
2021-09-16,66.52,66.66,65.35,65.46,2308125.0,151089862.5
2021-09-17,65.29,66.5,65.04,65.6,4780533.0,313602964.79999995
2021-09-20,63.55,64.18,61.8596,62.97,3801881.0,239404446.57
2021-09-21,63.83,64.14,62.27,63.32,3019560.0,191198539.2
2021-09-22,64.205,66.65,64.205,65.32,4729307.0,308918333.23999995
2021-09-23,65.45,67.34,65.18,67.17,3373788.0,226617339.96
2021-09-24,66.46,67.98,66.37,67.63,2297939.0,155409614.57
2021-09-27,69.11,71.77,68.87,70.78,5049566.0,357408281.48
2021-09-28,71.95,72.93,70.99,71.17,4656729.0,331419402.93
2021-09-29,71.08,71.095,69.655,70.31,2820968.0,198342260.08
2021-09-30,70.33,71.445,69.4,70.57,4113126.0,290263301.82
2021-10-01,70.89,74.0,70.79,73.62,5098837.0,375376379.94
2021-10-04,74.23,75.74,73.6801,75.02,4074465.0,305666364.3
2021-10-05,76.14,76.88,72.92,74.3,4785457.0,355559455.09999996
2021-10-06,72.77,75.83,72.33,75.37,4529377.0,341379144.49
2021-10-07,75.73,77.07,75.545,75.9,3904624.0,296360961.6
2021-10-08,76.54,78.82,76.49,78.6,3509327.0,275833102.2
2021-10-11,80.0,80.19,77.77,77.8,4028870.0,313446086.0
2021-10-12,77.79,79.675,77.68,78.92,2567851.0,202654800.92
2021-10-13,78.17,78.68,76.92,78.14,3072965.0,240121485.1
2021-10-14,79.53,79.98,78.91,79.17,2533405.0,200569673.85
2021-10-15,80.0,80.33,78.6,78.66,2568345.0,202026017.7
2021-10-18,79.12,79.76,77.56,78.13,3525362.0,275436533.06
2021-10-19,78.88,80.3,78.43,80.15,3560463.0,285371109.45000005
2021-10-20,79.52,81.32,79.33,81.04,3897414.0,315846430.56
2021-10-21,81.15,83.15,80.3,82.0,4558519.0,373798558.0
2021-10-22,82.0,82.45,79.435,80.99,3923659.0,317777142.40999997
2021-10-25,82.0,83.12,81.51,82.69,2730625.0,225795381.25
2021-10-26,82.7,82.87,81.61,81.88,2363263.0,193503974.44
2021-10-27,80.75,81.25,78.25,78.67,3180245.0,250189874.15
2021-10-28,78.41,79.7179,77.66,78.46,3366054.0,264100596.83999997
2021-10-29,78.56,78.62,76.66,77.33,4783990.0,369945946.7
2021-11-01,77.99,78.92,77.45,78.02,3375295.0,263340515.9
2021-11-02,77.61,78.05,75.64,75.86,3913054.0,296844276.44
2021-11-03,74.89,77.1199,74.4,75.88,4436215.0,336619994.2
2021-11-04,76.9,77.4,75.07,76.35,3475100.0,265323884.99999997
2021-11-05,77.75,78.08,76.18,77.92,3492629.0,272145651.68
