timestamps,open,high,low,close,volume,amount
2021-05-28,387.03,387.27,385.94,386.13,3419329.0,1320305506.77
2021-06-01,388.5,388.62,385.38,385.83,4550084.0,1755558909.72
2021-06-02,386.45,387.24,385.47,386.48,3252954.0,1257201661.92
2021-06-03,384.17,386.11,382.7,385.01,3463697.0,1333557981.97
2021-06-04,386.81,388.8,386.76,388.5,2672634.0,1038318309.0
2021-06-07,388.52,388.69,387.25,388.17,2581869.0,1002204089.73
2021-06-08,389.0,389.08,386.44,388.23,2430977.0,943778200.71
2021-06-09,389.08,389.13,387.41,387.62,3014367.0,1168428936.54
2021-06-10,388.86,390.3597,387.58,389.41,2656053.0,1034293598.73
2021-06-11,390.0,390.2,388.73,390.09,2289984.0,893299858.56
2021-06-14,390.21,391.07,389.0,391.07,2325952.0,909610048.64
2021-06-15,391.15,391.2,389.4099,390.25,2467614.0,962986363.5
2021-06-16,390.4186,390.58,386.02,388.11,4241162.0,1646037383.8200002
2021-06-17,387.62,388.91,385.5,387.97,4113354.0,1595857951.38
2021-06-18,384.79,385.38,382.52,382.82,5304972.0,2030849381.04
2021-06-21,384.5,388.38,383.65,388.18,4495817.0,1745186243.06
2021-06-22,388.24,391.09,387.47,390.24,2755876.0,1075453050.24
2021-06-23,390.35,391.14,389.7,389.82,2458292.0,958291387.44
2021-06-24,391.89,392.5185,391.67,392.05,3032264.0,1188799101.2
2021-06-25,392.9,393.92,392.54,393.5,2919347.0,1148763044.5
2021-06-28,394.03,394.45,392.83,394.32,2491787.0,982561449.84
2021-06-29,393.35,393.94,392.66,393.16,3006539.0,1182050873.24
2021-06-30,392.72,394.131,392.72,393.52,3846891.0,1513828546.32
2021-07-01,394.3,395.85,394.2062,395.74,3487901.0,1380301941.74
2021-07-02,396.85,399.05,396.525,398.75,4464970.0,1780406787.5
2021-07-06,398.77,398.99,395.3,398.0,4446602.0,1769747596.0
2021-07-07,398.67,399.66,396.68,399.37,4817182.0,1923837975.34
2021-07-08,394.2,396.88,393.02,396.19,5924026.0,2347039860.94
2021-07-09,397.63,400.65,397.42,400.37,3382227.0,1354142223.99
2021-07-12,400.3,402.03,399.87,401.82,3005902.0,1207831541.64
2021-07-13,401.08,402.5,400.18,400.46,4364064.0,1747633069.4399998
2021-07-14,402.06,402.57,399.82,401.01,3372410.0,1352370134.1
2021-07-15,399.74,400.38,397.805,399.72,4539174.0,1814398631.28
2021-07-16,400.84,400.88,396.14,396.61,4568588.0,1811947686.68
2021-07-19,391.78,392.26,387.93,390.68,12486503.0,4878226992.04
2021-07-20,391.345,397.5,390.01,396.2,4155343.0,1646346896.6
2021-07-21,397.48,399.62,397.27,399.53,3042200.0,1215450166.0
2021-07-22,399.71,400.56,398.7,400.38,2624341.0,1050733649.58
