timestamps,open,high,low,close,volume,amount
2021-05-28,24.7,24.955,24.625,24.82,2423867.0,60160378.94
2021-06-01,24.98,25.06,24.69,24.92,2169703.0,54068998.760000005
2021-06-02,24.92,25.05,24.67,25.05,2931051.0,73422827.55
2021-06-03,24.94,25.29,24.63,25.15,2171864.0,54622379.599999994
2021-06-04,25.31,25.5,25.0,25.35,2490794.0,63141627.900000006
2021-06-07,25.51,25.7,25.33,25.65,3289808.0,84383575.19999999
2021-06-08,25.71,26.19,25.415,26.01,2684877.0,69833650.77000001
2021-06-09,26.1,26.52,25.83,26.26,4202396.0,110354918.96
2021-06-10,26.26,26.55,25.9,25.91,2408788.0,62411697.08
2021-06-11,26.01,26.22,25.89,26.21,1275948.0,33442597.08
2021-06-14,26.26,26.37,25.84,25.89,2166328.0,56086231.92
2021-06-15,25.92,25.98,25.69,25.91,1983905.0,51402978.55
2021-06-16,25.99,26.6,25.99,26.55,4283578.0,113728995.9
2021-06-17,26.46,26.825,26.1,26.45,3600085.0,95222248.25
2021-06-18,26.01,26.44,25.93,26.12,2487942.0,64985045.04
2021-06-21,26.17,26.65,26.06,26.64,1855927.0,49441895.28
2021-06-22,26.65,26.91,26.435,26.87,1589637.0,42713546.190000005
2021-06-23,26.9,27.13,26.805,26.98,1313752.0,35445028.96
2021-06-24,27.1,27.43,26.95,27.21,1848364.0,50293984.440000005
2021-06-25,27.27,27.58,27.05,27.15,3852527.0,104596108.05
2021-06-28,27.12,27.16,26.74,27.08,1556184.0,42141462.72
2021-06-29,27.11,27.49,27.06,27.18,1594535.0,43339461.3
2021-06-30,27.31,27.57,27.21,27.3,2666819.0,72804158.7
2021-07-01,27.27,27.778,27.1,27.46,2950740.0,81027320.4
2021-07-02,27.54,27.57,26.871,26.95,1871760.0,50443932.0
2021-07-06,27.06,27.64,26.87,27.61,1770579.0,48885686.19
2021-07-07,27.64,27.81,26.83,27.03,2040475.0,55154039.25
2021-07-08,26.6,27.41,26.16,27.19,2066865.0,56198059.35
2021-07-09,27.31,27.43,27.0,27.39,1205388.0,33015577.32
2021-07-12,27.33,27.58,27.23,27.43,1331227.0,36515556.61
2021-07-13,27.4,27.635,27.22,27.25,1246669.0,33971730.25
2021-07-14,27.425,27.53,26.44,26.66,2091404.0,55756830.64
2021-07-15,26.54,26.915,26.325,26.49,2491843.0,66008921.06999999
2021-07-16,26.76,26.845,26.48,26.56,1867362.0,49597134.72
2021-07-19,26.19,26.63,26.04,26.63,2214443.0,58970617.09
2021-07-20,26.7,27.38,26.7,27.16,2208145.0,59973218.2
2021-07-21,27.15,27.73,27.15,27.66,2608215.0,72143226.9
2021-07-22,27.71,27.75,27.21,27.44,1829014.0,50188144.16
2021-07-23,27.32,27.805,27.32,27.74,985191.0,27329198.34
2021-07-26,27.79,27.94,27.46,27.51,1192404.0,32803034.040000003
2021-07-27,27.5,27.7,27.23,27.67,2193439.0,60692457.13
2021-07-28,27.32,27.785,26.43,27.61,2822006.0,77915585.66
2021-07-29,27.94,28.45,27.77,28.13,2570793.0,72316407.09
2021-07-30,28.19,28.34,28.015,28.04,2066621.0,57948052.84
2021-08-02,28.08,28.17,27.68,27.73,2362515.0,65512540.95
2021-08-03,27.85,28.26,27.6,28.0,2921637.0,81805836.0
2021-08-04,27.96,28.24,27.57,27.62,1626085.0,44912467.7
2021-08-05,27.52,27.62,27.14,27.35,2566589.0,70196209.15
2021-08-06,27.4,27.66,27.19,27.26,2168330.0,59108675.8
2021-08-09,27.21,27.56,27.02,27.52,2363497.0,65043437.44
2021-08-10,27.54,27.67,26.96,27.03,2207830.0,59677644.900000006
2021-08-11,26.97,27.14,26.35,27.02,3030927.0,81895647.53999999
2021-08-12,27.07,27.54,26.925,27.46,2756490.0,75693215.4
2021-08-13,27.43,27.47,27.01,27.15,1027383.0,27893448.45
2021-08-16,27.21,27.25,26.84,26.92,1590761.0,42823286.120000005
2021-08-17,26.75,27.0,26.63,26.96,1616271.0,43574666.16
2021-08-18,26.98,27.35,26.8,26.95,1424622.0,38393562.9
2021-08-19,26.78,27.08,26.58,26.59,1458554.0,38782950.86
2021-08-20,26.55,27.135,26.55,27.08,1584393.0,42905362.44
2021-08-23,27.29,27.42,27.135,27.29,1690050.0,46121464.5
2021-08-24,27.39,27.71,27.37,27.52,1251956.0,34453829.12
2021-08-25,27.47,27.77,27.385,27.67,1671047.0,46237870.49
2021-08-26,27.74,27.93,27.65,27.9,1085549.0,30286817.1
2021-08-27,28.0,28.515,27.88,28.29,856310.0,24225009.9
2021-08-30,28.37,28.765,28.32,28.55,1116026.0,31862542.3
2021-08-31,28.55,28.72,28.1,28.17,889909.0,25068736.53
2021-09-01,28.27,28.42,28.05,28.36,1011498.0,28686083.28
2021-09-02,28.51,28.8,28.442,28.59,961128.0,27478649.52
2021-09-03,28.52,28.72,28.115,28.19,730343.0,20588369.17
2021-09-07,28.18,28.29,27.98,28.04,1035292.0,29029587.68
2021-09-08,26.7,27.01,25.71,25.99,5217115.0,135592818.85
2021-09-09,25.68,25.92,24.83,25.07,5095317.0,127739597.19
2021-09-10,25.17,25.29,24.5,24.53,3810038.0,93460232.14
2021-09-13,24.0,24.49,23.65,23.97,4913203.0,117769475.91
2021-09-14,24.02,24.07,23.49,23.64,3168871.0,74912110.44
2021-09-15,23.57,23.74,23.405,23.55,3119642.0,73467569.10000001
2021-09-16,23.56,24.095,23.5,24.0,2947789.0,70746936.0
2021-09-17,24.02,24.2,23.645,23.73,4570542.0,108458961.66
2021-09-20,23.32,23.86,23.09,23.86,2993187.0,71417441.82
2021-09-21,24.0,24.035,23.565,23.69,2078588.0,49241749.720000006
2021-09-22,23.745,24.105,23.67,24.0,1708109.0,40994616.0
2021-09-23,24.09,24.5,24.005,24.11,3519167.0,84847116.37
2021-09-24,24.0,24.0712,23.74,23.83,2126050.0,50663771.5
2021-09-27,23.73,24.175,23.69,24.15,3349969.0,80901751.35
2021-09-28,24.0,24.14,23.405,23.68,2479420.0,58712665.6
