timestamps,open,high,low,close,volume,amount
2021-05-28,16.01,16.23,15.95,16.17,6369454.0,102994071.18
2021-06-01,16.3,16.53,16.18,16.45,6176502.0,101603457.9
2021-06-02,16.5,16.84,16.33,16.75,6879897.0,115238274.75
2021-06-03,16.31,17.46,16.06,17.37,8450538.0,146785845.06
2021-06-04,17.3,17.46,17.14,17.4,7004690.0,121881606.0
2021-06-07,17.455,17.73,17.3,17.61,5578923.0,98244834.03
2021-06-08,17.66,18.275,17.52,18.15,7175249.0,130230769.35
2021-06-09,18.24,18.37,18.08,18.28,4326452.0,79087542.56
2021-06-10,18.34,18.34,17.94,18.17,3338296.0,60656838.32000001
2021-06-11,18.25,18.65,18.16,18.63,3648930.0,67979565.89999999
2021-06-14,18.63,18.67,18.24,18.39,3660085.0,67308963.15
2021-06-15,18.28,18.49,18.08,18.41,3273769.0,60270087.29
2021-06-16,18.45,18.57,17.9601,18.14,4245974.0,77021968.36
2021-06-17,18.12,18.205,17.975,18.15,4224326.0,76671516.89999999
2021-06-18,18.06,18.1,17.42,17.47,4614101.0,80608344.47
2021-06-21,17.64,17.96,17.57,17.92,3196492.0,57281136.64000001
2021-06-22,17.87,18.04,17.74,17.88,5589060.0,99932392.8
2021-06-23,17.88,17.94,17.7,17.75,2664313.0,47291555.75
2021-06-24,17.76,18.28,17.63,18.25,3553554.0,64852360.5
2021-06-25,18.25,18.49,18.18,18.39,4779850.0,87901441.5
2021-06-28,18.4,18.835,18.22,18.81,4108909.0,77288578.28999999
2021-06-29,18.87,18.94,18.31,18.39,4665212.0,85793248.68
2021-06-30,18.41,18.62,18.19,18.55,4974688.0,92280462.4
2021-07-01,18.65,18.965,18.575,18.88,3844148.0,72577514.24
2021-07-02,18.91,19.24,18.73,19.04,4058621.0,77276143.84
2021-07-06,18.98,19.02,18.05,18.34,5279079.0,96818308.86
2021-07-07,18.61,19.53,18.55,19.39,9690447.0,187897767.33
2021-07-08,19.05,19.06,18.65,18.75,6743086.0,126432862.5
2021-07-09,19.2,19.565,19.09,19.32,4516615.0,87261001.8
2021-07-12,19.21,19.31,18.98,19.31,3611864.0,69745093.83999999
2021-07-13,19.39,19.39,18.79,18.82,3318760.0,62459063.2
2021-07-14,18.82,19.02,18.74,18.8,2218326.0,41704528.8
2021-07-15,18.63,18.9,18.47,18.82,3204274.0,60304436.68
2021-07-16,18.94,19.125,18.76,18.81,3538652.0,66562044.12
2021-07-19,18.5,18.63,17.72,17.79,3956381.0,70384017.99
2021-07-20,17.84,18.305,17.84,18.19,4361195.0,79330137.05000001
2021-07-21,18.19,18.575,18.15,18.32,2731293.0,50037287.76
2021-07-22,18.67,18.91,18.43,18.83,4062528.0,76497402.24
2021-07-23,18.77,19.14,18.69,19.1,2702986.0,51627032.6
2021-07-26,19.07,19.335,18.885,19.1,2446025.0,46719077.5
2021-07-27,19.08,19.29,18.74,19.27,2592043.0,49948668.61
2021-07-28,19.3,19.485,19.09,19.47,4185869.0,81498869.42999999
2021-07-29,19.55,19.6,19.3438,19.38,2352094.0,45583581.72
2021-07-30,19.28,19.56,19.11,19.15,3068163.0,58755321.45
2021-08-02,19.25,19.35,18.96,18.98,2968555.0,56343173.9
2021-08-03,18.91,19.2,18.85,18.95,2780064.0,52682212.8
2021-08-04,18.82,19.05,18.55,18.91,3187044.0,60267002.04
2021-08-05,18.4,18.66,17.85,18.27,6675868.0,121968108.36
2021-08-06,18.36,18.825,18.3275,18.56,3351112.0,62196638.72
2021-08-09,18.61,18.91,18.52,18.89,3742766.0,70700849.74000001
2021-08-10,18.89,18.89,18.355,18.49,3325686.0,61491934.13999999
2021-08-11,18.41,18.52,18.2,18.35,2667874.0,48955487.900000006
2021-08-12,18.42,18.45,18.055,18.39,3001044.0,55189199.16
2021-08-13,18.37,18.49,18.315,18.4,2053217.0,37779192.8
2021-08-16,18.27,18.43,17.955,17.98,2426722.0,43632461.56
2021-08-17,17.95,18.195,17.81,18.15,3109309.0,56433958.349999994
2021-08-18,18.05,18.21,17.92,18.01,2076778.0,37402771.78
2021-08-19,17.91,18.12,17.78,17.8,3253342.0,57909487.6
2021-08-20,17.86,18.17,17.7,18.13,2324298.0,42139522.739999995
2021-08-23,18.07,18.13,17.96,18.03,2238628.0,40362462.84
2021-08-24,18.2,18.54,18.11,18.45,2976618.0,54918602.1
2021-08-25,18.54,19.08,18.39,19.0,3451716.0,65582604.0
2021-08-26,18.95,19.0499,18.47,18.49,3668196.0,67824944.03999999
2021-08-27,18.56,18.72,18.42,18.68,3894407.0,72747522.76
2021-08-30,18.75,19.055,18.7,18.85,3329513.0,62761320.05
2021-08-31,18.89,19.09,18.795,19.09,3581029.0,68361843.61
2021-09-01,19.24,19.375,19.09,19.15,2955921.0,56605887.15
2021-09-02,19.15,19.4,19.125,19.28,3578838.0,68999996.64
2021-09-03,19.19,19.27,18.99,19.11,1614892.0,30860586.119999997
2021-09-07,19.01,19.105,18.805,18.84,2945175.0,55487097.0
2021-09-08,18.81,19.29,18.707,19.2,2158580.0,41444736.0
2021-09-09,19.155,19.23,18.74,18.9,2363670.0,44673363.0
2021-09-10,19.0,19.0,18.43,18.44,2022973.0,37303622.120000005
2021-09-13,18.58,18.73,18.4,18.6,2051527.0,38158402.2
2021-09-14,18.68,18.68,17.99,18.0,3610491.0,64988838.0
2021-09-15,17.85,18.44,17.79,18.44,3147679.0,58043200.760000005
2021-09-16,18.3,18.31,17.84,17.9,3226139.0,57747888.099999994
2021-09-17,18.0,18.08,17.76,17.79,6338266.0,112757752.14
2021-09-20,17.65,17.82,16.925,17.35,6400671.0,111051641.85
