timestamps,open,high,low,close,volume,amount
2021-05-28,218.6,218.73,218.025,218.09,2687032.0,586014808.88
2021-06-01,219.53,219.53,217.81,218.18,3941082.0,859865270.76
2021-06-02,218.62,218.82,217.89,218.47,3661018.0,799822602.46
2021-06-03,217.3,218.05,216.08,217.5,3046778.0,662674215.0
2021-06-04,218.57,219.4791,218.46,219.39,2360601.0,517892253.39
2021-06-07,219.55,219.68,219.03,219.57,2894488.0,635542730.16
2021-06-08,220.03,220.2757,218.66,220.02,2893373.0,636599927.46
2021-06-09,220.41,220.5,219.35,219.4,2746763.0,602639802.2
2021-06-10,220.21,220.9,219.19,220.37,2998176.0,660708045.12
2021-06-11,220.78,221.02,220.125,221.02,2912521.0,643725391.4200001
2021-06-14,221.2,221.39,220.38,221.36,3326278.0,736304898.08
2021-06-15,221.49,221.53,220.1695,220.78,3157552.0,697124330.5600001
2021-06-16,220.97,220.97,218.3809,219.68,3522296.0,773777985.28
2021-06-17,219.44,220.0591,217.95,219.47,3053709.0,670197514.23
2021-06-18,217.99,218.15,216.53,216.75,4604605.0,998048133.75
2021-06-21,217.67,219.795,217.08,219.74,3994137.0,877671664.38
2021-06-22,219.85,221.35,219.18,220.99,2749481.0,607607806.19
2021-06-23,221.1,221.59,220.8101,220.9,2718389.0,600492130.1
2021-06-24,221.51,221.87,221.29,221.72,2990349.0,663020180.28
2021-06-25,222.26,222.7,221.91,222.55,2863456.0,637262132.8000001
2021-06-28,222.99,222.99,221.8601,222.8,3203890.0,713826692.0
2021-06-29,223.31,223.4,222.47,222.81,4192562.0,934144739.22
2021-06-30,222.69,223.1453,222.46,222.82,3113343.0,693715087.26
2021-07-01,223.4,224.0596,223.1,224.03,3899661.0,873641053.83
2021-07-02,224.71,225.41,224.3101,225.27,3094147.0,697018494.69
2021-07-06,225.38,225.52,223.163,224.78,4287757.0,963802018.46
2021-07-07,225.08,225.36,223.52,225.08,4129323.0,929428020.84
2021-07-08,221.93,223.7196,221.14,223.18,4623047.0,1031771629.46
2021-07-09,224.16,225.98,224.02,225.88,3955726.0,893519388.88
2021-07-12,225.95,226.61,225.47,226.51,3408975.0,772166927.25
2021-07-13,226.1,226.52,225.12,225.25,4745215.0,1068859678.75
2021-07-14,226.27,226.455,224.42,224.94,2885470.0,649057621.8
2021-07-15,224.45,224.76,222.86,224.15,3398936.0,761871504.4
2021-07-16,225.0,225.0,222.19,222.39,3274742.0,728269873.38
2021-07-19,219.81,219.81,217.822,219.23,7182332.0,1574582644.36
2021-07-20,219.95,223.71,219.385,223.02,5502679.0,1227207470.5800002
2021-07-21,223.75,225.02,223.55,225.02,2599185.0,584868608.7
2021-07-22,225.2,225.35,224.18,225.21,2290491.0,515841478.11
2021-07-23,226.25,227.61,225.83,227.46,3029294.0,689043213.24
