timestamps,open,high,low,close,volume,amount
2021-05-28,66.43,66.655,66.35,66.42,2385383.0,158437138.86
2021-06-01,67.3,67.3,66.975,67.05,3322386.0,222765981.3
2021-06-02,67.11,67.255,66.98,67.2,3695435.0,248333232.0
2021-06-03,66.79,66.8377,66.541,66.69,2945845.0,196458403.05
2021-06-04,67.185,67.33,67.105,67.33,2248755.0,151408674.15
2021-06-07,67.36,67.39,67.175,67.38,2076283.0,139899948.54
2021-06-08,67.42,67.42,67.13,67.27,2670625.0,179652943.75
2021-06-09,67.2,67.25,67.0,67.04,2381563.0,159659983.52
2021-06-10,67.22,67.41,67.11,67.34,2868607.0,193171995.38
2021-06-11,67.41,67.42,67.16,67.42,1968759.0,132733731.78
2021-06-14,67.41,67.51,67.29,67.5,2205184.0,148849920.0
2021-06-15,67.51,67.51,67.25,67.44,2232444.0,150556023.35999998
2021-06-16,67.41,67.49,66.61,66.86,2892483.0,193391413.38
2021-06-17,66.65,66.78,66.28,66.55,3016596.0,200754463.8
2021-06-18,65.65,65.775,65.401,65.49,3480885.0,227963158.65
2021-06-21,65.27,65.775,65.1,65.73,2345823.0,154190945.79000002
2021-06-22,65.47,65.8282,65.29,65.72,2623653.0,172426475.16
2021-06-23,65.78,65.905,65.45,65.52,2946372.0,193046293.44
2021-06-24,66.05,66.16,65.97,66.11,5353072.0,353891589.92
2021-06-25,66.43,66.43,66.23,66.41,3014620.0,200200914.2
2021-06-28,66.27,66.285,65.9916,66.14,2728545.0,180465966.3
2021-06-29,66.1,66.12,65.915,66.12,2387230.0,157843647.60000002
2021-06-30,65.58,65.817,65.47,65.68,3182370.0,209018061.6
2021-07-01,65.73,65.74,65.41,65.74,2362587.0,155316469.38
2021-07-02,65.73,65.87,65.49,65.83,1906399.0,125498246.17
2021-07-06,65.695,65.72,65.0282,65.29,2748787.0,179468303.23000002
2021-07-07,65.59,65.63,65.145,65.5,2172765.0,142316107.5
2021-07-08,64.2993,64.609,64.13,64.5,2740174.0,176741223.0
2021-07-09,65.22,65.61,65.07,65.61,2250255.0,147639230.55
2021-07-12,65.5,65.75,65.42,65.75,2282916.0,150101727.0
2021-07-13,65.66,65.775,65.485,65.56,2417567.0,158495692.52
2021-07-14,65.8798,65.895,65.59,65.67,2334818.0,153327498.06
2021-07-15,65.35,65.525,65.09,65.33,2196428.0,143492641.24
2021-07-16,65.33,65.37,64.72,64.83,2591132.0,167983087.56
2021-07-19,63.7954,63.87,63.36,63.73,4278499.0,272668741.27
2021-07-20,63.49,64.2,63.374,64.1,2436357.0,156170483.7
2021-07-21,64.2854,64.92,64.27,64.92,2139744.0,138912180.48
2021-07-22,65.16,65.16,64.77,65.0,2260908.0,146959020.0
2021-07-23,65.0924,65.0924,64.842,65.07,1879848.0,122321709.35999998
2021-07-26,64.6,64.8484,64.57,64.8,2365902.0,153310449.6
2021-07-27,64.17,64.235,63.795,64.23,4227361.0,271523397.03000003
2021-07-28,64.5,65.03,64.3681,64.92,2919667.0,189544781.64
2021-07-29,65.384,65.46,65.285,65.32,2212975.0,144551526.99999997
2021-07-30,64.96,65.21,64.755,64.94,2499161.0,162295515.34
2021-08-02,65.48,65.5516,65.155,65.21,2562998.0,167133099.57999998
2021-08-03,65.39,65.64,65.125,65.64,3102948.0,203677506.72
2021-08-04,65.76,65.915,65.53,65.58,1909801.0,125244749.58
2021-08-05,65.76,65.88,65.7,65.77,1641587.0,107967176.99
2021-08-06,65.61,65.63,65.3646,65.46,1644615.0,107656497.9
2021-08-09,65.49,65.5596,65.36,65.47,1695281.0,110990047.07
2021-08-10,65.47,65.59,65.44,65.59,1882088.0,123446151.92
2021-08-11,65.964,66.005,65.764,65.99,2011824.0,132760265.76
2021-08-12,65.765,65.8,65.5501,65.77,1999833.0,131529016.41
2021-08-13,65.84,65.99,65.7,65.99,1834522.0,121060106.78
2021-08-16,65.47,65.55,65.23,65.55,2095607.0,137367038.85
2021-08-17,64.79,64.925,64.44,64.75,3460945.0,224096188.75
2021-08-18,64.88,65.139,64.6,64.62,2273375.0,146905492.5
2021-08-19,63.71,64.015,63.61,63.86,2580844.0,164812697.84
2021-08-20,63.53,64.05,63.5,64.03,2229364.0,142746176.92000002
2021-08-23,64.45,64.81,64.425,64.72,2407646.0,155822849.12
2021-08-24,65.05,65.39,65.01,65.31,1927505.0,125885351.55
2021-08-25,65.23,65.385,65.12,65.37,2090821.0,136676968.77
2021-08-26,65.1,65.17,64.849,64.93,2452865.0,159264524.45000002
2021-08-27,65.06,65.65,65.02,65.64,2800356.0,183815367.84
2021-08-30,65.67,65.75,65.52,65.66,1819858.0,119491876.28
2021-08-31,65.98,66.05,65.83,65.89,4272354.0,281505405.06
2021-09-01,66.33,66.685,66.28,66.47,3064248.0,203680564.56
2021-09-02,66.68,66.789,66.54,66.65,3642254.0,242756229.1
2021-09-03,66.82,67.05,66.71,67.0,2504178.0,167779926.0
2021-09-07,67.01,67.125,66.9543,66.98,2773588.0,185774924.24
2021-09-08,66.68,66.69,66.1758,66.3,3248640.0,215384832.0
2021-09-09,66.26,66.48,66.105,66.24,3102097.0,205482905.27999997
2021-09-10,66.7257,66.74,66.08,66.12,2155516.0,142522717.92000002
2021-09-13,66.6,66.65,66.33,66.55,2769264.0,184294519.2
2021-09-14,66.67,66.68,66.11,66.21,3317626.0,219660017.46
2021-09-15,66.09,66.37,65.96,66.37,2597266.0,172380544.42000002
2021-09-16,65.96,66.095,65.73,66.05,2305755.0,152295117.75
2021-09-17,65.75,65.8402,65.16,65.34,2904049.0,189750561.66
2021-09-20,63.6,63.825,63.085,63.62,5082919.0,323375306.78
2021-09-21,64.37,64.445,64.03,64.19,4246220.0,272564861.8
2021-09-22,64.6,65.16,64.57,64.7,2524061.0,163306746.70000002
2021-09-23,65.1717,65.48,65.105,65.35,4563541.0,298227404.34999996
2021-09-24,64.7034,64.855,64.65,64.73,2144662.0,138823971.26000002
2021-09-27,64.61,64.915,64.52,64.83,2603294.0,168771550.01999998
2021-09-28,64.03,64.065,63.37,63.58,4043990.0,257116884.2
2021-09-29,63.63,63.7,63.24,63.31,2628891.0,166435089.21
2021-09-30,63.54,63.69,63.13,63.26,2959027.0,187188048.02
2021-10-01,63.35,63.55,62.88,63.44,3007121.0,190771756.24
2021-10-04,63.21,63.21,62.4721,62.78,4093440.0,256986163.2
2021-10-05,62.89,63.365,62.83,63.16,2394993.0,151267757.88
2021-10-06,62.23,62.8,62.01,62.79,3441428.0,216087264.12
2021-10-07,63.22,63.69,63.22,63.51,2470404.0,156895358.04
2021-10-08,63.67,63.72,63.465,63.59,2140576.0,136119227.84
2021-10-11,63.75,63.9366,63.39,63.4,2498825.0,158425505.0
2021-10-12,63.51,63.6058,63.305,63.36,2352199.0,149035328.64
2021-10-13,63.78,64.13,63.61,64.08,2782625.0,178310610.0
2021-10-14,64.6,64.675,64.45,64.62,2113641.0,136583481.42000002
2021-10-15,64.98,65.1962,64.88,65.18,2424503.0,158029105.54000002
2021-10-18,64.77,65.06,64.69,64.98,2434734.0,158209015.32000002
2021-10-19,65.32,65.545,65.27,65.5,2345399.0,153623634.5
2021-10-20,65.56,65.745,65.455,65.67,2097465.0,137740526.55
2021-10-21,65.22,65.425,65.17,65.28,2856510.0,186472972.8
2021-10-22,65.51,65.739,65.23,65.48,2412334.0,157959630.32000002
2021-10-25,65.5,65.635,65.29,65.55,2118272.0,138852729.6
2021-10-26,65.81,65.87,65.4099,65.5,2660087.0,174235698.5
2021-10-27,65.43,65.55,65.14,65.15,2764097.0,180080919.55
2021-10-28,65.34,65.63,65.22,65.63,2776387.0,182214278.80999997
2021-10-29,65.02,65.11,64.865,65.08,2754645.0,179272296.6
2021-11-01,65.38,65.72,65.28,65.71,2571681.0,168985158.51
2021-11-02,65.44,65.485,65.32,65.38,2919836.0,190898877.68
2021-11-03,65.27,65.87,65.16,65.81,4614247.0,303663595.07
2021-11-04,65.76,65.785,65.515,65.74,2539595.0,166952975.29999998
2021-11-05,65.88,65.88,65.61,65.88,2120935.0,139727197.79999998
2021-11-08,66.05,66.14,66.005,66.09,2736701.0,180868569.09
2021-11-09,66.1,66.14,65.7,65.89,2908256.0,191624987.84
2021-11-10,65.77,65.915,65.1548,65.23,2217671.0,144658679.33
2021-11-11,65.67,65.825,65.585,65.66,2717266.0,178415685.56
2021-11-12,65.83,66.045,65.755,66.04,2345263.0,154881168.52
2021-11-15,66.22,66.22,65.845,65.9,2374472.0,156477704.8
2021-11-16,65.89,65.95,65.75,65.76,2364073.0,155461440.48000002
2021-11-17,65.75,65.75,65.495,65.61,3186856.0,209089622.16
2021-11-18,65.42,65.485,65.1033,65.43,2511814.0,164347990.02
2021-11-19,65.27,65.275,64.99,65.01,2092639.0,136042461.39000002
2021-11-22,64.96,65.1,64.6,64.6,2860066.0,184760263.6
2021-11-23,64.51,64.7383,64.245,64.56,3963473.0,255881816.88
2021-11-24,63.801,64.3,63.775,64.3,2959145.0,190273023.5
2021-11-26,62.93,62.935,62.2,62.46,3383233.0,211316733.18
2021-11-29,63.0,63.02,62.46,62.73,3831153.0,240328227.69
2021-11-30,62.64,62.86,61.77,62.31,5560619.0,346482169.89
2021-12-01,63.18,63.49,62.01,62.01,4019851.0,249270960.51
2021-12-02,62.49,63.02,62.43,62.83,5454877.0,342729921.90999997
2021-12-03,62.95,63.01,62.0639,62.38,6946048.0,433294474.24
2021-12-06,62.65,63.0399,62.44,62.99,3933880.0,247795101.2
2021-12-07,63.7411,64.22,63.7411,64.2,2452877.0,157474703.4
2021-12-08,64.24,64.39,64.09,64.35,3106255.0,199887509.24999997
2021-12-09,64.0,64.07,63.805,63.87,2733211.0,174570186.57
2021-12-10,64.0,64.05,63.725,63.97,2410382.0,154192136.54
2021-12-13,63.62,63.65,63.155,63.19,2783659.0,175899412.21
2021-12-14,62.94,63.21,62.6899,62.94,3211948.0,202160007.12
2021-12-15,62.99,63.475,62.54,63.46,3373535.0,214084531.1
2021-12-16,63.83,63.96,63.355,63.54,3638464.0,231188002.56
2021-12-17,63.011,63.28,62.83,62.87,3030423.0,190522694.01
2021-12-20,61.39,61.535,61.13,61.51,4681173.0,287938951.23
2021-12-21,61.88,62.34,61.855,62.33,3493072.0,217723177.76
2021-12-22,62.24,62.89,62.2,62.89,3550072.0,223264028.08
2021-12-23,62.96,63.36,62.92,63.24,11488874.0,726556391.76
2021-12-27,63.33,63.7,63.25,63.7,5509523.0,350956615.1
2021-12-28,63.8,63.84,63.61,63.63,3552979.0,226076053.77
2021-12-29,63.62,63.62,63.39,63.57,3392406.0,215655249.42
2021-12-30,63.63,63.81,63.59,63.66,2937688.0,187013218.08
2021-12-31,63.64,63.87,63.53,63.57,4107720.0,261127760.4
2022-01-03,63.9,63.98,63.575,63.98,4671603.0,298889159.94
2022-01-04,64.25,64.325,63.95,64.06,3768290.0,241396657.4
2022-01-05,64.22,64.34,63.4,63.42,4854083.0,307845943.86
2022-01-06,63.23,63.53,63.0,63.24,5261866.0,332760405.84000003
2022-01-07,63.2,63.5872,63.03,63.52,3575328.0,227104834.56
2022-01-10,63.05,63.12,62.554,63.05,6568286.0,414130432.2999999
2022-01-11,63.25,63.97,63.12,63.95,3647018.0,233226801.1
2022-01-12,64.46,64.73,64.355,64.7,3778515.0,244469920.5
2022-01-13,64.8,64.83,64.0742,64.14,3859179.0,247527741.06
2022-01-14,63.8439,64.165,63.6642,64.08,4237338.0,271528619.04
2022-01-18,63.29,63.46,62.9829,63.13,4552957.0,287428175.41
2022-01-19,63.4718,63.58,63.13,63.18,4115985.0,260047932.3
2022-01-20,63.6153,63.935,62.9401,63.0,4046878.0,254953314.0
2022-01-21,62.86,62.89,62.07,62.09,5923987.0,367820352.83
2022-01-24,61.0,61.39,59.78,61.37,11189559.0,686703235.8299999
2022-01-25,60.75,61.525,60.31,61.14,6837206.0,418026774.84
2022-01-26,61.77,61.89,60.505,60.75,7193778.0,437022013.5
2022-01-27,60.86,61.0694,60.18,60.32,6360345.0,383656010.4
2022-01-28,60.09,60.61,59.7,60.61,5837423.0,353806208.03
2022-01-31,60.85,61.84,60.77,61.77,5351087.0,330536643.99
2022-02-01,62.095,62.3,61.66,62.3,5750750.0,358271725.0
2022-02-02,62.67,62.74,62.254,62.62,4692611.0,293851300.82
2022-02-03,62.05,62.205,61.72,61.78,5118935.0,316247804.3
2022-02-04,61.59,62.155,61.45,61.88,3915050.0,242263294.0
2022-02-07,61.88,62.2677,61.81,61.97,3827316.0,237178772.52
2022-02-08,61.91,62.39,61.815,62.33,3663520.0,228347201.6
2022-02-09,63.09,63.35,63.01,63.35,3851133.0,243969275.55
2022-02-10,62.52,63.4765,62.5,62.63,4272871.0,267609910.73
2022-02-11,62.63,62.86,61.61,61.77,4527255.0,279648541.35
2022-02-14,61.505,61.605,60.99,61.4,5785129.0,355206920.59999996
2022-02-15,62.1184,62.545,62.0558,62.52,3407469.0,213034961.88000005
2022-02-16,62.3231,62.965,62.305,62.8,4709886.0,295780840.8
2022-02-17,62.44,62.48,61.87,61.93,4655571.0,288319512.03
2022-02-18,61.84,61.99,61.39,61.54,5669057.0,348873767.78
2022-02-22,60.96,61.297,60.41,60.81,6423537.0,390615284.97
2022-02-23,61.36,61.39,60.17,60.21,6576421.0,395966308.41
2022-02-24,57.89,59.48,57.79,59.44,10284264.0,611296652.16
2022-02-25,59.87,60.82,59.73,60.79,5349998.0,325226378.42
2022-02-28,59.73,60.438,59.5884,60.01,6364812.0,381952368.12
2022-03-01,59.76,59.96,58.59,58.89,8804170.0,518477571.3
2022-03-02,59.24,59.6158,58.93,59.51,5479051.0,326058325.01
2022-03-03,59.34,59.43,58.39,58.6,4965911.0,291002384.6
2022-03-04,57.27,57.34,56.76,57.24,6581870.0,376746238.8
2022-03-07,56.73,56.83,55.26,55.42,8865229.0,491310991.18
2022-03-08,55.76,56.61,55.145,55.74,9446688.0,526558389.12
2022-03-09,57.04,57.89,56.82,57.66,4690398.0,270448348.68
2022-03-10,56.91,57.25,56.6,56.94,5113560.0,291166106.4
2022-03-11,57.45,57.495,56.25,56.26,5387726.0,303113464.76
2022-03-14,56.71,56.975,56.06,56.18,5258449.0,295419664.82
2022-03-15,56.18,56.655,55.945,56.57,7418768.0,419679705.76
2022-03-16,57.96,59.02,57.63,59.02,5961875.0,351869862.5
2022-03-17,58.71,59.43,58.61,59.32,6045713.0,358631695.16
2022-03-18,58.91,60.06,58.825,60.01,4110776.0,246687667.76
2022-03-21,59.58,59.69,59.145,59.47,4272478.0,254084266.66
2022-03-22,59.92,60.19,59.875,60.11,2870984.0,172574848.24
2022-03-23,59.55,59.915,59.42,59.49,4103819.0,244136192.31
2022-03-24,59.69,59.93,59.475,59.9,3821842.0,228928335.8
2022-03-25,59.74,59.885,59.445,59.86,2918604.0,174707635.44
2022-03-28,59.57,59.775,59.29,59.75,3416225.0,204119443.75
2022-03-29,60.92,61.0181,60.44,60.92,5072299.0,309004455.08
2022-03-30,60.76,60.96,60.46,60.71,3080210.0,186999549.1
2022-03-31,60.29,60.47,59.71,59.74,3909274.0,233540028.76
2022-04-01,60.37,60.4556,59.995,60.39,3351436.0,202393220.04
2022-04-04,60.57,60.91,60.49,60.88,3321225.0,202196178.0
2022-04-05,60.66,60.74,59.88,60.05,3586087.0,215344524.35
2022-04-06,59.45,59.59,58.98,59.3,3949666.0,234215193.8
2022-04-07,59.18,59.445,58.79,59.26,3516016.0,208359108.16
2022-04-08,59.12,59.48,58.995,59.28,3724022.0,220760024.16
2022-04-11,58.93,59.06,58.55,58.58,3807077.0,223018570.66
2022-04-12,58.79,58.905,58.16,58.26,4153801.0,242000446.26
2022-04-13,58.32,58.98,58.32,58.95,3235992.0,190761728.4
2022-04-14,58.95,59.02,58.54,58.56,4363773.0,255542546.88
2022-04-18,58.32,58.6653,58.2,58.34,3979407.0,232158604.38000005
2022-04-19,57.96,58.465,57.89,58.46,3052404.0,178443537.84
2022-04-20,58.83,58.88,58.53,58.67,3698275.0,216977794.25
2022-04-21,59.07,59.15,57.79,57.91,3990872.0,231111397.52
2022-04-22,57.86,57.87,56.95,57.01,4676161.0,266587938.61
2022-04-25,56.25,56.69,55.8779,56.62,5794438.0,328081079.56
2022-04-26,56.19,56.24,55.17,55.17,5871474.0,323929220.58
2022-04-27,55.46,55.84,55.1858,55.54,6382783.0,354499767.82
2022-04-28,55.93,56.45,55.42,56.36,4736115.0,266927441.4
2022-04-29,56.71,57.02,55.805,55.86,4671962.0,260975797.32
2022-05-02,55.69,55.915,55.045,55.69,7684355.0,427941729.95
2022-05-03,56.06,56.2959,55.89,56.17,6524312.0,366470605.04
2022-05-04,55.97,57.095,55.445,56.98,4962465.0,282761255.7
2022-05-05,56.13,56.155,54.67,55.16,5915729.0,326311611.64
2022-05-06,54.78,54.95,54.25,54.59,9829309.0,536581978.31000006
2022-05-09,53.65,53.73,52.825,52.92,9817861.0,519561204.12
2022-05-10,53.75,53.82,52.77,53.19,8223962.0,437432538.78
2022-05-11,53.35,54.02,52.83,52.9,8143954.0,430815166.6
2022-05-12,52.55,53.165,52.24,52.7,7086829.0,373475888.3
2022-05-13,53.31,54.13,53.31,54.12,4660012.0,252199849.44
2022-05-16,53.82,54.36,53.7,54.11,6069980.0,328446617.8
2022-05-17,55.11,55.22,54.775,55.22,4662813.0,257480533.86
2022-05-18,54.79,54.88,53.82,53.95,4803391.0,259142944.45
2022-05-19,53.96,54.825,53.93,54.54,7090225.0,386700871.5
2022-05-20,55.13,55.18,54.1101,54.85,5473448.0,300218622.8
2022-05-23,55.36,55.725,55.1632,55.64,4526930.0,251878385.2
2022-05-24,55.16,55.33,54.77,55.2,4841022.0,267224414.4
2022-05-25,54.88,55.4954,54.88,55.29,3812499.0,210793069.71
2022-05-26,55.36,56.09,55.35,55.95,3625403.0,202841297.85
2022-05-27,56.34,56.66,56.3,56.66,4230740.0,239713728.4
2022-05-31,56.93,57.055,56.615,56.71,5375911.0,304867912.81
2022-06-01,56.97,57.03,55.96,56.16,3610894.0,202787807.04
2022-06-02,56.51,57.29,56.38,57.28,3789030.0,217035638.4
2022-06-03,56.64,56.71,56.28,56.41,3088307.0,174211397.86999995
2022-06-06,57.15,57.21,56.535,56.66,3052026.0,172927793.16
2022-06-07,56.11,56.85,56.11,56.83,3318057.0,188565179.31
2022-06-08,56.52,56.73,56.29,56.37,3091843.0,174287189.91
2022-06-09,56.0,56.13,55.18,55.19,3184952.0,175777500.88
2022-06-10,54.47,54.5,53.93,54.09,4985506.0,269666019.54
2022-06-13,52.73,52.98,52.16,52.27,8689978.0,454225150.06
2022-06-14,52.39,52.63,51.72,52.15,7751942.0,404263775.3
2022-06-15,52.56,53.23,51.96,52.96,6058179.0,320841159.84000003
2022-06-16,51.67,51.91,51.26,51.59,7519387.0,387925175.33
2022-06-17,51.69,51.8799,51.15,51.43,6459571.0,332215736.53
2022-06-21,51.66,51.93,51.65,51.71,5186472.0,268192467.12
2022-06-22,50.89,51.52,50.83,51.14,6154823.0,314757648.22
2022-06-23,51.09,51.24,50.59,51.07,5992665.0,306045401.55
2022-06-24,51.75,52.46,51.67,52.46,9895992.0,519143740.32
2022-06-27,52.51,52.67,52.28,52.4,7693210.0,403124204.0
2022-06-28,52.85,53.015,52.08,52.13,4153555.0,216524822.15
2022-06-29,51.99,52.15,51.77,51.8,4307173.0,223111561.4
2022-06-30,51.0,51.655,50.78,51.61,5244293.0,270657961.73
2022-07-01,50.98,51.59,50.73,51.59,5644366.0,291192841.94
2022-07-05,50.21,50.64,49.89,50.64,5149982.0,260795088.48
2022-07-06,50.49,50.67,50.1201,50.55,4508429.0,227901085.95
2022-07-07,51.07,51.46,51.07,51.43,3457697.0,177829356.71
2022-07-08,51.27,51.63,51.06,51.47,3940189.0,202801527.83
2022-07-11,50.74,50.79,50.43,50.47,4264500.0,215229315.0
2022-07-12,50.36,50.76,50.27,50.4,4540290.0,228830616.0
2022-07-13,49.79,50.54,49.73,50.34,4612101.0,232173164.34
2022-07-14,49.42,49.73,49.015,49.66,6584547.0,326988604.02
2022-07-15,49.95,50.28,49.66,50.28,3937680.0,197986550.4
2022-07-18,50.98,51.2,50.51,50.6,3950131.0,199876628.6
2022-07-19,51.39,51.81,51.34,51.8,3203870.0,165960466.0
2022-07-20,51.66,51.77,51.28,51.52,4945772.0,254806173.44000003
2022-07-21,51.5,52.12,51.47,52.1,4364038.0,227366379.8
2022-07-22,52.17,52.45,51.635,51.84,3291583.0,170635662.72
2022-07-25,52.14,52.25,51.9401,52.19,4134601.0,215784826.19
2022-07-26,51.92,52.0,51.56,51.58,4603108.0,237428310.64
2022-07-27,52.03,52.7731,51.915,52.68,5222862.0,275140370.16
2022-07-28,52.68,53.0661,52.305,53.0,3599996.0,190799788.0
2022-07-29,52.9,53.49,52.745,53.49,5015555.0,268282036.95
2022-08-01,53.3,53.615,53.06,53.34,4464844.0,238154778.96
2022-08-02,52.95,53.23,52.67,52.68,4379566.0,230715536.88
2022-08-03,52.9,53.1083,52.585,53.02,3800942.0,201525944.84
2022-08-04,53.18,53.385,53.08,53.3,3120428.0,166318812.4
2022-08-05,52.7,53.07,52.69,53.04,2739358.0,145295548.32
2022-08-08,53.43,53.61,53.11,53.2,4357244.0,231805380.8
2022-08-09,53.19,53.265,52.83,52.92,3559724.0,188380594.08
2022-08-10,53.82,54.12,53.66,54.02,3485179.0,188269369.58
2022-08-11,54.35,54.6,54.0093,54.1,3279001.0,177393954.1
2022-08-12,54.14,54.525,54.02,54.525,4126341.0,224988743.025
2022-08-15,54.1,54.285,53.9813,54.22,3083507.0,167187749.54
2022-08-16,54.0,54.35,53.97,54.25,3950108.0,214293359.0
2022-08-17,53.8,54.15,53.615,53.87,4261021.0,229541201.27
2022-08-18,53.82,53.82,53.485,53.66,4561561.0,244773363.26
2022-08-19,53.14,53.23,52.82,52.94,4503351.0,238407401.94
2022-08-22,52.44,52.44,52.0856,52.18,4510875.0,235377457.5
2022-08-23,52.12,52.655,52.11,52.32,3896934.0,203887586.88
2022-08-24,52.14,52.62,52.072,52.42,2838215.0,148779230.3
2022-08-25,52.67,53.11,52.56,53.11,3991452.0,211986015.72
2022-08-26,53.19,53.26,51.86,51.9,4330596.0,224757932.4
2022-08-29,51.7,52.005,51.64,51.75,4271965.0,221074188.75
2022-08-30,52.0,52.05,51.14,51.29,5631226.0,288825581.54
2022-08-31,51.42,51.5842,51.08,51.09,6272585.0,320466367.65000004
2022-09-01,50.44,50.54,49.99,50.53,6685111.0,337798658.83
2022-09-02,50.76,51.1,50.06,50.22,5403918.0,271384761.96
2022-09-06,50.29,50.37,49.79,49.9,6222703.0,310512879.7
2022-09-07,49.55,50.34,49.52,50.33,8976033.0,451763740.89
2022-09-08,49.82,50.37,49.72,50.35,5414787.0,272634525.45
2022-09-09,51.09,51.47,51.05,51.44,4552145.0,234162338.8
2022-09-12,52.01,52.29,51.93,52.12,5641783.0,294049729.96
2022-09-13,51.05,51.375,50.31,50.37,7001216.0,352651249.91999996
2022-09-14,50.59,50.79,50.33,50.62,3494991.0,176916444.42
2022-09-15,50.25,50.64,50.03,50.12,3473523.0,174092972.76
2022-09-16,49.67,49.92,49.48,49.74,5591279.0,278110217.46000004
2022-09-19,48.97,49.72,48.94,49.7,4662199.0,231711290.3
2022-09-20,49.09,49.21,48.725,49.0,5379223.0,263581927.0
2022-09-21,48.93,49.28,48.3,48.3,6743135.0,325693420.5
2022-09-22,48.45,48.53,47.96,48.15,9907220.0,477032643.0
2022-09-23,47.12,47.17,46.365,46.69,9985277.0,466212583.13
2022-09-26,46.22,46.615,45.79,45.97,10998362.0,505594701.14
2022-09-27,46.21,46.469,45.52,45.75,8675984.0,396926268.0
2022-09-28,45.7,46.785,45.5545,46.63,9020816.0,420640650.08
2022-09-29,45.86,45.95,45.35,45.91,10262875.0,471168591.24999994
2022-09-30,45.74,46.34,45.7044,45.77,12438786.0,569323235.22
2022-10-03,46.21,46.88,46.05,46.74,6893511.0,322202704.14
2022-10-04,47.81,48.4558,47.78,48.4,5834911.0,282409692.4
