timestamps,open,high,low,close,volume,amount
2021-05-28,56.35,56.64,56.29,56.49,14306395.0,808168253.5500001
2021-06-01,56.75,56.86,56.24,56.38,15231024.0,858725133.12
2021-06-02,56.31,56.84,56.17,56.65,13937812.0,789577049.8
2021-06-03,56.7,57.22,56.58,56.98,14478920.0,825008861.5999999
2021-06-04,56.92,57.37,56.9,57.3,12097635.0,693194485.5
2021-06-07,57.23,57.33,57.07,57.2,11365934.0,650131424.8000001
2021-06-08,57.24,57.25,56.79,57.15,16059411.0,917795338.65
2021-06-09,57.15,57.525,57.01,57.05,14884562.0,849164262.0999999
2021-06-10,57.33,57.61,57.22,57.34,12277208.0,703975106.72
2021-06-11,57.49,57.55,57.01,57.33,13096844.0,750842066.52
2021-06-14,57.19,57.27,56.85,57.18,12201604.0,697687716.72
2021-06-15,57.18,57.445,57.16,57.29,12760874.0,731070471.46
2021-06-16,57.37,57.39,56.63,56.64,15895261.0,900307583.04
2021-06-17,56.65,56.9198,56.5,56.53,14938485.0,844472557.0500001
2021-06-18,56.31,56.31,55.57,55.82,40283997.0,2248652712.54
2021-06-21,56.07,56.49,55.98,56.39,13882243.0,782819682.77
2021-06-22,56.69,56.78,56.28,56.37,14168303.0,798667240.11
2021-06-23,56.45,56.75,56.05,56.07,16867865.0,945781190.55
2021-06-24,56.16,56.41,56.06,56.37,15601129.0,879435641.73
2021-06-25,56.27,56.52,56.19,56.38,14858412.0,837717268.5600001
2021-06-28,56.38,56.5,56.17,56.18,14021478.0,787726634.04
2021-06-29,56.2,56.3665,55.82,55.84,15535919.0,867525716.96
2021-06-30,55.76,56.14,55.76,56.03,14823395.0,830554821.85
2021-07-01,56.18,56.43,56.02,56.29,11871312.0,668236152.48
2021-07-02,56.38,56.57,56.262,56.44,11618866.0,655768797.04
2021-07-06,56.48,56.51,56.0,56.41,14169268.0,799288407.88
2021-07-07,56.35,56.575,56.205,56.53,14676171.0,829643946.63
2021-07-08,55.75,55.98,55.55,55.68,18776775.0,1045490832.0
2021-07-09,55.7,56.23,55.6202,56.07,14028580.0,786582480.6
2021-07-12,55.99,56.355,55.8792,56.15,13778622.0,773669625.3
2021-07-13,56.27,56.48,56.0,56.09,12879786.0,722427196.74
2021-07-14,56.09,56.43,56.03,56.32,15013549.0,845563079.68
2021-07-15,56.32,56.595,56.24,56.55,13025079.0,736568217.4499999
2021-07-16,56.68,56.79,56.41,56.46,12053791.0,680557039.86
2021-07-19,56.17,56.44,55.31,55.84,22191512.0,1239174030.0800002
2021-07-20,55.95,56.77,55.535,55.58,20597905.0,1144831559.9
2021-07-21,56.54,56.85,55.92,55.95,25641550.0,1434644722.5
