timestamps,open,high,low,close,volume,amount
2021-05-28,230.9,233.0,228.35,228.72,2007444.0,459142591.68
2021-06-01,229.23,229.74,224.33,226.41,2801085.0,634193654.85
2021-06-02,226.4974,232.89,225.53,226.83,1525697.0,346073850.51
2021-06-03,223.13,224.22,220.82,221.24,1668892.0,369225666.08
2021-06-04,223.08,226.0,222.58,223.31,1508045.0,336761528.95
2021-06-07,223.5,226.5,222.0,225.65,1024094.0,231086811.1
2021-06-08,226.42,229.45,223.8,224.72,1422573.0,319680604.56
2021-06-09,226.99,228.9799,224.29,225.46,1710819.0,385721251.74
2021-06-10,225.2795,229.595,224.52,229.07,1551131.0,355317578.17
2021-06-11,228.25,230.59,227.63,230.09,1050897.0,241800890.73
2021-06-14,230.66,233.39,228.92,232.28,1206556.0,280258827.68
2021-06-15,231.93,232.1,229.65,231.81,1952819.0,452682972.39
2021-06-16,232.1,234.3825,225.995,230.2,1883925.0,433679535.0
2021-06-17,229.0952,237.35,228.06,235.04,1526657.0,358825461.28
2021-06-18,233.66,236.99,232.94,236.49,2209324.0,522483032.76
2021-06-21,235.92,238.59,233.0,236.93,1080348.0,255966851.64
2021-06-22,236.53,239.42,236.27,238.97,1228597.0,293597825.09
2021-06-23,238.0,239.96,237.69,238.69,741989.0,177105354.41
2021-06-24,239.225,243.37,239.225,241.71,1245746.0,301109265.66
2021-06-25,242.97,243.4,240.05,243.0,1316305.0,319862115.0
2021-06-28,243.36,246.33,241.3564,242.91,995156.0,241733343.96
2021-06-29,242.5,246.44,241.14,246.39,1079291.0,265926509.49
2021-06-30,246.61,246.61,238.47,238.74,1284583.0,306681345.42
2021-07-01,238.11,239.33,233.5701,235.51,2133065.0,502358138.15
2021-07-02,236.97,239.59,236.06,238.3,1378534.0,328504652.2
2021-07-06,238.56,241.7,236.2,238.55,1538975.0,367122486.25
2021-07-07,239.31,243.58,238.52,238.65,1185145.0,282834854.25
2021-07-08,235.07,238.92,231.74,237.09,1154712.0,273770668.08
2021-07-09,236.21,241.18,233.91,239.94,1319806.0,316674251.64
2021-07-12,241.54,242.46,235.48,236.39,980419.0,231761247.41
2021-07-13,233.4139,237.56,232.8314,232.99,1113532.0,259441820.68
2021-07-14,234.54,235.72,231.237,232.03,981287.0,227688022.61
2021-07-15,231.34,232.04,226.16,228.7,1812555.0,414531328.5
2021-07-16,230.0,231.0,226.85,227.53,1224459.0,278601156.27
2021-07-19,225.71,227.87,223.69,226.15,1255515.0,283934717.25
2021-07-20,227.2,233.58,225.55,230.83,1535056.0,354336976.48
2021-07-21,228.61,237.62,228.12,237.36,1259593.0,298976994.48
2021-07-22,237.0,239.35,237.0,237.92,932731.0,221915359.52
2021-07-23,238.81,242.06,237.725,240.4,1107699.0,266290839.6
2021-07-26,240.55,240.55,237.94,238.61,870201.0,207638660.61
2021-07-27,238.9,239.305,220.01,230.66,7730554.0,1783129585.64
2021-07-28,232.0,235.54,231.2601,234.39,1651705.0,387143134.95
2021-07-29,235.21,237.44,234.245,235.25,1296813.0,305075258.25
2021-07-30,233.33,235.36,233.01,234.4,921829.0,216076717.6
2021-08-02,235.1,236.32,232.42,233.65,706833.0,165151530.45000002
2021-08-03,238.2643,238.31,231.35,235.36,2229668.0,524774660.48
2021-08-04,235.17,235.79,231.75,232.23,1063073.0,246877442.79
2021-08-05,231.78,236.96,230.32,236.0,2520759.0,594899124.0
2021-08-06,234.62,237.1,233.4,235.72,1030980.0,243022605.6
2021-08-09,236.58,236.58,233.93,234.19,1424158.0,333523562.02
2021-08-10,237.61,238.0,230.05,230.7,842055.0,194262088.5
2021-08-11,231.89,232.8,229.01,231.37,830841.0,192231682.17
2021-08-12,230.58,236.92,230.58,235.33,997572.0,234758618.76
2021-08-13,235.39,238.98,234.58,236.68,743644.0,176005661.92000002
2021-08-16,236.08,236.08,230.7201,232.58,1141287.0,265440530.46
2021-08-17,230.43,232.62,228.065,231.36,1049430.0,242796124.8
2021-08-18,231.63,233.64,230.6,231.58,1638291.0,379395429.78
2021-08-19,231.16,233.14,228.59,231.9,1313728.0,304653523.2
2021-08-20,232.31,238.71,232.31,235.95,1553913.0,366645772.35
2021-08-23,235.95,242.82,235.62,242.62,1662057.0,403248269.34
2021-08-24,245.33,245.9,242.21,245.81,1258829.0,309432756.49
2021-08-25,245.36,246.79,244.2,246.11,989151.0,243439952.61
2021-08-26,247.0,248.46,245.0,246.76,3036340.0,749247258.4
2021-08-27,265.0303,274.94,263.2701,269.28,7411639.0,1995806149.92
2021-08-30,270.8815,273.64,268.63,271.37,1898092.0,515085226.04
