timestamps,open,high,low,close,volume,amount
2021-05-28,75.75,76.11,74.89,75.23,2465248.0,185460607.04
2021-06-01,75.9,76.39,75.1,75.55,2031559.0,153484282.45
2021-06-02,76.12,77.87,75.66,76.6,3806453.0,291574299.79999995
2021-06-03,75.68,77.66,75.67,76.78,2935670.0,225400742.6
2021-06-04,77.38,78.19,76.86,77.17,2612711.0,201622907.87
2021-06-07,76.9369,77.14,75.7701,76.13,2098336.0,159746319.67999998
2021-06-08,77.15,77.47,74.73,75.7,4136370.0,313123209.0
2021-06-09,75.7,75.94,74.25,74.86,2229148.0,166874019.28
2021-06-10,75.01,75.35,73.43,73.56,2787977.0,205083588.12
2021-06-11,75.64,76.35,74.31,74.78,3244002.0,242586469.56
2021-06-14,75.22,75.5137,74.12,74.71,2556900.0,191025998.99999997
2021-06-15,74.71,75.72,74.42,74.92,1964055.0,147147000.6
2021-06-16,74.48,74.8,72.615,73.27,3334550.0,244322478.5
2021-06-17,72.7,73.46,70.21,70.77,4917875.0,348038013.75
2021-06-18,69.95,70.07,68.38,69.47,4904291.0,340701095.77
2021-06-21,69.5,69.81,68.37,69.2,3142457.0,217458024.4
2021-06-22,68.54,68.8299,67.54,68.46,3332692.0,228156094.32
2021-06-23,68.59,70.53,68.59,69.24,2926383.0,202622758.92
2021-06-24,70.18,70.375,68.93,69.79,3195498.0,223013805.42
2021-06-25,69.96,71.23,69.75,70.75,2911967.0,206021665.25
2021-06-28,71.49,71.545,69.31,69.99,2968596.0,207772034.04
2021-06-29,70.35,71.2899,69.42,70.65,3026055.0,213790785.75000003
2021-06-30,71.0,72.14,70.29,71.17,3052426.0,217241158.42
2021-07-01,71.55,71.92,70.6,70.86,2912252.0,206362176.72
2021-07-02,71.33,71.33,69.44,70.21,2703652.0,189823406.92
2021-07-06,70.21,70.45,68.25,69.15,3037489.0,210042364.35
2021-07-07,69.51,70.17,68.26,69.33,2556149.0,177217810.17
2021-07-08,66.77,68.58,66.26,67.82,2823643.0,191499468.26
2021-07-09,68.24,70.36,68.21,70.17,3029836.0,212603592.12
2021-07-12,70.36,71.11,69.72,70.89,3027474.0,214617631.86
2021-07-13,70.3,70.98,69.49,70.08,2522335.0,176765236.79999998
2021-07-14,71.38,72.15,69.62,70.01,3244567.0,227152135.67
2021-07-15,69.71,69.92,66.66,66.91,4710068.0,315150649.88
2021-07-16,66.84,67.3,63.925,64.2,4021407.0,258174329.4
2021-07-19,62.895,63.31,62.11,62.99,4076370.0,256770546.3
2021-07-20,62.8,64.84,62.36,64.64,3562237.0,230262999.68
2021-07-21,64.45,65.18,61.5,64.45,6670895.0,429939182.75
2021-07-22,64.4,64.4,62.27,63.05,4228285.0,266593369.25
2021-07-23,63.45,63.86,62.48,63.75,2709852.0,172753065.0
2021-07-26,63.72,65.45,63.55,64.27,2203828.0,141640025.56
2021-07-27,63.2,63.635,60.89,62.36,3926712.0,244869760.32
2021-07-28,62.49,64.17,62.49,63.52,2674135.0,169861055.20000002
2021-07-29,63.97,65.2,63.51,64.46,2611275.0,168322786.49999997
2021-07-30,63.68,65.38,63.58,64.93,2427471.0,157615692.03000003
2021-08-02,65.61,66.77,64.565,64.69,2640391.0,170806893.79
2021-08-03,65.0,66.24,63.9,66.14,2947694.0,194960481.16
2021-08-04,65.2,66.2,64.84,64.94,5004971.0,325022816.74
2021-08-05,64.87,67.28,64.62,67.07,6486998.0,435082955.8599999
2021-08-06,67.58,68.8398,66.84,68.76,4474267.0,307650598.92
2021-08-09,68.78,68.79,66.77,67.61,3963312.0,267959524.32
2021-08-10,67.33,67.48,65.3,65.5,7169333.0,469591311.5
2021-08-11,65.66,66.91,65.065,66.72,5061020.0,337671254.4
2021-08-12,65.32,65.32,60.7018,62.38,11757592.0,733438588.96
2021-08-13,62.33,64.09,62.27,63.15,4963994.0,313476221.09999996
2021-08-16,62.25,63.54,61.68,61.85,3520080.0,217716948.0
2021-08-17,61.105,62.35,60.35,61.14,3689629.0,225583917.06
2021-08-18,61.34,62.66,60.97,61.01,3047725.0,185941702.25
2021-08-19,60.67,60.95,59.31,59.57,4493012.0,267648724.84
2021-08-20,59.8,60.23,59.03,60.04,3064838.0,184012873.52
2021-08-23,60.73,62.505,60.25,62.28,2642943.0,164602490.04
2021-08-24,61.96,62.09,59.25,60.76,5935837.0,360661456.12
2021-08-25,61.03,69.99,60.87,65.5,17763543.0,1163512066.5
2021-08-26,66.19,66.2925,62.16,62.57,7217473.0,451597285.61
2021-08-27,61.99,64.155,61.9326,63.24,3401590.0,215116551.6
2021-08-30,63.65,63.82,61.77,62.07,2921352.0,181328318.64
2021-08-31,62.28,64.21,61.81,63.2,3870303.0,244603149.6
2021-09-01,63.6,63.61,60.985,61.04,5223145.0,318820770.8
2021-09-02,61.0453,61.98,60.15,61.64,4389560.0,270572478.4
2021-09-03,62.03,62.55,60.81,61.41,2636428.0,161903043.48
2021-09-07,60.71,61.75,60.27,60.4,2714605.0,163962142.0
2021-09-08,59.925,59.925,57.32,58.08,5259831.0,305490984.48
2021-09-09,57.7,59.46,57.23,58.74,4766280.0,279971287.2
2021-09-10,59.4,59.76,57.855,57.97,2481313.0,143841714.60999998
2021-09-13,58.39,59.155,57.97,58.51,2451094.0,143413509.94
2021-09-14,58.516,58.7,57.33,57.54,2681455.0,154290920.7
2021-09-15,57.26,58.82,57.26,58.26,3949385.0,230091170.1
2021-09-16,58.05,58.8,57.78,58.28,2328683.0,135715645.24
2021-09-17,57.87,58.3,57.425,57.92,3626702.0,210058579.84
2021-09-20,56.42,57.05,55.6,56.62,3423054.0,193813317.48
2021-09-21,56.85,57.25,55.47,55.47,2808017.0,155760702.99
2021-09-22,56.19,57.05,55.74,56.58,2208650.0,124965417.0
2021-09-23,56.73,57.79,55.73,57.49,2378040.0,136713519.6
2021-09-24,57.09,58.14,56.62,57.94,1841408.0,106691179.52
2021-09-27,57.8,59.84,57.61,59.06,2531235.0,149494739.1
2021-09-28,58.7,59.09,57.66,58.32,2753043.0,160557467.76
2021-09-29,58.05,58.45,56.6,56.7,3661106.0,207584710.2
2021-09-30,57.26,57.5,56.41,56.44,2840427.0,160313699.88
2021-10-01,57.03,57.32,55.55,57.09,2144799.0,122446574.91
2021-10-04,56.92,57.85,56.555,56.95,2615847.0,148972486.65
2021-10-05,57.21,57.6199,56.22,56.96,2324627.0,132410753.92
2021-10-06,55.84,56.77,55.11,56.43,3591665.0,202677655.95
2021-10-07,56.74,57.925,56.74,57.39,1957540.0,112343220.6
2021-10-08,57.8,57.88,56.52,56.59,1617503.0,91534494.77
2021-10-11,56.59,57.22,56.13,56.17,1526173.0,85725137.41
2021-10-12,56.19,56.35,53.61,54.2,4553692.0,246810106.4
2021-10-13,54.61,55.66,54.06,54.21,2944148.0,159602263.08
2021-10-14,54.85,57.06,54.52,56.55,3437368.0,194383160.4
2021-10-15,55.74,56.29,55.15,55.41,3398577.0,188315151.57
2021-10-18,55.16,55.9,54.5601,55.4,1577928.0,87417211.2
2021-10-19,55.08,55.78,54.595,55.65,3881226.0,215990226.9
2021-10-20,54.87,56.78,54.56,56.41,3115138.0,175724934.57999998
2021-10-21,55.76,56.88,55.44,56.8,1968827.0,111829373.6
2021-10-22,57.455,58.92,56.55,57.05,3544202.0,202196724.1
2021-10-25,57.68,57.8,56.625,56.83,2051245.0,116572253.35
2021-10-26,57.02,57.2,56.3,56.32,2007814.0,113080084.48
2021-10-27,56.41,56.4246,54.92,55.48,2433256.0,134997042.88
2021-10-28,55.86,57.34,55.84,57.28,4112574.0,235568238.72
2021-10-29,49.92,53.5,49.5001,52.29,18240580.0,953799928.2
2021-11-01,52.15,54.8,52.13,54.18,4217727.0,228516448.86
2021-11-02,54.39,55.37,53.97,55.03,2994647.0,164795424.41
2021-11-03,55.15,55.95,54.531,55.77,4095952.0,228431243.04
2021-11-04,55.99,55.99,54.2875,55.04,3365237.0,185222644.48
2021-11-05,55.4824,56.6993,55.1694,56.18,2804617.0,157563383.06
2021-11-08,56.57,57.75,55.57,55.78,3329164.0,185700767.92
2021-11-09,55.78,56.9,55.65,56.25,2710382.0,152458987.5
2021-11-10,55.98,56.52,54.88,55.26,3658630.0,202175893.8
2021-11-11,55.4,58.94,55.4,58.82,5337678.0,313962219.96
2021-11-12,59.715,62.42,59.16,60.56,8580490.0,519634474.4
2021-11-15,60.42,60.7,58.74,58.93,3263210.0,192300965.3
2021-11-16,58.91,59.34,58.06,58.48,2512311.0,146919947.28
2021-11-17,58.25,58.4,55.73,56.49,5243101.0,296182775.49
2021-11-18,56.6,56.7931,54.81,55.7,4059520.0,226115264.0
2021-11-19,55.7,57.56,55.04,56.02,4456074.0,249629265.48
2021-11-22,56.23,57.63,55.37,56.93,3832917.0,218207964.81
2021-11-23,59.4001,61.22,59.07,60.53,8368252.0,506530293.56
2021-11-24,60.1,60.4,59.11,59.87,2371765.0,141997570.54999998
2021-11-26,58.2,58.455,56.8606,57.76,2354507.0,135996324.32
2021-11-29,58.48,59.1,57.735,58.99,3501196.0,206535552.04
2021-11-30,58.09,59.02,56.69,57.84,4787025.0,276881526.0
2021-12-01,58.75,60.75,57.66,57.72,4997013.0,288427590.36
2021-12-02,57.58,57.72,56.3,56.95,3667257.0,208850286.15
