timestamps,open,high,low,close,volume,amount
2021-05-28,74.67,75.35,74.35,74.77,1590826.0,118946060.02
2021-06-01,75.025,76.79,74.59,76.7,1708263.0,131023772.1
2021-06-02,77.0,77.92,76.41,77.82,2117999.0,164822682.17999998
2021-06-03,77.8,77.885,76.445,76.71,1659784.0,127322030.64
2021-06-04,76.91,76.91,75.6,76.45,1544528.0,118079165.6
2021-06-07,76.68,77.47,76.22,76.87,1280528.0,98434187.36
2021-06-08,77.33,78.8,77.0,78.15,2198826.0,171838251.9
2021-06-09,78.57,79.37,78.31,78.84,1571769.0,123918267.96
2021-06-10,78.82,79.41,78.19,79.14,2030541.0,160697014.74
2021-06-11,79.32,79.68,78.555,79.68,1272964.0,101429771.52
2021-06-14,80.21,81.365,79.77,81.21,1813068.0,147239252.28
2021-06-15,82.13,82.39,81.11,81.16,2786198.0,226127829.68
2021-06-16,81.04,82.25,80.66,80.8,2163096.0,174778156.79999998
2021-06-17,80.71,81.24,80.13,80.55,2158356.0,173855575.79999998
2021-06-18,80.45,80.6,78.48,78.51,5986143.0,469972086.93
2021-06-21,78.74,80.7,78.35,80.58,1833755.0,147763977.9
2021-06-22,81.07,83.18,80.925,82.22,3953982.0,325096400.04
2021-06-23,82.21,83.8085,81.8,83.47,2726941.0,227617765.27
2021-06-24,83.65,83.83,82.29,83.46,2277083.0,190045347.18
2021-06-25,83.8,84.02,83.37,84.02,2254400.0,189414688.0
2021-06-28,84.02,84.02,82.34,82.96,2551892.0,211704960.32
2021-06-29,83.0,83.825,82.67,83.41,1679014.0,140046557.73999998
2021-06-30,83.58,84.23,82.72,83.1,4407430.0,366257433.0
2021-07-01,83.41,84.57,82.82,83.73,2271613.0,190202156.49
2021-07-02,84.0,84.97,83.73,84.92,2224826.0,188932223.92
2021-07-06,84.61,85.3,83.205,85.14,2420863.0,206112275.82
2021-07-07,84.95,85.225,83.96,84.87,2473700.0,209942919.0
2021-07-08,84.05,85.415,83.62,84.89,2462154.0,209012253.06
2021-07-09,85.39,86.49,84.9201,86.43,1858152.0,160600077.36
2021-07-12,85.97,87.79,85.97,87.53,1831900.0,160346207.0
2021-07-13,87.55,87.96,86.385,86.97,2926998.0,254561016.06
2021-07-14,86.68,88.82,86.56,88.2,2684537.0,236776163.4
2021-07-15,87.91,88.69,87.66,88.6,2105242.0,186524441.2
2021-07-16,89.1,89.8,88.9408,89.68,2083211.0,186822362.48
2021-07-19,88.49,88.49,84.1,84.43,3062602.0,258575486.86
2021-07-20,84.93,88.42,84.31,88.02,2276859.0,200409129.18
2021-07-21,88.1,89.42,87.76,87.99,1607435.0,141438205.65
2021-07-22,87.86,87.9,86.7,87.35,1313009.0,114691336.15
2021-07-23,88.08,88.385,87.09,87.76,1122834.0,98539911.84
2021-07-26,87.26,88.28,86.27,87.6,1598492.0,140027899.2
2021-07-27,87.31,88.575,86.74,88.27,1644523.0,145162045.21
2021-07-28,88.49,88.49,86.95,87.39,1010116.0,88274037.24
2021-07-29,87.41,88.63,87.41,87.73,1218235.0,106875756.55
2021-07-30,88.58,89.5,86.79,86.86,2386018.0,207249523.48
2021-08-02,87.38,89.18,86.18,86.27,1245993.0,107491816.11
2021-08-03,86.89,87.22,86.12,87.11,1656367.0,144286129.37
2021-08-04,86.95,87.25,84.96,85.1,1892019.0,161010816.89999998
2021-08-05,85.65,86.6,85.33,86.58,1246620.0,107932359.6
2021-08-06,86.77,87.31,84.905,85.18,2090948.0,178106950.64000002
2021-08-09,85.11,85.65,84.47,85.56,1687108.0,144348960.48
2021-08-10,85.5,85.93,84.93,85.04,3813129.0,324268490.16
2021-08-11,84.93,84.93,83.81,83.95,1974995.0,165800830.25
2021-08-12,84.17,84.17,83.295,83.74,1262872.0,105752901.28
2021-08-13,83.74,85.18,83.5215,85.11,2437596.0,207463795.56
2021-08-16,84.77,85.8,84.53,85.26,1576682.0,134427907.32000002
2021-08-17,84.68,85.835,84.28,85.59,1469266.0,125754476.94
2021-08-18,85.45,85.47,84.09,84.3,1882154.0,158665582.2
2021-08-19,83.86,84.97,83.02,84.08,2000119.0,168170005.52
2021-08-20,83.81,84.74,82.66,84.22,1853012.0,156060670.64
2021-08-23,84.72,84.98,83.46,84.18,1071387.0,90189357.66
2021-08-24,84.2,84.63,83.39,84.48,1311965.0,110834803.2
2021-08-25,84.53,85.73,84.0,84.89,1544502.0,131112774.78
2021-08-26,85.3,85.73,84.46,84.67,1425964.0,120736371.88
2021-08-27,85.18,86.52,85.0,85.64,2041930.0,174870885.2
2021-08-30,85.55,86.14,85.09,85.76,1565889.0,134290640.64000002
2021-08-31,85.56,87.66,85.42,87.53,3051622.0,267108473.66
2021-09-01,87.92,88.98,87.25,88.18,2580963.0,227589317.34
2021-09-02,88.48,88.66,86.88,87.75,2130240.0,186928560.0
2021-09-03,87.41,87.41,85.69,86.75,2245727.0,194816817.25
2021-09-07,86.62,86.7,84.27,85.09,2090303.0,177863882.27
2021-09-08,84.77,86.51,84.49,86.0,1443406.0,124132916.0
2021-09-09,85.51,87.69,85.26,86.11,2941662.0,253306514.82
2021-09-10,86.39,87.64,85.4,86.68,2231825.0,193454591.00000003
2021-09-13,87.63,88.79,87.21,88.22,2426942.0,214104823.24
2021-09-14,88.76,88.83,86.5,87.54,1649660.0,144411236.4
2021-09-15,87.57,87.57,86.71,86.88,1730748.0,150367386.23999998
2021-09-16,86.88,88.14,86.42,87.81,1533382.0,134646273.42000002
2021-09-17,87.1,87.33,85.59,85.83,3532048.0,303155679.84
2021-09-20,85.04,86.86,84.51,85.75,1960748.0,168134141.0
2021-09-21,86.32,87.65,85.9,85.94,1417639.0,121831895.66
2021-09-22,86.64,86.78,85.29,85.44,1657039.0,141577412.16
2021-09-23,85.75,86.85,85.53,85.74,1638448.0,140480531.51999998
2021-09-24,85.24,85.67,82.62,83.3,1918840.0,159839372.0
2021-09-27,83.53,85.14,82.77,82.79,1733651.0,143528966.29000002
2021-09-28,82.23,83.485,81.6,83.1,2203902.0,183144256.2
2021-09-29,83.31,84.23,83.25,83.79,1702743.0,142672835.97
2021-09-30,84.38,84.38,82.165,82.4,2821581.0,232498274.4
2021-10-01,83.1,84.28,82.44,83.85,1213014.0,101711223.9
2021-10-04,83.44,84.45,83.1888,83.73,1269800.0,106320354.0
2021-10-05,83.83,83.83,81.71,81.74,1569734.0,128310057.16
2021-10-06,81.11,83.41,80.01,83.2,2083221.0,173323987.20000002
2021-10-07,83.8,84.36,82.71,82.93,1027448.0,85206262.64
2021-10-08,82.87,83.34,82.5,82.69,777440.0,64286513.6
2021-10-11,82.22,83.36,81.71,82.84,761023.0,63043145.32
2021-10-12,82.79,84.17,82.48,83.29,1343073.0,111864550.17
2021-10-13,82.91,83.44,82.29,83.29,1109783.0,92433826.07
2021-10-14,83.96,84.56,83.67,83.95,1729251.0,145170621.45000002
2021-10-15,84.7,84.85,83.72,84.11,1472400.0,123843564.0
2021-10-18,83.54,84.11,82.93,83.36,1765575.0,147178332.0
2021-10-19,83.79,84.27,83.37,84.07,1170382.0,98394014.74
2021-10-20,84.07,85.19,83.91,84.58,1454734.0,123041401.72
2021-10-21,84.8,85.06,82.9665,83.15,1553591.0,129181091.65
2021-10-22,83.23,83.94,80.83,81.04,2352690.0,190661997.6
2021-10-25,81.24,82.09,79.74,80.98,2843074.0,230232132.52
2021-10-26,80.96,81.31,80.4,80.43,2415301.0,194262659.43
2021-10-27,80.79,82.69,80.4126,82.3,2057707.0,169349286.1
2021-10-28,82.3,82.83,81.75,82.73,1165697.0,96438112.81
2021-10-29,82.22,82.435,79.52,80.4,3692498.0,296876839.20000005
2021-11-01,80.37,82.59,79.92,82.45,1626629.0,134115561.05
2021-11-02,82.94,82.99,81.36,81.89,1866441.0,152842853.49
2021-11-03,81.98,83.305,81.75,82.82,1631006.0,135079916.92
2021-11-04,82.96,83.16,79.71,80.47,3056996.0,245996468.12
2021-11-05,82.94,86.025,81.19,84.6,2718121.0,229953036.6
2021-11-08,84.46,85.87,83.98,84.76,2375140.0,201316866.4
2021-11-09,85.08,86.235,84.16,85.39,2060034.0,175906303.26
2021-11-10,85.54,87.64,85.54,87.01,3049472.0,265334558.72000003
2021-11-11,86.78,87.08,85.04,85.23,1867999.0,159209554.77
2021-11-12,85.15,85.91,84.72,85.55,1212099.0,103695069.45
2021-11-15,85.52,85.52,83.29,84.23,1436262.0,120976348.26
2021-11-16,84.29,84.5,82.9236,84.0,1994665.0,167551860.0
2021-11-17,83.64,86.51,82.93,86.22,2343850.0,202086747.0
2021-11-18,86.24,86.65,85.21,86.15,1483166.0,127774750.9
2021-11-19,86.09,86.79,83.845,84.19,2115105.0,178070689.95
2021-11-22,83.64,85.0,83.25,84.01,1618114.0,135937757.14000002
2021-11-23,84.72,86.48,84.38,85.78,1567119.0,134427467.82
2021-11-24,85.87,87.265,85.87,87.07,1512852.0,131724023.64
2021-11-26,84.93,85.25,81.78,81.92,1879367.0,153957744.64000002
2021-11-29,82.34,83.68,81.98,82.04,2684584.0,220243271.36
2021-11-30,81.47,81.84,79.21,79.62,4177812.0,332637391.44
2021-12-01,80.63,82.15,79.26,79.36,2148360.0,170493849.6
2021-12-02,80.06,82.77,79.79,82.08,2401024.0,197076049.92
2021-12-03,82.23,82.56,79.95,80.4,2879967.0,231549346.8
2021-12-06,81.27,83.94,81.27,83.04,1823149.0,151394292.96
2021-12-07,83.99,85.3499,83.53,84.78,2301665.0,195135158.7
2021-12-08,85.06,86.16,84.5,85.7,2421114.0,207489469.8
