timestamps,open,high,low,close,volume,amount
2021-05-28,46.85,46.88,46.28,46.72,15972096.0,746216325.12
2021-06-01,47.16,47.41,46.79,47.26,18308568.0,865262923.68
2021-06-02,47.38,47.46,46.58,46.81,18742023.0,877314096.63
2021-06-03,46.69,47.0,46.35,46.46,20459537.0,950550089.02
2021-06-04,47.06,47.1,46.51,46.96,18624484.0,874605768.64
2021-06-07,47.1,47.18,46.775,47.11,16875910.0,795024120.1
2021-06-08,46.74,47.01,46.3032,46.61,21566942.0,1005235166.62
2021-06-09,46.24,46.34,45.631,45.92,22757624.0,1045030094.08
2021-06-10,46.47,46.65,45.013,45.09,21891653.0,987094633.77
2021-06-11,45.18,45.69,45.18,45.68,19681074.0,899031460.32
2021-06-14,45.61,45.88,44.8399,45.15,25572923.0,1154617473.45
2021-06-15,45.2,45.72,44.995,45.46,24160695.0,1098345194.7
2021-06-16,44.95,45.96,44.32,45.57,38555283.0,1756964246.31
2021-06-17,45.79,45.96,42.655,42.79,49272409.0,2108366381.11
2021-06-18,41.68,42.31,41.47,41.75,64572265.0,2695892063.75
2021-06-21,42.295,43.31,42.23,43.28,26742431.0,1157412413.68
2021-06-22,43.41,43.871,42.855,43.54,26729255.0,1163791762.7
2021-06-23,43.5,44.31,43.5,43.96,19118831.0,840463810.76
2021-06-24,44.26,45.42,44.21,45.18,28068374.0,1268129137.32
2021-06-25,45.57,46.65,45.22,46.38,49698353.0,2305009612.1400003
2021-06-28,46.0,46.07,45.09,45.79,27681885.0,1267553514.15
2021-06-29,46.04,46.38,44.6,44.79,39771035.0,1781344657.65
2021-06-30,44.62,45.385,44.45,45.29,18397879.0,833239939.91
2021-07-01,45.48,45.64,44.97,45.41,18915589.0,858956896.4899999
2021-07-02,45.3,45.41,44.84,45.07,13424065.0,605022609.55
2021-07-06,44.73,44.82,43.3,43.49,25763570.0,1120457659.3
2021-07-07,43.28,43.965,43.12,43.4,22218981.0,964303775.4
2021-07-08,42.58,42.95,41.97,42.32,29569684.0,1251389026.88
2021-07-09,43.1799,44.11,42.85,43.91,25322830.0,1111925465.3
