timestamps,open,high,low,close,volume,amount
2021-05-28,47.31,47.4833,47.2133,47.3433,21466401.0,1016290262.4633
2021-06-01,47.4033,47.6,47.09,47.22,21331473.0,1007272155.06
2021-06-02,47.13,47.2366,46.6967,47.1167,23578170.0,1110925562.439
2021-06-03,47.13,47.2833,46.9167,47.2,18598278.0,877838721.6
2021-06-04,47.1533,47.43,47.0833,47.2833,13871001.0,655866701.5833
2021-06-07,47.2833,47.3233,46.7967,46.9667,16883694.0,792971390.9898001
2021-06-08,46.8367,46.9667,46.6033,46.61,20483130.0,954718689.3
2021-06-09,46.4467,46.67,46.3433,46.36,17382297.0,805843288.92
2021-06-10,46.36,46.73,46.36,46.6267,16598826.0,773948480.2542
2021-06-11,46.7433,46.95,46.62,46.9167,25535718.0,1198051620.6906
2021-06-14,46.9767,46.9767,46.6767,46.8533,15433482.0,723109562.1905999
2021-06-15,46.9467,46.97,46.5533,46.6667,19650597.0,917028515.0199
2021-06-16,46.6167,46.68,45.6567,45.7167,29047569.0,1327958997.7023
2021-06-17,45.6667,46.1167,45.57,45.9067,19716273.0,905109029.7291
2021-06-18,45.1467,45.4627,44.8,45.0567,49181976.0,2215977538.0392
2021-06-21,45.22,45.5833,45.1167,45.4667,21127044.0,960576971.4348
2021-06-22,45.41,45.9067,45.41,45.6767,19422426.0,887152325.6741999
2021-06-23,45.5,45.6633,45.31,45.32,19717560.0,893599819.2
2021-06-24,45.39,45.7467,45.3667,45.6367,24002436.0,1095391971.0012
2021-06-25,45.71,46.2867,45.64,46.1767,28891329.0,1334106231.8342998
2021-06-28,46.0133,46.2133,45.5333,46.0333,15866946.0,730407885.3017999
2021-06-29,45.9667,46.1567,45.7433,45.7667,36442308.0,1667844177.5436
2021-06-30,46.52,47.5267,46.23,47.0067,46435272.0,2182768900.3224
2021-07-01,46.8033,47.0833,46.3367,46.44,26938587.0,1251027980.28
2021-07-02,46.45,47.0267,46.45,46.7033,26246304.0,1225789009.6032
2021-07-06,46.6333,46.9167,46.505,46.6467,18748851.0,874572027.9417001
2021-07-07,46.5867,47.0633,46.4533,46.57,25855614.0,1204095943.98
2021-07-08,46.1133,46.8833,46.0736,46.53,21579621.0,1004099765.13
2021-07-09,46.8033,46.9467,46.6433,46.7667,15428517.0,721540825.9839
2021-07-12,46.8967,46.93,46.4433,46.6833,19858815.0,927075018.2895
2021-07-13,46.6633,47.06,46.6467,46.86,19243665.0,901758141.9
2021-07-14,46.9033,47.2667,46.61,47.1833,19009038.0,896909142.6654
2021-07-15,47.3333,47.5467,47.03,47.22,18364092.0,867152424.24
2021-07-16,47.2333,47.3767,46.9833,47.1867,18561645.0,875862774.1215
2021-07-19,47.1367,47.66,46.59,47.0767,27701583.0,1304099112.4161
2021-07-20,46.99,47.49,46.9257,47.29,19324110.0,913837161.9
2021-07-21,47.5,47.5133,46.9017,47.0567,18830910.0,886120482.597
2021-07-22,47.0433,47.3724,46.9333,47.09,13256739.0,624259839.51
2021-07-23,47.1733,47.5733,47.0033,47.4767,16136535.0,766109431.2345
2021-07-26,47.4533,47.9533,47.1533,47.5433,18782565.0,892985122.5645001
2021-07-27,47.6667,47.6667,47.32,47.5467,15585822.0,741054402.8874
2021-07-28,47.4933,47.75,47.22,47.3533,14346396.0,679349193.7068
