timestamps,open,high,low,close,volume,amount
2021-10-04,83.25,85.0,79.33,80.07,865071.0,69266234.97
2021-10-05,80.99,83.16,79.01,82.88,1375826.0,114028458.88
2021-10-06,81.4,83.6,80.27,82.95,1049771.0,87078504.45
2021-10-07,84.65,85.67,83.84,84.27,1151935.0,97073562.45
2021-10-08,86.3,86.3,83.48,83.66,803539.0,67224072.74
2021-10-11,84.19,85.21,83.3,83.39,531832.0,44349470.48
2021-10-12,83.17,83.96,82.26,82.89,1026538.0,85089734.82000001
2021-10-13,83.4,86.09,83.0,86.0,1432152.0,123165072.0
2021-10-14,87.49,88.2974,85.5,87.81,1270978.0,111604578.18
2021-10-15,88.42,88.76,85.1,85.24,752688.0,64159125.12
2021-10-18,84.52,88.04,84.42,87.9,845197.0,74292816.30000001
2021-10-19,88.8,93.7099,88.5,93.36,1517151.0,141641217.35999998
2021-10-20,93.7,94.0,89.81,90.21,1194305.0,107738254.05
2021-10-21,90.25,92.71,90.25,91.0,826045.0,75170095.0
2021-10-22,90.3,92.05,89.01,89.44,806944.0,72173071.36
2021-10-25,90.42,92.58,89.51,91.85,952335.0,87471969.75
2021-10-26,93.0,94.77,91.89,93.32,1513695.0,141258017.39999998
2021-10-27,93.23,96.0857,90.87,90.87,1613969.0,146661363.03
2021-10-28,107.32,125.37,105.21,121.04,8803034.0,1065519235.36
2021-10-29,119.765,128.15,119.01,120.11,3825275.0,459453780.25
2021-11-01,120.11,131.1,117.37,130.72,4877746.0,637618957.12
2021-11-02,133.44,135.25,129.39,131.52,1888329.0,248353030.08
2021-11-03,130.99,135.75,130.49,132.76,2129829.0,282756098.03999996
2021-11-04,134.0,136.27,131.58,133.3,1556926.0,207538235.8
2021-11-05,134.22,135.1023,132.695,134.84,1025391.0,138263722.44
2021-11-08,135.47,138.95,135.47,137.49,1555048.0,213803549.52
2021-11-09,138.53,138.85,132.22,134.98,1228586.0,165834538.28
2021-11-10,132.43,139.0,131.0,136.0,1458898.0,198410128.0
2021-11-11,137.0,140.51,134.07,137.9,1263464.0,174231685.6
2021-11-12,138.43,141.41,138.38,139.55,1038278.0,144891694.9
2021-11-15,140.0,142.3312,136.9,137.54,1575751.0,216728792.54
2021-11-16,137.0,141.97,135.5,141.87,2018264.0,286331113.68
2021-11-17,137.38,139.065,121.5675,128.77,5265975.0,678099600.75
2021-11-18,133.02,134.1786,126.59,128.39,1641152.0,210707505.27999997
2021-11-19,129.58,131.57,128.77,129.22,1353305.0,174874072.1
2021-11-22,133.0,139.21,126.73,126.78,1872607.0,237409115.46
2021-11-23,126.0,128.06,121.09,123.88,1780068.0,220514823.84
2021-11-24,122.43,127.22,120.45,126.65,891689.0,112932411.85
2021-11-26,123.4,127.665,121.8747,124.0,1106296.0,137180704.0
2021-11-29,127.7,129.0925,123.51,129.01,1215746.0,156843391.45999998
2021-11-30,127.01,127.68,117.6201,122.62,2106644.0,258316687.28
2021-12-01,123.0,125.28,117.66,118.05,1880684.0,222014746.2
2021-12-02,118.23,119.68,113.5889,119.09,2569415.0,305991632.35
2021-12-03,119.99,120.75,114.0,114.99,1410543.0,162198339.57
2021-12-06,115.29,116.84,111.16,115.82,1053363.0,122000502.66
2021-12-07,119.08,125.69,119.08,123.38,1265732.0,156166014.16
2021-12-08,123.49,125.84,119.01,123.87,1042830.0,129175352.1
2021-12-09,122.04,124.03,117.17,117.46,1287466.0,151225756.35999998
2021-12-10,119.03,121.28,114.26,115.19,1045865.0,120473189.35
2021-12-13,116.69,117.73,110.56,110.78,1210813.0,134133864.14
2021-12-14,109.92,111.24,104.4,109.94,1888607.0,207633453.58
2021-12-15,110.8,113.01,106.255,112.89,1427665.0,161169101.85
2021-12-16,114.2,114.5,102.3,104.6,2428984.0,254071726.4
2021-12-17,103.42,108.78,102.09,106.78,3130001.0,334221506.78000003
2021-12-20,104.24,106.3,102.43,104.5,900166.0,94067347.0
2021-12-21,107.5,110.0,104.75,108.34,1114191.0,120711452.94
2021-12-22,107.99,110.63,107.05,109.93,949531.0,104381942.83
2021-12-23,111.28,112.53,109.8,110.95,626770.0,69540131.5
2021-12-27,110.97,113.57,110.97,113.11,697919.0,78941618.09
2021-12-28,114.23,114.23,109.01,109.36,584164.0,63884175.04
2021-12-29,108.63,110.27,107.25,109.02,639317.0,69698339.34
2021-12-30,109.28,112.345,108.725,110.63,890687.0,98536702.81
2021-12-31,111.19,113.03,111.095,111.77,705274.0,78828474.98
2022-01-03,116.64,121.81,114.68,121.14,2258073.0,273542963.22
2022-01-04,121.9,125.58,116.31,121.7,1989827.0,242161945.9
2022-01-05,121.0,122.62,113.43,114.46,1404575.0,160767654.5
2022-01-06,113.69,115.7,110.14,113.05,1126720.0,127375696.0
2022-01-07,111.96,116.91,108.7,108.97,1469494.0,160130761.18
2022-01-10,106.5,106.89,100.67,106.77,2345480.0,250426899.6
2022-01-11,106.6,109.65,104.8,108.91,1193443.0,129977877.13
2022-01-12,113.87,115.5,109.6886,110.5,974274.0,107657277.0
2022-01-13,112.0,112.85,105.14,105.14,1611328.0,169415025.92
2022-01-14,103.56,108.36,103.33,108.07,1488177.0,160827288.39
2022-01-18,105.67,107.27,102.21,102.3,1140394.0,116662306.2
2022-01-19,102.81,104.23,96.3,96.55,1510695.0,145857602.25
2022-01-20,97.21,99.37,92.51,92.64,1868686.0,173115071.04
2022-01-21,91.61,94.53,89.23,89.81,2192411.0,196900431.91
2022-01-24,86.4,93.23,83.49,92.93,2635834.0,244948053.62
2022-01-25,89.58,92.06,86.65,88.94,1668684.0,148412754.96
