timestamps,open,high,low,close,volume,amount
2021-12-14,31.79,35.0,20.0,20.3,353123.0,7168396.9
2021-12-15,22.64,22.7699,19.0,19.52,200240.0,3908684.8
2021-12-16,19.6,19.9347,15.55,16.23,234447.0,3805074.81
2021-12-17,15.02,16.2,12.79,12.95,248479.0,3217803.05
2021-12-20,12.91,14.975,12.63,14.65,193505.0,2834848.25
2021-12-21,14.99,15.02,12.05,12.41,329761.0,4092334.01
2021-12-22,12.21,12.96,11.56,12.5,172226.0,2152825.0
2021-12-23,12.98,14.61,12.11,14.39,162087.0,2332431.93
2021-12-27,15.5,15.5,14.5,14.65,176115.0,2580084.75
2021-12-28,14.65,14.74,12.955,13.41,99367.0,1332511.47
2021-12-29,13.21,13.87,13.1622,13.8,60282.0,831891.6000000001
2021-12-30,13.7,14.41,13.5214,14.2,81453.0,1156632.6
2021-12-31,14.2,15.32,13.65,15.05,77595.0,1167804.75
2022-01-03,16.78,16.8,14.21,14.44,63746.0,920492.24
2022-01-04,14.69,15.0899,13.2735,13.7,59082.0,809423.3999999999
2022-01-05,13.89,14.06,12.72,12.75,95563.0,1218428.25
2022-01-06,12.4,13.64,12.25,13.39,68938.0,923079.82
2022-01-07,13.17,13.415,12.001,12.91,80460.0,1038738.6
2022-01-10,12.8,12.8,11.81,12.51,41707.0,521754.57
2022-01-11,12.4,14.23,12.4,14.15,49029.0,693760.35
2022-01-12,14.72,15.8,14.0102,15.54,103561.0,1609337.94
2022-01-13,15.79,15.79,14.35,15.13,69933.0,1058086.29
2022-01-14,15.23,15.25,14.73,15.0,35954.0,539310.0
2022-01-18,14.53,14.94,13.96,14.0,107723.0,1508122.0
2022-01-19,13.93,14.47,13.91,14.12,109738.0,1549500.5599999998
2022-01-20,14.38,14.5,13.85,14.0,74976.0,1049664.0
2022-01-21,13.49,13.67,12.35,12.57,148317.0,1864344.69
2022-01-24,12.03,12.255,11.38,11.75,157940.0,1855795.0
2022-01-25,11.37,12.21,10.87,11.14,144373.0,1608315.22
2022-01-26,11.57,11.57,10.75,10.9,109689.0,1195610.1
2022-01-27,11.1,11.8699,10.8,11.04,636941.0,7031828.64
2022-01-28,11.25,11.35,10.54,11.05,179559.0,1984126.95
2022-01-31,11.16,11.74,11.14,11.68,156812.0,1831564.16
2022-02-01,11.84,13.07,11.5,12.86,151527.0,1948637.22
2022-02-02,13.16,13.829,12.56,12.82,83709.0,1073149.38
2022-02-03,12.5,13.28,12.345,12.67,109543.0,1387909.81
2022-02-04,12.84,13.1,12.2655,12.61,162429.0,2048229.69
2022-02-07,12.82,13.46,12.6867,13.0,178263.0,2317419.0
2022-02-08,13.0,13.6799,12.8,13.0,88096.0,1145248.0
2022-02-09,13.2,13.4558,12.93,13.1,95237.0,1247604.7
2022-02-10,13.0,13.33,12.75,13.09,93187.0,1219817.83
2022-02-11,12.95,13.45,12.8627,13.0,74101.0,963313.0
2022-02-14,12.75,13.0154,11.3,12.42,138510.0,1720294.2
2022-02-15,12.55,13.2,12.55,12.7,162408.0,2062581.6
2022-02-16,12.34,12.88,12.1035,12.45,108259.0,1347824.5499999998
2022-02-17,12.39,12.59,11.24,11.5,127973.0,1471689.5
2022-02-18,11.42,12.07,11.33,11.81,103139.0,1218071.59
2022-02-22,11.41,11.99,11.41,11.74,132373.0,1554059.02
2022-02-23,11.73,11.73,10.98,11.25,227819.0,2562963.75
2022-02-24,10.3,11.33,10.08,11.09,223775.0,2481664.75
2022-02-25,11.18,11.81,10.61,11.5,222028.0,2553322.0
2022-02-28,11.21,12.26,11.17,11.68,219609.0,2565033.12
2022-03-01,11.71,12.43,10.86,11.09,86130.0,955181.7
2022-03-02,11.15,11.15,9.27,9.29,200815.0,1865571.35
2022-03-03,9.32,9.57,7.2701,7.5,481920.0,3614400.0
2022-03-04,7.8,8.41,5.94,6.0,634676.0,3808056.0
2022-03-07,6.04,6.85,4.03,4.97,1229039.0,6108323.83
2022-03-08,4.86,6.182,4.68,5.19,535626.0,2779898.9400000004
2022-03-09,5.44,6.555,5.21,5.83,489952.0,2856420.16
2022-03-10,5.53,6.6,5.445,6.37,517324.0,3295353.88
2022-03-11,6.76,10.43,6.62,9.51,7428089.0,70641126.39
2022-03-14,9.2,9.95,7.91,7.95,2047739.0,16279525.05
2022-03-15,7.8,8.299,7.0027,7.81,596146.0,4655900.26
2022-03-16,7.77,8.95,7.2112,7.41,960376.0,7116386.16
2022-03-17,7.3,7.97,7.05,7.71,1073288.0,8275050.48
2022-03-18,7.42,7.874,7.37,7.48,2449029.0,18318736.92
2022-03-21,7.45,8.71,7.2,8.47,903827.0,7655414.69
2022-03-22,8.5,9.05,8.33,8.35,715420.0,5973757.0
2022-03-23,8.38,8.73,7.7122,8.31,203889.0,1694317.59
2022-03-24,8.26,9.37,8.26,9.28,353433.0,3279858.24
2022-03-25,9.69,9.8,8.7,9.05,473594.0,4286025.7
2022-03-28,9.34,9.64,8.95,9.22,435476.0,4015088.72
2022-03-29,9.26,9.5922,8.29,9.0,406058.0,3654522.0
2022-03-30,8.78,8.78,8.01,8.48,516177.0,4377180.96
2022-03-31,8.54,8.61,8.12,8.4,241170.0,2025828.0
2022-04-01,8.45,8.51,7.51,8.21,454302.0,3729819.42
2022-04-04,8.17,9.1,8.1,8.75,295009.0,2581328.75
2022-04-05,8.65,8.87,8.07,8.09,445703.0,3605737.27
2022-04-06,8.03,8.16,7.81,7.92,355410.0,2814847.2
2022-04-07,7.9,8.15,7.71,8.09,156214.0,1263771.26
2022-04-08,8.04,8.08,7.79,7.88,183859.0,1448808.92
2022-04-11,7.79,8.13,7.7,7.88,355839.0,2804011.32
2022-04-12,6.77,6.8,5.32,5.51,3832942.0,21119510.42
2022-04-13,5.39,6.07,5.16,5.9,1574864.0,9291697.6
2022-04-14,6.01,6.1799,5.65,5.68,618300.0,3511944.0
2022-04-18,5.7,6.06,5.5,5.98,540062.0,3229570.76
2022-04-19,5.91,6.24,5.66,5.83,888239.0,5178433.37
2022-04-20,5.76,6.13,5.25,5.37,941095.0,5053680.15
2022-04-21,5.45,5.6,4.75,4.94,985310.0,4867431.4
2022-04-22,5.0,5.188,4.5,4.51,546190.0,2463316.9
2022-04-25,4.5,4.69,3.84,3.98,1567912.0,6240289.76
2022-04-26,3.92,4.1,3.39,3.45,1451926.0,5009144.7
2022-04-27,3.66,3.729,3.25,3.33,838962.0,2793743.46
2022-04-28,3.35,3.66,3.15,3.56,721072.0,2567016.32
2022-04-29,3.44,4.2,3.435,3.79,808791.0,3065317.89
2022-05-02,3.78,4.19,3.72,4.11,483028.0,1985245.08
2022-05-03,4.29,4.41,3.97,4.03,479000.0,1930370.0
2022-05-04,3.94,4.0599,3.62,4.0,537967.0,2151868.0
2022-05-05,3.89,4.09,3.355,3.44,511854.0,1760777.76
2022-05-06,3.3,3.55,3.2,3.29,333558.0,1097405.82
2022-05-09,3.2,3.26,2.95,3.0,674677.0,2024031.0
2022-05-10,3.11,3.25,2.86,2.94,412174.0,1211791.56
2022-05-11,2.97,2.97,2.6,2.65,452654.0,1199533.1
2022-05-12,2.54,3.19,2.54,3.11,594046.0,1847483.06
2022-05-13,3.26,3.54,3.21,3.37,707699.0,2384945.63
2022-05-16,3.39,3.719,3.21,3.3,330256.0,1089844.8
