timestamps,open,high,low,close,volume,amount
2021-05-28,128.98,131.3,127.7,128.1,6474758.0,829416499.8
2021-06-01,128.72,128.72,125.96,126.45,5205296.0,658209679.2
2021-06-02,127.22,127.95,125.49,127.24,5243908.0,667234853.92
2021-06-03,126.75,127.48,125.08,126.76,4915516.0,623090808.16
2021-06-04,127.11,128.16,126.42,126.76,4346844.0,551005945.44
2021-06-07,127.26,133.96,126.88,132.61,15550497.0,2062151407.1700003
2021-06-08,133.68,134.72,129.82,133.46,7565315.0,1009666939.9
2021-06-09,134.0,136.21,133.68,134.71,7152545.0,963519336.95
2021-06-10,134.55,136.4328,133.35,136.09,5098585.0,693866432.65
2021-06-11,136.36,136.45,134.34,135.83,4164368.0,565646105.44
2021-06-14,136.1,137.72,135.89,136.68,3768596.0,515091701.28
2021-06-15,136.78,136.78,132.6,133.43,4408906.0,588280327.58
2021-06-16,133.09,134.48,130.46,133.59,7197984.0,961578682.56
2021-06-17,133.02,135.34,132.34,134.38,4106948.0,551891672.24
2021-06-18,132.92,134.13,131.74,133.58,5861991.0,783044757.7800001
2021-06-21,133.9261,135.28,132.19,134.79,5157111.0,695126991.6899999
2021-06-22,134.63,134.89,131.89,133.68,4508230.0,602660186.4
2021-06-23,133.28,135.06,132.58,134.31,4174982.0,560741832.42
2021-06-24,135.21,137.43,135.12,137.29,5986052.0,821825079.0799999
2021-06-25,137.69,138.775,136.51,138.68,8504964.0,1179468407.52
2021-06-28,140.68,141.5,137.52,137.85,6064962.0,836055011.6999999
2021-06-29,137.91,138.46,135.55,135.74,5227419.0,709569855.0600001
2021-06-30,135.47,137.24,133.5,135.4,5387785.0,729506089.0
2021-07-01,135.94,138.5,135.0,138.49,5615671.0,777714276.7900001
2021-07-02,138.44,138.6,135.7401,136.53,3561616.0,486267432.48
2021-07-06,136.64,137.17,133.34,133.59,6275124.0,838293815.16
2021-07-07,133.8,134.295,129.72,131.35,6548693.0,860170825.55
2021-07-08,128.46,132.6,128.24,131.91,6215284.0,819858112.4399999
2021-07-09,132.53,134.03,131.19,133.8,3817699.0,510808126.2000001
2021-07-12,133.9,134.64,131.65,131.83,3236984.0,426731600.72
2021-07-13,131.33,131.74,129.45,129.63,5583043.0,723729864.09
2021-07-14,130.07,130.17,125.82,125.95,8044181.0,1013164596.95
2021-07-15,125.79,126.73,123.67,125.94,5952556.0,749664902.64
2021-07-16,126.5,127.8,124.98,125.94,4569613.0,575497061.22
2021-07-19,124.35,127.919,123.9401,126.14,4649599.0,586500417.86
2021-07-20,126.15,129.0799,125.54,129.06,4286637.0,553233371.22
2021-07-21,129.06,130.5,127.34,130.25,3967205.0,516728451.25
2021-07-22,129.53,130.24,127.74,127.97,4288165.0,548756475.05
2021-07-23,128.15,128.57,125.47,126.51,4228510.0,534948800.1
2021-07-26,126.37,127.465,124.15,124.22,5085468.0,631716834.96
2021-07-27,124.0,124.49,120.62,122.98,8626852.0,1060930258.96
2021-07-28,123.3,127.84,123.3,127.28,6544608.0,832997706.24
2021-07-29,127.9,128.57,125.04,125.17,4917048.0,615466898.16
2021-07-30,124.21,125.8,123.06,123.41,4390579.0,541841354.39
2021-08-02,124.23,125.39,123.67,123.93,4167796.0,516514958.28
2021-08-03,124.56,124.82,122.4,124.82,3767890.0,470308029.7999999
2021-08-04,124.2,127.31,124.155,124.8,5945631.0,742014748.8
2021-08-05,125.0,129.66,124.39,129.54,5619159.0,727905856.86
2021-08-06,129.13,129.13,126.38,127.29,4674135.0,594970644.15
2021-08-09,127.1,128.93,126.54,127.53,4894392.0,624181811.76
2021-08-10,128.36,128.7,125.7,126.48,4159380.0,526078382.4
2021-08-11,126.35,126.63,124.29,125.66,4663896.0,586065171.36
2021-08-12,125.47,127.26,125.01,126.79,4012018.0,508683762.22
2021-08-13,126.91,127.42,124.58,124.62,3932807.0,490106408.34
2021-08-16,124.22,124.38,121.45,121.79,5181228.0,631021758.12
2021-08-17,120.83,123.82,119.83,123.7,5030315.0,622249965.5
2021-08-18,123.73,124.42,121.58,121.61,3637864.0,442400641.04
2021-08-19,120.58,121.54,118.49,118.69,5558576.0,659747385.4399999
2021-08-20,119.14,122.88,118.5,122.13,5939028.0,725333489.64
2021-08-23,123.87,127.85,123.65,127.74,8385727.0,1071192766.98
2021-08-24,127.84,127.87,125.85,127.75,4274467.0,546063159.25
2021-08-25,127.36,129.89,126.45,129.16,5395697.0,696908224.52
2021-08-26,128.9,131.05,128.0,128.58,5666065.0,728542637.7
2021-08-27,129.03,132.99,128.47,132.03,6466570.0,853781237.1
2021-08-30,132.65,133.6,131.09,131.63,4893658.0,644152202.54
2021-08-31,131.5,133.59,131.5,132.84,3680134.0,488869000.56
2021-09-01,133.12,135.28,132.77,135.08,3888054.0,525198334.32000005
2021-09-02,135.33,136.61,134.91,136.53,3160517.0,431505386.01
2021-09-03,136.0,136.0,133.205,134.19,5033845.0,675491660.55
2021-09-07,134.24,135.82,132.54,133.47,4535457.0,605347445.79
2021-09-08,133.68,133.86,131.0,132.31,4325840.0,572351890.4
2021-09-09,131.88,134.75,131.56,132.82,5367775.0,712947875.5
2021-09-10,133.29,133.43,131.09,131.72,3750043.0,493955663.96
2021-09-13,132.01,133.27,129.21,131.08,4992724.0,654446261.9200001
2021-09-14,131.45,132.2899,128.77,128.99,3734115.0,481663493.85
2021-09-15,129.22,131.2,128.73,130.43,3559510.0,464266889.3
2021-09-16,130.43,131.19,128.7,131.0,2782164.0,364463484.0
2021-09-17,131.11,133.39,129.56,132.88,6551124.0,870513357.12
2021-09-20,130.35,131.74,127.13,128.76,7072722.0,910683684.72
2021-09-21,129.02,131.5,129.0,130.25,4340667.0,565371876.75
2021-09-22,130.89,131.84,129.46,130.62,2688539.0,351176964.18
2021-09-23,130.98,133.19,130.48,133.07,3111648.0,414066999.3599999
2021-09-24,131.93,132.5,130.16,130.37,4252873.0,554447053.01
2021-09-27,130.38,132.75,129.61,131.91,4715463.0,622016724.33
2021-09-28,130.71,130.89,127.65,127.74,4959426.0,633517077.24
2021-09-29,128.5,129.04,125.3,125.63,4540279.0,570395250.77
2021-09-30,126.18,127.44,125.65,125.71,4966845.0,624382084.9499999
2021-10-01,126.16,126.58,122.5,126.17,8160578.0,1029620126.26
2021-10-04,125.21,125.44,122.8,123.22,4071953.0,501746048.66
2021-10-05,123.85,125.31,122.72,123.6,3987724.0,492882686.4
2021-10-06,122.56,123.62,121.76,122.29,4261133.0,521093954.57000005
2021-10-07,122.89,125.24,122.32,123.91,4035084.0,499987258.44
2021-10-08,124.59,125.07,122.765,123.44,2873354.0,354686817.76
2021-10-11,123.21,125.51,122.89,124.07,3349347.0,415553482.29
2021-10-12,124.34,125.73,124.28,124.61,3440619.0,428735533.59
2021-10-13,125.0,125.95,123.99,125.01,3204228.0,400560542.28
2021-10-14,126.36,128.06,125.83,127.1,4005460.0,509093966.0
2021-10-15,128.25,128.28,124.9,125.08,4530575.0,566684321.0
2021-10-18,124.12,124.49,122.24,122.47,6325309.0,774660593.23
2021-10-19,123.2,125.03,122.88,123.68,4899515.0,605972015.2
2021-10-20,123.86,125.01,122.96,123.26,2900587.0,357526353.62
2021-10-21,123.23,124.91,123.23,123.84,2678049.0,331649588.16
2021-10-22,123.67,124.26,121.96,124.18,6441712.0,799931796.1600001
2021-10-25,124.08,125.0679,123.2714,124.39,4376406.0,544381142.34
2021-10-26,125.14,126.25,123.88,124.01,4653202.0,577043580.02
2021-10-27,123.72,124.33,122.06,122.22,5205903.0,636265464.66
2021-10-28,122.63,126.23,122.22,126.17,8976783.0,1132600711.11
2021-10-29,125.72,126.81,124.56,124.81,5094840.0,635886980.4
2021-11-01,125.19,129.65,124.962,129.59,7144504.0,925856273.36
2021-11-02,129.62,131.42,127.71,131.26,6563068.0,861468305.68
2021-11-03,131.06,134.43,130.21,134.15,7042881.0,944802486.15
2021-11-04,133.62,134.79,131.91,133.21,6299706.0,839183836.2600001
2021-11-05,132.24,133.33,129.8,131.32,8646754.0,1135491735.28
2021-11-08,131.63,132.47,130.03,130.51,4292483.0,560211956.3299999
2021-11-09,130.12,130.4,128.01,128.63,6167462.0,793320637.06
2021-11-10,127.95,130.17,125.8,126.19,7136160.0,900512030.4
2021-11-11,126.6,127.62,125.89,126.31,3792855.0,479075515.05
2021-11-12,126.9,127.16,125.25,126.54,4247396.0,537465489.84
2021-11-15,126.94,127.14,123.57,123.89,6208456.0,769165613.84
2021-11-16,123.83,124.79,122.74,124.51,5473443.0,681498387.9300001
2021-11-17,124.33,124.75,122.78,122.93,5894375.0,724595518.75
2021-11-18,124.32,124.71,121.85,122.22,9027240.0,1103309272.8
2021-11-19,122.03,123.21,121.39,121.92,6298024.0,767855086.08
2021-11-22,122.66,122.66,119.11,119.28,7001897.0,835186274.16
2021-11-23,119.06,119.6,115.4,119.38,12928789.0,1543438830.82
2021-11-24,118.5,120.5,117.28,120.05,5762749.0,691818017.4499999
2021-11-26,119.3,120.53,115.01,116.78,7779418.0,908480434.04
2021-11-29,118.85,119.45,114.84,115.05,7810138.0,898556376.9
2021-11-30,114.42,116.67,112.605,116.27,12705690.0,1477290576.3
2021-12-01,117.01,118.26,112.02,112.13,9926621.0,1113072012.73
2021-12-02,112.0,114.95,111.15,114.57,8127417.0,931158165.69
2021-12-03,115.2,115.2,108.71,109.53,14164115.0,1551395515.95
2021-12-06,109.19,110.52,106.92,109.58,10917469.0,1196336253.02
2021-12-07,111.7,116.89,111.7,115.04,12772898.0,1469394185.92
2021-12-08,115.5,117.14,113.73,116.69,9950112.0,1161078569.28
2021-12-09,116.06,116.77,111.55,111.78,8398739.0,938811045.42
2021-12-10,112.44,113.32,109.51,109.91,7918025.0,870270127.75
2021-12-13,110.5,112.35,108.41,110.8,9132142.0,1011841333.6
2021-12-14,109.27,110.63,107.58,108.77,11527634.0,1253860750.18
2021-12-15,109.08,113.66,106.875,113.39,16049425.0,1819844300.75
2021-12-16,114.21,114.48,109.47,110.34,16622787.0,1834158317.58
2021-12-17,109.4,116.56,109.04,115.61,17298402.0,1999868255.22
2021-12-20,114.52,117.11,112.15,115.79,17127381.0,1983179445.99
2021-12-21,116.06,116.65,114.39,116.58,10794515.0,1258424558.7
2021-12-22,115.44,117.16,113.94,116.52,10193144.0,1187705138.88
2021-12-23,116.43,119.21,115.64,118.22,10137471.0,1198451821.62
2021-12-27,117.38,117.57,114.95,115.17,7127473.0,820871065.41
2021-12-28,114.89,117.51,113.03,113.21,7312736.0,827874842.56
2021-12-29,112.81,113.52,111.605,112.74,8392540.0,946174959.6
2021-12-30,112.54,115.7799,112.15,113.24,10186623.0,1153533188.52
2021-12-31,113.36,114.93,111.785,111.96,7066375.0,791151345.0
2022-01-03,112.6,115.56,110.35,115.44,8180609.0,944369502.96
2022-01-04,115.13,115.64,110.24,111.36,12518096.0,1394015170.56
2022-01-05,111.15,112.2899,105.08,105.23,17299126.0,1820387028.98
2022-01-06,105.46,107.1775,102.46,105.2,11808515.0,1242255778.0
2022-01-07,105.18,107.4,102.7799,102.99,11708383.0,1205846365.1699998
2022-01-10,102.03,103.2,100.05,103.14,19260529.0,1986530961.06
2022-01-11,102.89,105.05,101.64,103.89,11792493.0,1225122097.77
