timestamps,open,high,low,close,volume,amount
2021-05-28,79.27,79.3,78.7113,78.79,2846895.0,224306857.05
2021-06-01,79.08,79.22,78.46,78.84,3320439.0,261783410.76
2021-06-02,78.99,79.1,78.205,78.6,2792431.0,219485076.6
2021-06-03,78.05,78.288,77.59,78.07,2821010.0,220236250.7
2021-06-04,78.39,79.3,78.27,79.19,2340430.0,185338651.7
2021-06-07,79.06,79.64,78.98,79.6,3338084.0,265711486.4
2021-06-08,79.82,79.82,78.98,79.37,3335777.0,264760620.49
2021-06-09,79.73,79.86,79.25,79.29,5176588.0,410451662.52
2021-06-10,79.37,79.845,79.08,79.72,2482700.0,197920844.0
2021-06-11,79.84,79.855,79.44,79.81,3737010.0,298250768.1
2021-06-14,79.87,80.36,79.64,80.34,2738524.0,220013018.16
2021-06-15,80.41,80.55,79.743,79.88,3093619.0,247118285.72
2021-06-16,80.04,80.04,78.51,79.18,4699695.0,372121850.1
2021-06-17,79.07,79.97,79.04,79.51,4563083.0,362810729.33
2021-06-18,79.159,79.24,78.46,78.58,6199086.0,487124177.88
2021-06-21,78.62,79.26,78.28,79.2,3297722.0,261179582.4
2021-06-22,79.28,79.99,79.05,79.88,4715933.0,376708728.04
2021-06-23,79.81,80.22,79.735,79.8,4680374.0,373493845.2
2021-06-24,80.18,80.59,80.13,80.55,3441237.0,277191640.34999996
2021-06-25,80.53,80.74,80.375,80.65,5851502.0,471923636.3
2021-06-28,80.84,81.66,80.589,81.56,3562577.0,290563780.12
2021-06-29,81.57,81.65,80.895,81.12,4288960.0,347920435.20000005
2021-06-30,81.05,81.19,80.68,80.97,2543160.0,205919665.2
2021-07-01,80.87,81.68,80.85,81.57,5236486.0,427140163.02
2021-07-02,81.87,82.255,81.735,82.14,4357900.0,357957906.0
2021-07-06,82.28,82.386,81.19,81.94,3840988.0,314730556.71999997
2021-07-07,82.32,82.32,81.63,81.82,3664933.0,299864818.06
2021-07-08,80.77,81.29,80.52,80.92,5252122.0,425001712.24
2021-07-09,80.95,81.7606,80.94,81.64,2926846.0,238947707.44
2021-07-12,81.81,82.26,81.5,82.22,3582162.0,294525359.64
2021-07-13,82.14,82.645,81.93,82.01,3986152.0,326904325.52000004
2021-07-14,82.48,82.54,81.86,81.95,3466629.0,284090246.55
2021-07-15,82.05,82.05,81.03,81.37,4506466.0,366691138.42
2021-07-16,81.49,81.72,80.76,80.86,3521933.0,284783502.38
2021-07-19,80.21,80.22,79.26,79.63,6908464.0,550120988.3199999
2021-07-20,79.9,80.825,79.475,80.53,4122724.0,332002963.72
2021-07-21,80.6,81.205,80.56,81.2,2623538.0,213031285.6
2021-07-22,81.19,81.5,80.82,81.48,2261454.0,184263271.92
2021-07-23,82.43,83.729,82.07,83.5,3883613.0,324281685.5
2021-07-26,83.4,83.955,83.27,83.93,3204196.0,268928170.28000003
2021-07-27,83.83,83.91,82.32,82.93,4870381.0,403900696.33
2021-07-28,83.81,84.18,83.2,83.58,7316833.0,611540902.14
2021-07-29,83.04,83.32,82.6401,82.68,5291288.0,437483691.84
2021-07-30,82.17,82.935,82.03,82.4,2999598.0,247166875.2
2021-08-02,82.75,82.83,82.06,82.21,3988317.0,327879540.57
2021-08-03,82.24,82.2498,80.91,81.84,4860485.0,397782092.4
2021-08-04,81.96,82.27,81.59,82.07,3864613.0,317168788.90999997
2021-08-05,82.31,82.835,82.11,82.82,2261344.0,187284510.08
2021-08-06,82.65,83.05,82.61,82.82,2764354.0,228943798.27999997
2021-08-09,82.81,82.82,82.39,82.67,2367789.0,195745116.63
2021-08-10,82.75,82.92,82.4701,82.83,6254449.0,518056010.67
2021-08-11,82.99,83.085,82.68,82.99,2457566.0,203953402.33999997
2021-08-12,82.9,83.18,82.47,83.14,2269033.0,188647403.62
2021-08-13,83.35,83.45,83.125,83.19,2144569.0,178406695.10999998
2021-08-16,82.9,83.3499,82.25,83.33,3483284.0,290262055.71999997
2021-08-17,82.79,83.13,82.1,82.64,5941469.0,491002998.16
2021-08-18,82.45,82.92,81.955,82.01,3041401.0,249425296.01
2021-08-19,81.5,82.39,81.42,82.02,4409939.0,361703196.78
2021-08-20,82.0,82.8582,81.83,82.73,4143389.0,342782571.97
2021-08-23,82.84,84.08,82.84,83.73,3062270.0,256403867.1
2021-08-24,83.91,84.3271,83.73,84.0,3132684.0,263145456.0
2021-08-25,84.03,84.32,83.85,84.13,3835074.0,322644775.62
2021-08-26,84.07,84.2,83.4,83.4,3279808.0,273535987.20000005
2021-08-27,83.59,84.86,83.43,84.72,3437150.0,291195348.0
2021-08-30,84.7,85.48,84.415,85.3,2734660.0,233266498.0
2021-08-31,85.27,85.81,85.17,85.62,6091008.0,521512104.96
2021-09-01,85.76,86.355,85.75,86.05,3723203.0,320381618.15
2021-09-02,86.12,86.24,85.32,85.47,3229914.0,276060749.58
2021-09-03,85.34,85.615,85.105,85.47,2798989.0,239229589.83
2021-09-07,85.47,85.83,85.27,85.67,4132668.0,354045667.56
2021-09-08,85.52,85.76,84.95,85.23,3808544.0,324602205.12
2021-09-09,85.08,85.36,84.675,84.81,4114455.0,348946928.55
2021-09-10,85.13,85.26,84.215,84.26,5103403.0,430012736.78
2021-09-13,84.82,84.89,84.05,84.47,5310461.0,448574640.67
2021-09-14,84.69,84.79,83.6,83.74,5474744.0,458455062.55999994
2021-09-15,83.72,84.298,83.015,84.15,5007678.0,421396103.7000001
2021-09-16,84.04,84.33,83.465,84.07,3856583.0,324222932.81
2021-09-17,83.84,84.03,82.784,83.14,9970610.0,828956515.4
2021-09-20,81.92,82.04,80.31,81.33,8942938.0,727329147.54
2021-09-21,81.88,82.13,80.93,80.99,6469711.0,523981893.89
2021-09-22,80.74,81.38,80.59,80.95,6815506.0,551715210.7
2021-09-23,81.31,82.18,81.17,81.78,3989462.0,326258202.36
2021-09-24,81.41,82.605,81.3,82.45,4402089.0,362952238.05
2021-09-27,82.01,82.68,81.76,82.44,3459668.0,285215029.92
2021-09-28,81.61,81.81,80.31,80.43,8982569.0,722468024.6700001
2021-09-29,80.82,81.29,80.25,80.36,5467137.0,439339129.32
2021-09-30,80.61,80.95,80.1,80.11,10782695.0,863801696.45
2021-10-01,80.53,81.825,80.17,81.46,7308687.0,595365643.02
2021-10-04,80.9,80.95,79.081,79.7,9449006.0,753085778.2
2021-10-05,79.98,81.32,79.91,80.89,3316137.0,268242321.93
2021-10-06,80.08,81.09,79.73,81.03,6600119.0,534807642.57
2021-10-07,81.72,82.145,81.32,81.38,4263949.0,347000169.62
2021-10-08,81.53,81.64,80.88,80.98,2738238.0,221742513.24
2021-10-11,80.64,80.95,79.73,79.76,3590064.0,286343504.64000005
2021-10-12,79.77,79.8393,78.74,79.02,7990704.0,631425430.0799999
2021-10-13,79.52,79.65,78.9,79.39,4693758.0,372637447.62
2021-10-14,80.13,80.64,79.96,80.51,3614662.0,291016437.62
2021-10-15,80.78,80.8,80.2,80.32,3100385.0,249022923.2
2021-10-18,80.22,80.96,80.06,80.94,2975407.0,240829442.58
2021-10-19,81.36,81.73,81.16,81.72,2460257.0,201052202.04
2021-10-20,81.91,82.11,81.6,81.88,2934606.0,240285539.28
2021-10-21,81.85,82.16,81.56,82.12,2681176.0,220178173.12
2021-10-22,80.88,81.2,79.98,80.38,3130971.0,251667448.98
2021-10-25,80.14,80.73,79.69,80.73,3225245.0,260374028.85
2021-10-26,81.07,81.17,79.63,80.01,6559480.0,524823994.8
2021-10-27,79.89,80.61,79.685,79.79,5845362.0,466401433.98
2021-10-28,79.85,80.52,79.35,80.05,3589067.0,287304813.34999996
2021-10-29,79.87,80.44,79.76,80.3,2845097.0,228461289.1
2021-11-01,80.58,81.06,80.205,80.43,4124601.0,331741658.43
2021-11-02,80.64,80.775,79.975,80.44,3982100.0,320320124.0
2021-11-03,80.0,80.76,79.76,80.73,2834110.0,228797700.3
2021-11-04,80.98,81.42,80.68,81.05,6281938.0,509151074.9
2021-11-05,81.76,82.35,81.61,81.7,3237476.0,264501789.2
2021-11-08,82.11,82.11,81.26,81.34,3171712.0,257987054.08
2021-11-09,81.52,81.67,80.75,81.14,3921034.0,318152698.76
2021-11-10,80.73,81.02,79.91,80.22,4074378.0,326846603.15999997
2021-11-11,80.23,80.52,80.015,80.06,2046923.0,163876655.38
2021-11-12,80.46,81.3,80.16,81.23,3240215.0,263202664.45
2021-11-15,81.46,81.91,81.25,81.46,2319256.0,188926593.76
2021-11-16,81.29,81.44,80.8,80.85,2383216.0,192683013.6
2021-11-17,80.84,81.02,80.4433,80.54,7330265.0,590379543.1
2021-11-18,80.35,80.37,79.63,79.96,3335331.0,266693066.76
2021-11-19,80.29,80.48,79.57,79.69,6857667.0,546487483.23
2021-11-22,79.8,80.0,78.71,78.72,4517686.0,355632241.92
2021-11-23,78.57,78.93,77.95,78.51,5018521.0,394004083.71
2021-11-24,78.3,78.725,77.9,78.62,4243342.0,333611548.04
2021-11-26,77.86,77.865,77.11,77.18,4963010.0,383045111.8
2021-11-29,78.05,78.2,77.375,77.84,6518660.0,507412494.4
2021-11-30,77.53,77.53,75.285,75.37,10423911.0,785650172.07
2021-12-01,76.45,76.66,73.59,73.63,9392412.0,691563295.56
2021-12-02,73.91,75.175,73.76,74.87,7579154.0,567451259.98
2021-12-03,75.23,75.36,73.73,74.7,8986863.0,671318666.1
2021-12-06,75.12,76.115,74.83,75.93,7739219.0,587638898.6700001
2021-12-07,76.73,77.08,76.48,76.71,4549221.0,348970742.90999997
2021-12-08,76.92,77.465,76.645,77.27,9484401.0,732859665.27
2021-12-09,77.05,77.495,76.48,76.66,4065804.0,311684534.64
2021-12-10,77.13,77.28,76.12,76.7,4255379.0,326387569.3
2021-12-13,76.61,76.95,76.065,76.3,4980811.0,380035879.3
2021-12-14,75.43,76.24,75.33,76.1,7010607.0,533507192.7
2021-12-15,75.92,76.985,74.9134,76.9,6693162.0,514704157.8
2021-12-16,77.08,77.69,76.55,76.79,7365334.0,565583997.86
2021-12-17,76.29,77.075,75.82,76.48,9932351.0,759626204.48
2021-12-20,75.56,75.84,75.08,75.79,4487127.0,340079355.33000004
2021-12-21,76.15,77.325,75.98,77.23,5198177.0,401455209.71
2021-12-22,77.06,77.63,76.9,77.42,3266966.0,252928507.72
2021-12-23,77.52,78.37,77.48,78.11,2383458.0,186171904.38
2021-12-27,78.35,79.045,78.34,78.87,2667643.0,210397003.41000003
2021-12-28,78.96,79.545,78.715,78.83,3214722.0,253416535.26
2021-12-29,78.87,79.07,78.1929,78.44,3775702.0,296166064.88
2021-12-30,78.63,79.19,78.61,78.77,4483541.0,353168524.57
2021-12-31,78.57,78.87,77.655,77.68,5689093.0,441928744.24
2022-01-03,77.86,78.51,77.8,78.22,11984807.0,937451603.54
