timestamps,open,high,low,close,volume,amount
2021-05-28,26.2,26.235,25.965,26.105,37300012.0,973716813.26
2021-06-01,26.62,27.1688,26.605,27.11,73100750.0,1981761332.5
2021-06-02,27.275,27.745,26.955,27.615,68201724.0,1883390608.26
2021-06-03,27.5,27.845,27.325,27.69,58983620.0,1633256437.8000002
2021-06-04,27.87,27.99,27.4625,27.875,52895898.0,1474473156.75
2021-06-07,27.87,28.04,27.715,27.755,40329514.0,1119345661.07
2021-06-08,27.66,28.045,27.33,27.995,58041546.0,1624873080.27
2021-06-09,28.075,28.195,27.805,27.82,56364934.0,1568072463.88
2021-06-10,28.195,28.325,27.49,27.785,57580730.0,1599880583.05
2021-06-11,27.885,28.04,27.655,27.69,38240434.0,1058877617.46
2021-06-14,27.79,27.96,27.3453,27.57,38011270.0,1047970713.9
2021-06-15,27.745,28.1675,27.675,28.095,64335126.0,1807495364.97
2021-06-16,28.05,28.2725,27.7,27.945,61053336.0,1706135474.52
2021-06-17,27.875,28.11,26.63,26.995,107079736.0,2890617473.32
2021-06-18,26.43,26.765,26.175,26.195,114245626.0,2992664173.07
2021-06-21,26.145,27.0825,26.145,27.035,84732762.0,2290750220.67
2021-06-22,26.97,27.32,26.675,27.215,48723198.0,1326001833.57
2021-06-23,27.465,27.775,27.24,27.29,40800040.0,1113433091.6
2021-06-24,27.415,27.545,27.15,27.525,38147674.0,1050014726.85
2021-06-25,27.6,27.685,27.4425,27.67,38507458.0,1065501362.86
2021-06-28,27.55,27.565,26.625,26.735,65602896.0,1753893424.56
2021-06-29,26.895,27.045,26.57,26.605,32077338.0,853417577.49
2021-06-30,26.685,27.0142,26.66,26.935,47195308.0,1271205620.98
2021-07-01,27.55,27.635,27.15,27.405,47772416.0,1309203060.48
2021-07-02,27.29,27.435,27.055,27.345,30557430.0,835592923.35
2021-07-06,27.255,27.305,26.345,26.455,68634692.0,1815730776.86
2021-07-07,26.415,26.66,25.735,26.025,61024458.0,1588161519.4499998
2021-07-08,25.565,26.1175,25.475,25.875,49662090.0,1285006578.75
2021-07-09,26.207,26.445,25.9,26.425,47141304.0,1245708958.2
2021-07-12,26.125,26.5425,25.94,26.385,41520360.0,1095514698.6
2021-07-13,26.255,26.42,26.03,26.185,49876348.0,1306012172.38
2021-07-14,26.265,26.57,25.305,25.405,67107308.0,1704861159.74
2021-07-15,25.13,25.435,24.93,25.05,59946092.0,1501649604.6
2021-07-16,25.24,25.25,24.2925,24.34,74479046.0,1812819979.64
2021-07-19,23.51,23.815,23.15,23.48,115682018.0,2716213782.64
2021-07-20,23.49,24.045,23.29,23.795,83564446.0,1988415992.57
2021-07-21,24.265,24.825,24.21,24.625,82372372.0,2028419660.5
2021-07-22,24.6,24.6,24.14,24.35,47430980.0,1154944363.0
2021-07-23,24.43,24.44,24.015,24.26,47127676.0,1143317419.76
2021-07-26,24.32,24.96,24.275,24.86,47527992.0,1181545881.12
2021-07-27,24.665,24.705,24.34,24.63,47025290.0,1158232892.7
2021-07-28,24.695,25.06,24.47,24.855,39334958.0,977670381.09
2021-07-29,25.175,25.285,24.945,25.095,43794020.0,1099010931.9
2021-07-30,25.045,25.15,24.545,24.695,49080682.0,1212047441.99
2021-08-02,24.71,25.31,24.47,24.51,57810800.0,1416942708.0
2021-08-03,24.43,24.98,24.2,24.93,64302090.0,1603051103.7
2021-08-04,24.48,24.7825,24.2175,24.255,64523830.0,1565025496.65
2021-08-05,24.405,24.831,24.3,24.53,45799988.0,1123473705.64
2021-08-06,24.74,24.95,24.62,24.755,36214760.0,896496383.8
2021-08-09,24.425,24.6,24.24,24.405,42193414.0,1029730268.67
2021-08-10,24.535,24.9,24.505,24.835,53283072.0,1323285093.12
2021-08-11,24.77,25.0725,24.615,25.03,47686154.0,1193584434.62
2021-08-12,25.01,25.145,24.7,25.005,36538108.0,913635390.54
2021-08-13,25.02,25.02,24.65,24.71,33050722.0,816683340.62
2021-08-16,24.375,24.385,24.04,24.255,48259822.0,1170541982.61
2021-08-17,24.02,24.395,23.79,24.005,51108212.0,1226852629.06
2021-08-18,24.0,24.1875,23.4751,23.505,56305768.0,1323467076.84
2021-08-19,23.1,23.25,22.57,22.895,99256258.0,2272472026.91
2021-08-20,22.685,23.0875,22.585,22.945,61587550.0,1413126334.75
2021-08-23,23.5,23.87,23.45,23.805,56564418.0,1346515970.49
2021-08-24,24.005,24.3225,23.965,24.2,45382120.0,1098247304.0
2021-08-25,24.15,24.5175,23.99,24.385,39817548.0,970950907.98
2021-08-26,24.245,24.38,23.975,24.015,41465332.0,995789947.98
2021-08-27,24.315,24.82,24.26,24.655,46083652.0,1136192440.06
2021-08-30,24.75,24.845,24.355,24.365,31817772.0,775240014.78
2021-08-31,24.245,24.465,24.14,24.2,53873174.0,1303730810.8
2021-09-01,24.175,24.315,23.755,23.845,63459834.0,1513199741.73
2021-09-02,24.065,24.645,24.065,24.45,61643296.0,1507178587.2
2021-09-03,24.4,24.58,24.1952,24.31,39167966.0,952173253.46
2021-09-07,24.195,24.4975,24.075,24.165,42630490.0,1030165790.85
2021-09-08,24.3,24.46,23.84,23.855,43798304.0,1044808541.92
2021-09-09,23.695,24.28,23.5675,23.905,50529514.0,1207908032.17
2021-09-10,24.275,24.325,23.82,23.895,37513086.0,896375189.97
2021-09-13,24.205,24.7453,24.205,24.58,68654972.0,1687539211.76
2021-09-14,24.8,24.8445,24.1175,24.225,59438428.0,1439895918.3000002
2021-09-15,24.57,25.15,24.53,25.13,76877890.0,1931941375.7
2021-09-16,25.105,25.11,24.7075,24.845,60643718.0,1506693173.71
2021-09-17,24.72,25.11,24.5955,24.66,64459050.0,1589560173.0
2021-09-20,23.775,23.905,23.235,23.62,85260022.0,2013841719.64
2021-09-21,23.9,24.025,23.425,23.675,51323494.0,1215083720.45
2021-09-22,24.075,24.69,24.075,24.405,79252130.0,1934148232.65
2021-09-23,24.54,25.335,24.425,25.26,49734294.0,1256288266.44
2021-09-24,25.125,25.58,25.075,25.45,55503052.0,1412552673.4
2021-09-27,26.01,26.46,25.975,26.355,81697366.0,2153134080.93
2021-09-28,26.605,26.915,26.385,26.445,132975298.0,3516531755.61
2021-09-29,26.42,26.61,26.095,26.445,69894356.0,1848356244.42
2021-09-30,26.37,26.515,26.045,26.045,89477720.0,2330447217.4
2021-10-01,26.235,26.945,26.235,26.92,83312010.0,2242759309.2000003
2021-10-04,27.2075,27.6575,27.0825,27.36,114815774.0,3141359576.64
2021-10-05,27.75,28.025,27.2325,27.52,98029612.0,2697774922.24
2021-10-06,27.065,27.3775,26.75,27.23,100042864.0,2724167186.7200003
2021-10-07,27.3,27.59,27.165,27.44,77596150.0,2129238356.0
2021-10-08,27.73,28.35,27.665,28.285,86539812.0,2447778582.42
2021-10-11,28.71,28.795,28.1525,28.18,85941498.0,2421831413.64
2021-10-12,28.125,28.476,28.0105,28.205,71038262.0,2003634179.71
2021-10-13,28.0,28.325,27.685,28.18,57902530.0,1631693295.4
2021-10-14,28.5,28.645,28.24,28.525,46792224.0,1334748189.6
2021-10-15,28.845,28.955,28.65,28.665,45354828.0,1300096144.62
2021-10-18,28.945,29.105,28.525,28.685,65202540.0,1870334859.9
2021-10-19,28.805,29.11,28.6475,29.01,44480506.0,1290379479.0600002
2021-10-20,28.79,29.25,28.675,29.245,50212514.0,1468464971.93
2021-10-21,29.02,29.125,28.4701,28.705,64241756.0,1844059605.98
